"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"[[[[Sentence]]]]: it 's a charming and often affecting journey . <SPLIT>[[[[Example_0]]]]: into the modern rut of narrative banality <SPLIT>[[[[Label_0]]]]: negative<SPLIT>[[[[Example_1]]]]: Manchester United will look to get back to winning ways when they host Huddersfield Town at Old Trafford in one of five Premier League matches kicking off from 3pm.<SPLIT><SPLIT>[[[[Label_1]]]]: positive","[[[[Sentence]]]]: it 's a charming and often affecting journey . <SPLIT>[[[[Example_0]]]]: into the modern rut of narrative banality <SPLIT>[[[[Label_0]]]]: negative<SPLIT>[[[[Example_1]]]]: Manchester United will look to get back to winning ways when they host Huddersfield Town at Old Trafford in one of five Premier League matches kicking off from 3pm.<SPLIT><SPLIT>[[[[Label_1]]]]: positive",0.2921864986419678,0.2921864986419678,1,1,1,1,"Failed"
"[[[[Sentence]]]]: unflinchingly bleak and desperate <SPLIT>[[[[Example_0]]]]: into the modern rut of narrative banality <SPLIT>[[[[Label_0]]]]: negative<SPLIT>[[[[Example_1]]]]: Manchester United will look to get back to winning ways when they host Huddersfield Town at Old Trafford in one of five Premier League matches kicking off from 3pm.<SPLIT><SPLIT>[[[[Label_1]]]]: positive","[[[[Sentence]]]]: unflinchingly bleak and desperate <SPLIT>[[[[Example_0]]]]: into the modern rut of narrative banality <SPLIT>[[[[Label_0]]]]: negative<SPLIT>[[[[Example_1]]]]: Manchester United will look to get back to winning ways when they host Huddersfield Town at Old Trafford in one of five Premier League matches kicking off from 3pm.<SPLIT><SPLIT>[[[[Label_1]]]]: positive",0.40850621461868286,0.40850621461868286,0,0,0,1,"Failed"
"[[[[Sentence]]]]: allows us to hope that nolan is poised to embark a major career as a commercial yet inventive filmmaker . <SPLIT>[[[[Example_0]]]]: into the modern rut of narrative banality <SPLIT>[[[[Label_0]]]]: negative<SPLIT>[[[[Example_1]]]]: Manchester United will look to get back to winning ways when they host Huddersfield Town at Old Trafford in one of five Premier League matches kicking off from 3pm.<SPLIT><SPLIT>[[[[Label_1]]]]: positive","[[[[Sentence]]]]: allows us to hope that nolan is poised to embark a major career as a commercial yet inventive filmmaker . <SPLIT>[[[[Example_0]]]]: into the modern rut of narrative banality <SPLIT>[[[[Label_0]]]]: negative<SPLIT>[[[[Example_1]]]]: Manchester United will look to get back to winning ways when they host Huddersfield Town at Old Trafford in one of five Premier League matches kicking off from 3pm.<SPLIT><SPLIT>[[[[Label_1]]]]: positive",0.35837453603744507,0.35837453603744507,1,1,1,1,"Failed"
"[[[[Sentence]]]]: the acting , costumes , music , cinematography and sound are all astounding given the production 's austere locales . <SPLIT>[[[[Example_0]]]]: into the modern rut of narrative banality <SPLIT>[[[[Label_0]]]]: negative<SPLIT>[[[[Example_1]]]]: Manchester United will look to get back to winning ways when they host Huddersfield Town at Old Trafford in one of five Premier League matches kicking off from 3pm.<SPLIT><SPLIT>[[[[Label_1]]]]: positive","[[[[Sentence]]]]: the acting , costumes , music , cinematography and sound are all astounding given the production 's austere locales . <SPLIT>[[[[Example_0]]]]: into the modern rut of narrative banality <SPLIT>[[[[Label_0]]]]: negative<SPLIT>[[[[Example_1]]]]: Manchester United will look to get back to winning ways when they host Huddersfield Town at Old Trafford in one of five Premier League matches kicking off from 3pm.<SPLIT><SPLIT>[[[[Label_1]]]]: positive",0.3859548568725586,0.3859548568725586,1,1,1,1,"Failed"
"[[[[Sentence]]]]: it 's slow -- very , very slow . <SPLIT>[[[[Example_0]]]]: into the modern rut of narrative banality <SPLIT>[[[[Label_0]]]]: negative<SPLIT>[[[[Example_1]]]]: Manchester United will look to get back to winning ways when they host Huddersfield Town at Old Trafford in one of five Premier League matches kicking off from 3pm.<SPLIT><SPLIT>[[[[Label_1]]]]: positive","[[[[Sentence]]]]: it 's slow -- very , very slow . <SPLIT>[[[[Example_0]]]]: into the modern rut of narrative banality <SPLIT>[[[[Label_0]]]]: negative<SPLIT>[[[[Example_1]]]]: Manchester United will look to get back to winning ways when they host Huddersfield Town at Old Trafford in one of five Premier League matches kicking off from 3pm.<SPLIT><SPLIT>[[[[Label_1]]]]: positive",0.3502587676048279,0.3502587676048279,0,0,0,1,"Failed"
"[[[[Sentence]]]]: although laced with humor and a few fanciful touches , the film is a refreshingly serious look at young women . <SPLIT>[[[[Example_0]]]]: into the modern rut of narrative banality <SPLIT>[[[[Label_0]]]]: negative<SPLIT>[[[[Example_1]]]]: Manchester United will look to get back to winning ways when they host Huddersfield Town at Old Trafford in one of five Premier League matches kicking off from 3pm.<SPLIT><SPLIT>[[[[Label_1]]]]: positive","[[[[Sentence]]]]: although laced with humor and a few fanciful touches , the film is a refreshingly serious look at young women . <SPLIT>[[[[Example_0]]]]: into the modern rut of narrative banality <SPLIT>[[[[Label_0]]]]: negative<SPLIT>[[[[Example_1]]]]: Manchester United will look to get back to winning ways when they host Huddersfield Town at Old Trafford in one of five Premier League matches kicking off from 3pm.<SPLIT><SPLIT>[[[[Label_1]]]]: positive",0.41707396507263184,0.41707396507263184,1,1,1,1,"Failed"
"[[[[Sentence]]]]: a sometimes tedious film . <SPLIT>[[[[Example_0]]]]: into the modern rut of narrative banality <SPLIT>[[[[Label_0]]]]: negative<SPLIT>[[[[Example_1]]]]: Manchester United will look to get back to winning ways when they host Huddersfield Town at Old Trafford in one of five Premier League matches kicking off from 3pm.<SPLIT><SPLIT>[[[[Label_1]]]]: positive","[[[[Sentence]]]]: a sometimes tedious film . <SPLIT>[[[[Example_0]]]]: into the modern rut of narrative banality <SPLIT>[[[[Label_0]]]]: negative<SPLIT>[[[[Example_1]]]]: Manchester United will look to get back to winning ways when they host Huddersfield Town at Old Trafford in one of five Premier League matches kicking off from 3pm.<SPLIT><SPLIT>[[[[Label_1]]]]: positive",0.3617311716079712,0.3617311716079712,0,0,0,1,"Failed"
"[[[[Sentence]]]]: or doing last year 's taxes with your ex-wife . <SPLIT>[[[[Example_0]]]]: into the modern rut of narrative banality <SPLIT>[[[[Label_0]]]]: negative<SPLIT>[[[[Example_1]]]]: Manchester United will look to get back to winning ways when they host Huddersfield Town at Old Trafford in one of five Premier League matches kicking off from 3pm.<SPLIT><SPLIT>[[[[Label_1]]]]: positive","[[[[Sentence]]]]: or doing last year 's taxes with your ex-wife . <SPLIT>[[[[Example_0]]]]: into the modern rut of narrative banality <SPLIT>[[[[Label_0]]]]: negative<SPLIT>[[[[Example_1]]]]: Manchester United will look to get back to winning ways when they host Huddersfield Town at Old Trafford in one of five Premier League matches kicking off from 3pm.<SPLIT><SPLIT>[[[[Label_1]]]]: positive",0.4663635492324829,0.4663635492324829,0,0,0,1,"Failed"
"[[[[Sentence]]]]: you do n't have to know about music to appreciate the film 's easygoing blend of comedy and romance . <SPLIT>[[[[Example_0]]]]: into the modern rut of narrative banality <SPLIT>[[[[Label_0]]]]: negative<SPLIT>[[[[Example_1]]]]: Manchester United will look to get back to winning ways when they host Huddersfield Town at Old Trafford in one of five Premier League matches kicking off from 3pm.<SPLIT><SPLIT>[[[[Label_1]]]]: positive","[[[[Sentence]]]]: you do n't have to know about music to appreciate the film 's easygoing blend of comedy and romance . <SPLIT>[[[[Example_0]]]]: into the modern rut of narrative banality <SPLIT>[[[[Label_0]]]]: negative<SPLIT>[[[[Example_1]]]]: Manchester United will look to get back to winning ways when they host Huddersfield Town at Old Trafford in one of five Premier League matches kicking off from 3pm.<SPLIT><SPLIT>[[[[Label_1]]]]: positive",0.409482479095459,0.409482479095459,1,1,1,1,"Failed"
"[[[[Sentence]]]]: in exactly 89 minutes , most of which passed as slowly as if i 'd been sitting naked on an igloo , formula 51 sank from quirky to jerky to utter turkey . <SPLIT>[[[[Example_0]]]]: into the modern rut of narrative banality <SPLIT>[[[[Label_0]]]]: negative<SPLIT>[[[[Example_1]]]]: Manchester United will look to get back to winning ways when they host Huddersfield Town at Old Trafford in one of five Premier League matches kicking off from 3pm.<SPLIT><SPLIT>[[[[Label_1]]]]: positive","[[[[Sentence]]]]: in exactly 89 minutes , most of which passed as slowly as if i 'd been sitting naked on an igloo , formula 51 sank from quirky to jerky to utter turkey . <SPLIT>[[[[Example_0]]]]: into the modern rut of narrative banality <SPLIT>[[[[Label_0]]]]: negative<SPLIT>[[[[Example_1]]]]: Manchester United will look to get back to winning ways when they host Huddersfield Town at Old Trafford in one of five Premier League matches kicking off from 3pm.<SPLIT><SPLIT>[[[[Label_1]]]]: positive",0.32586669921875,0.32586669921875,0,0,0,1,"Failed"
