"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"[[[[Sentence]]]]: they 're easy to use<SPLIT>[[[[Example_0]]]]: really easy to use<SPLIT>[[[[Label_0]]]]: positive<SPLIT>[[[[Example_1]]]]: all in all suprisingly easy to use<SPLIT>[[[[Label_1]]]]: positive<SPLIT>[[[[Example_2]]]]: second , it is incredibly easy to use<SPLIT>[[[[Label_2]]]]: positive<SPLIT>[[[[Example_3]]]]: in general it is easy to use and well laid out<SPLIT>[[[[Label_3]]]]: positive","[[[[Sentence]]]]: they 're easy to use<SPLIT>[[[[Example_0]]]]: really easy to use<SPLIT>[[[[Label_0]]]]: positive<SPLIT>[[[[Example_1]]]]: all in all suprisingly easy to use<SPLIT>[[[[Label_1]]]]: positive<SPLIT>[[[[Example_2]]]]: second , it is incredibly easy to use<SPLIT>[[[[Label_2]]]]: positive<SPLIT>[[[[Example_3]]]]: in general it is easy to use and well laid out<SPLIT>[[[[Label_3]]]]: positive",0.02595740556716919,0.02595740556716919,1,1,1,1,"Failed"
"[[[[Sentence]]]]: playlists can be generated on the fly ( which is a bit clunky but still a really nice bonus ) or by using the software , and there are a bevy of eq options<SPLIT>[[[[Example_0]]]]: creating and modifying playlists is easy and clean<SPLIT>[[[[Label_0]]]]: [[positive]]<SPLIT>[[[[Example_1]]]]: creating playlists using the included software to minimize issue 3 was n ' t as easy as i would have liked<SPLIT>[[[[Label_1]]]]: [[negative]]<SPLIT>[[[[Example_2]]]]: i love that you can create custom playlists , and organize music in so many different ways<SPLIT>[[[[Label_2]]]]: [[positive]]<SPLIT>[[[[Example_3]]]]: finally , making playlists from the computer can be complicated because the tracks are listed individually , and are organized by cd , which are not listed but are organized in alphabetical order<SPLIT>[[[[Label_3]]]]: [[negative]]","[[[[Sentence]]]]: playlists can be generated on the fly ( which is a bit clunky but still a really nice bonus ) or by using the software , and there are a bevy of eq options<SPLIT>[[[[Example_0]]]]: creating and modifying playlists is easy and clean<SPLIT>[[[[Label_0]]]]: [[negative]]<SPLIT>[[[[Example_1]]]]: creating playlists using the included software to minimize issue 3 was n ' t as easy as i would have liked<SPLIT>[[[[Label_1]]]]: [[positive]]<SPLIT>[[[[Example_2]]]]: i love that you can create custom playlists , and organize music in so many different ways<SPLIT>[[[[Label_2]]]]: [[negative]]<SPLIT>[[[[Example_3]]]]: finally , making playlists from the computer can be complicated because the tracks are listed individually , and are organized by cd , which are not listed but are organized in alphabetical order<SPLIT>[[[[Label_3]]]]: [[positive]]",0.08509904146194458,0.6513548493385315,1,0,1,6,"Successful"
"[[[[Sentence]]]]: simply , the canon g3 is the best digital camera out there today at this price point<SPLIT>[[[[Example_0]]]]: despite this minor disappointment , i highly recommend the canon g3 anyone who is serious about digital photography<SPLIT>[[[[Label_0]]]]: positive<SPLIT>[[[[Example_1]]]]: recent price drops have made the g3 the best bargain in digital cameras currently available<SPLIT>[[[[Label_1]]]]: positive<SPLIT>[[[[Example_2]]]]: i recommend unreservedly the powershot g3 to any potential buyer looking for a first class digital camera at a reasonable price there is no better camera out there period !<SPLIT>[[[[Label_2]]]]: positive<SPLIT>[[[[Example_3]]]]: the canon g3 is perhaps the best 4mp camera out there<SPLIT>[[[[Label_3]]]]: positive","[[[[Sentence]]]]: simply , the canon g3 is the best digital camera out there today at this price point<SPLIT>[[[[Example_0]]]]: despite this minor disappointment , i highly recommend the canon g3 anyone who is serious about digital photography<SPLIT>[[[[Label_0]]]]: positive<SPLIT>[[[[Example_1]]]]: recent price drops have made the g3 the best bargain in digital cameras currently available<SPLIT>[[[[Label_1]]]]: positive<SPLIT>[[[[Example_2]]]]: i recommend unreservedly the powershot g3 to any potential buyer looking for a first class digital camera at a reasonable price there is no better camera out there period !<SPLIT>[[[[Label_2]]]]: positive<SPLIT>[[[[Example_3]]]]: the canon g3 is perhaps the best 4mp camera out there<SPLIT>[[[[Label_3]]]]: positive",0.0031726956367492676,0.0031726956367492676,1,1,1,1,"Failed"
"[[[[Sentence]]]]: multimedia functions are enhanced by multi slide mms messages and a gallery for organizing digital content captured or downloaded with the phone<SPLIT>[[[[Example_0]]]]: it receives very nice mms pictures from other gsm phones<SPLIT>[[[[Label_0]]]]: positive<SPLIT>[[[[Example_1]]]]: first of all , the phone houses a great deal of memory for multiple videos , sound clips , photos , texts , etc<SPLIT>[[[[Label_1]]]]: positive<SPLIT>[[[[Example_2]]]]: the phone also sports an image gallery ( with option camera attachment ) , a calendar organizer , alarm clock with snooze , fm radio ( way cool , even if it is just through an ear peice ) , games , java applications and gprs high speed internet connection<SPLIT>[[[[Label_2]]]]: positive<SPLIT>[[[[Example_3]]]]: 8 ) creative mediasource , although not as sleek looking as windows media player , is effective in organizing your collection and is linked to a good cb service ( gracenotes )<SPLIT>[[[[Label_3]]]]: positive","[[[[Sentence]]]]: multimedia functions are enhanced by multi slide mms messages and a gallery for organizing digital content captured or downloaded with the phone<SPLIT>[[[[Example_0]]]]: it receives very nice mms pictures from other gsm phones<SPLIT>[[[[Label_0]]]]: positive<SPLIT>[[[[Example_1]]]]: first of all , the phone houses a great deal of memory for multiple videos , sound clips , photos , texts , etc<SPLIT>[[[[Label_1]]]]: positive<SPLIT>[[[[Example_2]]]]: the phone also sports an image gallery ( with option camera attachment ) , a calendar organizer , alarm clock with snooze , fm radio ( way cool , even if it is just through an ear peice ) , games , java applications and gprs high speed internet connection<SPLIT>[[[[Label_2]]]]: positive<SPLIT>[[[[Example_3]]]]: 8 ) creative mediasource , although not as sleek looking as windows media player , is effective in organizing your collection and is linked to a good cb service ( gracenotes )<SPLIT>[[[[Label_3]]]]: positive",0.02931225299835205,0.02931225299835205,1,1,1,1,"Failed"
"[[[[Sentence]]]]: oh , and another is the cool halo light that surrounds the touch pad , and light 's up when you touch the screen , and how the light glows when the zen is connected to the computer<SPLIT>[[[[Example_0]]]]: the zen serves as a back up device as well as a player<SPLIT>[[[[Label_0]]]]: positive<SPLIT>[[[[Example_1]]]]: as for the zen micro cons i read that every button is touch sensitive , and thats very annoying when all the main buttons are on the front<SPLIT>[[[[Label_1]]]]: [[negative]]<SPLIT>[[[[Example_2]]]]: actually , the creative zen micro solves all that<SPLIT>[[[[Label_2]]]]: positive<SPLIT>[[[[Example_3]]]]: however , the ipod does not come close to the number of extra features that the ' zen micro ' has to offer<SPLIT>[[[[Label_3]]]]: [[positive]]","[[[[Sentence]]]]: oh , and another is the cool halo light that surrounds the touch pad , and light 's up when you touch the screen , and how the light glows when the zen is connected to the computer<SPLIT>[[[[Example_0]]]]: the zen serves as a back up device as well as a player<SPLIT>[[[[Label_0]]]]: positive<SPLIT>[[[[Example_1]]]]: as for the zen micro cons i read that every button is touch sensitive , and thats very annoying when all the main buttons are on the front<SPLIT>[[[[Label_1]]]]: [[positive]]<SPLIT>[[[[Example_2]]]]: actually , the creative zen micro solves all that<SPLIT>[[[[Label_2]]]]: positive<SPLIT>[[[[Example_3]]]]: however , the ipod does not come close to the number of extra features that the ' zen micro ' has to offer<SPLIT>[[[[Label_3]]]]: [[negative]]",0.02033233642578125,0.18242555856704712,1,1,1,4,"Failed"
"[[[[Sentence]]]]: i 'd say that this camera is perfect<SPLIT>[[[[Example_0]]]]: i would recommend this camera unequivocally !<SPLIT>[[[[Label_0]]]]: positive<SPLIT>[[[[Example_1]]]]: i would recommend this camera unequivocally !<SPLIT>[[[[Label_1]]]]: positive<SPLIT>[[[[Example_2]]]]: overall it is the best camera on the market<SPLIT>[[[[Label_2]]]]: positive<SPLIT>[[[[Example_3]]]]: definitely a great camera<SPLIT>[[[[Label_3]]]]: positive","[[[[Sentence]]]]: i 'd say that this camera is perfect<SPLIT>[[[[Example_0]]]]: i would recommend this camera unequivocally !<SPLIT>[[[[Label_0]]]]: positive<SPLIT>[[[[Example_1]]]]: i would recommend this camera unequivocally !<SPLIT>[[[[Label_1]]]]: positive<SPLIT>[[[[Example_2]]]]: overall it is the best camera on the market<SPLIT>[[[[Label_2]]]]: positive<SPLIT>[[[[Example_3]]]]: definitely a great camera<SPLIT>[[[[Label_3]]]]: positive",0.010986924171447754,0.010986924171447754,1,1,1,1,"Failed"
"[[[[Sentence]]]]: this is the best phone i have seen<SPLIT>[[[[Example_0]]]]: overall this is the best phone i have ever owned<SPLIT>[[[[Label_0]]]]: positive<SPLIT>[[[[Example_1]]]]: this phone is one of the best i ' ve ever used<SPLIT>[[[[Label_1]]]]: positive<SPLIT>[[[[Example_2]]]]: this phone is fantastic<SPLIT>[[[[Label_2]]]]: positive<SPLIT>[[[[Example_3]]]]: ive had this phone for a year now and its the best phone i have owned<SPLIT>[[[[Label_3]]]]: positive","[[[[Sentence]]]]: this is the best phone i have seen<SPLIT>[[[[Example_0]]]]: overall this is the best phone i have ever owned<SPLIT>[[[[Label_0]]]]: positive<SPLIT>[[[[Example_1]]]]: this phone is one of the best i ' ve ever used<SPLIT>[[[[Label_1]]]]: positive<SPLIT>[[[[Example_2]]]]: this phone is fantastic<SPLIT>[[[[Label_2]]]]: positive<SPLIT>[[[[Example_3]]]]: ive had this phone for a year now and its the best phone i have owned<SPLIT>[[[[Label_3]]]]: positive",0.022977352142333984,0.022977352142333984,1,1,1,1,"Failed"
"[[[[Sentence]]]]: this one has a good looking<SPLIT>[[[[Example_0]]]]: good looks<SPLIT>[[[[Label_0]]]]: positive<SPLIT>[[[[Example_1]]]]: this one is really great<SPLIT>[[[[Label_1]]]]: positive<SPLIT>[[[[Example_2]]]]: this model appears to be especially good<SPLIT>[[[[Label_2]]]]: positive<SPLIT>[[[[Example_3]]]]: this one has a color display , which i like a lot , being very visual<SPLIT>[[[[Label_3]]]]: positive","[[[[Sentence]]]]: this one has a good looking<SPLIT>[[[[Example_0]]]]: good looks<SPLIT>[[[[Label_0]]]]: positive<SPLIT>[[[[Example_1]]]]: this one is really great<SPLIT>[[[[Label_1]]]]: positive<SPLIT>[[[[Example_2]]]]: this model appears to be especially good<SPLIT>[[[[Label_2]]]]: positive<SPLIT>[[[[Example_3]]]]: this one has a color display , which i like a lot , being very visual<SPLIT>[[[[Label_3]]]]: positive",0.04208773374557495,0.04208773374557495,1,1,1,1,"Failed"
"[[[[Sentence]]]]: they made the other end of the camera flat so you can put the camera upright on a flat surface if you don 't like to take the usual horizontal pictures using the self timer<SPLIT>[[[[Example_0]]]]: if you haven ' t noticed , they designed it so that you can also take vertical pictures when you do the self timer<SPLIT>[[[[Label_0]]]]: positive<SPLIT>[[[[Example_1]]]]: the lcd screen pulls out and rotates in any direction for easy pictures<SPLIT>[[[[Label_1]]]]: positive<SPLIT>[[[[Example_2]]]]: it sometimes takes the picture at some indefinite period of time after you press the shutter button<SPLIT>[[[[Label_2]]]]: [[negative]]<SPLIT>[[[[Example_3]]]]: the functionality on this camera is mind blowing<SPLIT>[[[[Label_3]]]]: [[positive]]","[[[[Sentence]]]]: they made the other end of the camera flat so you can put the camera upright on a flat surface if you don 't like to take the usual horizontal pictures using the self timer<SPLIT>[[[[Example_0]]]]: if you haven ' t noticed , they designed it so that you can also take vertical pictures when you do the self timer<SPLIT>[[[[Label_0]]]]: positive<SPLIT>[[[[Example_1]]]]: the lcd screen pulls out and rotates in any direction for easy pictures<SPLIT>[[[[Label_1]]]]: positive<SPLIT>[[[[Example_2]]]]: it sometimes takes the picture at some indefinite period of time after you press the shutter button<SPLIT>[[[[Label_2]]]]: [[positive]]<SPLIT>[[[[Example_3]]]]: the functionality on this camera is mind blowing<SPLIT>[[[[Label_3]]]]: [[negative]]",0.022977352142333984,0.2450850009918213,1,1,1,4,"Failed"
"[[[[Sentence]]]]: don 't care about sunlight it 's tft<SPLIT>[[[[Example_0]]]]: sunset feature takes incredible pics in the morning , and the evening !<SPLIT>[[[[Label_0]]]]: positive<SPLIT>[[[[Example_1]]]]: the only things i have found that i havent liked is that the lcd is hard to read in daylight but everyone else ' s is too<SPLIT>[[[[Label_1]]]]: [[negative]]<SPLIT>[[[[Example_2]]]]: i like the nomad ' s color better , but it ' s not terribly flashy<SPLIT>[[[[Label_2]]]]: [[positive]]<SPLIT>[[[[Example_3]]]]: you could take a picture of a stone glinting in the sun and still avoid the shining glaze and get the contours right<SPLIT>[[[[Label_3]]]]: positive","[[[[Sentence]]]]: don 't care about sunlight it 's tft<SPLIT>[[[[Example_0]]]]: sunset feature takes incredible pics in the morning , and the evening !<SPLIT>[[[[Label_0]]]]: positive<SPLIT>[[[[Example_1]]]]: the only things i have found that i havent liked is that the lcd is hard to read in daylight but everyone else ' s is too<SPLIT>[[[[Label_1]]]]: [[positive]]<SPLIT>[[[[Example_2]]]]: i like the nomad ' s color better , but it ' s not terribly flashy<SPLIT>[[[[Label_2]]]]: [[negative]]<SPLIT>[[[[Example_3]]]]: you could take a picture of a stone glinting in the sun and still avoid the shining glaze and get the contours right<SPLIT>[[[[Label_3]]]]: positive",0.2689414620399475,0.29421496391296387,1,1,1,4,"Failed"
