"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"[[[[Sentence]]]]: lovingly photographed in the manner of a golden book sprung to life , stuart little 2 manages sweetness largely without stickiness .<SPLIT>[[[[Example_0]]]]: the film is predictable in the reassuring manner of a beautifully sung holiday carol .<SPLIT>[[[[Label_0]]]]: [[positive]]<SPLIT>[[[[Example_1]]]]: i found the ring moderately absorbing , largely for its elegantly colorful look and sound .<SPLIT>[[[[Label_1]]]]: [[positive]]<SPLIT>[[[[Example_2]]]]: one feels the dimming of a certain ambition , but in its place a sweetness , clarity and emotional openness that recalls the classics of early italian neorealism .<SPLIT>[[[[Label_2]]]]: [[positive]]<SPLIT>[[[[Example_3]]]]: 'possession , ' based on the book by a . s . byatt , demands that labute deal with the subject of love head-on ; trading in his cynicism for reverence and a little wit<SPLIT>[[[[Label_3]]]]: [[positive]]","[[[[Sentence]]]]: lovingly photographed in the manner of a golden book sprung to life , stuart little 2 manages sweetness largely without stickiness .<SPLIT>[[[[Example_0]]]]: the film is predictable in the reassuring manner of a beautifully sung holiday carol .<SPLIT>[[[[Label_0]]]]: [[negative]]<SPLIT>[[[[Example_1]]]]: i found the ring moderately absorbing , largely for its elegantly colorful look and sound .<SPLIT>[[[[Label_1]]]]: [[negative]]<SPLIT>[[[[Example_2]]]]: one feels the dimming of a certain ambition , but in its place a sweetness , clarity and emotional openness that recalls the classics of early italian neorealism .<SPLIT>[[[[Label_2]]]]: [[negative]]<SPLIT>[[[[Example_3]]]]: 'possession , ' based on the book by a . s . byatt , demands that labute deal with the subject of love head-on ; trading in his cynicism for reverence and a little wit<SPLIT>[[[[Label_3]]]]: [[negative]]",0.004070103168487549,0.6224592924118042,1,0,1,11,"Successful"
"[[[[Sentence]]]]: consistently clever and suspenseful .<SPLIT>[[[[Example_0]]]]: overly long and worshipful bio-doc .<SPLIT>[[[[Label_0]]]]: negative<SPLIT>[[[[Example_1]]]]: fear dot com is so rambling and disconnected it never builds any suspense .<SPLIT>[[[[Label_1]]]]: negative<SPLIT>[[[[Example_2]]]]: crackerjack entertainment -- nonstop romance , music , suspense and action .<SPLIT>[[[[Label_2]]]]: [[positive]]<SPLIT>[[[[Example_3]]]]: hailed as a clever exercise in neo-hitchcockianism , this clever and very satisfying picture is more accurately chabrolian .<SPLIT>[[[[Label_3]]]]: [[positive]]","[[[[Sentence]]]]: consistently clever and suspenseful .<SPLIT>[[[[Example_0]]]]: overly long and worshipful bio-doc .<SPLIT>[[[[Label_0]]]]: negative<SPLIT>[[[[Example_1]]]]: fear dot com is so rambling and disconnected it never builds any suspense .<SPLIT>[[[[Label_1]]]]: negative<SPLIT>[[[[Example_2]]]]: crackerjack entertainment -- nonstop romance , music , suspense and action .<SPLIT>[[[[Label_2]]]]: [[negative]]<SPLIT>[[[[Example_3]]]]: hailed as a clever exercise in neo-hitchcockianism , this clever and very satisfying picture is more accurately chabrolian .<SPLIT>[[[[Label_3]]]]: [[negative]]",0.014063596725463867,0.7549149990081787,1,0,1,8,"Successful"
"[[[[Sentence]]]]: it's like a "" big chill "" reunion of the baader-meinhof gang , only these guys are more harmless pranksters than political activists .<SPLIT>[[[[Example_0]]]]: . . . although this idea is "" new "" the results are tired .<SPLIT>[[[[Label_0]]]]: negative<SPLIT>[[[[Example_1]]]]: "" the tuxedo "" should have been the vehicle for chan that "" the mask "" was for jim carrey . alas , it's the man that makes the clothes .<SPLIT>[[[[Label_1]]]]: negative<SPLIT>[[[[Example_2]]]]: "" it's all about the image . ""<SPLIT>[[[[Label_2]]]]: [[positive]]<SPLIT>[[[[Example_3]]]]: "" brown sugar "" admirably aspires to be more than another "" best man "" clone by weaving a theme throughout this funny film .<SPLIT>[[[[Label_3]]]]: [[positive]]","[[[[Sentence]]]]: it's like a "" big chill "" reunion of the baader-meinhof gang , only these guys are more harmless pranksters than political activists .<SPLIT>[[[[Example_0]]]]: . . . although this idea is "" new "" the results are tired .<SPLIT>[[[[Label_0]]]]: negative<SPLIT>[[[[Example_1]]]]: "" the tuxedo "" should have been the vehicle for chan that "" the mask "" was for jim carrey . alas , it's the man that makes the clothes .<SPLIT>[[[[Label_1]]]]: negative<SPLIT>[[[[Example_2]]]]: "" it's all about the image . ""<SPLIT>[[[[Label_2]]]]: [[negative]]<SPLIT>[[[[Example_3]]]]: "" brown sugar "" admirably aspires to be more than another "" best man "" clone by weaving a theme throughout this funny film .<SPLIT>[[[[Label_3]]]]: [[negative]]",0.10669058561325073,0.7772998809814453,1,0,1,8,"Successful"
"[[[[Sentence]]]]: the story gives ample opportunity for large-scale action and suspense , which director shekhar kapur supplies with tremendous skill .<SPLIT>[[[[Example_0]]]]: i approached the usher and said that if she had to sit through it again , she should ask for a raise .<SPLIT>[[[[Label_0]]]]: [[negative]]<SPLIT>[[[[Example_1]]]]: this is for the most part a useless movie , even with a great director at the helm .<SPLIT>[[[[Label_1]]]]: [[negative]]<SPLIT>[[[[Example_2]]]]: shatner is probably the funniest person in the film , which gives you an idea just how bad it was .<SPLIT>[[[[Label_2]]]]: [[negative]]<SPLIT>[[[[Example_3]]]]: too many scenarios in which the hero might have an opportunity to triumphantly sermonize , and too few that allow us to wonder for ourselves if things will turn out okay .<SPLIT>[[[[Label_3]]]]: [[negative]]","[[[[Sentence]]]]: the story gives ample opportunity for large-scale action and suspense , which director shekhar kapur supplies with tremendous skill .<SPLIT>[[[[Example_0]]]]: i approached the usher and said that if she had to sit through it again , she should ask for a raise .<SPLIT>[[[[Label_0]]]]: [[positive]]<SPLIT>[[[[Example_1]]]]: this is for the most part a useless movie , even with a great director at the helm .<SPLIT>[[[[Label_1]]]]: [[positive]]<SPLIT>[[[[Example_2]]]]: shatner is probably the funniest person in the film , which gives you an idea just how bad it was .<SPLIT>[[[[Label_2]]]]: [[positive]]<SPLIT>[[[[Example_3]]]]: too many scenarios in which the hero might have an opportunity to triumphantly sermonize , and too few that allow us to wonder for ourselves if things will turn out okay .<SPLIT>[[[[Label_3]]]]: [[positive]]",0.46879059076309204,0.04208773374557495,1,1,1,11,"Failed"
"[[[[Sentence]]]]: red dragon "" never cuts corners .<SPLIT>[[[[Example_0]]]]: "" it's all about the image . ""<SPLIT>[[[[Label_0]]]]: positive<SPLIT>[[[[Example_1]]]]: almost as offensive as "" freddy got fingered . ""<SPLIT>[[[[Label_1]]]]: negative<SPLIT>[[[[Example_2]]]]: never once predictable .<SPLIT>[[[[Label_2]]]]: [[positive]]<SPLIT>[[[[Example_3]]]]: [haynes'] homage to such films as "" all that heaven allows "" and "" imitation of life "" transcends them . simply put , "" far from heaven "" is a masterpiece .<SPLIT>[[[[Label_3]]]]: [[positive]]","[[[[Sentence]]]]: red dragon "" never cuts corners .<SPLIT>[[[[Example_0]]]]: "" it's all about the image . ""<SPLIT>[[[[Label_0]]]]: positive<SPLIT>[[[[Example_1]]]]: almost as offensive as "" freddy got fingered . ""<SPLIT>[[[[Label_1]]]]: negative<SPLIT>[[[[Example_2]]]]: never once predictable .<SPLIT>[[[[Label_2]]]]: [[negative]]<SPLIT>[[[[Example_3]]]]: [haynes'] homage to such films as "" all that heaven allows "" and "" imitation of life "" transcends them . simply put , "" far from heaven "" is a masterpiece .<SPLIT>[[[[Label_3]]]]: [[negative]]",0.07585817575454712,0.5621764659881592,1,0,1,8,"Successful"
"[[[[Sentence]]]]: fresnadillo has something serious to say about the ways in which extravagant chance can distort our perspective and throw us off the path of good sense .<SPLIT>[[[[Example_0]]]]: may offend viewers not amused by the sick sense of humor .<SPLIT>[[[[Label_0]]]]: negative<SPLIT>[[[[Example_1]]]]: this insightful , oscar-nominated documentary , in which children on both sides of the ever-escalating conflict have their say away from watchful parental eyes , gives peace yet another chance .<SPLIT>[[[[Label_1]]]]: [[positive]]<SPLIT>[[[[Example_2]]]]: the film is bright and flashy in all the right ways .<SPLIT>[[[[Label_2]]]]: [[positive]]<SPLIT>[[[[Example_3]]]]: a subtle variation on i spit on your grave in which our purported heroine pathologically avenges a hatred for men .<SPLIT>[[[[Label_3]]]]: negative","[[[[Sentence]]]]: fresnadillo has something serious to say about the ways in which extravagant chance can distort our perspective and throw us off the path of good sense .<SPLIT>[[[[Example_0]]]]: may offend viewers not amused by the sick sense of humor .<SPLIT>[[[[Label_0]]]]: negative<SPLIT>[[[[Example_1]]]]: this insightful , oscar-nominated documentary , in which children on both sides of the ever-escalating conflict have their say away from watchful parental eyes , gives peace yet another chance .<SPLIT>[[[[Label_1]]]]: [[negative]]<SPLIT>[[[[Example_2]]]]: the film is bright and flashy in all the right ways .<SPLIT>[[[[Label_2]]]]: [[negative]]<SPLIT>[[[[Example_3]]]]: a subtle variation on i spit on your grave in which our purported heroine pathologically avenges a hatred for men .<SPLIT>[[[[Label_3]]]]: negative",0.13296425342559814,0.7772998809814453,1,0,1,8,"Successful"
"[[[[Sentence]]]]: throws in enough clever and unexpected twists to make the formula feel fresh .<SPLIT>[[[[Example_0]]]]: . . . stumbles over every cheap trick in the book trying to make the outrage come even easier .<SPLIT>[[[[Label_0]]]]: negative<SPLIT>[[[[Example_1]]]]: trying to make head or tail of the story in the hip-hop indie snipes is enough to give you brain strain -- and the pay-off is negligible .<SPLIT>[[[[Label_1]]]]: negative<SPLIT>[[[[Example_2]]]]: has a plot full of twists upon knots . . . and a nonstop parade of mock-tarantino scuzbag types that starts out clever but veers into overkill .<SPLIT>[[[[Label_2]]]]: [[positive]]<SPLIT>[[[[Example_3]]]]: the result is something quite fresh and delightful .<SPLIT>[[[[Label_3]]]]: [[positive]]","[[[[Sentence]]]]: throws in enough clever and unexpected twists to make the formula feel fresh .<SPLIT>[[[[Example_0]]]]: . . . stumbles over every cheap trick in the book trying to make the outrage come even easier .<SPLIT>[[[[Label_0]]]]: negative<SPLIT>[[[[Example_1]]]]: trying to make head or tail of the story in the hip-hop indie snipes is enough to give you brain strain -- and the pay-off is negligible .<SPLIT>[[[[Label_1]]]]: negative<SPLIT>[[[[Example_2]]]]: has a plot full of twists upon knots . . . and a nonstop parade of mock-tarantino scuzbag types that starts out clever but veers into overkill .<SPLIT>[[[[Label_2]]]]: [[negative]]<SPLIT>[[[[Example_3]]]]: the result is something quite fresh and delightful .<SPLIT>[[[[Label_3]]]]: [[negative]]",0.06008666753768921,0.8175745010375977,1,0,1,8,"Successful"
"[[[[Sentence]]]]: weighty and ponderous but every bit as filling as the treat of the title .<SPLIT>[[[[Example_0]]]]: the acting is fine but the script is about as interesting as a recording of conversations at the wal-mart checkout line .<SPLIT>[[[[Label_0]]]]: negative<SPLIT>[[[[Example_1]]]]: meyjes focuses too much on max when he should be filling the screen with this tortured , dull artist and monster-in-the- making .<SPLIT>[[[[Label_1]]]]: negative<SPLIT>[[[[Example_2]]]]: for movie lovers as well as opera lovers , tosca is a real treat .<SPLIT>[[[[Label_2]]]]: [[positive]]<SPLIT>[[[[Example_3]]]]: . . . a thoughtful what-if for the heart as well as the mind .<SPLIT>[[[[Label_3]]]]: [[positive]]","[[[[Sentence]]]]: weighty and ponderous but every bit as filling as the treat of the title .<SPLIT>[[[[Example_0]]]]: the acting is fine but the script is about as interesting as a recording of conversations at the wal-mart checkout line .<SPLIT>[[[[Label_0]]]]: negative<SPLIT>[[[[Example_1]]]]: meyjes focuses too much on max when he should be filling the screen with this tortured , dull artist and monster-in-the- making .<SPLIT>[[[[Label_1]]]]: negative<SPLIT>[[[[Example_2]]]]: for movie lovers as well as opera lovers , tosca is a real treat .<SPLIT>[[[[Label_2]]]]: [[negative]]<SPLIT>[[[[Example_3]]]]: . . . a thoughtful what-if for the heart as well as the mind .<SPLIT>[[[[Label_3]]]]: [[negative]]",0.2227001190185547,0.8175745010375977,1,0,1,8,"Successful"
"[[[[Sentence]]]]: a real audience-pleaser that will strike a chord with anyone who's ever waited in a doctor's office , emergency room , hospital bed or insurance company office .<SPLIT>[[[[Example_0]]]]: satin rouge is not a new , or inventive , journey , but it's encouraging to see a three-dimensional , average , middle-aged woman's experience of self-discovery handled with such sensitivity .<SPLIT>[[[[Label_0]]]]: [[positive]]<SPLIT>[[[[Example_1]]]]: culkin , who's in virtually every scene , shines as a young man who uses sarcastic lies like a shield .<SPLIT>[[[[Label_1]]]]: [[positive]]<SPLIT>[[[[Example_2]]]]: kwan is a master of shadow , quietude , and room noise , and lan yu is a disarmingly lived-in movie .<SPLIT>[[[[Label_2]]]]: [[positive]]<SPLIT>[[[[Example_3]]]]: real women may have many agendas , but it also will win you over , in a big way .<SPLIT>[[[[Label_3]]]]: [[positive]]","[[[[Sentence]]]]: a real audience-pleaser that will strike a chord with anyone who's ever waited in a doctor's office , emergency room , hospital bed or insurance company office .<SPLIT>[[[[Example_0]]]]: satin rouge is not a new , or inventive , journey , but it's encouraging to see a three-dimensional , average , middle-aged woman's experience of self-discovery handled with such sensitivity .<SPLIT>[[[[Label_0]]]]: [[negative]]<SPLIT>[[[[Example_1]]]]: culkin , who's in virtually every scene , shines as a young man who uses sarcastic lies like a shield .<SPLIT>[[[[Label_1]]]]: [[negative]]<SPLIT>[[[[Example_2]]]]: kwan is a master of shadow , quietude , and room noise , and lan yu is a disarmingly lived-in movie .<SPLIT>[[[[Label_2]]]]: [[negative]]<SPLIT>[[[[Example_3]]]]: real women may have many agendas , but it also will win you over , in a big way .<SPLIT>[[[[Label_3]]]]: [[negative]]",0.0179862380027771,0.7310585975646973,1,0,1,11,"Successful"
"[[[[Sentence]]]]: generates an enormous feeling of empathy for its characters .<SPLIT>[[[[Example_0]]]]: brims with passion : for words , for its eccentric , accident-prone characters , and for the crazy things that keep people going in this crazy life .<SPLIT>[[[[Label_0]]]]: [[positive]]<SPLIT>[[[[Example_1]]]]: despite a performance of sustained intelligence from stanford and another of subtle humour from bebe neuwirth , as an older woman who seduces oscar , the film founders on its lack of empathy for the social milieu - rich new york intelligentsia - and its off<SPLIT>[[[[Label_1]]]]: [[negative]]<SPLIT>[[[[Example_2]]]]: the story is bogus and its characters tissue-thin .<SPLIT>[[[[Label_2]]]]: [[negative]]<SPLIT>[[[[Example_3]]]]: an easy watch , except for the annoying demeanour of its lead character .<SPLIT>[[[[Label_3]]]]: [[negative]]","[[[[Sentence]]]]: generates an enormous feeling of empathy for its characters .<SPLIT>[[[[Example_0]]]]: brims with passion : for words , for its eccentric , accident-prone characters , and for the crazy things that keep people going in this crazy life .<SPLIT>[[[[Label_0]]]]: [[negative]]<SPLIT>[[[[Example_1]]]]: despite a performance of sustained intelligence from stanford and another of subtle humour from bebe neuwirth , as an older woman who seduces oscar , the film founders on its lack of empathy for the social milieu - rich new york intelligentsia - and its off<SPLIT>[[[[Label_1]]]]: [[positive]]<SPLIT>[[[[Example_2]]]]: the story is bogus and its characters tissue-thin .<SPLIT>[[[[Label_2]]]]: [[positive]]<SPLIT>[[[[Example_3]]]]: an easy watch , except for the annoying demeanour of its lead character .<SPLIT>[[[[Label_3]]]]: [[positive]]",0.010986924171447754,0.14804714918136597,1,1,1,11,"Failed"
