"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"[[[[Sentence]]]]: lovingly photographed in the manner of a golden book sprung to life , stuart little 2 manages sweetness largely without stickiness .<SPLIT>[[[[Example_0]]]]: there is a refreshing absence of cynicism in stuart little 2--quite a rarity , even in the family film market . eventually , it wins you over .<SPLIT>[[[[Label_0]]]]: positive<SPLIT>[[[[Example_1]]]]: the best thing that can be said of the picture is that it does have a few cute moments .<SPLIT>[[[[Label_1]]]]: [[negative]]<SPLIT>[[[[Example_2]]]]: a quaint , romanticized rendering .<SPLIT>[[[[Label_2]]]]: [[negative]]<SPLIT>[[[[Example_3]]]]: the film is saved from aren't-kids-cute sentimentality by a warmth that isn't faked and a stately sense of composition .<SPLIT>[[[[Label_3]]]]: [[positive]]<SPLIT>[[[[Example_4]]]]: it's mildly sentimental , unabashedly consumerist . . . studiously inoffensive and completely disposable .<SPLIT>[[[[Label_4]]]]: [[negative]]<SPLIT>[[[[Example_5]]]]: a slight but sweet film .<SPLIT>[[[[Label_5]]]]: positive<SPLIT>[[[[Example_6]]]]: there are some wonderfully fresh moments that smooth the moral stiffness with human kindness and hopefulness .<SPLIT>[[[[Label_6]]]]: [[positive]]<SPLIT>[[[[Example_7]]]]: delightfully rendered<SPLIT>[[[[Label_7]]]]: [[positive]]","[[[[Sentence]]]]: lovingly photographed in the manner of a golden book sprung to life , stuart little 2 manages sweetness largely without stickiness .<SPLIT>[[[[Example_0]]]]: there is a refreshing absence of cynicism in stuart little 2--quite a rarity , even in the family film market . eventually , it wins you over .<SPLIT>[[[[Label_0]]]]: positive<SPLIT>[[[[Example_1]]]]: the best thing that can be said of the picture is that it does have a few cute moments .<SPLIT>[[[[Label_1]]]]: [[positive]]<SPLIT>[[[[Example_2]]]]: a quaint , romanticized rendering .<SPLIT>[[[[Label_2]]]]: [[positive]]<SPLIT>[[[[Example_3]]]]: the film is saved from aren't-kids-cute sentimentality by a warmth that isn't faked and a stately sense of composition .<SPLIT>[[[[Label_3]]]]: [[negative]]<SPLIT>[[[[Example_4]]]]: it's mildly sentimental , unabashedly consumerist . . . studiously inoffensive and completely disposable .<SPLIT>[[[[Label_4]]]]: [[positive]]<SPLIT>[[[[Example_5]]]]: a slight but sweet film .<SPLIT>[[[[Label_5]]]]: positive<SPLIT>[[[[Example_6]]]]: there are some wonderfully fresh moments that smooth the moral stiffness with human kindness and hopefulness .<SPLIT>[[[[Label_6]]]]: [[negative]]<SPLIT>[[[[Example_7]]]]: delightfully rendered<SPLIT>[[[[Label_7]]]]: [[negative]]",0.01590639352798462,0.32082128524780273,1,1,1,27,"Failed"
"[[[[Sentence]]]]: consistently clever and suspenseful .<SPLIT>[[[[Example_0]]]]: [it's] a clever thriller with enough unexpected twists to keep our interest .<SPLIT>[[[[Label_0]]]]: positive<SPLIT>[[[[Example_1]]]]: a mostly intelligent , engrossing and psychologically resonant suspenser .<SPLIT>[[[[Label_1]]]]: positive<SPLIT>[[[[Example_2]]]]: entirely suspenseful , extremely well-paced and ultimately . . . dare i say , entertaining !<SPLIT>[[[[Label_2]]]]: positive<SPLIT>[[[[Example_3]]]]: a sly game of cat and mouse that's intense and thrilling at times , but occasionally stretches believability to its limits and relies on predictable plot contrivances .<SPLIT>[[[[Label_3]]]]: positive<SPLIT>[[[[Example_4]]]]: audiard successfully maintains suspense on different levels throughout a film that is both gripping and compelling .<SPLIT>[[[[Label_4]]]]: positive<SPLIT>[[[[Example_5]]]]: it establishes its ominous mood and tension swiftly , and if the suspense never rises to a higher level , it is nevertheless maintained throughout .<SPLIT>[[[[Label_5]]]]: positive<SPLIT>[[[[Example_6]]]]: with tightly organized efficiency , numerous flashbacks and a constant edge of tension , miller's film is one of 2002's involvingly adult surprises .<SPLIT>[[[[Label_6]]]]: positive<SPLIT>[[[[Example_7]]]]: beautifully crafted , engaging filmmaking that should attract upscale audiences hungry for quality and a nostalgic , twisty yarn that will keep them guessing .<SPLIT>[[[[Label_7]]]]: positive","[[[[Sentence]]]]: consistently clever and suspenseful .<SPLIT>[[[[Example_0]]]]: [it's] a clever thriller with enough unexpected twists to keep our interest .<SPLIT>[[[[Label_0]]]]: positive<SPLIT>[[[[Example_1]]]]: a mostly intelligent , engrossing and psychologically resonant suspenser .<SPLIT>[[[[Label_1]]]]: positive<SPLIT>[[[[Example_2]]]]: entirely suspenseful , extremely well-paced and ultimately . . . dare i say , entertaining !<SPLIT>[[[[Label_2]]]]: positive<SPLIT>[[[[Example_3]]]]: a sly game of cat and mouse that's intense and thrilling at times , but occasionally stretches believability to its limits and relies on predictable plot contrivances .<SPLIT>[[[[Label_3]]]]: positive<SPLIT>[[[[Example_4]]]]: audiard successfully maintains suspense on different levels throughout a film that is both gripping and compelling .<SPLIT>[[[[Label_4]]]]: positive<SPLIT>[[[[Example_5]]]]: it establishes its ominous mood and tension swiftly , and if the suspense never rises to a higher level , it is nevertheless maintained throughout .<SPLIT>[[[[Label_5]]]]: positive<SPLIT>[[[[Example_6]]]]: with tightly organized efficiency , numerous flashbacks and a constant edge of tension , miller's film is one of 2002's involvingly adult surprises .<SPLIT>[[[[Label_6]]]]: positive<SPLIT>[[[[Example_7]]]]: beautifully crafted , engaging filmmaking that should attract upscale audiences hungry for quality and a nostalgic , twisty yarn that will keep them guessing .<SPLIT>[[[[Label_7]]]]: positive",0.003593623638153076,0.003593623638153076,1,1,1,1,"Failed"
"[[[[Sentence]]]]: it's like a "" big chill "" reunion of the baader-meinhof gang , only these guys are more harmless pranksters than political activists .<SPLIT>[[[[Example_0]]]]: an incredibly low-rent danish film , it brings a group of people together in a sweet and charming way , if a little convenient<SPLIT>[[[[Label_0]]]]: positive<SPLIT>[[[[Example_1]]]]: ' . . . both hokey and super-cool , and definitely not in a hurry , so sit back , relax and have a few laughs while the little ones get a fuzzy treat . '<SPLIT>[[[[Label_1]]]]: positive<SPLIT>[[[[Example_2]]]]: it's like a drive-by . you can drive right by it without noticing anything special , save for a few comic turns , intended and otherwise .<SPLIT>[[[[Label_2]]]]: [[negative]]<SPLIT>[[[[Example_3]]]]: its scenes and sensibility are all more than familiar , but it exudes a kind of nostalgic spy-movie charm and , at the same time , is so fresh and free of the usual thriller nonsense that it all seems to be happening for the first time .<SPLIT>[[[[Label_3]]]]: positive<SPLIT>[[[[Example_4]]]]: a subtle and well-crafted ( for the most part ) chiller .<SPLIT>[[[[Label_4]]]]: positive<SPLIT>[[[[Example_5]]]]: this cheery , down-to-earth film is warm with the cozy feeling of relaxing around old friends .<SPLIT>[[[[Label_5]]]]: [[positive]]<SPLIT>[[[[Example_6]]]]: this time , the hype is quieter , and while the movie is slightly less successful than the first , it's still a rollicking good time for the most part .<SPLIT>[[[[Label_6]]]]: [[positive]]<SPLIT>[[[[Example_7]]]]: it's sweet , harmless , dumb , occasionally funny and about as compelling as a fishing show .<SPLIT>[[[[Label_7]]]]: [[negative]]","[[[[Sentence]]]]: it's like a "" big chill "" reunion of the baader-meinhof gang , only these guys are more harmless pranksters than political activists .<SPLIT>[[[[Example_0]]]]: an incredibly low-rent danish film , it brings a group of people together in a sweet and charming way , if a little convenient<SPLIT>[[[[Label_0]]]]: positive<SPLIT>[[[[Example_1]]]]: ' . . . both hokey and super-cool , and definitely not in a hurry , so sit back , relax and have a few laughs while the little ones get a fuzzy treat . '<SPLIT>[[[[Label_1]]]]: positive<SPLIT>[[[[Example_2]]]]: it's like a drive-by . you can drive right by it without noticing anything special , save for a few comic turns , intended and otherwise .<SPLIT>[[[[Label_2]]]]: [[positive]]<SPLIT>[[[[Example_3]]]]: its scenes and sensibility are all more than familiar , but it exudes a kind of nostalgic spy-movie charm and , at the same time , is so fresh and free of the usual thriller nonsense that it all seems to be happening for the first time .<SPLIT>[[[[Label_3]]]]: positive<SPLIT>[[[[Example_4]]]]: a subtle and well-crafted ( for the most part ) chiller .<SPLIT>[[[[Label_4]]]]: positive<SPLIT>[[[[Example_5]]]]: this cheery , down-to-earth film is warm with the cozy feeling of relaxing around old friends .<SPLIT>[[[[Label_5]]]]: [[negative]]<SPLIT>[[[[Example_6]]]]: this time , the hype is quieter , and while the movie is slightly less successful than the first , it's still a rollicking good time for the most part .<SPLIT>[[[[Label_6]]]]: [[negative]]<SPLIT>[[[[Example_7]]]]: it's sweet , harmless , dumb , occasionally funny and about as compelling as a fishing show .<SPLIT>[[[[Label_7]]]]: [[positive]]",0.11920297145843506,0.2689414620399475,1,1,1,18,"Failed"
"[[[[Sentence]]]]: the story gives ample opportunity for large-scale action and suspense , which director shekhar kapur supplies with tremendous skill .<SPLIT>[[[[Example_0]]]]: an irresistible combination of a rousing good story set on a truly grand scale .<SPLIT>[[[[Label_0]]]]: positive<SPLIT>[[[[Example_1]]]]: entirely suspenseful , extremely well-paced and ultimately . . . dare i say , entertaining !<SPLIT>[[[[Label_1]]]]: positive<SPLIT>[[[[Example_2]]]]: dense with characters and contains some thrilling moments .<SPLIT>[[[[Label_2]]]]: positive<SPLIT>[[[[Example_3]]]]: director kapur is a filmmaker with a real flair for epic landscapes and adventure , and this is a better film than his earlier english-language movie , the overpraised elizabeth .<SPLIT>[[[[Label_3]]]]: positive<SPLIT>[[[[Example_4]]]]: adaptation's success in engaging the audience in the travails of creating a screenplay is extraordinary .<SPLIT>[[[[Label_4]]]]: positive<SPLIT>[[[[Example_5]]]]: an operatic , sprawling picture that's entertainingly acted , magnificently shot and gripping enough to sustain most of its 170-minute length .<SPLIT>[[[[Label_5]]]]: positive<SPLIT>[[[[Example_6]]]]: a highly intriguing thriller , coupled with some ingenious plot devices and some lavishly built settings . . it's a worthwhile tutorial in quantum physics and slash-dash<SPLIT>[[[[Label_6]]]]: positive<SPLIT>[[[[Example_7]]]]: wonderful fencing scenes and an exciting plot make this an eminently engrossing film .<SPLIT>[[[[Label_7]]]]: positive","[[[[Sentence]]]]: the story gives ample opportunity for large-scale action and suspense , which director shekhar kapur supplies with tremendous skill .<SPLIT>[[[[Example_0]]]]: an irresistible combination of a rousing good story set on a truly grand scale .<SPLIT>[[[[Label_0]]]]: positive<SPLIT>[[[[Example_1]]]]: entirely suspenseful , extremely well-paced and ultimately . . . dare i say , entertaining !<SPLIT>[[[[Label_1]]]]: positive<SPLIT>[[[[Example_2]]]]: dense with characters and contains some thrilling moments .<SPLIT>[[[[Label_2]]]]: positive<SPLIT>[[[[Example_3]]]]: director kapur is a filmmaker with a real flair for epic landscapes and adventure , and this is a better film than his earlier english-language movie , the overpraised elizabeth .<SPLIT>[[[[Label_3]]]]: positive<SPLIT>[[[[Example_4]]]]: adaptation's success in engaging the audience in the travails of creating a screenplay is extraordinary .<SPLIT>[[[[Label_4]]]]: positive<SPLIT>[[[[Example_5]]]]: an operatic , sprawling picture that's entertainingly acted , magnificently shot and gripping enough to sustain most of its 170-minute length .<SPLIT>[[[[Label_5]]]]: positive<SPLIT>[[[[Example_6]]]]: a highly intriguing thriller , coupled with some ingenious plot devices and some lavishly built settings . . it's a worthwhile tutorial in quantum physics and slash-dash<SPLIT>[[[[Label_6]]]]: positive<SPLIT>[[[[Example_7]]]]: wonderful fencing scenes and an exciting plot make this an eminently engrossing film .<SPLIT>[[[[Label_7]]]]: positive",0.003593623638153076,0.003593623638153076,1,1,1,1,"Failed"
"[[[[Sentence]]]]: red dragon "" never cuts corners .<SPLIT>[[[[Example_0]]]]: the dragons are the real stars of reign of fire and you won't be disappointed .<SPLIT>[[[[Label_0]]]]: positive<SPLIT>[[[[Example_1]]]]: never [sinks] into exploitation .<SPLIT>[[[[Label_1]]]]: positive<SPLIT>[[[[Example_2]]]]: never once predictable .<SPLIT>[[[[Label_2]]]]: positive<SPLIT>[[[[Example_3]]]]: "" red dragon "" is entertaining . an obvious copy of one of the best films ever made , how could it not be ? but it is entertaining on an inferior level . it is a popcorn film , not a must-own , or even a must-see .<SPLIT>[[[[Label_3]]]]: positive<SPLIT>[[[[Example_4]]]]: originality ain't on the menu , but there's never a dull moment in the giant spider invasion comic chiller .<SPLIT>[[[[Label_4]]]]: positive<SPLIT>[[[[Example_5]]]]: not a stereotype is omitted nor a cliché left unsaid .<SPLIT>[[[[Label_5]]]]: [[negative]]<SPLIT>[[[[Example_6]]]]: reign of fire is hardly the most original fantasy film ever made -- beyond road warrior , it owes enormous debts to aliens and every previous dragon drama -- but that barely makes it any less entertaining .<SPLIT>[[[[Label_6]]]]: positive<SPLIT>[[[[Example_7]]]]: it's never dull and always looks good .<SPLIT>[[[[Label_7]]]]: [[positive]]","[[[[Sentence]]]]: red dragon "" never cuts corners .<SPLIT>[[[[Example_0]]]]: the dragons are the real stars of reign of fire and you won't be disappointed .<SPLIT>[[[[Label_0]]]]: positive<SPLIT>[[[[Example_1]]]]: never [sinks] into exploitation .<SPLIT>[[[[Label_1]]]]: positive<SPLIT>[[[[Example_2]]]]: never once predictable .<SPLIT>[[[[Label_2]]]]: positive<SPLIT>[[[[Example_3]]]]: "" red dragon "" is entertaining . an obvious copy of one of the best films ever made , how could it not be ? but it is entertaining on an inferior level . it is a popcorn film , not a must-own , or even a must-see .<SPLIT>[[[[Label_3]]]]: positive<SPLIT>[[[[Example_4]]]]: originality ain't on the menu , but there's never a dull moment in the giant spider invasion comic chiller .<SPLIT>[[[[Label_4]]]]: positive<SPLIT>[[[[Example_5]]]]: not a stereotype is omitted nor a cliché left unsaid .<SPLIT>[[[[Label_5]]]]: [[positive]]<SPLIT>[[[[Example_6]]]]: reign of fire is hardly the most original fantasy film ever made -- beyond road warrior , it owes enormous debts to aliens and every previous dragon drama -- but that barely makes it any less entertaining .<SPLIT>[[[[Label_6]]]]: positive<SPLIT>[[[[Example_7]]]]: it's never dull and always looks good .<SPLIT>[[[[Label_7]]]]: [[negative]]",0.04742586612701416,0.18242555856704712,1,1,1,8,"Failed"
"[[[[Sentence]]]]: fresnadillo has something serious to say about the ways in which extravagant chance can distort our perspective and throw us off the path of good sense .<SPLIT>[[[[Example_0]]]]: horns and halos benefits from serendipity but also reminds us of our own responsibility to question what is told as the truth .<SPLIT>[[[[Label_0]]]]: positive<SPLIT>[[[[Example_1]]]]: serious and thoughtful .<SPLIT>[[[[Label_1]]]]: [[positive]]<SPLIT>[[[[Example_2]]]]: the problem with movies about angels is they have a tendency to slip into hokum . a rumor of angels doesn't just slip -- it avalanches into forced fuzziness .<SPLIT>[[[[Label_2]]]]: [[negative]]<SPLIT>[[[[Example_3]]]]: there is little question that this is a serious work by an important director who has something new to say about how , in the flip-flop of courtship , we often reel in when we should be playing out .<SPLIT>[[[[Label_3]]]]: positive<SPLIT>[[[[Example_4]]]]: involving at times , but lapses quite casually into the absurd .<SPLIT>[[[[Label_4]]]]: [[negative]]<SPLIT>[[[[Example_5]]]]: it has the courage to wonder about big questions with sincerity and devotion . it risks seeming slow and pretentious , because it thinks the gamble is worth the promise .<SPLIT>[[[[Label_5]]]]: [[positive]]<SPLIT>[[[[Example_6]]]]: a thoughtful and surprisingly affecting portrait of a screwed-up man who dared to mess with some powerful people , seen through the eyes of the idealistic kid who chooses to champion his ultimately losing cause .<SPLIT>[[[[Label_6]]]]: positive<SPLIT>[[[[Example_7]]]]: muccino seems to be exploring the idea of why human beings long for what they don't have , and how this gets us in trouble . but even while his characters are acting horribly , he is always sympathetic .<SPLIT>[[[[Label_7]]]]: positive","[[[[Sentence]]]]: fresnadillo has something serious to say about the ways in which extravagant chance can distort our perspective and throw us off the path of good sense .<SPLIT>[[[[Example_0]]]]: horns and halos benefits from serendipity but also reminds us of our own responsibility to question what is told as the truth .<SPLIT>[[[[Label_0]]]]: positive<SPLIT>[[[[Example_1]]]]: serious and thoughtful .<SPLIT>[[[[Label_1]]]]: [[negative]]<SPLIT>[[[[Example_2]]]]: the problem with movies about angels is they have a tendency to slip into hokum . a rumor of angels doesn't just slip -- it avalanches into forced fuzziness .<SPLIT>[[[[Label_2]]]]: [[positive]]<SPLIT>[[[[Example_3]]]]: there is little question that this is a serious work by an important director who has something new to say about how , in the flip-flop of courtship , we often reel in when we should be playing out .<SPLIT>[[[[Label_3]]]]: positive<SPLIT>[[[[Example_4]]]]: involving at times , but lapses quite casually into the absurd .<SPLIT>[[[[Label_4]]]]: [[positive]]<SPLIT>[[[[Example_5]]]]: it has the courage to wonder about big questions with sincerity and devotion . it risks seeming slow and pretentious , because it thinks the gamble is worth the promise .<SPLIT>[[[[Label_5]]]]: [[negative]]<SPLIT>[[[[Example_6]]]]: a thoughtful and surprisingly affecting portrait of a screwed-up man who dared to mess with some powerful people , seen through the eyes of the idealistic kid who chooses to champion his ultimately losing cause .<SPLIT>[[[[Label_6]]]]: positive<SPLIT>[[[[Example_7]]]]: muccino seems to be exploring the idea of why human beings long for what they don't have , and how this gets us in trouble . but even while his characters are acting horribly , he is always sympathetic .<SPLIT>[[[[Label_7]]]]: positive",0.03308594226837158,0.2018132209777832,1,1,1,18,"Failed"
"[[[[Sentence]]]]: throws in enough clever and unexpected twists to make the formula feel fresh .<SPLIT>[[[[Example_0]]]]: [it's] a clever thriller with enough unexpected twists to keep our interest .<SPLIT>[[[[Label_0]]]]: positive<SPLIT>[[[[Example_1]]]]: the script manages the rare trick of seeming at once both refreshingly different and reassuringly familiar .<SPLIT>[[[[Label_1]]]]: positive<SPLIT>[[[[Example_2]]]]: it's predictable , but it jumps through the expected hoops with style and even some depth .<SPLIT>[[[[Label_2]]]]: positive<SPLIT>[[[[Example_3]]]]: . . . breathes surprising new life into the familiar by amalgamating genres and adding true human complexity to its not-so-stock characters .<SPLIT>[[[[Label_3]]]]: positive<SPLIT>[[[[Example_4]]]]: . . . a joke at once flaky and resonant , lightweight and bizarrely original .<SPLIT>[[[[Label_4]]]]: positive<SPLIT>[[[[Example_5]]]]: like mike isn't interested in recycling old cliches . it wants to tweak them with a taste of tangy new humor .<SPLIT>[[[[Label_5]]]]: positive<SPLIT>[[[[Example_6]]]]: impresses you with its open-endedness and surprises .<SPLIT>[[[[Label_6]]]]: positive<SPLIT>[[[[Example_7]]]]: puts a refreshing and comical spin on the all-too-familiar saga of the contemporary single woman .<SPLIT>[[[[Label_7]]]]: positive","[[[[Sentence]]]]: throws in enough clever and unexpected twists to make the formula feel fresh .<SPLIT>[[[[Example_0]]]]: [it's] a clever thriller with enough unexpected twists to keep our interest .<SPLIT>[[[[Label_0]]]]: positive<SPLIT>[[[[Example_1]]]]: the script manages the rare trick of seeming at once both refreshingly different and reassuringly familiar .<SPLIT>[[[[Label_1]]]]: positive<SPLIT>[[[[Example_2]]]]: it's predictable , but it jumps through the expected hoops with style and even some depth .<SPLIT>[[[[Label_2]]]]: positive<SPLIT>[[[[Example_3]]]]: . . . breathes surprising new life into the familiar by amalgamating genres and adding true human complexity to its not-so-stock characters .<SPLIT>[[[[Label_3]]]]: positive<SPLIT>[[[[Example_4]]]]: . . . a joke at once flaky and resonant , lightweight and bizarrely original .<SPLIT>[[[[Label_4]]]]: positive<SPLIT>[[[[Example_5]]]]: like mike isn't interested in recycling old cliches . it wants to tweak them with a taste of tangy new humor .<SPLIT>[[[[Label_5]]]]: positive<SPLIT>[[[[Example_6]]]]: impresses you with its open-endedness and surprises .<SPLIT>[[[[Label_6]]]]: positive<SPLIT>[[[[Example_7]]]]: puts a refreshing and comical spin on the all-too-familiar saga of the contemporary single woman .<SPLIT>[[[[Label_7]]]]: positive",0.0024725794792175293,0.0024725794792175293,1,1,1,1,"Failed"
"[[[[Sentence]]]]: weighty and ponderous but every bit as filling as the treat of the title .<SPLIT>[[[[Example_0]]]]: portentous and pretentious , the weight of water is appropriately titled , given the heavy-handedness of it drama .<SPLIT>[[[[Label_0]]]]: [[negative]]<SPLIT>[[[[Example_1]]]]: may lack the pungent bite of its title , but it's an enjoyable trifle nonetheless .<SPLIT>[[[[Label_1]]]]: [[positive]]<SPLIT>[[[[Example_2]]]]: lightweight but appealing .<SPLIT>[[[[Label_2]]]]: positive<SPLIT>[[[[Example_3]]]]: as befits its title , this pg-13-rated piffle is ultimately as threatening as the snuggle fabric softener bear .<SPLIT>[[[[Label_3]]]]: [[negative]]<SPLIT>[[[[Example_4]]]]: exactly what its title implies : lusty , boisterous and utterly charming .<SPLIT>[[[[Label_4]]]]: [[positive]]<SPLIT>[[[[Example_5]]]]: it's a square , sentimental drama that satisfies , as comfort food often can .<SPLIT>[[[[Label_5]]]]: positive<SPLIT>[[[[Example_6]]]]: while this film is not in the least surprising , it is still ultimately very satisfying . think of it as a sort of comfort food for the mind .<SPLIT>[[[[Label_6]]]]: [[positive]]<SPLIT>[[[[Example_7]]]]: contains all the substance of a twinkie -- easy to swallow , but scarcely nourishing .<SPLIT>[[[[Label_7]]]]: [[negative]]","[[[[Sentence]]]]: weighty and ponderous but every bit as filling as the treat of the title .<SPLIT>[[[[Example_0]]]]: portentous and pretentious , the weight of water is appropriately titled , given the heavy-handedness of it drama .<SPLIT>[[[[Label_0]]]]: [[positive]]<SPLIT>[[[[Example_1]]]]: may lack the pungent bite of its title , but it's an enjoyable trifle nonetheless .<SPLIT>[[[[Label_1]]]]: [[negative]]<SPLIT>[[[[Example_2]]]]: lightweight but appealing .<SPLIT>[[[[Label_2]]]]: positive<SPLIT>[[[[Example_3]]]]: as befits its title , this pg-13-rated piffle is ultimately as threatening as the snuggle fabric softener bear .<SPLIT>[[[[Label_3]]]]: [[positive]]<SPLIT>[[[[Example_4]]]]: exactly what its title implies : lusty , boisterous and utterly charming .<SPLIT>[[[[Label_4]]]]: [[negative]]<SPLIT>[[[[Example_5]]]]: it's a square , sentimental drama that satisfies , as comfort food often can .<SPLIT>[[[[Label_5]]]]: positive<SPLIT>[[[[Example_6]]]]: while this film is not in the least surprising , it is still ultimately very satisfying . think of it as a sort of comfort food for the mind .<SPLIT>[[[[Label_6]]]]: [[negative]]<SPLIT>[[[[Example_7]]]]: contains all the substance of a twinkie -- easy to swallow , but scarcely nourishing .<SPLIT>[[[[Label_7]]]]: [[positive]]",0.0179862380027771,0.34864509105682373,1,1,1,27,"Failed"
"[[[[Sentence]]]]: a real audience-pleaser that will strike a chord with anyone who's ever waited in a doctor's office , emergency room , hospital bed or insurance company office .<SPLIT>[[[[Example_0]]]]: a movie that will touch the hearts of both children and adults , as well as bring audiences to the edge of their seats .<SPLIT>[[[[Label_0]]]]: positive<SPLIT>[[[[Example_1]]]]: it's a sweet , laugh-a-minute crowd pleaser that lifts your spirits as well as the corners of your mouth .<SPLIT>[[[[Label_1]]]]: positive<SPLIT>[[[[Example_2]]]]: a sensitive and expertly acted crowd-pleaser that isn't above a little broad comedy and a few unabashedly sentimental tears .<SPLIT>[[[[Label_2]]]]: positive<SPLIT>[[[[Example_3]]]]: a by-the-numbers patient/doctor pic that covers all the usual ground<SPLIT>[[[[Label_3]]]]: [[negative]]<SPLIT>[[[[Example_4]]]]: though mama takes a bit too long to find its rhythm and a third-act plot development is somewhat melodramatic , its ribald humor and touching nostalgia are sure to please anyone in search of a jules and jim for the new millennium .<SPLIT>[[[[Label_4]]]]: positive<SPLIT>[[[[Example_5]]]]: full of profound , real-life moments that anyone can relate to , it deserves a wide audience .<SPLIT>[[[[Label_5]]]]: positive<SPLIT>[[[[Example_6]]]]: although it bangs a very cliched drum at times , this crowd-pleaser's fresh dialogue , energetic music , and good-natured spunk are often infectious .<SPLIT>[[[[Label_6]]]]: positive<SPLIT>[[[[Example_7]]]]: a heroic tale of persistence that is sure to win viewers' hearts .<SPLIT>[[[[Label_7]]]]: [[positive]]","[[[[Sentence]]]]: a real audience-pleaser that will strike a chord with anyone who's ever waited in a doctor's office , emergency room , hospital bed or insurance company office .<SPLIT>[[[[Example_0]]]]: a movie that will touch the hearts of both children and adults , as well as bring audiences to the edge of their seats .<SPLIT>[[[[Label_0]]]]: positive<SPLIT>[[[[Example_1]]]]: it's a sweet , laugh-a-minute crowd pleaser that lifts your spirits as well as the corners of your mouth .<SPLIT>[[[[Label_1]]]]: positive<SPLIT>[[[[Example_2]]]]: a sensitive and expertly acted crowd-pleaser that isn't above a little broad comedy and a few unabashedly sentimental tears .<SPLIT>[[[[Label_2]]]]: positive<SPLIT>[[[[Example_3]]]]: a by-the-numbers patient/doctor pic that covers all the usual ground<SPLIT>[[[[Label_3]]]]: [[positive]]<SPLIT>[[[[Example_4]]]]: though mama takes a bit too long to find its rhythm and a third-act plot development is somewhat melodramatic , its ribald humor and touching nostalgia are sure to please anyone in search of a jules and jim for the new millennium .<SPLIT>[[[[Label_4]]]]: positive<SPLIT>[[[[Example_5]]]]: full of profound , real-life moments that anyone can relate to , it deserves a wide audience .<SPLIT>[[[[Label_5]]]]: positive<SPLIT>[[[[Example_6]]]]: although it bangs a very cliched drum at times , this crowd-pleaser's fresh dialogue , energetic music , and good-natured spunk are often infectious .<SPLIT>[[[[Label_6]]]]: positive<SPLIT>[[[[Example_7]]]]: a heroic tale of persistence that is sure to win viewers' hearts .<SPLIT>[[[[Label_7]]]]: [[negative]]",0.008577525615692139,0.16451644897460938,1,1,1,8,"Failed"
"[[[[Sentence]]]]: generates an enormous feeling of empathy for its characters .<SPLIT>[[[[Example_0]]]]: it's a familiar story , but one that is presented with great sympathy and intelligence .<SPLIT>[[[[Label_0]]]]: positive<SPLIT>[[[[Example_1]]]]: the actors are so terrific at conveying their young angst , we do indeed feel for them .<SPLIT>[[[[Label_1]]]]: positive<SPLIT>[[[[Example_2]]]]: it's a wonderful , sobering , heart-felt drama .<SPLIT>[[[[Label_2]]]]: positive<SPLIT>[[[[Example_3]]]]: [reaches] wholly believable and heart-wrenching depths of despair .<SPLIT>[[[[Label_3]]]]: positive<SPLIT>[[[[Example_4]]]]: . . . creates a visceral sense of its characters' lives and conflicted emotions that carries it far above . . . what could have been a melodramatic , lifetime channel-style anthology .<SPLIT>[[[[Label_4]]]]: positive<SPLIT>[[[[Example_5]]]]: genuinely touching because it's realistic about all kinds of love .<SPLIT>[[[[Label_5]]]]: positive<SPLIT>[[[[Example_6]]]]: you can feel the heat that ignites this gripping tale , and the humor and humanity that root it in feeling .<SPLIT>[[[[Label_6]]]]: positive<SPLIT>[[[[Example_7]]]]: a mix of gritty realism , crisp storytelling and radiant compassion that effortlessly draws you in .<SPLIT>[[[[Label_7]]]]: positive","[[[[Sentence]]]]: generates an enormous feeling of empathy for its characters .<SPLIT>[[[[Example_0]]]]: it's a familiar story , but one that is presented with great sympathy and intelligence .<SPLIT>[[[[Label_0]]]]: positive<SPLIT>[[[[Example_1]]]]: the actors are so terrific at conveying their young angst , we do indeed feel for them .<SPLIT>[[[[Label_1]]]]: positive<SPLIT>[[[[Example_2]]]]: it's a wonderful , sobering , heart-felt drama .<SPLIT>[[[[Label_2]]]]: positive<SPLIT>[[[[Example_3]]]]: [reaches] wholly believable and heart-wrenching depths of despair .<SPLIT>[[[[Label_3]]]]: positive<SPLIT>[[[[Example_4]]]]: . . . creates a visceral sense of its characters' lives and conflicted emotions that carries it far above . . . what could have been a melodramatic , lifetime channel-style anthology .<SPLIT>[[[[Label_4]]]]: positive<SPLIT>[[[[Example_5]]]]: genuinely touching because it's realistic about all kinds of love .<SPLIT>[[[[Label_5]]]]: positive<SPLIT>[[[[Example_6]]]]: you can feel the heat that ignites this gripping tale , and the humor and humanity that root it in feeling .<SPLIT>[[[[Label_6]]]]: positive<SPLIT>[[[[Example_7]]]]: a mix of gritty realism , crisp storytelling and radiant compassion that effortlessly draws you in .<SPLIT>[[[[Label_7]]]]: positive",0.0010322332382202148,0.0010322332382202148,1,1,1,1,"Failed"
