"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"[[[[Sentence]]]]: they 're easy to use<SPLIT>[[[[Example_0]]]]: removable battery<SPLIT>[[[[Label_0]]]]: positive<SPLIT>[[[[Example_1]]]]: it ' s a great looking , easy to use device but it ' s the sound quality which is truly amazing far better than my sony mini disc player<SPLIT>[[[[Label_1]]]]: positive<SPLIT>[[[[Example_2]]]]: simple click buttons , back buttons volume and display are very easy to read , access and use<SPLIT>[[[[Label_2]]]]: positive<SPLIT>[[[[Example_3]]]]: the best 4 megapixel 4x optical zoom camera available and fairly easy to use<SPLIT>[[[[Label_3]]]]: positive","[[[[Sentence]]]]: they 're easy to use<SPLIT>[[[[Example_0]]]]: removable battery<SPLIT>[[[[Label_0]]]]: positive<SPLIT>[[[[Example_1]]]]: it ' s a great looking , easy to use device but it ' s the sound quality which is truly amazing far better than my sony mini disc player<SPLIT>[[[[Label_1]]]]: positive<SPLIT>[[[[Example_2]]]]: simple click buttons , back buttons volume and display are very easy to read , access and use<SPLIT>[[[[Label_2]]]]: positive<SPLIT>[[[[Example_3]]]]: the best 4 megapixel 4x optical zoom camera available and fairly easy to use<SPLIT>[[[[Label_3]]]]: positive",0.02931225299835205,0.02931225299835205,1,1,1,1,"Failed"
"[[[[Sentence]]]]: playlists can be generated on the fly ( which is a bit clunky but still a really nice bonus ) or by using the software , and there are a bevy of eq options<SPLIT>[[[[Example_0]]]]: the only minor nits i have with the camera are it is fairly boxy looking , it needs a wrist strap instead of a neck strap , and it is a bit slow between shots<SPLIT>[[[[Label_0]]]]: [[negative]]<SPLIT>[[[[Example_1]]]]: the controls are somewhat harder to use , and there are some oddities about the software tagging system , but most people can live with this<SPLIT>[[[[Label_1]]]]: [[negative]]<SPLIT>[[[[Example_2]]]]: the software that comes with it is amazing and the online service that comes free is really very neat clean clear and well focused on over 95 of all photos taken by a beginner<SPLIT>[[[[Label_2]]]]: [[positive]]<SPLIT>[[[[Example_3]]]]: also , the display is hinged and it can be placed in a myriad of positions , or to protect it against any damage<SPLIT>[[[[Label_3]]]]: [[positive]]","[[[[Sentence]]]]: playlists can be generated on the fly ( which is a bit clunky but still a really nice bonus ) or by using the software , and there are a bevy of eq options<SPLIT>[[[[Example_0]]]]: the only minor nits i have with the camera are it is fairly boxy looking , it needs a wrist strap instead of a neck strap , and it is a bit slow between shots<SPLIT>[[[[Label_0]]]]: [[positive]]<SPLIT>[[[[Example_1]]]]: the controls are somewhat harder to use , and there are some oddities about the software tagging system , but most people can live with this<SPLIT>[[[[Label_1]]]]: [[positive]]<SPLIT>[[[[Example_2]]]]: the software that comes with it is amazing and the online service that comes free is really very neat clean clear and well focused on over 95 of all photos taken by a beginner<SPLIT>[[[[Label_2]]]]: [[negative]]<SPLIT>[[[[Example_3]]]]: also , the display is hinged and it can be placed in a myriad of positions , or to protect it against any damage<SPLIT>[[[[Label_3]]]]: [[negative]]",0.16451644897460938,0.46879059076309204,1,1,1,6,"Failed"
"[[[[Sentence]]]]: simply , the canon g3 is the best digital camera out there today at this price point<SPLIT>[[[[Example_0]]]]: the standard battery include with the g3 is a camcorder battery that will allow me to take pictures all day without worrying about charging<SPLIT>[[[[Label_0]]]]: [[positive]]<SPLIT>[[[[Example_1]]]]: i got about 700 loaded up before it told me i was full , and at that point , i was ready to toss it out the window<SPLIT>[[[[Label_1]]]]: [[negative]]<SPLIT>[[[[Example_2]]]]: the canon computer software used to download , sort , upload and manage your digital pictures on the computer is very nice and very easy to use<SPLIT>[[[[Label_2]]]]: [[positive]]<SPLIT>[[[[Example_3]]]]: the cut outs for the controls is not thought out as there is too much material in the way to adequately access the controls , especially the scroll wheel<SPLIT>[[[[Label_3]]]]: [[negative]]","[[[[Sentence]]]]: simply , the canon g3 is the best digital camera out there today at this price point<SPLIT>[[[[Example_0]]]]: the standard battery include with the g3 is a camcorder battery that will allow me to take pictures all day without worrying about charging<SPLIT>[[[[Label_0]]]]: [[negative]]<SPLIT>[[[[Example_1]]]]: i got about 700 loaded up before it told me i was full , and at that point , i was ready to toss it out the window<SPLIT>[[[[Label_1]]]]: [[positive]]<SPLIT>[[[[Example_2]]]]: the canon computer software used to download , sort , upload and manage your digital pictures on the computer is very nice and very easy to use<SPLIT>[[[[Label_2]]]]: [[negative]]<SPLIT>[[[[Example_3]]]]: the cut outs for the controls is not thought out as there is too much material in the way to adequately access the controls , especially the scroll wheel<SPLIT>[[[[Label_3]]]]: [[positive]]",0.0017006993293762207,0.2018132209777832,1,1,1,6,"Failed"
"[[[[Sentence]]]]: multimedia functions are enhanced by multi slide mms messages and a gallery for organizing digital content captured or downloaded with the phone<SPLIT>[[[[Example_0]]]]: the log functions helps you track down the incoming , outgoing calls in the most easy of ways<SPLIT>[[[[Label_0]]]]: positive<SPLIT>[[[[Example_1]]]]: 20 gb or 40 gb ? the pros of the 40 gb comes with a dock station and double storage space ( 10 , 000 songs )<SPLIT>[[[[Label_1]]]]: positive<SPLIT>[[[[Example_2]]]]: there are 2 things that need fixing first is the battery life it will run for 6 hrs without problems with medium usage of the buttons<SPLIT>[[[[Label_2]]]]: [[negative]]<SPLIT>[[[[Example_3]]]]: after getting one for christmas from amazon , i ' m now a believer the digital elph is truly the world ' s smallest digital camera that shoots great pictures<SPLIT>[[[[Label_3]]]]: [[positive]]","[[[[Sentence]]]]: multimedia functions are enhanced by multi slide mms messages and a gallery for organizing digital content captured or downloaded with the phone<SPLIT>[[[[Example_0]]]]: the log functions helps you track down the incoming , outgoing calls in the most easy of ways<SPLIT>[[[[Label_0]]]]: positive<SPLIT>[[[[Example_1]]]]: 20 gb or 40 gb ? the pros of the 40 gb comes with a dock station and double storage space ( 10 , 000 songs )<SPLIT>[[[[Label_1]]]]: positive<SPLIT>[[[[Example_2]]]]: there are 2 things that need fixing first is the battery life it will run for 6 hrs without problems with medium usage of the buttons<SPLIT>[[[[Label_2]]]]: [[positive]]<SPLIT>[[[[Example_3]]]]: after getting one for christmas from amazon , i ' m now a believer the digital elph is truly the world ' s smallest digital camera that shoots great pictures<SPLIT>[[[[Label_3]]]]: [[negative]]",0.09534949064254761,0.32082128524780273,1,1,1,4,"Failed"
"[[[[Sentence]]]]: oh , and another is the cool halo light that surrounds the touch pad , and light 's up when you touch the screen , and how the light glows when the zen is connected to the computer<SPLIT>[[[[Example_0]]]]: the first night i got this phone i put it next to me when i went to bed just to listen to my favorite music station and the handset itself doesnt weight anything its too light and feel so comfy with it<SPLIT>[[[[Label_0]]]]: positive<SPLIT>[[[[Example_1]]]]: if you bring up an album , but absolutely hate some of the tracks , the zen will allow you to delete that from the playing order<SPLIT>[[[[Label_1]]]]: positive<SPLIT>[[[[Example_2]]]]: all the buttons necessary lil ' gadgets are on the sides of the player which is nice for when you are holding it in the palm of your hand<SPLIT>[[[[Label_2]]]]: [[positive]]<SPLIT>[[[[Example_3]]]]: when we tried to hook up the first one , it was broken the motor would not eject discs or close the door<SPLIT>[[[[Label_3]]]]: [[negative]]","[[[[Sentence]]]]: oh , and another is the cool halo light that surrounds the touch pad , and light 's up when you touch the screen , and how the light glows when the zen is connected to the computer<SPLIT>[[[[Example_0]]]]: the first night i got this phone i put it next to me when i went to bed just to listen to my favorite music station and the handset itself doesnt weight anything its too light and feel so comfy with it<SPLIT>[[[[Label_0]]]]: positive<SPLIT>[[[[Example_1]]]]: if you bring up an album , but absolutely hate some of the tracks , the zen will allow you to delete that from the playing order<SPLIT>[[[[Label_1]]]]: positive<SPLIT>[[[[Example_2]]]]: all the buttons necessary lil ' gadgets are on the sides of the player which is nice for when you are holding it in the palm of your hand<SPLIT>[[[[Label_2]]]]: [[negative]]<SPLIT>[[[[Example_3]]]]: when we tried to hook up the first one , it was broken the motor would not eject discs or close the door<SPLIT>[[[[Label_3]]]]: [[positive]]",0.0028009414672851562,0.10669058561325073,1,1,1,4,"Failed"
"[[[[Sentence]]]]: i 'd say that this camera is perfect<SPLIT>[[[[Example_0]]]]: they say that they are the best pictures they have ever see from a compact<SPLIT>[[[[Label_0]]]]: [[positive]]<SPLIT>[[[[Example_1]]]]: the colors on the screen are not as crisp as i ' d have liked them to be<SPLIT>[[[[Label_1]]]]: [[negative]]<SPLIT>[[[[Example_2]]]]: multiple users on one machine never seemed to behave like you ' d expect<SPLIT>[[[[Label_2]]]]: [[negative]]<SPLIT>[[[[Example_3]]]]: the camera ' s a work of art science that ' s understood<SPLIT>[[[[Label_3]]]]: [[positive]]","[[[[Sentence]]]]: i 'd say that this camera is perfect<SPLIT>[[[[Example_0]]]]: they say that they are the best pictures they have ever see from a compact<SPLIT>[[[[Label_0]]]]: [[negative]]<SPLIT>[[[[Example_1]]]]: the colors on the screen are not as crisp as i ' d have liked them to be<SPLIT>[[[[Label_1]]]]: [[positive]]<SPLIT>[[[[Example_2]]]]: multiple users on one machine never seemed to behave like you ' d expect<SPLIT>[[[[Label_2]]]]: [[positive]]<SPLIT>[[[[Example_3]]]]: the camera ' s a work of art science that ' s understood<SPLIT>[[[[Label_3]]]]: [[negative]]",0.02033233642578125,0.2227001190185547,1,1,1,6,"Failed"
"[[[[Sentence]]]]: this is the best phone i have seen<SPLIT>[[[[Example_0]]]]: i have not had any distortion problems with this phone and am more pleased with this phone than any i ' ve used before<SPLIT>[[[[Label_0]]]]: positive<SPLIT>[[[[Example_1]]]]: i would have given this phone 5 stars if it wasn ' t for the fact that i would rather use my 3330 to do all the most common things you do with a phone<SPLIT>[[[[Label_1]]]]: positive<SPLIT>[[[[Example_2]]]]: i was some what sceptically when i seen the price deference between the other makers of comparable hp<SPLIT>[[[[Label_2]]]]: [[negative]]<SPLIT>[[[[Example_3]]]]: especially the lcd is big and the camera quality is among the very best around<SPLIT>[[[[Label_3]]]]: [[positive]]","[[[[Sentence]]]]: this is the best phone i have seen<SPLIT>[[[[Example_0]]]]: i have not had any distortion problems with this phone and am more pleased with this phone than any i ' ve used before<SPLIT>[[[[Label_0]]]]: positive<SPLIT>[[[[Example_1]]]]: i would have given this phone 5 stars if it wasn ' t for the fact that i would rather use my 3330 to do all the most common things you do with a phone<SPLIT>[[[[Label_1]]]]: positive<SPLIT>[[[[Example_2]]]]: i was some what sceptically when i seen the price deference between the other makers of comparable hp<SPLIT>[[[[Label_2]]]]: [[positive]]<SPLIT>[[[[Example_3]]]]: especially the lcd is big and the camera quality is among the very best around<SPLIT>[[[[Label_3]]]]: [[negative]]",0.04208773374557495,0.16451644897460938,1,1,1,4,"Failed"
"[[[[Sentence]]]]: this one has a good looking<SPLIT>[[[[Example_0]]]]: seriously , this thing has everything that a pro or expert amateur could want<SPLIT>[[[[Label_0]]]]: positive<SPLIT>[[[[Example_1]]]]: the nokia 6600 is a great phone , good games , good camera<SPLIT>[[[[Label_1]]]]: positive<SPLIT>[[[[Example_2]]]]: one good thing , it is 40 gb of disk space ( well , it is 38 gb in reality )<SPLIT>[[[[Label_2]]]]: positive<SPLIT>[[[[Example_3]]]]: it has several play options , one of the best is an option to shuffle , based on all or a certain playlist<SPLIT>[[[[Label_3]]]]: positive","[[[[Sentence]]]]: this one has a good looking<SPLIT>[[[[Example_0]]]]: seriously , this thing has everything that a pro or expert amateur could want<SPLIT>[[[[Label_0]]]]: positive<SPLIT>[[[[Example_1]]]]: the nokia 6600 is a great phone , good games , good camera<SPLIT>[[[[Label_1]]]]: positive<SPLIT>[[[[Example_2]]]]: one good thing , it is 40 gb of disk space ( well , it is 38 gb in reality )<SPLIT>[[[[Label_2]]]]: positive<SPLIT>[[[[Example_3]]]]: it has several play options , one of the best is an option to shuffle , based on all or a certain playlist<SPLIT>[[[[Label_3]]]]: positive",0.04742586612701416,0.04742586612701416,1,1,1,1,"Failed"
"[[[[Sentence]]]]: they made the other end of the camera flat so you can put the camera upright on a flat surface if you don 't like to take the usual horizontal pictures using the self timer<SPLIT>[[[[Example_0]]]]: if you are looking for a small camera to throw in your pocket , take great pics and video , get the sd500<SPLIT>[[[[Label_0]]]]: [[positive]]<SPLIT>[[[[Example_1]]]]: the back of the ipod is in a chrome finish , and this surface is prone to scratches<SPLIT>[[[[Label_1]]]]: [[negative]]<SPLIT>[[[[Example_2]]]]: battery compared to the other players on the market , the ipod has one of the worst batteries around<SPLIT>[[[[Label_2]]]]: [[negative]]<SPLIT>[[[[Example_3]]]]: it ' s the same body as the popular elp2 aps camera ( take a look at a standard credit card from your wallet and you ' ll have an idea of the front profile ! )<SPLIT>[[[[Label_3]]]]: [[positive]]","[[[[Sentence]]]]: they made the other end of the camera flat so you can put the camera upright on a flat surface if you don 't like to take the usual horizontal pictures using the self timer<SPLIT>[[[[Example_0]]]]: if you are looking for a small camera to throw in your pocket , take great pics and video , get the sd500<SPLIT>[[[[Label_0]]]]: [[negative]]<SPLIT>[[[[Example_1]]]]: the back of the ipod is in a chrome finish , and this surface is prone to scratches<SPLIT>[[[[Label_1]]]]: [[positive]]<SPLIT>[[[[Example_2]]]]: battery compared to the other players on the market , the ipod has one of the worst batteries around<SPLIT>[[[[Label_2]]]]: [[positive]]<SPLIT>[[[[Example_3]]]]: it ' s the same body as the popular elp2 aps camera ( take a look at a standard credit card from your wallet and you ' ll have an idea of the front profile ! )<SPLIT>[[[[Label_3]]]]: [[negative]]",0.04742586612701416,0.32082128524780273,1,1,1,6,"Failed"
"[[[[Sentence]]]]: don 't care about sunlight it 's tft<SPLIT>[[[[Example_0]]]]: but it wouldn ' t let me turn the av protection back on and it wouldn ' t stop with the alerts<SPLIT>[[[[Label_0]]]]: [[negative]]<SPLIT>[[[[Example_1]]]]: it doesn ' t bog down under load<SPLIT>[[[[Label_1]]]]: [[positive]]<SPLIT>[[[[Example_2]]]]: i ' m staying with sprint , and though i fear that their csr is n ' t nearly as good as t mobile ' s , the clarity of their reception is exceptional<SPLIT>[[[[Label_2]]]]: [[positive]]<SPLIT>[[[[Example_3]]]]: i try navigating using the player ' s built in menu , and it still would n ' t work !<SPLIT>[[[[Label_3]]]]: [[negative]]","[[[[Sentence]]]]: don 't care about sunlight it 's tft<SPLIT>[[[[Example_0]]]]: but it wouldn ' t let me turn the av protection back on and it wouldn ' t stop with the alerts<SPLIT>[[[[Label_0]]]]: [[positive]]<SPLIT>[[[[Example_1]]]]: it doesn ' t bog down under load<SPLIT>[[[[Label_1]]]]: [[negative]]<SPLIT>[[[[Example_2]]]]: i ' m staying with sprint , and though i fear that their csr is n ' t nearly as good as t mobile ' s , the clarity of their reception is exceptional<SPLIT>[[[[Label_2]]]]: [[negative]]<SPLIT>[[[[Example_3]]]]: i try navigating using the player ' s built in menu , and it still would n ' t work !<SPLIT>[[[[Label_3]]]]: [[positive]]",0.10669058561325073,0.32082128524780273,1,1,1,6,"Failed"
