"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"how far is it from denver to aspen ?","how far is it from denver to aspen ?",0.7596336007118225,0.7596336007118225,4,4,5,1,"Skipped"
"what [[county]] is modesto , california in ?","what [[of]] is modesto , california in ?",0.04078078269958496,0.8618572950363159,4,2,4,25,"Successful"
"who was galileo ?","who was galileo ?",0.3197636604309082,0.3197636604309082,3,3,3,2,"Failed"
"what is an [[atom]] ?","what is an [[atoms]] ?",0.26459622383117676,0.6590675115585327,2,0,2,3,"Successful"
"when did hawaii become a state ?","when did hawaii become a state ?",0.9614573121070862,0.9614573121070862,2,2,5,1,"Skipped"
"how tall is the sears building ?","how tall is the sears building ?",0.7660147547721863,0.7660147547721863,0,0,5,1,"Skipped"
"george bush purchased a small interest in which baseball team ?","george bush purchased a small interest in which baseball team ?",0.958892285823822,0.958892285823822,1,1,3,1,"Skipped"
"what is australia 's national [[flower]] ?","what is australia 's national [[flowering]] ?",0.4349682927131653,0.7465019822120667,1,0,1,15,"Successful"
"why does the [[moon]] turn orange ?","why does the [[planet]] turn orange ?",0.21282035112380981,0.2984037399291992,2,2,2,9,"Failed"
"what is autism ?","what is autism ?",0.2506367564201355,0.2506367564201355,2,2,2,2,"Failed"
"what [[city]] had a world fair in 1900 ?","what [[local]] had a world fair in 1900 ?",0.06762880086898804,0.7063882350921631,4,1,4,26,"Successful"
"what person 's head is on a dime ?","what person 's head is on a dime ?",0.888326108455658,0.888326108455658,1,1,3,1,"Skipped"
"what is the average weight of a yellow [[labrador]] ?","what is the average weight of a yellow [[hound]] ?",0.2341863512992859,0.7304149866104126,5,1,5,14,"Successful"
"who was the first man to [[fly]] across the [[pacific]] ocean ?","who was the first man to [[hop]] across the [[the]] ocean ?",0.1317155361175537,0.4155213236808777,3,3,3,57,"Failed"
"when did idaho become a state ?","when did idaho become a state ?",0.9607585668563843,0.9607585668563843,4,4,5,1,"Skipped"
"what is the [[life]] expectancy for crickets ?","what is the [[the]] expectancy for crickets ?",0.05660182237625122,0.8892631530761719,5,0,5,44,"Successful"
"what metal has the highest melting point ?","what metal has the highest melting point ?",0.8789535760879517,0.8789535760879517,0,0,1,1,"Skipped"
"who [[developed]] the vaccination against polio ?","who [[develops]] the vaccination against polio ?",0.25344258546829224,0.7808147668838501,3,1,3,51,"Successful"
"what is epilepsy ?","what is epilepsy ?",0.44649529457092285,0.44649529457092285,2,2,2,2,"Failed"
"what [[year]] did the titanic sink ?","what [[when]] did the titanic sink ?",0.6225563287734985,0.9838540554046631,5,2,5,36,"Successful"
"who was the first american to walk in [[space]] ?","who was the first american to walk in [[the]] ?",0.11130380630493164,0.7941601872444153,3,1,3,33,"Successful"
"what is a biosphere ?","what is a biosphere ?",0.2485973834991455,0.2485973834991455,2,2,2,2,"Failed"
"what river in the us is known as the big [[muddy]] ?","what river in the us is known as the big [[right]] ?",0.34487462043762207,0.7118357419967651,4,1,4,48,"Successful"
"what is bipolar [[disorder]] ?","what is bipolar [[of]] ?",0.386884868144989,0.878580629825592,2,0,2,40,"Successful"
"what is cholesterol ?","what is cholesterol ?",0.40149784088134766,0.40149784088134766,2,2,2,2,"Failed"
"who developed the macintosh [[computer]] ?","who developed the macintosh [[pc]] ?",0.5935145616531372,0.7574943900108337,3,1,3,47,"Successful"
