"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"it 's a [[charming]] and often affecting [[journey]] . ","it 's a [[leggy]] and often affecting [[ikea]] . ",0.11843770742416382,0.36787664890289307,1,1,1,64,"Failed"
"unflinchingly bleak and desperate ","unflinchingly bleak and desperate ",0.5577507019042969,0.5577507019042969,1,1,0,1,"Skipped"
"allows us to [[hope]] that nolan is poised to embark a major career as a commercial yet [[inventive]] [[filmmaker]] . ","allows us to [[expects]] that nolan is poised to embark a major career as a commercial yet [[imaginary]] [[cinematographers]] . ",0.11843770742416382,0.2573782801628113,1,1,1,60,"Failed"
"the [[acting]] , costumes , music , cinematography and sound are all [[astounding]] given the [[production]] 's austere locales . ","the [[behaving]] , costumes , music , cinematography and sound are all [[breathless]] given the [[fecund]] 's austere locales . ",0.10637140274047852,0.23537194728851318,1,1,1,44,"Failed"
"it 's slow -- very , very [[slow]] . ","it 's slow -- very , very [[lento]] . ",0.23537194728851318,0.3020325303077698,0,0,0,12,"Failed"
"although laced with [[humor]] and a few fanciful touches , the film is a [[refreshingly]] serious look at young women . ","although laced with [[amusing]] and a few fanciful touches , the film is a [[blithely]] serious look at young women . ",0.21106886863708496,0.5060781240463257,1,0,1,59,"Successful"
"a sometimes [[tedious]] film . ","a sometimes [[uphill]] film . ",0.32586669921875,0.6864060163497925,0,1,0,33,"Successful"
"or doing last year 's taxes with your ex-wife . ","or doing last year 's taxes with your ex-wife . ",0.5092024207115173,0.5092024207115173,1,1,0,1,"Skipped"
"you [[do]] n't have to [[know]] about music to appreciate the [[film]] 's easygoing blend of comedy and romance . ","you [[ai]] n't have to [[knowthat]] about music to appreciate the [[theatre]] 's easygoing blend of comedy and romance . ",0.1614505648612976,0.34101665019989014,1,1,1,66,"Failed"
"in [[exactly]] 89 minutes , most of which [[passed]] as [[slowly]] as if i 'd been sitting [[naked]] on an [[igloo]] , formula 51 sank from quirky to jerky to utter turkey . ","in [[scrupulously]] 89 minutes , most of which [[elapsed]] as [[softly]] as if i 'd been sitting [[bare]] on an [[igloos]] , formula 51 sank from quirky to jerky to utter turkey . ",0.27891606092453003,0.4806893467903137,0,0,0,97,"Failed"
"the mesmerizing [[performances]] of the [[leads]] keep the film grounded and keep the audience [[riveted]] . ","the mesmerizing [[concerts]] of the [[leeds]] keep the film grounded and keep the audience [[mystified]] . ",0.07627952098846436,0.17816007137298584,1,1,1,42,"Failed"
"it takes a strange kind of laziness to [[waste]] the talents of robert forster , anne meara , eugene levy , and reginald veljohnson all in the same [[movie]] . ","it takes a strange kind of laziness to [[refuse]] the talents of robert forster , anne meara , eugene levy , and reginald veljohnson all in the same [[film]] . ",0.27891606092453003,0.5107899904251099,0,1,0,63,"Successful"
"... the film suffers from a lack of [[humor]] ( something needed to balance out the [[violence]] ) ... ","... the film suffers from a lack of [[droll]] ( something needed to balance out the [[assault]] ) ... ",0.3020325303077698,0.5066158175468445,0,1,0,27,"Successful"
"we [[root]] for ( clara and paul ) , even like them , though [[perhaps]] it 's an emotion [[closer]] to pity . ","we [[background]] for ( clara and paul ) , even like them , though [[possibly]] it 's an emotion [[shutting]] to pity . ",0.2751163840293884,0.5066235065460205,1,0,1,58,"Successful"
"even horror fans will most likely not find what they 're seeking with trouble every day ; the movie [[lacks]] both thrills and humor . ","even horror fans will most likely not find what they 're seeking with trouble every day ; the movie [[absenteeism]] both thrills and humor . ",0.17816007137298584,0.545787513256073,0,1,0,39,"Successful"
"a [[gorgeous]] , high-spirited [[musical]] from india that [[exquisitely]] blends music , dance , song , and high drama . ","a [[beaux]] , high-spirited [[music]] from india that [[brightly]] blends music , dance , song , and high drama . ",0.10637134313583374,0.19606798887252808,1,1,1,101,"Failed"
"the [[emotions]] are [[raw]] and will [[strike]] a nerve with anyone who 's ever had family trauma . ","the [[emotion]] are [[crude]] and will [[bombings]] a nerve with anyone who 's ever had family trauma . ",0.145940363407135,0.5491325259208679,1,0,1,57,"Successful"
"audrey tatou [[has]] a [[knack]] for picking roles that [[magnify]] her outrageous [[charm]] , and in this literate french [[comedy]] , she 's as morning-glory exuberant as she was in amélie . ","audrey tatou [[ai]] a [[donated]] for picking roles that [[increase]] her outrageous [[attractiveness]] , and in this literate french [[travesty]] , she 's as morning-glory exuberant as she was in amélie . ",0.1316131353378296,0.5401185750961304,1,0,1,119,"Successful"
"... the [[movie]] is just a plain old monster . ","... the [[theater]] is just a plain old monster . ",0.33827054500579834,0.6350644826889038,0,1,0,29,"Successful"
