"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"[[[[Premise]]]]: the new rights are nice enough<SPLIT>[[[[Hypothesis]]]]: everyone really likes the newest benefits ","[[[[Premise]]]]: the new rights are nice enough<SPLIT>[[[[Hypothesis]]]]: everyone really likes the newest benefits ",0.7003734707832336,0.7003734707832336,0,0,1,1,"Skipped"
"[[[[Premise]]]]: this site includes a list of all award winners and a searchable database of government executive articles.<SPLIT>[[[[Hypothesis]]]]: the government executive [[articles]] housed on the [[website]] are not [[able]] to [[be]] [[searched]].","[[[[Premise]]]]: this site includes a list of all award winners and a searchable database of government executive articles.<SPLIT>[[[[Hypothesis]]]]: the government executive [[clauses]] housed on the [[homepage]] are not [[incapable]] to [[happen]] [[scoured]].",0.42578715085983276,0.624243438243866,2,2,2,87,"Failed"
"[[[[Premise]]]]: uh i don't know i i have mixed emotions about him uh sometimes i like him but at the same times i love to see somebody beat him<SPLIT>[[[[Hypothesis]]]]: i like him for the most part, but would still enjoy [[seeing]] someone beat him.","[[[[Premise]]]]: uh i don't know i i have mixed emotions about him uh sometimes i like him but at the same times i love to see somebody beat him<SPLIT>[[[[Hypothesis]]]]: i like him for the most part, but would still enjoy [[view]] someone beat him.",0.5134220123291016,0.651792585849762,0,2,0,22,"Successful"
"[[[[Premise]]]]: yeah i i think my favorite restaurant is always been the one closest  you know the closest as long as it's it meets the minimum criteria you know of good food<SPLIT>[[[[Hypothesis]]]]: my [[favorite]] [[restaurants]] are [[always]] at least a hundred miles away from my house. ","[[[[Premise]]]]: yeah i i think my favorite restaurant is always been the one closest  you know the closest as long as it's it meets the minimum criteria you know of good food<SPLIT>[[[[Hypothesis]]]]: my [[advisable]] [[catering]] are [[constantly]] at least a hundred miles away from my house. ",0.5247489809989929,0.6401325464248657,2,1,2,61,"Successful"
"[[[[Premise]]]]: i don't know um do you do a lot of camping<SPLIT>[[[[Hypothesis]]]]: i [[know]] exactly.","[[[[Premise]]]]: i don't know um do you do a lot of camping<SPLIT>[[[[Hypothesis]]]]: i [[do]] exactly.",0.5982366800308228,0.6634486317634583,2,0,2,22,"Successful"
"[[[[Premise]]]]: well that would be a help i wish they would do that here we have got so little landfill space left that we're going to run out before the end of this decade and it's really going to be<SPLIT>[[[[Hypothesis]]]]: we [[have]] plenty of [[space]] in the [[landfill]].","[[[[Premise]]]]: well that would be a help i wish they would do that here we have got so little landfill space left that we're going to run out before the end of this decade and it's really going to be<SPLIT>[[[[Hypothesis]]]]: we [[am]] plenty of [[spacecraft]] in the [[discharges]].",0.3503727316856384,0.5640460252761841,2,2,2,25,"Failed"
"[[[[Premise]]]]: yeah i know and i did that all through college and it worked too<SPLIT>[[[[Hypothesis]]]]: i did that all through college but it never worked ","[[[[Premise]]]]: yeah i know and i did that all through college and it worked too<SPLIT>[[[[Hypothesis]]]]: i did that all through college but it never worked ",0.5955291986465454,0.5955291986465454,0,0,2,1,"Skipped"
"[[[[Premise]]]]: calcutta seems to be the only other production center having any pretensions to artistic creativity at all, but ironically you're actually more likely to see the works of satyajit ray or mrinal sen shown in europe or north america than in india itself.<SPLIT>[[[[Hypothesis]]]]: most of mrinal sen's work can [[be]] found in european collections.","[[[[Premise]]]]: calcutta seems to be the only other production center having any pretensions to artistic creativity at all, but ironically you're actually more likely to see the works of satyajit ray or mrinal sen shown in europe or north america than in india itself.<SPLIT>[[[[Hypothesis]]]]: most of mrinal sen's work can [[se]] found in european collections.",0.6108625531196594,0.9471936225891113,1,2,1,22,"Successful"
"[[[[Premise]]]]: if that investor were willing to pay extra for the security of limited downside, she could buy put options with a strike price of $98, which would lock in her profit on the shares at $18, less whatever the options cost.<SPLIT>[[[[Hypothesis]]]]: the [[strike]] price could be $8.","[[[[Premise]]]]: if that investor were willing to pay extra for the security of limited downside, she could buy put options with a strike price of $98, which would lock in her profit on the shares at $18, less whatever the options cost.<SPLIT>[[[[Hypothesis]]]]: the [[walkout]] price could be $8.",0.5807710289955139,0.6401325464248657,2,0,2,24,"Successful"
"[[[[Premise]]]]: 3)  dare you rise to the occasion, like raskolnikov, and reject the petty rules that govern lesser men?<SPLIT>[[[[Hypothesis]]]]: would you rise up and defeaat all evil lords in the town?","[[[[Premise]]]]: 3)  dare you rise to the occasion, like raskolnikov, and reject the petty rules that govern lesser men?<SPLIT>[[[[Hypothesis]]]]: would you rise up and defeaat all evil lords in the town?",0.7073605060577393,0.7073605060577393,2,2,1,1,"Skipped"
