"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"it 's a [[charming]] and [[often]] affecting journey . ","it 's a [[dangerous]] and [[seldom]] affecting journey . ",0.0008041262626647949,0.7549149990081787,1,0,1,91,"Successful"
"unflinchingly bleak and desperate ","unflinchingly bleak and desperate ",0.5312093496322632,0.5312093496322632,1,1,0,1,"Skipped"
"allows [[us]] to hope that nolan is [[poised]] to embark a major career as a commercial yet inventive filmmaker . ","allows [[letters]] to hope that nolan is [[ineligible]] to embark a major career as a commercial yet inventive filmmaker . ",0.010986924171447754,0.2689414620399475,1,1,1,100,"Failed"
"the [[acting]] , costumes , music , cinematography and sound are all [[astounding]] [[given]] the production 's austere locales . ","the [[actor]] , costumes , music , cinematography and sound are all [[atouadequate]] [[against]] the production 's austere locales . ",0.0031726956367492676,0.43782347440719604,1,1,1,100,"Failed"
"it 's slow -- very , very [[slow]] . ","it 's slow -- very , very [[quick]] . ",0.14804714918136597,0.5312093496322632,0,1,0,45,"Successful"
"although laced with [[humor]] and a few fanciful touches , the film is a [[refreshingly]] serious look at young women . ","although laced with [[amusing]] and a few fanciful touches , the film is a [[refreshingsurprisingly]] serious look at young women . ",0.014063596725463867,0.08509904146194458,1,1,1,100,"Failed"
"a sometimes [[tedious]] film . ","a sometimes [[longlong]] film . ",0.13296425342559814,0.5926665663719177,0,1,0,51,"Successful"
"or doing last year 's taxes with your ex-wife . ","or doing last year 's taxes with your ex-wife . ",0.5621764659881592,0.5621764659881592,1,1,0,1,"Skipped"
"you do [[n't]] have to [[know]] about music to appreciate the film 's easygoing blend of comedy and romance . ","you do [[n'know]] have to [[wonder]] about music to appreciate the film 's easygoing blend of comedy and romance . ",0.0031726956367492676,0.08509904146194458,1,1,1,100,"Failed"
"in exactly 89 [[minutes]] , most of which passed as slowly as if i 'd been sitting naked on an igloo , formula 51 [[sank]] from quirky to jerky to utter turkey . ","in exactly 89 [[months]] , most of which passed as slowly as if i 'd been sitting naked on an igloo , formula 51 [[had]] from quirky to jerky to utter turkey . ",0.0179862380027771,0.2018132209777832,0,0,0,100,"Failed"
"the mesmerizing performances of the leads keep the film [[grounded]] and keep the audience [[riveted]] . ","the mesmerizing performances of the leads keep the film [[still]] and keep the audience [[swartsuspense]] . ",0.0015012025833129883,0.04742586612701416,1,1,1,100,"Failed"
"it [[takes]] a strange kind of laziness to waste the talents of robert forster , anne meara , eugene levy , and reginald veljohnson all in the same [[movie]] . ","it [[s]] a strange kind of laziness to waste the talents of robert forster , anne meara , eugene levy , and reginald veljohnson all in the same [[review]] . ",0.04742586612701416,0.32082128524780273,0,0,0,100,"Failed"
"... the film suffers from a lack of [[humor]] ( [[something]] needed to balance out the violence ) ... ","... the film suffers from a lack of [[length]] ( [[just]] needed to balance out the violence ) ... ",0.10669058561325073,0.5,0,0,0,100,"Failed"
