"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"how [[far]] is it from denver to [[aspen]] ?","how [[noticeably]] is it from denver to [[quiver]] ?",0.14427626132965088,0.5768418312072754,5,5,5,26,"Failed"
"what [[county]] is modesto , california in ?","what [[arrondissement]] is modesto , california in ?",0.10664713382720947,0.4503265619277954,4,4,4,20,"Failed"
"who was [[galileo]] ?","who was [[galilee]] ?",0.08128416538238525,0.14581799507141113,3,3,3,5,"Failed"
"what is an [[atom]] ?","what is an [[electrons]] ?",0.49289625883102417,0.6865602731704712,2,1,2,7,"Successful"
"when did [[hawaii]] become a state ?","when did [[honolulu]] become a state ?",0.3209514617919922,0.44026583433151245,5,5,5,7,"Failed"
"how [[tall]] is the sears building ?","how [[jacob]] is the sears building ?",0.07862460613250732,0.7146507501602173,5,2,5,11,"Successful"
"george bush purchased a small interest in which baseball [[team]] ?","george bush purchased a small interest in which baseball [[computer]] ?",0.3866370916366577,0.6084383130073547,3,1,3,24,"Successful"
"what is [[australia]] 's national flower ?","what is [[queensland]] 's national flower ?",0.601844847202301,0.7204896211624146,1,4,1,10,"Successful"
"why does the [[moon]] turn orange ?","why does the [[moun]] turn orange ?",0.28934943675994873,0.49287909269332886,2,2,2,15,"Failed"
"what is [[autism]] ?","what is [[asperger]] ?",0.4268309473991394,0.5668885111808777,2,2,2,4,"Failed"
"what [[city]] had a world [[fair]] in 1900 ?","what [[cities]] had a world [[equity]] in 1900 ?",0.14378076791763306,0.7148311138153076,4,3,4,37,"Successful"
"what [[person]] 's head is on a dime ?","what [[someone]] 's head is on a dime ?",0.13964933156967163,0.9407027959823608,3,0,3,18,"Successful"
"what is the average [[weight]] of a yellow [[labrador]] ?","what is the average [[brunt]] of a yellow [[pooch]] ?",0.008595764636993408,0.23148596286773682,5,5,5,37,"Failed"
"who was the first [[man]] to [[fly]] across the pacific ocean ?","who was the first [[dawg]] to [[hovering]] across the pacific ocean ?",0.04820239543914795,0.26257818937301636,3,3,3,68,"Failed"
"when did [[idaho]] become a state ?","when did [[missoula]] become a state ?",0.31115424633026123,0.5061482191085815,5,5,5,15,"Failed"
"what is the [[life]] expectancy for [[crickets]] ?","what is the [[inhabits]] expectancy for [[locust]] ?",0.014251351356506348,0.16905450820922852,5,5,5,24,"Failed"
"what metal has the highest melting point ?","what metal has the highest melting point ?",0.8584271669387817,0.8584271669387817,5,5,1,1,"Skipped"
"who developed the vaccination against [[polio]] ?","who developed the vaccination against [[mumps]] ?",0.06409728527069092,0.07067883014678955,3,3,3,8,"Failed"
"what is [[epilepsy]] ?","what is [[seizure]] ?",0.44412481784820557,0.5117754936218262,2,2,2,5,"Failed"
"what [[year]] did the titanic sink ?","what [[sunni]] did the titanic sink ?",0.056472182273864746,0.9450130462646484,5,3,5,14,"Successful"
"who was the first american to [[walk]] in [[space]] ?","who was the first american to [[parkway]] in [[satellites]] ?",0.040894925594329834,0.07057797908782959,3,3,3,21,"Failed"
"what is a [[biosphere]] ?","what is a [[ecosystems]] ?",0.3027661442756653,0.39567381143569946,2,2,2,4,"Failed"
"what [[river]] in the us is known as the big [[muddy]] ?","what [[revere]] in the us is known as the big [[lama]] ?",0.2678285241127014,0.8953155279159546,4,1,4,28,"Successful"
"what is bipolar [[disorder]] ?","what is bipolar [[annoyance]] ?",0.37706178426742554,0.6726810932159424,2,1,2,53,"Successful"
"what is cholesterol ?","what is cholesterol ?",0.5628833770751953,0.5628833770751953,2,2,2,6,"Failed"
"who [[developed]] the macintosh computer ?","who [[prepare]] the macintosh computer ?",0.086575448513031,0.23354852199554443,3,3,3,44,"Failed"
"what is [[caffeine]] ?","what is [[coffeemaker]] ?",0.43815869092941284,0.5927678346633911,2,1,2,6,"Successful"
"what imaginary line is halfway between the north and south poles ?","what imaginary line is halfway between the north and south poles ?",0.755003809928894,0.755003809928894,1,1,4,1,"Skipped"
"where is john wayne [[airport]] ?","where is john wayne [[airports]] ?",0.04658031463623047,0.09569072723388672,4,4,4,9,"Failed"
"what hemisphere is the [[philippines]] in ?","what hemisphere is the [[fei]] in ?",0.2656503915786743,0.7222681045532227,4,4,4,8,"Failed"
"what is the average speed of the [[horses]] at the kentucky [[derby]] ?","what is the average speed of the [[equine]] at the kentucky [[chester]] ?",0.006782710552215576,0.06843119859695435,5,5,5,20,"Failed"
"where are the rocky [[mountains]] ?","where are the rocky [[hillsides]] ?",0.0794374942779541,0.25345277786254883,4,4,4,16,"Failed"
"what are [[invertebrates]] ?","what are [[fishes]] ?",0.423896849155426,0.6893274784088135,2,1,2,8,"Successful"
"what is the [[temperature]] at the center of the earth ?","what is the [[heater]] at the center of the earth ?",0.02057051658630371,0.981687068939209,5,1,5,15,"Successful"
"when [[did]] john f. kennedy get elected as [[president]] ?","when [[would]] john f. kennedy get elected as [[wheelchair]] ?",0.31227171421051025,0.9126142263412476,5,1,5,48,"Successful"
"how [[old]] was elvis presley when he [[died]] ?","how [[immemorial]] was elvis presley when he [[kills]] ?",0.07570070028305054,0.7136667966842651,5,3,5,50,"Successful"
"where is the orinoco [[river]] ?","where is the orinoco [[revere]] ?",0.04341089725494385,0.19826406240463257,4,4,4,14,"Failed"
"how [[far]] is the service line from the net in tennis ?","how [[eminently]] is the service line from the net in tennis ?",0.030648887157440186,0.7421366572380066,5,0,5,22,"Successful"
"how much [[fiber]] should you have per [[day]] ?","how much [[fibers]] should you have per [[today]] ?",0.015617728233337402,0.0332830548286438,5,5,5,20,"Failed"
"how many great [[lakes]] are there ?","how many great [[lagos]] are there ?",0.05065882205963135,0.12547993659973145,5,5,5,9,"Failed"
"[[material]] called linen is made from what [[plant]] ?","[[hardware]] called linen is made from what [[installations]] ?",0.40753787755966187,0.5648990869522095,1,2,1,37,"Successful"
"what is teflon ?","what is teflon ?",0.2963373064994812,0.2963373064994812,2,2,2,2,"Failed"
"what is amitriptyline ?","what is amitriptyline ?",0.3984169363975525,0.3984169363975525,2,2,2,2,"Failed"
"what is a [[shaman]] ?","what is a [[witch]] ?",0.4831227660179138,0.6754193305969238,2,1,2,13,"Successful"
"what is the proper name for a female [[walrus]] ?","what is the proper name for a female [[evangelist]] ?",0.5019360780715942,0.8865799903869629,1,3,1,9,"Successful"
"what is a [[group]] of [[turkeys]] called ?","what is a [[bunches]] of [[ankara]] called ?",0.3979724049568176,0.6114660501480103,1,1,1,29,"Failed"
"how long did rip [[van]] winkle [[sleep]] ?","how long did rip [[pickup]] winkle [[dodo]] ?",0.06795090436935425,0.32668358087539673,5,5,5,27,"Failed"
"what are triglycerides ?","what are triglycerides ?",0.558904230594635,0.558904230594635,2,2,2,2,"Failed"
"how many liters in a [[gallon]] ?","how many liters in a [[liters]] ?",0.004148364067077637,0.05432671308517456,5,5,5,14,"Failed"
"what is the name of the chocolate [[company]] in san francisco ?","what is the name of the chocolate [[undertakings]] in san francisco ?",0.6465421915054321,0.8545942306518555,3,4,3,29,"Successful"
"what are [[amphibians]] ?","what are [[fishes]] ?",0.47968727350234985,0.6893274784088135,2,1,2,10,"Successful"
"who [[discovered]] x-rays ?","who [[seen]] x-rays ?",0.09458643198013306,0.5671415328979492,3,3,3,40,"Failed"
