"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"how far is it from [[denver]] to [[aspen]] ?","how far is it from [[dener]] to [[tremble]] ?",0.004348337650299072,0.594240665435791,5,5,5,30,"Failed"
"what county is [[modesto]] , california in ?","what county is [[modeso]] , california in ?",0.017280220985412598,0.934453547000885,4,1,4,18,"Successful"
"who was [[galileo]] ?","who was [[galilean]] ?",0.0516890287399292,0.9809260368347168,3,2,3,17,"Successful"
"what is an [[atom]] ?","what is an [[at]] [[om]] ?",0.026633918285369873,0.9989038705825806,2,3,2,14,"Successful"
"when did hawaii become a [[state]] ?","when did hawaii become a [[country]] ?",0.35787421464920044,0.757603645324707,5,2,5,16,"Successful"
"how [[tall]] is the sears building ?","how [[jacob]] is the sears building ?",0.11461484432220459,0.8303515911102295,5,2,5,15,"Successful"
"george bush purchased a [[small]] interest in which baseball team ?","george bush purchased a [[ѕmall]] interest in which baseball team ?",0.26272016763687134,0.9932747483253479,3,1,3,20,"Successful"
"what is australia 's national flower ?","what is australia 's national flower ?",0.9973849654197693,0.9973849654197693,4,4,1,1,"Skipped"
"why does the moon turn [[orange]] ?","why does the moon turn [[orɑnge]] ?",0.0032276511192321777,0.9869203567504883,2,3,2,18,"Successful"
"what is [[autism]] ?","what is [[asperger]] ?",0.034450531005859375,0.9978098273277283,2,3,2,16,"Successful"
"what city had a world fair in [[1900]] ?","what city had a world fair in [[190O]] ?",0.04372507333755493,0.9796653985977173,4,1,4,12,"Successful"
"what person 's [[head]] is on a dime ?","what person 's [[haed]] is on a dime ?",0.09434318542480469,0.9954932332038879,3,1,3,15,"Successful"
"what is the average weight of a [[yellow]] [[labrador]] ?","what is the average weight of a [[huang]] [[pomeranian]] ?",0.059026122093200684,0.3154076337814331,5,5,5,61,"Failed"
"who was the first man to fly [[across]] the pacific ocean ?","who was the first man to fly [[acroѕs]] the pacific ocean ?",0.03381985425949097,0.9473623037338257,3,2,3,20,"Successful"
"when did idaho become a [[state]] ?","when did idaho become a [[sta𝚝e]] ?",0.32454270124435425,0.6951676607131958,5,1,5,17,"Successful"
"what is the life [[expectancy]] for crickets ?","what is the life [[hoped]] for crickets ?",0.08239269256591797,0.9810166358947754,5,2,5,21,"Successful"
"what metal has the highest melting point ?","what metal has the highest melting point ?",0.9957243204116821,0.9957243204116821,2,2,1,1,"Skipped"
"who developed the [[vaccination]] against polio ?","who developed the [[vaccinations]] against polio ?",0.013806402683258057,0.9341159462928772,3,2,3,22,"Successful"
"what is [[epilepsy]] ?","what is [[epile]] [[psy]] ?",0.015582561492919922,0.9981271624565125,2,3,2,18,"Successful"
"what [[year]] did the titanic sink ?","what [[leto]] did the titanic sink ?",0.18715280294418335,0.942155659198761,5,3,5,15,"Successful"
"who was the first american to walk in [[space]] ?","who was the first american to walk in [[spatial]] ?",0.03585726022720337,0.9506644606590271,3,2,3,18,"Successful"
"what is a [[biosphere]] ?","what is a [[biospehre]] ?",0.05654174089431763,0.9949257373809814,2,4,2,19,"Successful"
"what river in the us is known as the [[big]] muddy ?","what river in the us is known as the [[bіg]] muddy ?",0.1878623366355896,0.9952625036239624,4,2,4,16,"Successful"
"what is bipolar [[disorder]] ?","what is bipolar [[upheaval]] ?",0.01316148042678833,0.9802862405776978,2,3,2,19,"Successful"
"what is [[cholesterol]] ?","what is [[choletserol]] ?",0.011840105056762695,0.9990555047988892,2,3,2,21,"Successful"
"who developed the [[macintosh]] computer ?","who developed the [[macintosհ]] computer ?",0.02096545696258545,0.9699982404708862,3,2,3,20,"Successful"
"what is [[caffeine]] ?","what is [[caffeinе]] ?",0.054062485694885254,0.9985036253929138,2,3,2,18,"Successful"
"what imaginary line is halfway between the [[north]] and south poles ?","what imaginary line is halfway between the [[ոorth]] and south poles ?",0.4561212658882141,0.9949538111686707,4,2,4,19,"Successful"
"where is john wayne [[airport]] ?","where is john wayne [[airpo]] [[rt]] ?",0.0023158788681030273,0.8725214600563049,4,2,4,19,"Successful"
"what hemisphere is the [[philippines]] in ?","what hemisphere is the [[filipinos]] in ?",0.40979915857315063,0.9811764359474182,4,2,4,21,"Successful"
"what is the average [[speed]] of the horses at the [[kentucky]] derby ?","what is the average [[seed]] of the horses at the [[kentuc𝒌y]] derby ?",0.02012532949447632,0.4724172353744507,5,5,5,34,"Failed"
"where are the rocky [[mountains]] ?","where are the rocky [[mountain]] ?",0.030395805835723877,0.9030539989471436,4,2,4,20,"Successful"
"what are [[invertebrates]] ?","what are [[inver𝚝ebrates]] ?",0.015752673149108887,0.9976223707199097,2,3,2,23,"Successful"
"what is the [[temperature]] at the center of the earth ?","what is the [[weather]] at the center of the earth ?",0.1089404821395874,0.9880267381668091,5,2,5,22,"Successful"
"when did john f. kennedy get elected as [[president]] ?","when did john f. kennedy get elected as [[chairwoman]] ?",0.3968145251274109,0.6953182220458984,5,2,5,24,"Successful"
"how [[old]] was elvis presley when he [[died]] ?","how [[antigua]] was elvis presley when he [[deid]] ?",0.14230632781982422,0.9252535104751587,5,2,5,26,"Successful"
"where is the orinoco [[river]] ?","where is the orinoco [[rievr]] ?",0.011063337326049805,0.8530087471008301,4,1,4,16,"Successful"
"how [[far]] is the service line from the net in tennis ?","how [[very]] is the service line from the net in tennis ?",0.01966935396194458,0.5820890665054321,5,2,5,15,"Successful"
"how much [[fiber]] should you have per [[day]] ?","how much [[fibeⲅ]] should you have per [[daу]] ?",0.03161555528640747,0.22062009572982788,5,5,5,27,"Failed"
"how many [[great]] lakes are there ?","how many [[grat]] lakes are there ?",0.017497897148132324,0.12049967050552368,5,5,5,16,"Failed"
"material called linen is made from what plant ?","material called linen is made from what plant ?",0.9943312406539917,0.9943312406539917,2,2,1,1,"Skipped"
