"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"how [[far]] is it from denver to aspen ?","how [[eminently]] is it from denver to aspen ?",0.4802359342575073,0.6015626788139343,5,3,5,20,"Successful"
"what county is modesto , [[california]] in ?","what county is modesto , [[californian]] in ?",0.12012887001037598,0.29877543449401855,4,4,4,6,"Failed"
"who was [[galileo]] ?","who was [[galilee]] ?",0.24853426218032837,0.509424090385437,3,3,3,5,"Failed"
"what is an [[atom]] ?","what is an [[neutron]] ?",0.2735332250595093,0.9925625324249268,2,3,2,7,"Successful"
"when did hawaii become a [[state]] ?","when did hawaii become a [[nation]] ?",0.24763745069503784,0.6943089365959167,5,2,5,14,"Successful"
"how [[tall]] is the sears building ?","how [[jacob]] is the sears building ?",0.23744219541549683,0.7175289392471313,5,2,5,11,"Successful"
"george bush purchased a small interest in which baseball team ?","george bush purchased a small interest in which baseball team ?",0.8238459825515747,0.8238459825515747,1,1,3,1,"Skipped"
"what is australia 's national [[flower]] ?","what is australia 's national [[bloomed]] ?",0.16652709245681763,0.9919701218605042,1,3,1,38,"Successful"
"why does the moon [[turn]] orange ?","why does the moon [[conversions]] orange ?",0.053131818771362305,0.9948188662528992,2,3,2,33,"Successful"
"what is [[autism]] ?","what is [[asperger]] ?",0.2767053246498108,0.491580605506897,2,2,2,4,"Failed"
"what city had a world [[fair]] in 1900 ?","what city had a world [[fairness]] in 1900 ?",0.11303442716598511,0.989461362361908,4,1,4,21,"Successful"
"what [[person]] 's head is on a dime ?","what [[everybody]] 's head is on a dime ?",0.44919824600219727,0.9909688830375671,3,0,3,18,"Successful"
"what is the [[average]] [[weight]] of a yellow labrador ?","what is the [[milieu]] [[clout]] of a yellow labrador ?",0.04475480318069458,0.8987894058227539,5,2,5,28,"Successful"
"who was the first man to [[fly]] across the pacific ocean ?","who was the first man to [[flee]] across the pacific ocean ?",0.20057827234268188,0.679607629776001,3,1,3,32,"Successful"
"when did idaho become a [[state]] ?","when did idaho become a [[nation]] ?",0.2505638599395752,0.7304601073265076,5,2,5,14,"Successful"
"what is the life [[expectancy]] for [[crickets]] ?","what is the life [[awaited]] for [[roaches]] ?",0.07044649124145508,0.9921267628669739,5,3,5,30,"Successful"
"what metal has the [[highest]] melting point ?","what metal has the [[greater]] melting point ?",0.2742197513580322,0.989862859249115,1,3,1,42,"Successful"
"who [[developed]] the vaccination against polio ?","who [[framed]] the vaccination against polio ?",0.22166186571121216,0.6697484850883484,3,1,3,44,"Successful"
"what is [[epilepsy]] ?","what is [[seizures]] ?",0.29891133308410645,0.9771279692649841,2,3,2,5,"Successful"
"what [[year]] did the titanic sink ?","what [[sunni]] did the titanic sink ?",0.1457812786102295,0.9944804310798645,5,3,5,14,"Successful"
"who was the first american to walk in [[space]] ?","who was the first american to walk in [[spacecraft]] ?",0.20567500591278076,0.6227409243583679,3,1,3,9,"Successful"
"what is a biosphere ?","what is a biosphere ?",0.2822335362434387,0.2822335362434387,2,2,2,4,"Failed"
"what river in the us is known as the big muddy ?","what river in the us is known as the big muddy ?",0.6013427972793579,0.6013427972793579,1,1,4,1,"Skipped"
"what is bipolar [[disorder]] ?","what is bipolar [[nuisance]] ?",0.18941980600357056,0.982672929763794,2,3,2,53,"Successful"
"what is [[cholesterol]] ?","what is [[hypertension]] ?",0.38147616386413574,0.9846993088722229,2,3,2,6,"Successful"
"who [[developed]] the macintosh computer ?","who [[framed]] the macintosh computer ?",0.2473500370979309,0.6508612632751465,3,1,3,44,"Successful"
"what is caffeine ?","what is caffeine ?",0.7322604656219482,0.7322604656219482,1,1,2,1,"Skipped"
