Shots,Method,Clean,TextBugger,TextFooler,Bert-Attack,Demonstration,Swap-Labels,Swap-Labels (Fix),Irrelevant 
m=2,ICL,94.65 ± 0.85,57.57 ± 2.14,49.81 ± 0.96,25.46 ± 0.35,8.33 ± 6.72,83.03 ± 8.15,52.33 ± 4.14,
,$k$NN-ICL,88.3 ± 7.85,49.08 ± 2.88,47.17 ± 1.15,33.29 ± 6.29,34.15 ± 2.17,60.18 ± 3.98,55.28 ± 1.89,
,$\text{R}_{\text{BM25}}$-ICL,51.83,43.12,44.04,36.35,50.23,52.47,56.29,
,$\text{R}_{\text{SBERT}}$-ICL,92.43,56.42,51.61,43.46,7.82,67.38,77.28,
,$\text{R}_{\text{Instructor}}$-ICL,94.95,58.49,53.56,41.06,8.29,63.28,72.19,
m=4,ICL,94.49 ± 1.1,58.53 ± 1.89,51.34 ± 1.27,25.92 ± 0.3,12.42 ± 10.85,80.47 ± 6.12,47.7 ± 1.79,
,$k$NN-ICL,90.25 ± 5.47,52.03 ± 4.04,50.3 ± 1.95,34.48 ± 2.99,35.28 ± 4.18,55.28 ± 2.93,47.28 ± 2.90,
,$\text{R}_{\text{BM25}}$-ICL,93,53.67,49.66,42.32,9.12,67.28,83.28,
,$\text{R}_{\text{SBERT}}$-ICL,87.84,52.64,46.67,43.12,10.29,70.16,84.22,
,$\text{R}_{\text{Instructor}}$-ICL,92.78,59.86,53.56,42.32,12.17,73.28,86.45,
m=8,ICL,92.66 ± 3.18,58.11 ± 5.01,52.18 ± 2.29,29.28 ± 1.56,7.95 ± 9.11,50.96 ± 22.91,34.17 ± 8.54,
,$k$NN-ICL,92.01 ± 2.13,54.28 ± 2.57,50.19 ± 1.26,35.28 ± 2.38,35.28 ± 4.28,52.19 ± 3.98,50.28 ± 3.92,
,$\text{R}_{\text{BM25}}$-ICL,94.61,53.56,51.15,40.37,54.28,8.27,68.28,86.28
,$\text{R}_{\text{SBERT}}$-ICL,95.18,63.76,63.76,41.63,53.29,11.33,70.73,88.65
,$\text{R}_{\text{Instructor}}$-ICL,94.84,58.49,63.9,39.22,52.38,13.37,69.65,87.29
m=16,ICL,92.12 ± 1.06,56.69 ± 5.07,49.39 ± 4.7,28.29 ± 3.46,6.38 ± 9.87,66.38 ± 7.89,30.39 ± 7.36,
,$k$NN-ICL,93.65 ± 1.49,53.97 ± 1.79,52.37 ± 1.74,36.57 ± 1.28,36.79 ± 6.22,68.29 ± 5.39,51.99 ± 3.20,
,$\text{R}_{\text{BM25}}$-ICL,94.61,56.77,50.25,38.76,5.28,70.28,87.26,
,$\text{R}_{\text{SBERT}}$-ICL,95.07,60.32,53.29,41.51,10.23,73.78,86.29,
,$\text{R}_{\text{Instructor}}$-ICL,94.38,59.06,53.18,41.28,9.2,71.28,89.74,
