"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"they 're [[easy]] to use","they 're [[hard]] to use",0.24272263050079346,0.8540595769882202,1,0,1,14,"Successful"
"playlists can be generated on the fly ( which is a bit clunky but still a [[really]] [[nice]] [[bonus]] ) or by [[using]] the software , and there are a [[bevy]] of [[eq]] [[options]]","playlists can be generated on the fly ( which is a bit clunky but still a [[slightly]] [[better]] [[player]] ) or by [[doing]] the software , and there are a [[be]]) of [[edomain]] [[disabled]]",0.2183818817138672,0.5020325183868408,1,0,1,247,"Successful"
"[[simply]] , the canon g3 is the [[best]] digital camera out there today at this price point","[[not]] , the canon g3 is the [[expensive]] digital camera out there today at this price point",0.02344977855682373,0.7210838794708252,1,0,1,94,"Successful"
"multimedia [[functions]] are [[enhanced]] by [[multi]] slide mms messages and a [[gallery]] for organizing digital content [[captured]] or downloaded with the phone","multimedia [[installations]] are [[achieved]] by [[long]] slide mms messages and a [[void]] for organizing digital content [[seized]] or downloaded with the phone",0.2606865167617798,0.6000000238418579,1,0,1,223,"Successful"
"[[oh]] , and [[another]] is the [[cool]] halo light that surrounds the touch pad , and light 's up when you touch the screen , and how the light glows when the zen is connected to the computer","[[no]] , and [[minor]] is the [[mysterious]] halo light that surrounds the touch pad , and light 's up when you touch the screen , and how the light glows when the zen is connected to the computer",0.007766783237457275,0.5210838913917542,1,0,1,145,"Successful"
"i 'd say that this camera is [[perfect]]","i 'd say that this camera is [[imperfect]]",0.02076590061187744,0.784846842288971,1,0,1,39,"Successful"
"this is the [[best]] phone i have seen","this is the [[least]] phone i have seen",0.016265869140625,0.5502587556838989,1,0,1,22,"Successful"
"this one has a [[good]] looking","this one has a [[bad]] looking",0.03367018699645996,0.8540595769882202,1,0,1,9,"Successful"
"they [[made]] the other end of the camera flat so you can [[put]] the camera upright on a flat surface if you don 't [[like]] to take the usual horizontal pictures using the self [[timer]]","they [[wanted]] the other end of the camera flat so you can [[with]] the camera upright on a flat surface if you don 't [[allow]] to take the usual horizontal pictures using the self [[and]]",0.06068652868270874,0.5750324726104736,1,0,1,177,"Successful"
"don 't care about sunlight it 's [[tft]]","don 't care about sunlight it 's [[tbloody]]",0.27891606092453003,0.6979674100875854,1,0,1,12,"Successful"
"other than that , i [[love]] this camera","other than that , i [[dislike]] this camera",0.006862044334411621,0.9319207668304443,1,0,1,38,"Successful"
"the [[macro]] [[mode]] is [[exceptional]] , the pictures are very [[clear]] and you can take the pictures with the lens unbelievably close the subject","the [[blur]] [[program]] is [[limited]] , the pictures are very [[common]] and you can take the pictures with the lens unbelievably close the subject",0.016265869140625,0.6249674558639526,1,0,1,160,"Successful"
"i do not [[need]] to repeat what 's [[great]] about this phone","i do not [[necessary]] to repeat what 's [[weird]] about this phone",0.04272264242172241,0.4979674220085144,1,1,1,56,"Failed"
"the screen is very [[easy]] to [[read]] and the blue light is bright enough to read at [[night]] , but dim enough so it does n 't blind you when you stare too long","the screen is very [[difficult]] to [[understand]] and the blue light is bright enough to read at [[sleeping]] , but dim enough so it does n 't blind you when you stare too long",0.21438896656036377,0.525866687297821,1,0,1,153,"Successful"
"plusses are the easy to remove battery and the [[terrific]] [[sound]] produced by the nomad","plusses are the easy to remove battery and the [[constant]] [[loud]] produced by the nomad",0.02344977855682373,0.5020325183868408,1,0,1,96,"Successful"
