"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"[[[[Premise]]]]: the new rights are nice enough<SPLIT>[[[[Hypothesis]]]]: everyone really likes the newest benefits <SPLIT>[[[[Premise_0]]]]: many of these clubs are confusingly called snack bars. <SPLIT>[[[[Hypothesis_0]]]]: the name of these clubs often leads to confusion.<SPLIT>[[[[Label_0]]]]: yes<SPLIT>[[[[Premise_1]]]]: and burnt in on mr. carter's brain was the strange scene which had taken place in the house in soho the night before.<SPLIT>[[[[Hypothesis_1]]]]: mr. carter was traumatized by what had happened at the house in soho.<SPLIT>[[[[Label_1]]]]: maybe<SPLIT>[[[[Premise_2]]]]: moviegoers love the intricacies of a crime, all the more when it's for a good cause.<SPLIT>[[[[Hypothesis_2]]]]: moviegoers hate crime movies.<SPLIT>[[[[Label_2]]]]: no","[[[[Premise]]]]: the new rights are nice enough<SPLIT>[[[[Hypothesis]]]]: everyone really likes the newest benefits <SPLIT>[[[[Premise_0]]]]: many of these clubs are confusingly called snack bars. <SPLIT>[[[[Hypothesis_0]]]]: the name of these clubs often leads to confusion.<SPLIT>[[[[Label_0]]]]: yes<SPLIT>[[[[Premise_1]]]]: and burnt in on mr. carter's brain was the strange scene which had taken place in the house in soho the night before.<SPLIT>[[[[Hypothesis_1]]]]: mr. carter was traumatized by what had happened at the house in soho.<SPLIT>[[[[Label_1]]]]: maybe<SPLIT>[[[[Premise_2]]]]: moviegoers love the intricacies of a crime, all the more when it's for a good cause.<SPLIT>[[[[Hypothesis_2]]]]: moviegoers hate crime movies.<SPLIT>[[[[Label_2]]]]: no",0.678016722202301,0.678016722202301,0,0,1,1,"Skipped"
"[[[[Premise]]]]: this site includes a list of all award winners and a searchable database of government executive articles.<SPLIT>[[[[Hypothesis]]]]: the government executive articles housed on the website are not able to be searched.<SPLIT>[[[[Premise_0]]]]: many of these clubs are confusingly called snack bars. <SPLIT>[[[[Hypothesis_0]]]]: the name of these clubs often leads to confusion.<SPLIT>[[[[Label_0]]]]: [[yes]]<SPLIT>[[[[Premise_1]]]]: and burnt in on mr. carter's brain was the strange scene which had taken place in the house in soho the night before.<SPLIT>[[[[Hypothesis_1]]]]: mr. carter was traumatized by what had happened at the house in soho.<SPLIT>[[[[Label_1]]]]: maybe<SPLIT>[[[[Premise_2]]]]: moviegoers love the intricacies of a crime, all the more when it's for a good cause.<SPLIT>[[[[Hypothesis_2]]]]: moviegoers hate crime movies.<SPLIT>[[[[Label_2]]]]: [[no]]","[[[[Premise]]]]: this site includes a list of all award winners and a searchable database of government executive articles.<SPLIT>[[[[Hypothesis]]]]: the government executive articles housed on the website are not able to be searched.<SPLIT>[[[[Premise_0]]]]: many of these clubs are confusingly called snack bars. <SPLIT>[[[[Hypothesis_0]]]]: the name of these clubs often leads to confusion.<SPLIT>[[[[Label_0]]]]: [[no]]<SPLIT>[[[[Premise_1]]]]: and burnt in on mr. carter's brain was the strange scene which had taken place in the house in soho the night before.<SPLIT>[[[[Hypothesis_1]]]]: mr. carter was traumatized by what had happened at the house in soho.<SPLIT>[[[[Label_1]]]]: maybe<SPLIT>[[[[Premise_2]]]]: moviegoers love the intricacies of a crime, all the more when it's for a good cause.<SPLIT>[[[[Hypothesis_2]]]]: moviegoers hate crime movies.<SPLIT>[[[[Label_2]]]]: [[yes]]",0.39655327796936035,0.5652755498886108,2,2,2,4,"Failed"
"[[[[Premise]]]]: uh i don't know i i have mixed emotions about him uh sometimes i like him but at the same times i love to see somebody beat him<SPLIT>[[[[Hypothesis]]]]: i like him for the most part, but would still enjoy seeing someone beat him.<SPLIT>[[[[Premise_0]]]]: many of these clubs are confusingly called snack bars. <SPLIT>[[[[Hypothesis_0]]]]: the name of these clubs often leads to confusion.<SPLIT>[[[[Label_0]]]]: yes<SPLIT>[[[[Premise_1]]]]: and burnt in on mr. carter's brain was the strange scene which had taken place in the house in soho the night before.<SPLIT>[[[[Hypothesis_1]]]]: mr. carter was traumatized by what had happened at the house in soho.<SPLIT>[[[[Label_1]]]]: maybe<SPLIT>[[[[Premise_2]]]]: moviegoers love the intricacies of a crime, all the more when it's for a good cause.<SPLIT>[[[[Hypothesis_2]]]]: moviegoers hate crime movies.<SPLIT>[[[[Label_2]]]]: no","[[[[Premise]]]]: uh i don't know i i have mixed emotions about him uh sometimes i like him but at the same times i love to see somebody beat him<SPLIT>[[[[Hypothesis]]]]: i like him for the most part, but would still enjoy seeing someone beat him.<SPLIT>[[[[Premise_0]]]]: many of these clubs are confusingly called snack bars. <SPLIT>[[[[Hypothesis_0]]]]: the name of these clubs often leads to confusion.<SPLIT>[[[[Label_0]]]]: yes<SPLIT>[[[[Premise_1]]]]: and burnt in on mr. carter's brain was the strange scene which had taken place in the house in soho the night before.<SPLIT>[[[[Hypothesis_1]]]]: mr. carter was traumatized by what had happened at the house in soho.<SPLIT>[[[[Label_1]]]]: maybe<SPLIT>[[[[Premise_2]]]]: moviegoers love the intricacies of a crime, all the more when it's for a good cause.<SPLIT>[[[[Hypothesis_2]]]]: moviegoers hate crime movies.<SPLIT>[[[[Label_2]]]]: no",0.7109642028808594,0.7109642028808594,2,2,0,1,"Skipped"
"[[[[Premise]]]]: yeah i i think my favorite restaurant is always been the one closest  you know the closest as long as it's it meets the minimum criteria you know of good food<SPLIT>[[[[Hypothesis]]]]: my favorite restaurants are always at least a hundred miles away from my house. <SPLIT>[[[[Premise_0]]]]: many of these clubs are confusingly called snack bars. <SPLIT>[[[[Hypothesis_0]]]]: the name of these clubs often leads to confusion.<SPLIT>[[[[Label_0]]]]: yes<SPLIT>[[[[Premise_1]]]]: and burnt in on mr. carter's brain was the strange scene which had taken place in the house in soho the night before.<SPLIT>[[[[Hypothesis_1]]]]: mr. carter was traumatized by what had happened at the house in soho.<SPLIT>[[[[Label_1]]]]: [[maybe]]<SPLIT>[[[[Premise_2]]]]: moviegoers love the intricacies of a crime, all the more when it's for a good cause.<SPLIT>[[[[Hypothesis_2]]]]: moviegoers hate crime movies.<SPLIT>[[[[Label_2]]]]: [[no]]","[[[[Premise]]]]: yeah i i think my favorite restaurant is always been the one closest  you know the closest as long as it's it meets the minimum criteria you know of good food<SPLIT>[[[[Hypothesis]]]]: my favorite restaurants are always at least a hundred miles away from my house. <SPLIT>[[[[Premise_0]]]]: many of these clubs are confusingly called snack bars. <SPLIT>[[[[Hypothesis_0]]]]: the name of these clubs often leads to confusion.<SPLIT>[[[[Label_0]]]]: yes<SPLIT>[[[[Premise_1]]]]: and burnt in on mr. carter's brain was the strange scene which had taken place in the house in soho the night before.<SPLIT>[[[[Hypothesis_1]]]]: mr. carter was traumatized by what had happened at the house in soho.<SPLIT>[[[[Label_1]]]]: [[no]]<SPLIT>[[[[Premise_2]]]]: moviegoers love the intricacies of a crime, all the more when it's for a good cause.<SPLIT>[[[[Hypothesis_2]]]]: moviegoers hate crime movies.<SPLIT>[[[[Label_2]]]]: [[maybe]]",0.5901898145675659,0.6584335565567017,2,1,2,4,"Successful"
"[[[[Premise]]]]: i don't know um do you do a lot of camping<SPLIT>[[[[Hypothesis]]]]: i know exactly.<SPLIT>[[[[Premise_0]]]]: many of these clubs are confusingly called snack bars. <SPLIT>[[[[Hypothesis_0]]]]: the name of these clubs often leads to confusion.<SPLIT>[[[[Label_0]]]]: [[yes]]<SPLIT>[[[[Premise_1]]]]: and burnt in on mr. carter's brain was the strange scene which had taken place in the house in soho the night before.<SPLIT>[[[[Hypothesis_1]]]]: mr. carter was traumatized by what had happened at the house in soho.<SPLIT>[[[[Label_1]]]]: [[maybe]]<SPLIT>[[[[Premise_2]]]]: moviegoers love the intricacies of a crime, all the more when it's for a good cause.<SPLIT>[[[[Hypothesis_2]]]]: moviegoers hate crime movies.<SPLIT>[[[[Label_2]]]]: no","[[[[Premise]]]]: i don't know um do you do a lot of camping<SPLIT>[[[[Hypothesis]]]]: i know exactly.<SPLIT>[[[[Premise_0]]]]: many of these clubs are confusingly called snack bars. <SPLIT>[[[[Hypothesis_0]]]]: the name of these clubs often leads to confusion.<SPLIT>[[[[Label_0]]]]: [[maybe]]<SPLIT>[[[[Premise_1]]]]: and burnt in on mr. carter's brain was the strange scene which had taken place in the house in soho the night before.<SPLIT>[[[[Hypothesis_1]]]]: mr. carter was traumatized by what had happened at the house in soho.<SPLIT>[[[[Label_1]]]]: [[yes]]<SPLIT>[[[[Premise_2]]]]: moviegoers love the intricacies of a crime, all the more when it's for a good cause.<SPLIT>[[[[Hypothesis_2]]]]: moviegoers hate crime movies.<SPLIT>[[[[Label_2]]]]: no",0.5755038261413574,0.6020928621292114,2,1,2,4,"Successful"
"[[[[Premise]]]]: well that would be a help i wish they would do that here we have got so little landfill space left that we're going to run out before the end of this decade and it's really going to be<SPLIT>[[[[Hypothesis]]]]: we have plenty of space in the landfill.<SPLIT>[[[[Premise_0]]]]: many of these clubs are confusingly called snack bars. <SPLIT>[[[[Hypothesis_0]]]]: the name of these clubs often leads to confusion.<SPLIT>[[[[Label_0]]]]: yes<SPLIT>[[[[Premise_1]]]]: and burnt in on mr. carter's brain was the strange scene which had taken place in the house in soho the night before.<SPLIT>[[[[Hypothesis_1]]]]: mr. carter was traumatized by what had happened at the house in soho.<SPLIT>[[[[Label_1]]]]: [[maybe]]<SPLIT>[[[[Premise_2]]]]: moviegoers love the intricacies of a crime, all the more when it's for a good cause.<SPLIT>[[[[Hypothesis_2]]]]: moviegoers hate crime movies.<SPLIT>[[[[Label_2]]]]: [[no]]","[[[[Premise]]]]: well that would be a help i wish they would do that here we have got so little landfill space left that we're going to run out before the end of this decade and it's really going to be<SPLIT>[[[[Hypothesis]]]]: we have plenty of space in the landfill.<SPLIT>[[[[Premise_0]]]]: many of these clubs are confusingly called snack bars. <SPLIT>[[[[Hypothesis_0]]]]: the name of these clubs often leads to confusion.<SPLIT>[[[[Label_0]]]]: yes<SPLIT>[[[[Premise_1]]]]: and burnt in on mr. carter's brain was the strange scene which had taken place in the house in soho the night before.<SPLIT>[[[[Hypothesis_1]]]]: mr. carter was traumatized by what had happened at the house in soho.<SPLIT>[[[[Label_1]]]]: [[no]]<SPLIT>[[[[Premise_2]]]]: moviegoers love the intricacies of a crime, all the more when it's for a good cause.<SPLIT>[[[[Hypothesis_2]]]]: moviegoers hate crime movies.<SPLIT>[[[[Label_2]]]]: [[maybe]]",0.4807603359222412,0.5409640669822693,2,2,2,4,"Failed"
"[[[[Premise]]]]: yeah i know and i did that all through college and it worked too<SPLIT>[[[[Hypothesis]]]]: i did that all through college but it never worked <SPLIT>[[[[Premise_0]]]]: many of these clubs are confusingly called snack bars. <SPLIT>[[[[Hypothesis_0]]]]: the name of these clubs often leads to confusion.<SPLIT>[[[[Label_0]]]]: [[yes]]<SPLIT>[[[[Premise_1]]]]: and burnt in on mr. carter's brain was the strange scene which had taken place in the house in soho the night before.<SPLIT>[[[[Hypothesis_1]]]]: mr. carter was traumatized by what had happened at the house in soho.<SPLIT>[[[[Label_1]]]]: [[maybe]]<SPLIT>[[[[Premise_2]]]]: moviegoers love the intricacies of a crime, all the more when it's for a good cause.<SPLIT>[[[[Hypothesis_2]]]]: moviegoers hate crime movies.<SPLIT>[[[[Label_2]]]]: no","[[[[Premise]]]]: yeah i know and i did that all through college and it worked too<SPLIT>[[[[Hypothesis]]]]: i did that all through college but it never worked <SPLIT>[[[[Premise_0]]]]: many of these clubs are confusingly called snack bars. <SPLIT>[[[[Hypothesis_0]]]]: the name of these clubs often leads to confusion.<SPLIT>[[[[Label_0]]]]: [[maybe]]<SPLIT>[[[[Premise_1]]]]: and burnt in on mr. carter's brain was the strange scene which had taken place in the house in soho the night before.<SPLIT>[[[[Hypothesis_1]]]]: mr. carter was traumatized by what had happened at the house in soho.<SPLIT>[[[[Label_1]]]]: [[yes]]<SPLIT>[[[[Premise_2]]]]: moviegoers love the intricacies of a crime, all the more when it's for a good cause.<SPLIT>[[[[Hypothesis_2]]]]: moviegoers hate crime movies.<SPLIT>[[[[Label_2]]]]: no",0.5985870361328125,0.6426931619644165,2,1,2,4,"Successful"
"[[[[Premise]]]]: calcutta seems to be the only other production center having any pretensions to artistic creativity at all, but ironically you're actually more likely to see the works of satyajit ray or mrinal sen shown in europe or north america than in india itself.<SPLIT>[[[[Hypothesis]]]]: most of mrinal sen's work can be found in european collections.<SPLIT>[[[[Premise_0]]]]: many of these clubs are confusingly called snack bars. <SPLIT>[[[[Hypothesis_0]]]]: the name of these clubs often leads to confusion.<SPLIT>[[[[Label_0]]]]: yes<SPLIT>[[[[Premise_1]]]]: and burnt in on mr. carter's brain was the strange scene which had taken place in the house in soho the night before.<SPLIT>[[[[Hypothesis_1]]]]: mr. carter was traumatized by what had happened at the house in soho.<SPLIT>[[[[Label_1]]]]: maybe<SPLIT>[[[[Premise_2]]]]: moviegoers love the intricacies of a crime, all the more when it's for a good cause.<SPLIT>[[[[Hypothesis_2]]]]: moviegoers hate crime movies.<SPLIT>[[[[Label_2]]]]: no","[[[[Premise]]]]: calcutta seems to be the only other production center having any pretensions to artistic creativity at all, but ironically you're actually more likely to see the works of satyajit ray or mrinal sen shown in europe or north america than in india itself.<SPLIT>[[[[Hypothesis]]]]: most of mrinal sen's work can be found in european collections.<SPLIT>[[[[Premise_0]]]]: many of these clubs are confusingly called snack bars. <SPLIT>[[[[Hypothesis_0]]]]: the name of these clubs often leads to confusion.<SPLIT>[[[[Label_0]]]]: yes<SPLIT>[[[[Premise_1]]]]: and burnt in on mr. carter's brain was the strange scene which had taken place in the house in soho the night before.<SPLIT>[[[[Hypothesis_1]]]]: mr. carter was traumatized by what had happened at the house in soho.<SPLIT>[[[[Label_1]]]]: maybe<SPLIT>[[[[Premise_2]]]]: moviegoers love the intricacies of a crime, all the more when it's for a good cause.<SPLIT>[[[[Hypothesis_2]]]]: moviegoers hate crime movies.<SPLIT>[[[[Label_2]]]]: no",0.7192492485046387,0.7192492485046387,2,2,1,1,"Skipped"
"[[[[Premise]]]]: if that investor were willing to pay extra for the security of limited downside, she could buy put options with a strike price of $98, which would lock in her profit on the shares at $18, less whatever the options cost.<SPLIT>[[[[Hypothesis]]]]: the strike price could be $8.<SPLIT>[[[[Premise_0]]]]: many of these clubs are confusingly called snack bars. <SPLIT>[[[[Hypothesis_0]]]]: the name of these clubs often leads to confusion.<SPLIT>[[[[Label_0]]]]: [[yes]]<SPLIT>[[[[Premise_1]]]]: and burnt in on mr. carter's brain was the strange scene which had taken place in the house in soho the night before.<SPLIT>[[[[Hypothesis_1]]]]: mr. carter was traumatized by what had happened at the house in soho.<SPLIT>[[[[Label_1]]]]: maybe<SPLIT>[[[[Premise_2]]]]: moviegoers love the intricacies of a crime, all the more when it's for a good cause.<SPLIT>[[[[Hypothesis_2]]]]: moviegoers hate crime movies.<SPLIT>[[[[Label_2]]]]: [[no]]","[[[[Premise]]]]: if that investor were willing to pay extra for the security of limited downside, she could buy put options with a strike price of $98, which would lock in her profit on the shares at $18, less whatever the options cost.<SPLIT>[[[[Hypothesis]]]]: the strike price could be $8.<SPLIT>[[[[Premise_0]]]]: many of these clubs are confusingly called snack bars. <SPLIT>[[[[Hypothesis_0]]]]: the name of these clubs often leads to confusion.<SPLIT>[[[[Label_0]]]]: [[no]]<SPLIT>[[[[Premise_1]]]]: and burnt in on mr. carter's brain was the strange scene which had taken place in the house in soho the night before.<SPLIT>[[[[Hypothesis_1]]]]: mr. carter was traumatized by what had happened at the house in soho.<SPLIT>[[[[Label_1]]]]: maybe<SPLIT>[[[[Premise_2]]]]: moviegoers love the intricacies of a crime, all the more when it's for a good cause.<SPLIT>[[[[Hypothesis_2]]]]: moviegoers hate crime movies.<SPLIT>[[[[Label_2]]]]: [[yes]]",0.401519775390625,0.6015198230743408,2,2,2,4,"Failed"
"[[[[Premise]]]]: 3)  dare you rise to the occasion, like raskolnikov, and reject the petty rules that govern lesser men?<SPLIT>[[[[Hypothesis]]]]: would you rise up and defeaat all evil lords in the town?<SPLIT>[[[[Premise_0]]]]: many of these clubs are confusingly called snack bars. <SPLIT>[[[[Hypothesis_0]]]]: the name of these clubs often leads to confusion.<SPLIT>[[[[Label_0]]]]: [[yes]]<SPLIT>[[[[Premise_1]]]]: and burnt in on mr. carter's brain was the strange scene which had taken place in the house in soho the night before.<SPLIT>[[[[Hypothesis_1]]]]: mr. carter was traumatized by what had happened at the house in soho.<SPLIT>[[[[Label_1]]]]: maybe<SPLIT>[[[[Premise_2]]]]: moviegoers love the intricacies of a crime, all the more when it's for a good cause.<SPLIT>[[[[Hypothesis_2]]]]: moviegoers hate crime movies.<SPLIT>[[[[Label_2]]]]: [[no]]","[[[[Premise]]]]: 3)  dare you rise to the occasion, like raskolnikov, and reject the petty rules that govern lesser men?<SPLIT>[[[[Hypothesis]]]]: would you rise up and defeaat all evil lords in the town?<SPLIT>[[[[Premise_0]]]]: many of these clubs are confusingly called snack bars. <SPLIT>[[[[Hypothesis_0]]]]: the name of these clubs often leads to confusion.<SPLIT>[[[[Label_0]]]]: [[no]]<SPLIT>[[[[Premise_1]]]]: and burnt in on mr. carter's brain was the strange scene which had taken place in the house in soho the night before.<SPLIT>[[[[Hypothesis_1]]]]: mr. carter was traumatized by what had happened at the house in soho.<SPLIT>[[[[Label_1]]]]: maybe<SPLIT>[[[[Premise_2]]]]: moviegoers love the intricacies of a crime, all the more when it's for a good cause.<SPLIT>[[[[Hypothesis_2]]]]: moviegoers hate crime movies.<SPLIT>[[[[Label_2]]]]: [[yes]]",0.5975669026374817,0.6293889284133911,1,2,1,4,"Successful"
