"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"how [[far]] is it from denver to [[aspen]] ?","how [[vastly]] is it from denver to [[quiver]] ?",0.31441086530685425,0.7097876071929932,5,2,5,26,"Successful"
"what county is [[modesto]] , california in ?","what county is [[modеsto]] , california in ?",0.11640918254852295,0.23453289270401,4,4,4,18,"Failed"
"who was [[galileo]] ?","who was [[galilean]] ?",0.13118499517440796,0.5130224227905273,3,3,3,17,"Failed"
"what is an [[atom]] ?","what is an [[protons]] ?",0.35105353593826294,0.8003937005996704,2,1,2,14,"Successful"
"when did hawaii become a [[state]] ?","when did hawaii become a [[s𝚝ate]] ?",0.203607439994812,0.30270451307296753,5,5,5,16,"Failed"
"how [[tall]] is the sears building ?","how [[jacob]] is the sears building ?",0.22378724813461304,0.9061305522918701,5,1,5,15,"Successful"
"george bush purchased a small interest in which baseball team ?","george bush purchased a small interest in which baseball team ?",0.9534140229225159,0.9534140229225159,1,1,3,1,"Skipped"
"what is australia 's [[national]] flower ?","what is australia 's [[nationaⅼ]] flower ?",0.06957370042800903,0.3652614951133728,1,1,1,19,"Failed"
"why does the moon [[turn]] orange ?","why does the moon [[turո]] orange ?",0.016058385372161865,0.3042874336242676,2,2,2,15,"Failed"
"what is [[autism]] ?","what is [[autisｍ]] ?",0.22621876001358032,0.6570831537246704,2,1,2,16,"Successful"
"what [[city]] had a world fair in [[1900]] ?","what [[stadt]] had a world fair in [[1৭00]] ?",0.1020001769065857,0.5540974140167236,4,4,4,23,"Failed"
"what person 's head is on a dime ?","what person 's head is on a dime ?",0.560078501701355,0.560078501701355,1,1,3,1,"Skipped"
"what is the [[average]] weight of a yellow [[labrador]] ?","what is the [[half]] weight of a yellow [[laЬrador]] ?",0.06511062383651733,0.3809810280799866,5,5,5,48,"Failed"
"who was the first man to [[fly]] across the [[pacific]] ocean ?","who was the first man to [[stealing]] across the [[pacifiϲ]] ocean ?",0.07603228092193604,0.19214260578155518,3,3,3,30,"Failed"
"when did idaho become a [[state]] ?","when did idaho become a [[stɑte]] ?",0.19462227821350098,0.2968943119049072,5,5,5,17,"Failed"
"what is the life [[expectancy]] for [[crickets]] ?","what is the life [[hoped]] for [[cric𝒌ets]] ?",0.03185027837753296,0.894348680973053,5,1,5,37,"Successful"
"what metal has the [[highest]] melting [[point]] ?","what metal has the [[highes𝚝]] melting [[matter]] ?",0.23298096656799316,0.6184921264648438,1,1,1,32,"Failed"
"who developed the vaccination against [[polio]] ?","who developed the vaccination against [[рolio]] ?",0.1176607608795166,0.1617828607559204,3,3,3,17,"Failed"
"what is [[epilepsy]] ?","what is [[epilepsу]] ?",0.2967711091041565,0.6342310309410095,2,1,2,18,"Successful"
"what [[year]] did the titanic sink ?","what [[leto]] did the titanic sink ?",0.13485676050186157,0.9604922533035278,5,1,5,15,"Successful"
"who was the first american to [[walk]] in [[space]] ?","who was the first american to [[ԝalk]] in [[sace]] ?",0.05508941411972046,0.2267041802406311,3,3,3,29,"Failed"
"what is a [[biosphere]] ?","what is a [[biospheⲅe]] ?",0.383689820766449,0.7561490535736084,2,1,2,19,"Successful"
"what river in the us is known as the big muddy ?","what river in the us is known as the big muddy ?",0.7532720565795898,0.7532720565795898,1,1,4,1,"Skipped"
"what is bipolar [[disorder]] ?","what is bipolar [[disorԁer]] ?",0.2057461142539978,0.6019738912582397,2,1,2,19,"Successful"
"what is [[cholesterol]] ?","what is [[cholseterol]] ?",0.43941593170166016,0.8359623551368713,2,1,2,21,"Successful"
"who [[developed]] the macintosh computer ?","who [[develpoed]] the macintosh computer ?",0.11758577823638916,0.26255661249160767,3,3,3,20,"Failed"
"what is caffeine ?","what is caffeine ?",0.8522325754165649,0.8522325754165649,1,1,2,1,"Skipped"
"what imaginary line is halfway between the north and south poles ?","what imaginary line is halfway between the north and south poles ?",0.8348658084869385,0.8348658084869385,1,1,4,1,"Skipped"
"where is john wayne [[airport]] ?","where is john wayne [[airpor𝚝]] ?",0.03833043575286865,0.13194411993026733,4,4,4,19,"Failed"
"what hemisphere is the [[philippines]] in ?","what hemisphere is the [[fei]] in ?",0.3496660590171814,0.8277801871299744,4,1,4,21,"Successful"
"what is the average [[speed]] of the horses at the [[kentucky]] derby ?","what is the average [[sрeed]] of the horses at the [[kfc]] derby ?",0.02063542604446411,0.27443063259124756,5,5,5,34,"Failed"
"where are the rocky [[mountains]] ?","where are the rocky [[mountainside]] ?",0.0541723370552063,0.15058666467666626,4,4,4,20,"Failed"
"what are [[invertebrates]] ?","what are [[crustaceans]] ?",0.27118539810180664,0.7553465962409973,2,1,2,23,"Successful"
"what is the [[temperature]] at the center of the earth ?","what is the [[weather]] at the center of the earth ?",0.09710991382598877,0.988308310508728,5,2,5,22,"Successful"
"when did john [[f]]. kennedy get elected as [[president]] ?","when did john [[y]]. kennedy get elected as [[chairperson]] ?",0.20101237297058105,0.40425169467926025,5,5,5,30,"Failed"
"how [[old]] was elvis presley when he died ?","how [[antigua]] was elvis presley when he died ?",0.04967093467712402,0.8304016590118408,5,2,5,14,"Successful"
"where is the [[orinoco]] river ?","where is the [[oⲅinoco]] river ?",0.04177898168563843,0.09019505977630615,4,4,4,17,"Failed"
"how [[far]] is the service line from the net in tennis ?","how [[fr]] is the service line from the net in tennis ?",0.20322948694229126,0.7693531513214111,5,1,5,15,"Successful"
"how much [[fiber]] should you have per [[day]] ?","how much [[fibeⲅ]] should you have per [[dy]] ?",0.024675369262695312,0.20605522394180298,5,5,5,27,"Failed"
"how many [[great]] lakes are there ?","how many [[awesome]] lakes are there ?",0.06646668910980225,0.24427205324172974,5,5,5,16,"Failed"
"material [[called]] linen is [[made]] from what plant ?","material [[cɑlled]] linen is [[mɑde]] from what plant ?",0.07782632112503052,0.4882311224937439,1,1,1,29,"Failed"
"what is teflon ?","what is teflon ?",0.8934201002120972,0.8934201002120972,1,1,2,1,"Skipped"
"what is amitriptyline ?","what is amitriptyline ?",0.8364399671554565,0.8364399671554565,1,1,2,1,"Skipped"
"what is a shaman ?","what is a shaman ?",0.6678359508514404,0.6678359508514404,1,1,2,1,"Skipped"
"what is the proper name for a female [[walrus]] ?","what is the proper name for a female [[guru]] ?",0.09914320707321167,0.6004766225814819,1,2,1,19,"Successful"
"what is a group of [[turkeys]] [[called]] ?","what is a group of [[turkish]] [[termed]] ?",0.15338760614395142,0.4706660509109497,1,1,1,33,"Failed"
"how [[long]] did rip van winkle [[sleep]] ?","how [[protracted]] did rip van winkle [[sleeр]] ?",0.04483604431152344,0.47967255115509033,5,5,5,29,"Failed"
"what are [[triglycerides]] ?","what are [[𝚝riglycerides]] ?",0.37982046604156494,0.6637496948242188,2,1,2,18,"Successful"
"how many liters in a [[gallon]] ?","how many liters in a [[liters]] ?",0.10175824165344238,0.3459612727165222,5,5,5,18,"Failed"
"what is the name of the chocolate company in san francisco ?","what is the name of the chocolate company in san francisco ?",0.9858532547950745,0.9858532547950745,1,1,3,1,"Skipped"
"what are amphibians ?","what are amphibians ?",0.5940611362457275,0.5940611362457275,1,1,2,1,"Skipped"
"who [[discovered]] x-rays ?","who [[discoveⲅed]] x-rays ?",0.11352241039276123,0.16279947757720947,3,3,3,20,"Failed"
"which comedian 's signature line is `` can we talk '' ?","which comedian 's signature line is `` can we talk '' ?",0.7264038324356079,0.7264038324356079,1,1,3,1,"Skipped"
