"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"[[[[Sentence]]]]: lovingly photographed in the manner of a golden book sprung to life , stuart little 2 manages sweetness largely without stickiness .<SPLIT>[[[[Example_0]]]]: the film is saved from aren't-kids-cute sentimentality by a warmth that isn't faked and a stately sense of composition .<SPLIT>[[[[Label_0]]]]: positive<SPLIT>[[[[Example_1]]]]: (Image: Getty)<SPLIT><SPLIT>[[[[Label_1]]]]: positive<SPLIT>[[[[Example_2]]]]: it's mildly sentimental , unabashedly consumerist . . . studiously inoffensive and completely disposable .<SPLIT>[[[[Label_2]]]]: negative<SPLIT>[[[[Example_3]]]]: there are some wonderfully fresh moments that smooth the moral stiffness with human kindness and hopefulness .<SPLIT>[[[[Label_3]]]]: positive<SPLIT>[[[[Example_4]]]]: delightfully rendered<SPLIT>[[[[Label_4]]]]: positive<SPLIT>[[[[Example_5]]]]: 'like a child with an important message to tell . . . [skins'] faults are easy to forgive because the intentions are lofty . '<SPLIT>[[[[Label_5]]]]: positive<SPLIT>[[[[Example_6]]]]: it's technically sumptuous but also almost wildly alive .<SPLIT>[[[[Label_6]]]]: positive<SPLIT>[[[[Example_7]]]]: heartwarming here relies less on forced air than on petter næss' delicate , clever direction . . . and a wonderful , imaginative script by axel hellstenius .<SPLIT>[[[[Label_7]]]]: positive","[[[[Sentence]]]]: lovingly photographed in the manner of a golden book sprung to life , stuart little 2 manages sweetness largely without stickiness .<SPLIT>[[[[Example_0]]]]: the film is saved from aren't-kids-cute sentimentality by a warmth that isn't faked and a stately sense of composition .<SPLIT>[[[[Label_0]]]]: positive<SPLIT>[[[[Example_1]]]]: (Image: Getty)<SPLIT><SPLIT>[[[[Label_1]]]]: positive<SPLIT>[[[[Example_2]]]]: it's mildly sentimental , unabashedly consumerist . . . studiously inoffensive and completely disposable .<SPLIT>[[[[Label_2]]]]: negative<SPLIT>[[[[Example_3]]]]: there are some wonderfully fresh moments that smooth the moral stiffness with human kindness and hopefulness .<SPLIT>[[[[Label_3]]]]: positive<SPLIT>[[[[Example_4]]]]: delightfully rendered<SPLIT>[[[[Label_4]]]]: positive<SPLIT>[[[[Example_5]]]]: 'like a child with an important message to tell . . . [skins'] faults are easy to forgive because the intentions are lofty . '<SPLIT>[[[[Label_5]]]]: positive<SPLIT>[[[[Example_6]]]]: it's technically sumptuous but also almost wildly alive .<SPLIT>[[[[Label_6]]]]: positive<SPLIT>[[[[Example_7]]]]: heartwarming here relies less on forced air than on petter næss' delicate , clever direction . . . and a wonderful , imaginative script by axel hellstenius .<SPLIT>[[[[Label_7]]]]: positive",0.01590639352798462,0.01590639352798462,1,1,1,1,"Failed"
"[[[[Sentence]]]]: consistently clever and suspenseful .<SPLIT>[[[[Example_0]]]]: a mostly intelligent , engrossing and psychologically resonant suspenser .<SPLIT>[[[[Label_0]]]]: positive<SPLIT>[[[[Example_1]]]]: entirely suspenseful , extremely well-paced and ultimately . . . dare i say , entertaining !<SPLIT>[[[[Label_1]]]]: positive<SPLIT>[[[[Example_2]]]]: a sly game of cat and mouse that's intense and thrilling at times , but occasionally stretches believability to its limits and relies on predictable plot contrivances .<SPLIT>[[[[Label_2]]]]: positive<SPLIT>[[[[Example_3]]]]: audiard successfully maintains suspense on different levels throughout a film that is both gripping and compelling .<SPLIT>[[[[Label_3]]]]: positive<SPLIT>[[[[Example_4]]]]: beautifully crafted , engaging filmmaking that should attract upscale audiences hungry for quality and a nostalgic , twisty yarn that will keep them guessing .<SPLIT>[[[[Label_4]]]]: positive<SPLIT>[[[[Example_5]]]]: a smart , witty follow-up .<SPLIT>[[[[Label_5]]]]: positive<SPLIT>[[[[Example_6]]]]: a psychological thriller with a smart script and an obsessive-compulsive's attention to detail .<SPLIT>[[[[Label_6]]]]: positive<SPLIT>[[[[Example_7]]]]: it's predictable , but it jumps through the expected hoops with style and even some depth .<SPLIT>[[[[Label_7]]]]: positive","[[[[Sentence]]]]: consistently clever and suspenseful .<SPLIT>[[[[Example_0]]]]: a mostly intelligent , engrossing and psychologically resonant suspenser .<SPLIT>[[[[Label_0]]]]: positive<SPLIT>[[[[Example_1]]]]: entirely suspenseful , extremely well-paced and ultimately . . . dare i say , entertaining !<SPLIT>[[[[Label_1]]]]: positive<SPLIT>[[[[Example_2]]]]: a sly game of cat and mouse that's intense and thrilling at times , but occasionally stretches believability to its limits and relies on predictable plot contrivances .<SPLIT>[[[[Label_2]]]]: positive<SPLIT>[[[[Example_3]]]]: audiard successfully maintains suspense on different levels throughout a film that is both gripping and compelling .<SPLIT>[[[[Label_3]]]]: positive<SPLIT>[[[[Example_4]]]]: beautifully crafted , engaging filmmaking that should attract upscale audiences hungry for quality and a nostalgic , twisty yarn that will keep them guessing .<SPLIT>[[[[Label_4]]]]: positive<SPLIT>[[[[Example_5]]]]: a smart , witty follow-up .<SPLIT>[[[[Label_5]]]]: positive<SPLIT>[[[[Example_6]]]]: a psychological thriller with a smart script and an obsessive-compulsive's attention to detail .<SPLIT>[[[[Label_6]]]]: positive<SPLIT>[[[[Example_7]]]]: it's predictable , but it jumps through the expected hoops with style and even some depth .<SPLIT>[[[[Label_7]]]]: positive",0.0017006993293762207,0.0017006993293762207,1,1,1,1,"Failed"
"[[[[Sentence]]]]: it's like a "" big chill "" reunion of the baader-meinhof gang , only these guys are more harmless pranksters than political activists .<SPLIT>[[[[Example_0]]]]: ' . . . both hokey and super-cool , and definitely not in a hurry , so sit back , relax and have a few laughs while the little ones get a fuzzy treat . '<SPLIT>[[[[Label_0]]]]: positive<SPLIT>[[[[Example_1]]]]: its scenes and sensibility are all more than familiar , but it exudes a kind of nostalgic spy-movie charm and , at the same time , is so fresh and free of the usual thriller nonsense that it all seems to be happening for the first time .<SPLIT>[[[[Label_1]]]]: positive<SPLIT>[[[[Example_2]]]]: this cheery , down-to-earth film is warm with the cozy feeling of relaxing around old friends .<SPLIT>[[[[Label_2]]]]: positive<SPLIT>[[[[Example_3]]]]: this time , the hype is quieter , and while the movie is slightly less successful than the first , it's still a rollicking good time for the most part .<SPLIT>[[[[Label_3]]]]: positive<SPLIT>[[[[Example_4]]]]: it's sweet , harmless , dumb , occasionally funny and about as compelling as a fishing show .<SPLIT>[[[[Label_4]]]]: negative<SPLIT>[[[[Example_5]]]]: efficient , suitably anonymous chiller .<SPLIT>[[[[Label_5]]]]: positive<SPLIT>[[[[Example_6]]]]: an amalgam of the fugitive , blade runner , and total recall , only without much energy or tension .<SPLIT>[[[[Label_6]]]]: negative<SPLIT>[[[[Example_7]]]]: harmless fun .<SPLIT>[[[[Label_7]]]]: positive","[[[[Sentence]]]]: it's like a "" big chill "" reunion of the baader-meinhof gang , only these guys are more harmless pranksters than political activists .<SPLIT>[[[[Example_0]]]]: ' . . . both hokey and super-cool , and definitely not in a hurry , so sit back , relax and have a few laughs while the little ones get a fuzzy treat . '<SPLIT>[[[[Label_0]]]]: positive<SPLIT>[[[[Example_1]]]]: its scenes and sensibility are all more than familiar , but it exudes a kind of nostalgic spy-movie charm and , at the same time , is so fresh and free of the usual thriller nonsense that it all seems to be happening for the first time .<SPLIT>[[[[Label_1]]]]: positive<SPLIT>[[[[Example_2]]]]: this cheery , down-to-earth film is warm with the cozy feeling of relaxing around old friends .<SPLIT>[[[[Label_2]]]]: positive<SPLIT>[[[[Example_3]]]]: this time , the hype is quieter , and while the movie is slightly less successful than the first , it's still a rollicking good time for the most part .<SPLIT>[[[[Label_3]]]]: positive<SPLIT>[[[[Example_4]]]]: it's sweet , harmless , dumb , occasionally funny and about as compelling as a fishing show .<SPLIT>[[[[Label_4]]]]: negative<SPLIT>[[[[Example_5]]]]: efficient , suitably anonymous chiller .<SPLIT>[[[[Label_5]]]]: positive<SPLIT>[[[[Example_6]]]]: an amalgam of the fugitive , blade runner , and total recall , only without much energy or tension .<SPLIT>[[[[Label_6]]]]: negative<SPLIT>[[[[Example_7]]]]: harmless fun .<SPLIT>[[[[Label_7]]]]: positive",0.13296425342559814,0.13296425342559814,1,1,1,1,"Failed"
"[[[[Sentence]]]]: the story gives ample opportunity for large-scale action and suspense , which director shekhar kapur supplies with tremendous skill .<SPLIT>[[[[Example_0]]]]: entirely suspenseful , extremely well-paced and ultimately . . . dare i say , entertaining !<SPLIT>[[[[Label_0]]]]: positive<SPLIT>[[[[Example_1]]]]: dense with characters and contains some thrilling moments .<SPLIT>[[[[Label_1]]]]: positive<SPLIT>[[[[Example_2]]]]: director kapur is a filmmaker with a real flair for epic landscapes and adventure , and this is a better film than his earlier english-language movie , the overpraised elizabeth .<SPLIT>[[[[Label_2]]]]: positive<SPLIT>[[[[Example_3]]]]: adaptation's success in engaging the audience in the travails of creating a screenplay is extraordinary .<SPLIT>[[[[Label_3]]]]: positive<SPLIT>[[[[Example_4]]]]: the film's performances are thrilling .<SPLIT>[[[[Label_4]]]]: positive<SPLIT>[[[[Example_5]]]]: dark , resonant , inventively detailed and packed with fleet turns of plot and a feast of visual amazement .<SPLIT>[[[[Label_5]]]]: positive<SPLIT>[[[[Example_6]]]]: shiri is an action film that delivers on the promise of excitement , but it also has a strong dramatic and emotional pull that gradually sneaks up on the audience .<SPLIT>[[[[Label_6]]]]: positive<SPLIT>[[[[Example_7]]]]: a moody horror/thriller elevated by deft staging and the director's well-known narrative gamesmanship .<SPLIT>[[[[Label_7]]]]: positive","[[[[Sentence]]]]: the story gives ample opportunity for large-scale action and suspense , which director shekhar kapur supplies with tremendous skill .<SPLIT>[[[[Example_0]]]]: entirely suspenseful , extremely well-paced and ultimately . . . dare i say , entertaining !<SPLIT>[[[[Label_0]]]]: positive<SPLIT>[[[[Example_1]]]]: dense with characters and contains some thrilling moments .<SPLIT>[[[[Label_1]]]]: positive<SPLIT>[[[[Example_2]]]]: director kapur is a filmmaker with a real flair for epic landscapes and adventure , and this is a better film than his earlier english-language movie , the overpraised elizabeth .<SPLIT>[[[[Label_2]]]]: positive<SPLIT>[[[[Example_3]]]]: adaptation's success in engaging the audience in the travails of creating a screenplay is extraordinary .<SPLIT>[[[[Label_3]]]]: positive<SPLIT>[[[[Example_4]]]]: the film's performances are thrilling .<SPLIT>[[[[Label_4]]]]: positive<SPLIT>[[[[Example_5]]]]: dark , resonant , inventively detailed and packed with fleet turns of plot and a feast of visual amazement .<SPLIT>[[[[Label_5]]]]: positive<SPLIT>[[[[Example_6]]]]: shiri is an action film that delivers on the promise of excitement , but it also has a strong dramatic and emotional pull that gradually sneaks up on the audience .<SPLIT>[[[[Label_6]]]]: positive<SPLIT>[[[[Example_7]]]]: a moody horror/thriller elevated by deft staging and the director's well-known narrative gamesmanship .<SPLIT>[[[[Label_7]]]]: positive",0.0031726956367492676,0.0031726956367492676,1,1,1,1,"Failed"
"[[[[Sentence]]]]: red dragon "" never cuts corners .<SPLIT>[[[[Example_0]]]]: never once predictable .<SPLIT>[[[[Label_0]]]]: positive<SPLIT>[[[[Example_1]]]]: "" red dragon "" is entertaining . an obvious copy of one of the best films ever made , how could it not be ? but it is entertaining on an inferior level . it is a popcorn film , not a must-own , or even a must-see .<SPLIT>[[[[Label_1]]]]: positive<SPLIT>[[[[Example_2]]]]: Don't Miss<SPLIT><SPLIT>[[[[Label_2]]]]: negative<SPLIT>[[[[Example_3]]]]: ___<SPLIT><SPLIT>[[[[Label_3]]]]: positive<SPLIT>[[[[Example_4]]]]: ___<SPLIT><SPLIT>[[[[Label_4]]]]: negative<SPLIT>[[[[Example_5]]]]: ___<SPLIT><SPLIT>[[[[Label_5]]]]: positive<SPLIT>[[[[Example_6]]]]: ___<SPLIT><SPLIT>[[[[Label_6]]]]: negative<SPLIT>[[[[Example_7]]]]: ___<SPLIT><SPLIT>[[[[Label_7]]]]: positive","[[[[Sentence]]]]: red dragon "" never cuts corners .<SPLIT>[[[[Example_0]]]]: never once predictable .<SPLIT>[[[[Label_0]]]]: positive<SPLIT>[[[[Example_1]]]]: "" red dragon "" is entertaining . an obvious copy of one of the best films ever made , how could it not be ? but it is entertaining on an inferior level . it is a popcorn film , not a must-own , or even a must-see .<SPLIT>[[[[Label_1]]]]: positive<SPLIT>[[[[Example_2]]]]: Don't Miss<SPLIT><SPLIT>[[[[Label_2]]]]: negative<SPLIT>[[[[Example_3]]]]: ___<SPLIT><SPLIT>[[[[Label_3]]]]: positive<SPLIT>[[[[Example_4]]]]: ___<SPLIT><SPLIT>[[[[Label_4]]]]: negative<SPLIT>[[[[Example_5]]]]: ___<SPLIT><SPLIT>[[[[Label_5]]]]: positive<SPLIT>[[[[Example_6]]]]: ___<SPLIT><SPLIT>[[[[Label_6]]]]: negative<SPLIT>[[[[Example_7]]]]: ___<SPLIT><SPLIT>[[[[Label_7]]]]: positive",0.18242555856704712,0.18242555856704712,1,1,1,1,"Failed"
"[[[[Sentence]]]]: fresnadillo has something serious to say about the ways in which extravagant chance can distort our perspective and throw us off the path of good sense .<SPLIT>[[[[Example_0]]]]: horns and halos benefits from serendipity but also reminds us of our own responsibility to question what is told as the truth .<SPLIT>[[[[Label_0]]]]: positive<SPLIT>[[[[Example_1]]]]: ___<SPLIT><SPLIT>[[[[Label_1]]]]: negative<SPLIT>[[[[Example_2]]]]: ___<SPLIT><SPLIT>[[[[Label_2]]]]: positive<SPLIT>[[[[Example_3]]]]: ___<SPLIT><SPLIT>[[[[Label_3]]]]: positive<SPLIT>[[[[Example_4]]]]: ___<SPLIT><SPLIT>[[[[Label_4]]]]: negative<SPLIT>[[[[Example_5]]]]: ___<SPLIT><SPLIT>[[[[Label_5]]]]: positive<SPLIT>[[[[Example_6]]]]: ___<SPLIT><SPLIT>[[[[Label_6]]]]: negative<SPLIT>[[[[Example_7]]]]: there is little question that this is a serious work by an important director who has something new to say about how , in the flip-flop of courtship , we often reel in when we should be playing out .<SPLIT>[[[[Label_7]]]]: positive","[[[[Sentence]]]]: fresnadillo has something serious to say about the ways in which extravagant chance can distort our perspective and throw us off the path of good sense .<SPLIT>[[[[Example_0]]]]: horns and halos benefits from serendipity but also reminds us of our own responsibility to question what is told as the truth .<SPLIT>[[[[Label_0]]]]: positive<SPLIT>[[[[Example_1]]]]: ___<SPLIT><SPLIT>[[[[Label_1]]]]: negative<SPLIT>[[[[Example_2]]]]: ___<SPLIT><SPLIT>[[[[Label_2]]]]: positive<SPLIT>[[[[Example_3]]]]: ___<SPLIT><SPLIT>[[[[Label_3]]]]: positive<SPLIT>[[[[Example_4]]]]: ___<SPLIT><SPLIT>[[[[Label_4]]]]: negative<SPLIT>[[[[Example_5]]]]: ___<SPLIT><SPLIT>[[[[Label_5]]]]: positive<SPLIT>[[[[Example_6]]]]: ___<SPLIT><SPLIT>[[[[Label_6]]]]: negative<SPLIT>[[[[Example_7]]]]: there is little question that this is a serious work by an important director who has something new to say about how , in the flip-flop of courtship , we often reel in when we should be playing out .<SPLIT>[[[[Label_7]]]]: positive",0.18242555856704712,0.18242555856704712,1,1,1,1,"Failed"
"[[[[Sentence]]]]: throws in enough clever and unexpected twists to make the formula feel fresh .<SPLIT>[[[[Example_0]]]]: the script manages the rare trick of seeming at once both refreshingly different and reassuringly familiar .<SPLIT>[[[[Label_0]]]]: positive<SPLIT>[[[[Example_1]]]]: it's predictable , but it jumps through the expected hoops with style and even some depth .<SPLIT>[[[[Label_1]]]]: positive<SPLIT>[[[[Example_2]]]]: like mike isn't interested in recycling old cliches . it wants to tweak them with a taste of tangy new humor .<SPLIT>[[[[Label_2]]]]: positive<SPLIT>[[[[Example_3]]]]: impresses you with its open-endedness and surprises .<SPLIT>[[[[Label_3]]]]: positive<SPLIT>[[[[Example_4]]]]: takes a simple premise and carries it to unexpected heights .<SPLIT>[[[[Label_4]]]]: positive<SPLIT>[[[[Example_5]]]]: its scenes and sensibility are all more than familiar , but it exudes a kind of nostalgic spy-movie charm and , at the same time , is so fresh and free of the usual thriller nonsense that it all seems to be happening for the first time .<SPLIT>[[[[Label_5]]]]: positive<SPLIT>[[[[Example_6]]]]: everytime you think undercover brother has run out of steam , it finds a new way to surprise and amuse .<SPLIT>[[[[Label_6]]]]: positive<SPLIT>[[[[Example_7]]]]: although it bangs a very cliched drum at times , this crowd-pleaser's fresh dialogue , energetic music , and good-natured spunk are often infectious .<SPLIT>[[[[Label_7]]]]: positive","[[[[Sentence]]]]: throws in enough clever and unexpected twists to make the formula feel fresh .<SPLIT>[[[[Example_0]]]]: the script manages the rare trick of seeming at once both refreshingly different and reassuringly familiar .<SPLIT>[[[[Label_0]]]]: positive<SPLIT>[[[[Example_1]]]]: it's predictable , but it jumps through the expected hoops with style and even some depth .<SPLIT>[[[[Label_1]]]]: positive<SPLIT>[[[[Example_2]]]]: like mike isn't interested in recycling old cliches . it wants to tweak them with a taste of tangy new humor .<SPLIT>[[[[Label_2]]]]: positive<SPLIT>[[[[Example_3]]]]: impresses you with its open-endedness and surprises .<SPLIT>[[[[Label_3]]]]: positive<SPLIT>[[[[Example_4]]]]: takes a simple premise and carries it to unexpected heights .<SPLIT>[[[[Label_4]]]]: positive<SPLIT>[[[[Example_5]]]]: its scenes and sensibility are all more than familiar , but it exudes a kind of nostalgic spy-movie charm and , at the same time , is so fresh and free of the usual thriller nonsense that it all seems to be happening for the first time .<SPLIT>[[[[Label_5]]]]: positive<SPLIT>[[[[Example_6]]]]: everytime you think undercover brother has run out of steam , it finds a new way to surprise and amuse .<SPLIT>[[[[Label_6]]]]: positive<SPLIT>[[[[Example_7]]]]: although it bangs a very cliched drum at times , this crowd-pleaser's fresh dialogue , energetic music , and good-natured spunk are often infectious .<SPLIT>[[[[Label_7]]]]: positive",0.0021827220916748047,0.0021827220916748047,1,1,1,1,"Failed"
"[[[[Sentence]]]]: weighty and ponderous but every bit as filling as the treat of the title .<SPLIT>[[[[Example_0]]]]: may lack the pungent bite of its title , but it's an enjoyable trifle nonetheless .<SPLIT>[[[[Label_0]]]]: positive<SPLIT>[[[[Example_1]]]]: as befits its title , this pg-13-rated piffle is ultimately as threatening as the snuggle fabric softener bear .<SPLIT>[[[[Label_1]]]]: negative<SPLIT>[[[[Example_2]]]]: it's a square , sentimental drama that satisfies , as comfort food often can .<SPLIT>[[[[Label_2]]]]: positive<SPLIT>[[[[Example_3]]]]: as satisfyingly odd and intriguing a tale as it was a century and a half ago . . . has a delightfully dour , deadpan tone and stylistic consistency .<SPLIT>[[[[Label_3]]]]: positive<SPLIT>[[[[Example_4]]]]: dark , resonant , inventively detailed and packed with fleet turns of plot and a feast of visual amazement .<SPLIT>[[[[Label_4]]]]: positive<SPLIT>[[[[Example_5]]]]: for all the dolorous trim , secretary is a genial romance that maintains a surprisingly buoyant tone throughout , notwithstanding some of the writers' sporadic dips into pop freudianism .<SPLIT>[[[[Label_5]]]]: positive<SPLIT>[[[[Example_6]]]]: familiar but utterly delightful .<SPLIT>[[[[Label_6]]]]: positive<SPLIT>[[[[Example_7]]]]: it's technically sumptuous but also almost wildly alive .<SPLIT>[[[[Label_7]]]]: positive","[[[[Sentence]]]]: weighty and ponderous but every bit as filling as the treat of the title .<SPLIT>[[[[Example_0]]]]: may lack the pungent bite of its title , but it's an enjoyable trifle nonetheless .<SPLIT>[[[[Label_0]]]]: positive<SPLIT>[[[[Example_1]]]]: as befits its title , this pg-13-rated piffle is ultimately as threatening as the snuggle fabric softener bear .<SPLIT>[[[[Label_1]]]]: negative<SPLIT>[[[[Example_2]]]]: it's a square , sentimental drama that satisfies , as comfort food often can .<SPLIT>[[[[Label_2]]]]: positive<SPLIT>[[[[Example_3]]]]: as satisfyingly odd and intriguing a tale as it was a century and a half ago . . . has a delightfully dour , deadpan tone and stylistic consistency .<SPLIT>[[[[Label_3]]]]: positive<SPLIT>[[[[Example_4]]]]: dark , resonant , inventively detailed and packed with fleet turns of plot and a feast of visual amazement .<SPLIT>[[[[Label_4]]]]: positive<SPLIT>[[[[Example_5]]]]: for all the dolorous trim , secretary is a genial romance that maintains a surprisingly buoyant tone throughout , notwithstanding some of the writers' sporadic dips into pop freudianism .<SPLIT>[[[[Label_5]]]]: positive<SPLIT>[[[[Example_6]]]]: familiar but utterly delightful .<SPLIT>[[[[Label_6]]]]: positive<SPLIT>[[[[Example_7]]]]: it's technically sumptuous but also almost wildly alive .<SPLIT>[[[[Label_7]]]]: positive",0.16451644897460938,0.16451644897460938,1,1,1,1,"Failed"
"[[[[Sentence]]]]: a real audience-pleaser that will strike a chord with anyone who's ever waited in a doctor's office , emergency room , hospital bed or insurance company office .<SPLIT>[[[[Example_0]]]]: it's a sweet , laugh-a-minute crowd pleaser that lifts your spirits as well as the corners of your mouth .<SPLIT>[[[[Label_0]]]]: positive<SPLIT>[[[[Example_1]]]]: though mama takes a bit too long to find its rhythm and a third-act plot development is somewhat melodramatic , its ribald humor and touching nostalgia are sure to please anyone in search of a jules and jim for the new millennium .<SPLIT>[[[[Label_1]]]]: positive<SPLIT>[[[[Example_2]]]]: ___<SPLIT><SPLIT>[[[[Label_2]]]]: positive<SPLIT>[[[[Example_3]]]]: ___<SPLIT><SPLIT>[[[[Label_3]]]]: positive<SPLIT>[[[[Example_4]]]]: ___<SPLIT><SPLIT>[[[[Label_4]]]]: negative<SPLIT>[[[[Example_5]]]]: ___<SPLIT><SPLIT>[[[[Label_5]]]]: positive<SPLIT>[[[[Example_6]]]]: ___<SPLIT><SPLIT>[[[[Label_6]]]]: negative<SPLIT>[[[[Example_7]]]]: ___<SPLIT><SPLIT>[[[[Label_7]]]]: negative","[[[[Sentence]]]]: a real audience-pleaser that will strike a chord with anyone who's ever waited in a doctor's office , emergency room , hospital bed or insurance company office .<SPLIT>[[[[Example_0]]]]: it's a sweet , laugh-a-minute crowd pleaser that lifts your spirits as well as the corners of your mouth .<SPLIT>[[[[Label_0]]]]: positive<SPLIT>[[[[Example_1]]]]: though mama takes a bit too long to find its rhythm and a third-act plot development is somewhat melodramatic , its ribald humor and touching nostalgia are sure to please anyone in search of a jules and jim for the new millennium .<SPLIT>[[[[Label_1]]]]: positive<SPLIT>[[[[Example_2]]]]: ___<SPLIT><SPLIT>[[[[Label_2]]]]: positive<SPLIT>[[[[Example_3]]]]: ___<SPLIT><SPLIT>[[[[Label_3]]]]: positive<SPLIT>[[[[Example_4]]]]: ___<SPLIT><SPLIT>[[[[Label_4]]]]: negative<SPLIT>[[[[Example_5]]]]: ___<SPLIT><SPLIT>[[[[Label_5]]]]: positive<SPLIT>[[[[Example_6]]]]: ___<SPLIT><SPLIT>[[[[Label_6]]]]: negative<SPLIT>[[[[Example_7]]]]: ___<SPLIT><SPLIT>[[[[Label_7]]]]: negative",0.14804714918136597,0.14804714918136597,1,1,1,1,"Failed"
"[[[[Sentence]]]]: generates an enormous feeling of empathy for its characters .<SPLIT>[[[[Example_0]]]]: it's a familiar story , but one that is presented with great sympathy and intelligence .<SPLIT>[[[[Label_0]]]]: positive<SPLIT>[[[[Example_1]]]]: the actors are so terrific at conveying their young angst , we do indeed feel for them .<SPLIT>[[[[Label_1]]]]: positive<SPLIT>[[[[Example_2]]]]: genuinely touching because it's realistic about all kinds of love .<SPLIT>[[[[Label_2]]]]: positive<SPLIT>[[[[Example_3]]]]: you can feel the heat that ignites this gripping tale , and the humor and humanity that root it in feeling .<SPLIT>[[[[Label_3]]]]: positive<SPLIT>[[[[Example_4]]]]: full of profound , real-life moments that anyone can relate to , it deserves a wide audience .<SPLIT>[[[[Label_4]]]]: positive<SPLIT>[[[[Example_5]]]]: a film of epic scale with an intimate feeling , a saga of the ups and downs of friendships .<SPLIT>[[[[Label_5]]]]: positive<SPLIT>[[[[Example_6]]]]: you'd have to be a most hard-hearted person not to be moved by this drama .<SPLIT>[[[[Label_6]]]]: positive<SPLIT>[[[[Example_7]]]]: the emotions are raw and will strike a nerve with anyone who's ever had family trauma .<SPLIT>[[[[Label_7]]]]: positive","[[[[Sentence]]]]: generates an enormous feeling of empathy for its characters .<SPLIT>[[[[Example_0]]]]: it's a familiar story , but one that is presented with great sympathy and intelligence .<SPLIT>[[[[Label_0]]]]: positive<SPLIT>[[[[Example_1]]]]: the actors are so terrific at conveying their young angst , we do indeed feel for them .<SPLIT>[[[[Label_1]]]]: positive<SPLIT>[[[[Example_2]]]]: genuinely touching because it's realistic about all kinds of love .<SPLIT>[[[[Label_2]]]]: positive<SPLIT>[[[[Example_3]]]]: you can feel the heat that ignites this gripping tale , and the humor and humanity that root it in feeling .<SPLIT>[[[[Label_3]]]]: positive<SPLIT>[[[[Example_4]]]]: full of profound , real-life moments that anyone can relate to , it deserves a wide audience .<SPLIT>[[[[Label_4]]]]: positive<SPLIT>[[[[Example_5]]]]: a film of epic scale with an intimate feeling , a saga of the ups and downs of friendships .<SPLIT>[[[[Label_5]]]]: positive<SPLIT>[[[[Example_6]]]]: you'd have to be a most hard-hearted person not to be moved by this drama .<SPLIT>[[[[Label_6]]]]: positive<SPLIT>[[[[Example_7]]]]: the emotions are raw and will strike a nerve with anyone who's ever had family trauma .<SPLIT>[[[[Label_7]]]]: positive",0.0009109973907470703,0.0009109973907470703,1,1,1,1,"Failed"
