"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"it 's a [[charming]] and often [[affecting]] journey . ","it 's a [[ϲharming]] and often [[affectіng]] journey . ",0.0019267797470092773,0.14804714918136597,1,1,1,49,"Failed"
"unflinchingly bleak and desperate ","unflinchingly bleak and desperate ",0.9046505689620972,0.9046505689620972,1,1,0,1,"Skipped"
"allows us to [[hope]] that nolan is poised to embark a [[major]] career as a commercial yet [[inventive]] filmmaker . ","allows us to [[հope]] that nolan is poised to embark a [[majoⲅ]] career as a commercial yet [[iոventive]] filmmaker . ",0.010986924171447754,0.2018132209777832,1,1,1,53,"Failed"
"the acting , [[costumes]] , music , cinematography and sound are all [[astounding]] [[given]] the production 's austere locales . ","the acting , [[clothes]] , music , cinematography and sound are all [[as𝚝ounding]] [[conferred]] the production 's austere locales . ",0.006692826747894287,0.2227001190185547,1,1,1,67,"Failed"
"it 's slow -- very , very slow . ","it 's slow -- very , very slow . ",0.8670357465744019,0.8670357465744019,1,1,0,1,"Skipped"
"[[although]] laced with [[humor]] and a few fanciful touches , the film is a [[refreshingly]] serious look at young women . ","[[altհough]] laced with [[mood]] and a few fanciful touches , the film is a [[neatly]] serious look at young women . ",0.014063596725463867,0.377540647983551,1,1,1,118,"Failed"
"a sometimes tedious film . ","a sometimes tedious film . ",0.7549149990081787,0.7549149990081787,1,1,0,1,"Skipped"
"or doing last year 's taxes with your ex-wife . ","or doing last year 's taxes with your ex-wife . ",0.9399133324623108,0.9399133324623108,1,1,0,1,"Skipped"
"you do n't have to [[know]] about music to appreciate the film 's [[easygoing]] [[blend]] of comedy and romance . ","you do n't have to [[soaps]] about music to appreciate the film 's [[talkative]] [[blenԁ]] of comedy and romance . ",0.00522005558013916,0.2227001190185547,1,1,1,49,"Failed"
"in exactly 89 minutes , most of which passed as slowly as if i 'd been sitting naked on an igloo , formula 51 sank from quirky to jerky to utter turkey . ","in exactly 89 minutes , most of which passed as slowly as if i 'd been sitting naked on an igloo , formula 51 sank from quirky to jerky to utter turkey . ",0.7057850360870361,0.7057850360870361,1,1,0,1,"Skipped"
"the mesmerizing [[performances]] of the [[leads]] keep the film [[grounded]] and keep the audience riveted . ","the mesmerizing [[perfoⲅmances]] of the [[conducts]] keep the film [[ɡrounded]] and keep the audience riveted . ",0.00522005558013916,0.14804714918136597,1,1,1,56,"Failed"
"it takes a strange kind of laziness to waste the talents of robert forster , anne meara , eugene levy , and reginald veljohnson all in the same movie . ","it takes a strange kind of laziness to waste the talents of robert forster , anne meara , eugene levy , and reginald veljohnson all in the same movie . ",0.8807970881462097,0.8807970881462097,1,1,0,1,"Skipped"
"... the film suffers from a lack of humor ( something needed to balance out the violence ) ... ","... the film suffers from a lack of humor ( something needed to balance out the violence ) ... ",0.7981867790222168,0.7981867790222168,1,1,0,1,"Skipped"
