"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"they 're easy to [[use]]","they 're easy to [[exploited]]",0.2018132209777832,0.9324532747268677,1,0,1,29,"Successful"
"playlists can be generated on the [[fly]] ( which is a bit clunky but [[still]] a really nice bonus ) or by [[using]] the software , and there are a bevy of eq [[options]]","playlists can be generated on the [[flying]] ( which is a bit clunky but [[once]] a really nice bonus ) or by [[consumes]] the software , and there are a bevy of eq [[alternate]]",0.2450850009918213,0.46879059076309204,1,1,1,194,"Failed"
"[[simply]] , the canon g3 is the [[best]] digital camera out there today at this price point","[[barely]] , the canon g3 is the [[good]] digital camera out there today at this price point",0.06008666753768921,0.6224592924118042,1,0,1,49,"Successful"
"multimedia functions are [[enhanced]] by multi slide mms [[messages]] and a gallery for organizing digital content captured or downloaded with the phone","multimedia functions are [[raise]] by multi slide mms [[notices]] and a gallery for organizing digital content captured or downloaded with the phone",0.2689414620399475,0.5,1,0,1,108,"Successful"
"[[oh]] , and another is the [[cool]] halo light that surrounds the touch pad , and light 's up when you touch the screen , and how the light glows when the zen is connected to the [[computer]]","[[argh]] , and another is the [[copacetic]] halo light that surrounds the touch pad , and light 's up when you touch the screen , and how the light glows when the zen is connected to the [[team]]",0.06754672527313232,0.5,1,0,1,91,"Successful"
"i 'd say that this [[camera]] is [[perfect]]","i 'd say that this [[bedroom]] is [[blameless]]",0.03308594226837158,0.5621764659881592,1,0,1,23,"Successful"
"this is the [[best]] phone i have seen","this is the [[higher]] phone i have seen",0.06008666753768921,0.5,1,0,1,30,"Successful"
"this one has a [[good]] looking","this one has a [[ok]] looking",0.2227001190185547,0.46879059076309204,1,1,1,19,"Failed"
"they [[made]] the other end of the camera flat so you can put the camera upright on a flat surface if you don 't like to take the usual horizontal pictures using the self timer","they [[yielded]] the other end of the camera flat so you can put the camera upright on a flat surface if you don 't like to take the usual horizontal pictures using the self timer",0.377540647983551,0.5,1,0,1,65,"Successful"
"don 't care about sunlight it 's tft","don 't care about sunlight it 's tft",0.5312093496322632,0.5312093496322632,0,0,1,1,"Skipped"
"other than that , i [[love]] this [[camera]]","other than that , i [[cared]] this [[bedroom]]",0.07585817575454712,0.7310585975646973,1,0,1,31,"Successful"
"the macro mode is [[exceptional]] , the pictures are very clear and you can take the pictures with the lens unbelievably close the [[subject]]","the macro mode is [[unusual]] , the pictures are very clear and you can take the pictures with the lens unbelievably close the [[question]]",0.13296425342559814,0.6513548493385315,1,0,1,62,"Successful"
"i do not [[need]] to repeat what 's great about this phone","i do not [[imperative]] to repeat what 's great about this phone",0.32082128524780273,0.5,1,0,1,28,"Successful"
"the screen is [[very]] easy to [[read]] and the blue light is [[bright]] enough to read at night , but dim enough so it does n 't blind you when you stare too long","the screen is [[too]] easy to [[leer]] and the blue light is [[radioactive]] enough to read at night , but dim enough so it does n 't blind you when you stare too long",0.14804714918136597,0.6513548493385315,1,0,1,102,"Successful"
