"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"[[[[Sentence]]]]: they 're easy to use<SPLIT>[[[[Example_0]]]]: really easy to use<SPLIT>[[[[Label_0]]]]: positive<SPLIT>[[[[Example_1]]]]: the buttons and interface are very easy to use<SPLIT>[[[[Label_1]]]]: [[positive]]<SPLIT>[[[[Example_2]]]]: the interface is simple to use<SPLIT>[[[[Label_2]]]]: [[positive]]<SPLIT>[[[[Example_3]]]]: very simple to use<SPLIT>[[[[Label_3]]]]: [[positive]]","[[[[Sentence]]]]: they 're easy to use<SPLIT>[[[[Example_0]]]]: really easy to use<SPLIT>[[[[Label_0]]]]: positive<SPLIT>[[[[Example_1]]]]: the buttons and interface are very easy to use<SPLIT>[[[[Label_1]]]]: [[negative]]<SPLIT>[[[[Example_2]]]]: the interface is simple to use<SPLIT>[[[[Label_2]]]]: [[negative]]<SPLIT>[[[[Example_3]]]]: very simple to use<SPLIT>[[[[Label_3]]]]: [[negative]]",0.01590639352798462,0.5621764659881592,1,0,1,10,"Successful"
"[[[[Sentence]]]]: playlists can be generated on the fly ( which is a bit clunky but still a really nice bonus ) or by using the software , and there are a bevy of eq options<SPLIT>[[[[Example_0]]]]: you can create playlists , drag drop songs and playlists to your player , and rip directly from cd to your player<SPLIT>[[[[Label_0]]]]: positive<SPLIT>[[[[Example_1]]]]: creating and modifying playlists is easy and clean<SPLIT>[[[[Label_1]]]]: [[positive]]<SPLIT>[[[[Example_2]]]]: lots of sound options , has an equalizer almost like winamp with the options<SPLIT>[[[[Label_2]]]]: [[positive]]<SPLIT>[[[[Example_3]]]]: i love that you can create custom playlists , and organize music in so many different ways<SPLIT>[[[[Label_3]]]]: [[positive]]","[[[[Sentence]]]]: playlists can be generated on the fly ( which is a bit clunky but still a really nice bonus ) or by using the software , and there are a bevy of eq options<SPLIT>[[[[Example_0]]]]: you can create playlists , drag drop songs and playlists to your player , and rip directly from cd to your player<SPLIT>[[[[Label_0]]]]: positive<SPLIT>[[[[Example_1]]]]: creating and modifying playlists is easy and clean<SPLIT>[[[[Label_1]]]]: [[negative]]<SPLIT>[[[[Example_2]]]]: lots of sound options , has an equalizer almost like winamp with the options<SPLIT>[[[[Label_2]]]]: [[negative]]<SPLIT>[[[[Example_3]]]]: i love that you can create custom playlists , and organize music in so many different ways<SPLIT>[[[[Label_3]]]]: [[negative]]",0.014063596725463867,0.6224592924118042,1,0,1,10,"Successful"
"[[[[Sentence]]]]: simply , the canon g3 is the best digital camera out there today at this price point<SPLIT>[[[[Example_0]]]]: recent price drops have made the g3 the best bargain in digital cameras currently available<SPLIT>[[[[Label_0]]]]: positive<SPLIT>[[[[Example_1]]]]: the canon g3 is perhaps the best 4mp camera out there<SPLIT>[[[[Label_1]]]]: [[positive]]<SPLIT>[[[[Example_2]]]]: nikon 4300 , i feel , is the best camera out there for the features and price<SPLIT>[[[[Label_2]]]]: [[positive]]<SPLIT>[[[[Example_3]]]]: i recommend unreservedly the powershot g3 to any potential buyer looking for a first class digital camera at a reasonable price there is no better camera out there period !<SPLIT>[[[[Label_3]]]]: [[positive]]","[[[[Sentence]]]]: simply , the canon g3 is the best digital camera out there today at this price point<SPLIT>[[[[Example_0]]]]: recent price drops have made the g3 the best bargain in digital cameras currently available<SPLIT>[[[[Label_0]]]]: positive<SPLIT>[[[[Example_1]]]]: the canon g3 is perhaps the best 4mp camera out there<SPLIT>[[[[Label_1]]]]: [[negative]]<SPLIT>[[[[Example_2]]]]: nikon 4300 , i feel , is the best camera out there for the features and price<SPLIT>[[[[Label_2]]]]: [[negative]]<SPLIT>[[[[Example_3]]]]: i recommend unreservedly the powershot g3 to any potential buyer looking for a first class digital camera at a reasonable price there is no better camera out there period !<SPLIT>[[[[Label_3]]]]: [[negative]]",0.008577525615692139,0.6513548493385315,1,0,1,10,"Successful"
"[[[[Sentence]]]]: multimedia functions are enhanced by multi slide mms messages and a gallery for organizing digital content captured or downloaded with the phone<SPLIT>[[[[Example_0]]]]: the phone also sports an image gallery ( with option camera attachment ) , a calendar organizer , alarm clock with snooze , fm radio ( way cool , even if it is just through an ear peice ) , games , java applications and gprs high speed internet connection<SPLIT>[[[[Label_0]]]]: positive<SPLIT>[[[[Example_1]]]]: it uses the extend able mmc memory , it is perfect for storing videos , pictures and mp3s<SPLIT>[[[[Label_1]]]]: positive<SPLIT>[[[[Example_2]]]]: it receives very nice mms pictures from other gsm phones<SPLIT>[[[[Label_2]]]]: [[positive]]<SPLIT>[[[[Example_3]]]]: and the phone has a very cool feature which allows you to send images via a normal pop3 smtp e mail account<SPLIT>[[[[Label_3]]]]: [[positive]]","[[[[Sentence]]]]: multimedia functions are enhanced by multi slide mms messages and a gallery for organizing digital content captured or downloaded with the phone<SPLIT>[[[[Example_0]]]]: the phone also sports an image gallery ( with option camera attachment ) , a calendar organizer , alarm clock with snooze , fm radio ( way cool , even if it is just through an ear peice ) , games , java applications and gprs high speed internet connection<SPLIT>[[[[Label_0]]]]: positive<SPLIT>[[[[Example_1]]]]: it uses the extend able mmc memory , it is perfect for storing videos , pictures and mp3s<SPLIT>[[[[Label_1]]]]: positive<SPLIT>[[[[Example_2]]]]: it receives very nice mms pictures from other gsm phones<SPLIT>[[[[Label_2]]]]: [[negative]]<SPLIT>[[[[Example_3]]]]: and the phone has a very cool feature which allows you to send images via a normal pop3 smtp e mail account<SPLIT>[[[[Label_3]]]]: [[negative]]",0.022977352142333984,0.5,1,0,1,8,"Successful"
"[[[[Sentence]]]]: oh , and another is the cool halo light that surrounds the touch pad , and light 's up when you touch the screen , and how the light glows when the zen is connected to the computer<SPLIT>[[[[Example_0]]]]: the blue backlight is pretty cool<SPLIT>[[[[Label_0]]]]: [[positive]]<SPLIT>[[[[Example_1]]]]: the screen is bright , easy to see in the daylight , with nice colors<SPLIT>[[[[Label_1]]]]: [[positive]]<SPLIT>[[[[Example_2]]]]: very sleek stylish as well as the screen options and visuals it has<SPLIT>[[[[Label_2]]]]: [[positive]]<SPLIT>[[[[Example_3]]]]: bright , visible screen<SPLIT>[[[[Label_3]]]]: [[positive]]","[[[[Sentence]]]]: oh , and another is the cool halo light that surrounds the touch pad , and light 's up when you touch the screen , and how the light glows when the zen is connected to the computer<SPLIT>[[[[Example_0]]]]: the blue backlight is pretty cool<SPLIT>[[[[Label_0]]]]: [[negative]]<SPLIT>[[[[Example_1]]]]: the screen is bright , easy to see in the daylight , with nice colors<SPLIT>[[[[Label_1]]]]: [[negative]]<SPLIT>[[[[Example_2]]]]: very sleek stylish as well as the screen options and visuals it has<SPLIT>[[[[Label_2]]]]: [[negative]]<SPLIT>[[[[Example_3]]]]: bright , visible screen<SPLIT>[[[[Label_3]]]]: [[negative]]",0.003376603126525879,0.6513548493385315,1,0,1,11,"Successful"
"[[[[Sentence]]]]: i 'd say that this camera is perfect<SPLIT>[[[[Example_0]]]]: the size of the camera is perfect<SPLIT>[[[[Label_0]]]]: positive<SPLIT>[[[[Example_1]]]]: the software you get with this camera is perfect<SPLIT>[[[[Label_1]]]]: [[positive]]<SPLIT>[[[[Example_2]]]]: this is the perfect camera for a photo hobbiest who wants to have easy point and shoot ability as well<SPLIT>[[[[Label_2]]]]: [[positive]]<SPLIT>[[[[Example_3]]]]: this camera is perfect for an enthusiastic amateur photographer<SPLIT>[[[[Label_3]]]]: [[positive]]","[[[[Sentence]]]]: i 'd say that this camera is perfect<SPLIT>[[[[Example_0]]]]: the size of the camera is perfect<SPLIT>[[[[Label_0]]]]: positive<SPLIT>[[[[Example_1]]]]: the software you get with this camera is perfect<SPLIT>[[[[Label_1]]]]: [[negative]]<SPLIT>[[[[Example_2]]]]: this is the perfect camera for a photo hobbiest who wants to have easy point and shoot ability as well<SPLIT>[[[[Label_2]]]]: [[negative]]<SPLIT>[[[[Example_3]]]]: this camera is perfect for an enthusiastic amateur photographer<SPLIT>[[[[Label_3]]]]: [[negative]]",0.02931225299835205,0.5312093496322632,1,0,1,10,"Successful"
"[[[[Sentence]]]]: this is the best phone i have seen<SPLIT>[[[[Example_0]]]]: this phone is one of the best i ' ve ever used<SPLIT>[[[[Label_0]]]]: positive<SPLIT>[[[[Example_1]]]]: one of the best cell phones i have ever used to date<SPLIT>[[[[Label_1]]]]: [[positive]]<SPLIT>[[[[Example_2]]]]: overall this is the best phone i have ever owned<SPLIT>[[[[Label_2]]]]: [[positive]]<SPLIT>[[[[Example_3]]]]: but this by far is the best phone out there right now !<SPLIT>[[[[Label_3]]]]: [[positive]]","[[[[Sentence]]]]: this is the best phone i have seen<SPLIT>[[[[Example_0]]]]: this phone is one of the best i ' ve ever used<SPLIT>[[[[Label_0]]]]: positive<SPLIT>[[[[Example_1]]]]: one of the best cell phones i have ever used to date<SPLIT>[[[[Label_1]]]]: [[negative]]<SPLIT>[[[[Example_2]]]]: overall this is the best phone i have ever owned<SPLIT>[[[[Label_2]]]]: [[negative]]<SPLIT>[[[[Example_3]]]]: but this by far is the best phone out there right now !<SPLIT>[[[[Label_3]]]]: [[negative]]",0.02595740556716919,0.5926665663719177,1,0,1,10,"Successful"
"[[[[Sentence]]]]: this one has a good looking<SPLIT>[[[[Example_0]]]]: good looks<SPLIT>[[[[Label_0]]]]: positive<SPLIT>[[[[Example_1]]]]: its nice look is also a plus<SPLIT>[[[[Label_1]]]]: [[positive]]<SPLIT>[[[[Example_2]]]]: the appearance is okay ed ( at least not ugly )<SPLIT>[[[[Label_2]]]]: [[positive]]<SPLIT>[[[[Example_3]]]]: it ' s very sleek looking with a very good front panel button layout , and it has a great feature set<SPLIT>[[[[Label_3]]]]: [[positive]]","[[[[Sentence]]]]: this one has a good looking<SPLIT>[[[[Example_0]]]]: good looks<SPLIT>[[[[Label_0]]]]: positive<SPLIT>[[[[Example_1]]]]: its nice look is also a plus<SPLIT>[[[[Label_1]]]]: [[negative]]<SPLIT>[[[[Example_2]]]]: the appearance is okay ed ( at least not ugly )<SPLIT>[[[[Label_2]]]]: [[negative]]<SPLIT>[[[[Example_3]]]]: it ' s very sleek looking with a very good front panel button layout , and it has a great feature set<SPLIT>[[[[Label_3]]]]: [[negative]]",0.02033233642578125,0.5621764659881592,1,0,1,10,"Successful"
"[[[[Sentence]]]]: they made the other end of the camera flat so you can put the camera upright on a flat surface if you don 't like to take the usual horizontal pictures using the self timer<SPLIT>[[[[Example_0]]]]: if you haven ' t noticed , they designed it so that you can also take vertical pictures when you do the self timer<SPLIT>[[[[Label_0]]]]: positive<SPLIT>[[[[Example_1]]]]: the inside pics , can be a bit challenging , but when you can instantly delete pics you dont like , that are not focused perfectly , or need lighting adjustments , make this camera very simple and effective<SPLIT>[[[[Label_1]]]]: negative<SPLIT>[[[[Example_2]]]]: bottom line , well made camera , easy to use , very flexible and powerful features to include the ability to use external flash and lense filters choices<SPLIT>[[[[Label_2]]]]: [[positive]]<SPLIT>[[[[Example_3]]]]: the lcd screen pulls out and rotates in any direction for easy pictures<SPLIT>[[[[Label_3]]]]: [[positive]]","[[[[Sentence]]]]: they made the other end of the camera flat so you can put the camera upright on a flat surface if you don 't like to take the usual horizontal pictures using the self timer<SPLIT>[[[[Example_0]]]]: if you haven ' t noticed , they designed it so that you can also take vertical pictures when you do the self timer<SPLIT>[[[[Label_0]]]]: positive<SPLIT>[[[[Example_1]]]]: the inside pics , can be a bit challenging , but when you can instantly delete pics you dont like , that are not focused perfectly , or need lighting adjustments , make this camera very simple and effective<SPLIT>[[[[Label_1]]]]: negative<SPLIT>[[[[Example_2]]]]: bottom line , well made camera , easy to use , very flexible and powerful features to include the ability to use external flash and lense filters choices<SPLIT>[[[[Label_2]]]]: [[negative]]<SPLIT>[[[[Example_3]]]]: the lcd screen pulls out and rotates in any direction for easy pictures<SPLIT>[[[[Label_3]]]]: [[negative]]",0.14804714918136597,0.5312093496322632,1,0,1,8,"Successful"
"[[[[Sentence]]]]: don 't care about sunlight it 's tft<SPLIT>[[[[Example_0]]]]: people also have complained about the case not having a window , but that ' s not really a big deal to me either the case is sturdy and offers very good protection<SPLIT>[[[[Label_0]]]]: [[positive]]<SPLIT>[[[[Example_1]]]]: i like to take pictures when i go out at night and perhaps some people would complain that noise levels are high at higher iso ' s but i don ' t really care that much , i think it gives the pictures a certain real life quality<SPLIT>[[[[Label_1]]]]: positive<SPLIT>[[[[Example_2]]]]: however , the battery life is good enough you should n ' t be overly concerned with turning this phone off<SPLIT>[[[[Label_2]]]]: [[positive]]<SPLIT>[[[[Example_3]]]]: i do n ' t always care for gracenotes ' genre listings but it allows easy editing of id3 tags<SPLIT>[[[[Label_3]]]]: [[positive]]","[[[[Sentence]]]]: don 't care about sunlight it 's tft<SPLIT>[[[[Example_0]]]]: people also have complained about the case not having a window , but that ' s not really a big deal to me either the case is sturdy and offers very good protection<SPLIT>[[[[Label_0]]]]: [[negative]]<SPLIT>[[[[Example_1]]]]: i like to take pictures when i go out at night and perhaps some people would complain that noise levels are high at higher iso ' s but i don ' t really care that much , i think it gives the pictures a certain real life quality<SPLIT>[[[[Label_1]]]]: positive<SPLIT>[[[[Example_2]]]]: however , the battery life is good enough you should n ' t be overly concerned with turning this phone off<SPLIT>[[[[Label_2]]]]: [[negative]]<SPLIT>[[[[Example_3]]]]: i do n ' t always care for gracenotes ' genre listings but it allows easy editing of id3 tags<SPLIT>[[[[Label_3]]]]: [[negative]]",0.06754672527313232,0.5,1,0,1,10,"Successful"
