"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"it 's a [[charming]] and often [[affecting]] journey . ","it 's a [[mimi]] and often [[affected]] journey . ",0.0179862380027771,0.9924227595329285,1,0,1,50,"Successful"
"unflinchingly [[bleak]] and desperate ","unflinchingly [[melancholic]] and desperate ",0.34864509105682373,0.6791787147521973,0,1,0,27,"Successful"
"allows us to [[hope]] that nolan is poised to embark a major career as a commercial yet [[inventive]] [[filmmaker]] . ","allows us to [[waits]] that nolan is poised to embark a major career as a commercial yet [[novelty]] [[cinematographers]] . ",0.04742586612701416,0.5621764659881592,1,0,1,60,"Successful"
"the [[acting]] , costumes , music , cinematography and sound are all [[astounding]] [[given]] the production 's austere locales . ","the [[behaving]] , costumes , music , cinematography and sound are all [[breathless]] [[auctioned]] the production 's austere locales . ",0.03308594226837158,0.2689414620399475,1,1,1,49,"Failed"
"it 's slow -- very , very [[slow]] . ","it 's slow -- very , very [[lent]] . ",0.022977352142333984,0.04208773374557495,0,0,0,12,"Failed"
"although laced with humor and a few fanciful touches , the film is a [[refreshingly]] serious look at young women . ","although laced with humor and a few fanciful touches , the film is a [[blithely]] serious look at young women . ",0.06008666753768921,0.6791787147521973,1,0,1,37,"Successful"
"a sometimes [[tedious]] film . ","a sometimes [[uphill]] film . ",0.02033233642578125,0.29421496391296387,0,0,0,33,"Failed"
"or [[doing]] [[last]] year 's taxes with your ex-wife . ","or [[effected]] [[preceding]] year 's taxes with your ex-wife . ",0.03308594226837158,0.05340331792831421,0,0,0,39,"Failed"
"you do n't [[have]] to know about music to appreciate the film 's easygoing blend of comedy and romance . ","you do n't [[gets]] to know about music to appreciate the film 's easygoing blend of comedy and romance . ",0.07585817575454712,0.5,1,0,1,30,"Successful"
"in exactly 89 [[minutes]] , most of which [[passed]] as slowly as if i 'd been sitting naked on an igloo , formula 51 [[sank]] from [[quirky]] to jerky to utter [[turkey]] . ","in exactly 89 [[mn]] , most of which [[voted]] as slowly as if i 'd been sitting naked on an igloo , formula 51 [[dabbled]] from [[madman]] to jerky to utter [[ankara]] . ",0.0031726956367492676,0.04208773374557495,0,0,0,97,"Failed"
"the mesmerizing performances of the [[leads]] [[keep]] the film grounded and keep the audience [[riveted]] . ","the mesmerizing performances of the [[runways]] [[kept]] the film grounded and keep the audience [[mystified]] . ",0.03308594226837158,0.2018132209777832,1,1,1,74,"Failed"
"it [[takes]] a strange kind of [[laziness]] to [[waste]] the talents of robert forster , anne meara , eugene levy , and reginald veljohnson all in the same [[movie]] . ","it [[chosen]] a strange kind of [[idleness]] to [[residues]] the talents of robert forster , anne meara , eugene levy , and reginald veljohnson all in the same [[cine]] . ",0.00522005558013916,0.2450850009918213,0,0,0,85,"Failed"
"... the film suffers from a [[lack]] of [[humor]] ( something needed to balance out the [[violence]] ) ... ","... the film suffers from a [[drawback]] of [[joking]] ( something needed to balance out the [[mistreatment]] ) ... ",0.03308594226837158,0.2450850009918213,0,0,0,61,"Failed"
"we [[root]] for ( clara and paul ) , even like them , though perhaps it 's an emotion closer to pity . ","we [[originating]] for ( clara and paul ) , even like them , though perhaps it 's an emotion closer to pity . ",0.32082128524780273,0.7310585975646973,1,0,1,29,"Successful"
"even horror [[fans]] will most likely not find what they 're [[seeking]] with trouble every day ; the movie [[lacks]] both thrills and [[humor]] . ","even horror [[fan]] will most likely not find what they 're [[searches]] with trouble every day ; the movie [[scarcity]] both thrills and [[humour]] . ",0.008577525615692139,0.5621764659881592,0,1,0,119,"Successful"
"a [[gorgeous]] , high-spirited [[musical]] from india that exquisitely blends music , dance , song , and high [[drama]] . ","a [[belle]] , high-spirited [[musician]] from india that exquisitely blends music , dance , song , and high [[opera]] . ",0.00522005558013916,0.04742586612701416,1,1,1,81,"Failed"
"the [[emotions]] are [[raw]] and will strike a nerve with anyone who 's ever had family trauma . ","the [[emotion]] are [[coarse]] and will strike a nerve with anyone who 's ever had family trauma . ",0.10669058561325073,0.5,1,0,1,19,"Successful"
"[[audrey]] tatou [[has]] a [[knack]] for picking roles that [[magnify]] her outrageous [[charm]] , and in this literate french comedy , she 's as morning-glory exuberant as she was in amélie . ","[[vivien]] tatou [[acres]] a [[donated]] for picking roles that [[broadening]] her outrageous [[attractiveness]] , and in this literate french comedy , she 's as morning-glory exuberant as she was in amélie . ",0.007577240467071533,0.06008666753768921,1,1,1,89,"Failed"
"... the [[movie]] is just a [[plain]] old monster . ","... the [[theaters]] is just a [[plains]] old monster . ",0.03308594226837158,0.2227001190185547,0,0,0,36,"Failed"
"in its best moments , resembles a bad high [[school]] [[production]] of grease , without benefit of [[song]] . ","in its best moments , resembles a bad high [[campuses]] [[productive]] of grease , without benefit of [[anthems]] . ",0.010986924171447754,0.2689414620399475,0,0,0,93,"Failed"
"[[pumpkin]] [[takes]] an admirable look at the hypocrisy of political correctness , but it does so with such an [[uneven]] tone that you never know when [[humor]] [[ends]] and tragedy begins . ","[[darlin]] [[selecting]] an admirable look at the hypocrisy of political correctness , but it does so with such an [[irregular]] tone that you never know when [[amusing]] [[extremity]] and tragedy begins . ",0.037326931953430176,0.4073333740234375,0,0,0,97,"Failed"
