"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"[[[[Premise]]]]: dana reeve, the widow of the actor christopher reeve, has died of lung cancer at age 44, according to the christopher reeve foundation.<SPLIT>[[[[Hypothesis]]]]: christopher reeve had an accident.","[[[[Premise]]]]: dana reeve, the widow of the actor christopher reeve, has died of lung cancer at age 44, according to the christopher reeve foundation.<SPLIT>[[[[Hypothesis]]]]: christopher reeve had an accident.",0.6553080081939697,0.6553080081939697,0,0,1,1,"Skipped"
"[[[[Premise]]]]: yet, we now are discovering that antibiotics are losing their effectiveness against illness. disease-causing bacteria are mutating faster than we can come up with new antibiotics to fight the new variations.<SPLIT>[[[[Hypothesis]]]]: bacteria is winning the war against antibiotics.","[[[[Premise]]]]: yet, we now are discovering that antibiotics are losing their effectiveness against illness. disease-causing bacteria are mutating faster than we can come up with new antibiotics to fight the new variations.<SPLIT>[[[[Hypothesis]]]]: bacteria is winning the war against antibiotics.",0.5613002777099609,0.5613002777099609,1,1,0,1,"Skipped"
"[[[[Premise]]]]: [[cairo]] is now home to some 15 [[million]] people - a [[burgeoning]] population that [[produces]] approximately 10,000 tonnes of [[rubbish]] [[per]] day, putting an enormous [[strain]] on public services. in the past 10 [[years]], the government has [[tried]] hard to [[encourage]] private investment in the refuse sector, but some estimate 4,000 [[tonnes]] of waste is left behind every day, festering in the heat as it waits for someone to clear it up. it is often the people in the poorest neighbourhoods that are worst affected. but in some areas they are fighting back. in shubra, one of the northern districts of the city, the residents have taken to the streets armed with dustpans and brushes to clean up public areas which have been used as public dumps.<SPLIT>[[[[Hypothesis]]]]: [[15]] [[million]] [[tonnes]] of rubbish are [[produced]] daily in cairo.","[[[[Premise]]]]: [[egypt]] is now home to some 15 [[mln]] people - a [[burɡeoning]] population that [[proԁuces]] approximately 10,000 tonnes of [[trash]] [[рer]] day, putting an enormous [[stump]] on public services. in the past 10 [[ages]], the government has [[try]] hard to [[еncourage]] private investment in the refuse sector, but some estimate 4,000 [[tons]] of waste is left behind every day, festering in the heat as it waits for someone to clear it up. it is often the people in the poorest neighbourhoods that are worst affected. but in some areas they are fighting back. in shubra, one of the northern districts of the city, the residents have taken to the streets armed with dustpans and brushes to clean up public areas which have been used as public dumps.<SPLIT>[[[[Hypothesis]]]]: [[1Ƽ]] [[mill]] [[ion]] [[shitloads]] of rubbish are [[yielded]] daily in cairo.",0.09858900308609009,0.4789438843727112,1,1,1,282,"Failed"
"[[[[Premise]]]]: the amish community in pennsylvania, which numbers about 55,000, lives an agrarian lifestyle, shunning technological advances like electricity and automobiles. and many say their insular lifestyle gives them a sense that they are protected from the violence of american society. but as residents gathered near the school, some wearing traditional garb and arriving in horse-drawn buggies, they said that sense of safety had been shattered. ""if someone snaps and wants to do something stupid, there's no distance that's going to stop them,"" said jake king, 56, an amish lantern maker who knew several families whose children had been shot.<SPLIT>[[[[Hypothesis]]]]: pennsylvania has the [[biggest]] amish community in the u.s.","[[[[Premise]]]]: the amish community in pennsylvania, which numbers about 55,000, lives an agrarian lifestyle, shunning technological advances like electricity and automobiles. and many say their insular lifestyle gives them a sense that they are protected from the violence of american society. but as residents gathered near the school, some wearing traditional garb and arriving in horse-drawn buggies, they said that sense of safety had been shattered. ""if someone snaps and wants to do something stupid, there's no distance that's going to stop them,"" said jake king, 56, an amish lantern maker who knew several families whose children had been shot.<SPLIT>[[[[Hypothesis]]]]: pennsylvania has the [[largest]] amish community in the u.s.",0.4607585072517395,0.5418208241462708,1,0,1,83,"Successful"
"[[[[Premise]]]]: security forces were on high alert after an election campaign in which more than 1,000 people, including seven election candidates, have been killed.<SPLIT>[[[[Hypothesis]]]]: security forces were on high alert after a campaign marred by [[violence]].","[[[[Premise]]]]: security forces were on high alert after an election campaign in which more than 1,000 people, including seven election candidates, have been killed.<SPLIT>[[[[Hypothesis]]]]: security forces were on high alert after a campaign marred by [[abuse]].",0.26236945390701294,0.5017452239990234,0,1,0,36,"Successful"
"[[[[Premise]]]]: in 1979, the leaders signed the egypt-israel peace treaty on the white house lawn. both president begin and sadat received the nobel peace prize for their work. the two nations have enjoyed peaceful relations to this day.<SPLIT>[[[[Hypothesis]]]]: the israel-egypt peace agreement was signed in [[1979]].","[[[[Premise]]]]: in 1979, the leaders signed the egypt-israel peace treaty on the white house lawn. both president begin and sadat received the nobel peace prize for their work. the two nations have enjoyed peaceful relations to this day.<SPLIT>[[[[Hypothesis]]]]: the israel-egypt peace agreement was signed in [[1799]].",0.2000749111175537,0.9954167604446411,0,1,0,36,"Successful"
"[[[[Premise]]]]: singer and actress britney spears, 24, has filled papers in los angeles county superior court to divorce her husband kevin federline, 28. a spokeswoman for the court, kathy roberts stated that the papers cited irreconcilable differences"" as the reason for the divorce and have, according to the courts, been legally separated as of monday, november 6, the same day that spears appeared on late night with david letterman.<SPLIT>[[[[Hypothesis]]]]: spears is to [[divorce]] from kevin federline.","[[[[Premise]]]]: singer and actress britney spears, 24, has filled papers in los angeles county superior court to divorce her husband kevin federline, 28. a spokeswoman for the court, kathy roberts stated that the papers cited irreconcilable differences"" as the reason for the divorce and have, according to the courts, been legally separated as of monday, november 6, the same day that spears appeared on late night with david letterman.<SPLIT>[[[[Hypothesis]]]]: spears is to [[remarrying]] from kevin federline.",0.10385280847549438,0.7476116418838501,0,1,0,62,"Successful"
"[[[[Premise]]]]: following the successful bid to bring the 2010 ryder cup to wales, the wales tourist board has wasted little time in commissioning work to ensure that the benefits accruing from the event are felt throughout the country.<SPLIT>[[[[Hypothesis]]]]: wales to [[host]] 2010 ryder cup.","[[[[Premise]]]]: following the successful bid to bring the 2010 ryder cup to wales, the wales tourist board has wasted little time in commissioning work to ensure that the benefits accruing from the event are felt throughout the country.<SPLIT>[[[[Hypothesis]]]]: wales to [[hos𝚝]] 2010 ryder cup.",0.2933775782585144,0.541124701499939,0,1,0,40,"Successful"
"[[[[Premise]]]]: steve jobs was attacked by sculley and other apple executives for not delivering enough hot new products and resigned from the company a few weeks later.<SPLIT>[[[[Hypothesis]]]]: steve jobs worked for [[apple]].","[[[[Premise]]]]: steve jobs was attacked by sculley and other apple executives for not delivering enough hot new products and resigned from the company a few weeks later.<SPLIT>[[[[Hypothesis]]]]: steve jobs worked for [[pie]].",0.06936532258987427,0.9720245003700256,0,1,0,31,"Successful"
"[[[[Premise]]]]: traditionally, the brahui of the raisani tribe are in charge of the law and order situation through the pass area. this tribe is still living in present day balochistan in pakistan.<SPLIT>[[[[Hypothesis]]]]: the raisani tribe resides in [[pakistan]].","[[[[Premise]]]]: traditionally, the brahui of the raisani tribe are in charge of the law and order situation through the pass area. this tribe is still living in present day balochistan in pakistan.<SPLIT>[[[[Hypothesis]]]]: the raisani tribe resides in [[islamabad]].",0.23921358585357666,0.9948943257331848,0,1,0,37,"Successful"
