"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"lovingly photographed in the manner of a golden book sprung to life , stuart little 2 manages [[sweetness]] largely [[without]] [[stickiness]] .","lovingly photographed in the manner of a golden book sprung to life , stuart little 2 manages [[kindness]] largely [[unless]] [[stіckiness]] .",0.0031726956367492676,0.14804714918136597,1,1,1,60,"Failed"
"consistently [[clever]] and suspenseful .","consistently [[cleveⲅ]] and suspenseful .",0.006692826747894287,0.04208773374557495,1,1,1,17,"Failed"
"it's like a "" big [[chill]] "" [[reunion]] of the baader-meinhof gang , only these guys are more harmless [[pranksters]] than political activists .","it's like a "" big [[cold]] "" [[reuniоn]] of the baader-meinhof gang , only these guys are more harmless [[vandals]] than political activists .",0.16451644897460938,0.5,1,0,1,55,"Successful"
"the story [[gives]] ample opportunity for large-scale action and suspense , which director shekhar kapur supplies with [[tremendous]] [[skill]] .","the story [[givеs]] ample opportunity for large-scale action and suspense , which director shekhar kapur supplies with [[tⲅemendous]] [[s]] [[kill]] .",0.005910992622375488,0.03308594226837158,1,1,1,57,"Failed"
"red dragon "" [[never]] cuts corners .","red dragon "" [[nos]] cuts corners .",0.02595740556716919,0.7310585975646973,1,0,1,18,"Successful"
"fresnadillo has [[something]] serious to say about the [[ways]] in which extravagant [[chance]] can distort our perspective and throw us off the path of good sense .","fresnadillo has [[nada]] serious to say about the [[waуs]] in which extravagant [[cհance]] can distort our perspective and throw us off the path of good sense .",0.02033233642578125,0.5312093496322632,1,0,1,55,"Successful"
"throws in enough clever and [[unexpected]] twists to make the formula feel [[fresh]] .","throws in enough clever and [[unexpec𝚝ed]] twists to make the formula feel [[dulce]] .",0.0097084641456604,0.06008666753768921,1,1,1,40,"Failed"
"weighty and ponderous but [[every]] bit as filling as the treat of the title .","weighty and ponderous but [[any]] bit as filling as the treat of the title .",0.04742586612701416,0.5,1,0,1,20,"Successful"
"a [[real]] [[audience-pleaser]] that will strike a chord with [[anyone]] who's ever [[waited]] in a doctor's office , emergency room , hospital bed or insurance company office .","a [[reales]] [[auԁience-pleaser]] that will strike a chord with [[somebody]] who's ever [[wai𝚝ed]] in a doctor's office , emergency room , hospital bed or insurance company office .",0.004070103168487549,0.09534949064254761,1,1,1,73,"Failed"
"generates an enormous feeling of [[empathy]] for its characters .","generates an enormous feeling of [[emptahy]] for its characters .",0.007577240467071533,0.8933094143867493,1,0,1,20,"Successful"
"exposing the ways we fool ourselves is one hour [[photo's]] real [[strength]] .","exposing the ways we fool ourselves is one hour [[pho𝚝o's]] real [[kraft]] .",0.037326931953430176,0.2227001190185547,1,1,1,34,"Failed"
"it's up to you to decide whether to [[admire]] these people's dedication to their cause or be repelled by their dogmatism , manipulativeness and narrow , fearful view of american life .","it's up to you to decide whether to [[see]] these people's dedication to their cause or be repelled by their dogmatism , manipulativeness and narrow , fearful view of american life .",0.4073333740234375,0.5312093496322632,1,0,1,28,"Successful"
"mostly , [goldbacher] just [[lets]] her complicated [[characters]] be unruly , confusing and , through it all , [[human]] .","mostly , [goldbacher] just [[le𝚝s]] her complicated [[chɑracters]] be unruly , confusing and , through it all , [[mankind]] .",0.022977352142333984,0.43782347440719604,1,1,1,50,"Failed"
". . . [[quite]] [[good]] at providing some good old fashioned spooks .",". . . [[qui𝚝e]] [[alright]] at providing some good old fashioned spooks .",0.03308594226837158,0.18242555856704712,1,1,1,30,"Failed"
"at its worst , the movie is pretty diverting ; the pity is that it rarely achieves its best .","at its worst , the movie is pretty diverting ; the pity is that it rarely achieves its best .",0.7310585975646973,0.7310585975646973,0,0,1,1,"Skipped"
