"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"[[[[Sentence]]]]: how far is it from denver to aspen ?<SPLIT>[[[[Example_0]]]]: what does the word laser mean ?<SPLIT>[[[[Label_0]]]]: [[expression]]<SPLIT>[[[[Example_1]]]]: what film featured a snarly character named kid shelleen ?<SPLIT>[[[[Label_1]]]]: [[entity]]<SPLIT>[[[[Example_2]]]]: how did shipyard inspector james j. kilroy designate equipment as being satisfactory ?<SPLIT>[[[[Label_2]]]]: [[description]]<SPLIT>[[[[Example_3]]]]: who 's baby was sweet pea on the popeye cartoon ?<SPLIT>[[[[Label_3]]]]: [[person]]<SPLIT>[[[[Example_4]]]]: what man-made waterways is 1.76 miles long ?<SPLIT>[[[[Label_4]]]]: [[location]]<SPLIT>[[[[Example_5]]]]: how long does it take different materials to decompose ?<SPLIT>[[[[Label_5]]]]: [[number]]","[[[[Sentence]]]]: how far is it from denver to aspen ?<SPLIT>[[[[Example_0]]]]: what does the word laser mean ?<SPLIT>[[[[Label_0]]]]: [[entity]]<SPLIT>[[[[Example_1]]]]: what film featured a snarly character named kid shelleen ?<SPLIT>[[[[Label_1]]]]: [[expression]]<SPLIT>[[[[Example_2]]]]: how did shipyard inspector james j. kilroy designate equipment as being satisfactory ?<SPLIT>[[[[Label_2]]]]: [[location]]<SPLIT>[[[[Example_3]]]]: who 's baby was sweet pea on the popeye cartoon ?<SPLIT>[[[[Label_3]]]]: [[number]]<SPLIT>[[[[Example_4]]]]: what man-made waterways is 1.76 miles long ?<SPLIT>[[[[Label_4]]]]: [[description]]<SPLIT>[[[[Example_5]]]]: how long does it take different materials to decompose ?<SPLIT>[[[[Label_5]]]]: [[person]]",0.19416749477386475,0.6833271980285645,5,5,5,23,"Failed"
"[[[[Sentence]]]]: what county is modesto , california in ?<SPLIT>[[[[Example_0]]]]: what does the word laser mean ?<SPLIT>[[[[Label_0]]]]: expression<SPLIT>[[[[Example_1]]]]: what film featured a snarly character named kid shelleen ?<SPLIT>[[[[Label_1]]]]: entity<SPLIT>[[[[Example_2]]]]: how did shipyard inspector james j. kilroy designate equipment as being satisfactory ?<SPLIT>[[[[Label_2]]]]: [[description]]<SPLIT>[[[[Example_3]]]]: who 's baby was sweet pea on the popeye cartoon ?<SPLIT>[[[[Label_3]]]]: [[person]]<SPLIT>[[[[Example_4]]]]: what man-made waterways is 1.76 miles long ?<SPLIT>[[[[Label_4]]]]: [[location]]<SPLIT>[[[[Example_5]]]]: how long does it take different materials to decompose ?<SPLIT>[[[[Label_5]]]]: [[number]]","[[[[Sentence]]]]: what county is modesto , california in ?<SPLIT>[[[[Example_0]]]]: what does the word laser mean ?<SPLIT>[[[[Label_0]]]]: expression<SPLIT>[[[[Example_1]]]]: what film featured a snarly character named kid shelleen ?<SPLIT>[[[[Label_1]]]]: entity<SPLIT>[[[[Example_2]]]]: how did shipyard inspector james j. kilroy designate equipment as being satisfactory ?<SPLIT>[[[[Label_2]]]]: [[location]]<SPLIT>[[[[Example_3]]]]: who 's baby was sweet pea on the popeye cartoon ?<SPLIT>[[[[Label_3]]]]: [[number]]<SPLIT>[[[[Example_4]]]]: what man-made waterways is 1.76 miles long ?<SPLIT>[[[[Label_4]]]]: [[description]]<SPLIT>[[[[Example_5]]]]: how long does it take different materials to decompose ?<SPLIT>[[[[Label_5]]]]: [[person]]",0.2228085994720459,0.8207093477249146,4,0,4,22,"Successful"
"[[[[Sentence]]]]: who was galileo ?<SPLIT>[[[[Example_0]]]]: what does the word laser mean ?<SPLIT>[[[[Label_0]]]]: [[expression]]<SPLIT>[[[[Example_1]]]]: what film featured a snarly character named kid shelleen ?<SPLIT>[[[[Label_1]]]]: [[entity]]<SPLIT>[[[[Example_2]]]]: how did shipyard inspector james j. kilroy designate equipment as being satisfactory ?<SPLIT>[[[[Label_2]]]]: [[description]]<SPLIT>[[[[Example_3]]]]: who 's baby was sweet pea on the popeye cartoon ?<SPLIT>[[[[Label_3]]]]: [[person]]<SPLIT>[[[[Example_4]]]]: what man-made waterways is 1.76 miles long ?<SPLIT>[[[[Label_4]]]]: [[location]]<SPLIT>[[[[Example_5]]]]: how long does it take different materials to decompose ?<SPLIT>[[[[Label_5]]]]: [[number]]","[[[[Sentence]]]]: who was galileo ?<SPLIT>[[[[Example_0]]]]: what does the word laser mean ?<SPLIT>[[[[Label_0]]]]: [[location]]<SPLIT>[[[[Example_1]]]]: what film featured a snarly character named kid shelleen ?<SPLIT>[[[[Label_1]]]]: [[description]]<SPLIT>[[[[Example_2]]]]: how did shipyard inspector james j. kilroy designate equipment as being satisfactory ?<SPLIT>[[[[Label_2]]]]: [[entity]]<SPLIT>[[[[Example_3]]]]: who 's baby was sweet pea on the popeye cartoon ?<SPLIT>[[[[Label_3]]]]: [[number]]<SPLIT>[[[[Example_4]]]]: what man-made waterways is 1.76 miles long ?<SPLIT>[[[[Label_4]]]]: [[expression]]<SPLIT>[[[[Example_5]]]]: how long does it take different materials to decompose ?<SPLIT>[[[[Label_5]]]]: [[person]]",0.12361681461334229,0.7368130683898926,3,0,3,23,"Successful"
"[[[[Sentence]]]]: what is an atom ?<SPLIT>[[[[Example_0]]]]: what does the word laser mean ?<SPLIT>[[[[Label_0]]]]: [[expression]]<SPLIT>[[[[Example_1]]]]: what film featured a snarly character named kid shelleen ?<SPLIT>[[[[Label_1]]]]: [[entity]]<SPLIT>[[[[Example_2]]]]: how did shipyard inspector james j. kilroy designate equipment as being satisfactory ?<SPLIT>[[[[Label_2]]]]: description<SPLIT>[[[[Example_3]]]]: who 's baby was sweet pea on the popeye cartoon ?<SPLIT>[[[[Label_3]]]]: [[person]]<SPLIT>[[[[Example_4]]]]: what man-made waterways is 1.76 miles long ?<SPLIT>[[[[Label_4]]]]: location<SPLIT>[[[[Example_5]]]]: how long does it take different materials to decompose ?<SPLIT>[[[[Label_5]]]]: [[number]]","[[[[Sentence]]]]: what is an atom ?<SPLIT>[[[[Example_0]]]]: what does the word laser mean ?<SPLIT>[[[[Label_0]]]]: [[entity]]<SPLIT>[[[[Example_1]]]]: what film featured a snarly character named kid shelleen ?<SPLIT>[[[[Label_1]]]]: [[expression]]<SPLIT>[[[[Example_2]]]]: how did shipyard inspector james j. kilroy designate equipment as being satisfactory ?<SPLIT>[[[[Label_2]]]]: description<SPLIT>[[[[Example_3]]]]: who 's baby was sweet pea on the popeye cartoon ?<SPLIT>[[[[Label_3]]]]: [[number]]<SPLIT>[[[[Example_4]]]]: what man-made waterways is 1.76 miles long ?<SPLIT>[[[[Label_4]]]]: location<SPLIT>[[[[Example_5]]]]: how long does it take different materials to decompose ?<SPLIT>[[[[Label_5]]]]: [[person]]",0.32447272539138794,0.8711018562316895,2,3,2,22,"Successful"
"[[[[Sentence]]]]: when did hawaii become a state ?<SPLIT>[[[[Example_0]]]]: what does the word laser mean ?<SPLIT>[[[[Label_0]]]]: [[expression]]<SPLIT>[[[[Example_1]]]]: what film featured a snarly character named kid shelleen ?<SPLIT>[[[[Label_1]]]]: [[entity]]<SPLIT>[[[[Example_2]]]]: how did shipyard inspector james j. kilroy designate equipment as being satisfactory ?<SPLIT>[[[[Label_2]]]]: [[description]]<SPLIT>[[[[Example_3]]]]: who 's baby was sweet pea on the popeye cartoon ?<SPLIT>[[[[Label_3]]]]: [[person]]<SPLIT>[[[[Example_4]]]]: what man-made waterways is 1.76 miles long ?<SPLIT>[[[[Label_4]]]]: [[location]]<SPLIT>[[[[Example_5]]]]: how long does it take different materials to decompose ?<SPLIT>[[[[Label_5]]]]: [[number]]","[[[[Sentence]]]]: when did hawaii become a state ?<SPLIT>[[[[Example_0]]]]: what does the word laser mean ?<SPLIT>[[[[Label_0]]]]: [[entity]]<SPLIT>[[[[Example_1]]]]: what film featured a snarly character named kid shelleen ?<SPLIT>[[[[Label_1]]]]: [[expression]]<SPLIT>[[[[Example_2]]]]: how did shipyard inspector james j. kilroy designate equipment as being satisfactory ?<SPLIT>[[[[Label_2]]]]: [[location]]<SPLIT>[[[[Example_3]]]]: who 's baby was sweet pea on the popeye cartoon ?<SPLIT>[[[[Label_3]]]]: [[number]]<SPLIT>[[[[Example_4]]]]: what man-made waterways is 1.76 miles long ?<SPLIT>[[[[Label_4]]]]: [[description]]<SPLIT>[[[[Example_5]]]]: how long does it take different materials to decompose ?<SPLIT>[[[[Label_5]]]]: [[person]]",0.38069552183151245,0.7833529710769653,5,0,5,23,"Successful"
"[[[[Sentence]]]]: how tall is the sears building ?<SPLIT>[[[[Example_0]]]]: what does the word laser mean ?<SPLIT>[[[[Label_0]]]]: [[expression]]<SPLIT>[[[[Example_1]]]]: what film featured a snarly character named kid shelleen ?<SPLIT>[[[[Label_1]]]]: [[entity]]<SPLIT>[[[[Example_2]]]]: how did shipyard inspector james j. kilroy designate equipment as being satisfactory ?<SPLIT>[[[[Label_2]]]]: description<SPLIT>[[[[Example_3]]]]: who 's baby was sweet pea on the popeye cartoon ?<SPLIT>[[[[Label_3]]]]: [[person]]<SPLIT>[[[[Example_4]]]]: what man-made waterways is 1.76 miles long ?<SPLIT>[[[[Label_4]]]]: location<SPLIT>[[[[Example_5]]]]: how long does it take different materials to decompose ?<SPLIT>[[[[Label_5]]]]: [[number]]","[[[[Sentence]]]]: how tall is the sears building ?<SPLIT>[[[[Example_0]]]]: what does the word laser mean ?<SPLIT>[[[[Label_0]]]]: [[entity]]<SPLIT>[[[[Example_1]]]]: what film featured a snarly character named kid shelleen ?<SPLIT>[[[[Label_1]]]]: [[expression]]<SPLIT>[[[[Example_2]]]]: how did shipyard inspector james j. kilroy designate equipment as being satisfactory ?<SPLIT>[[[[Label_2]]]]: description<SPLIT>[[[[Example_3]]]]: who 's baby was sweet pea on the popeye cartoon ?<SPLIT>[[[[Label_3]]]]: [[number]]<SPLIT>[[[[Example_4]]]]: what man-made waterways is 1.76 miles long ?<SPLIT>[[[[Label_4]]]]: location<SPLIT>[[[[Example_5]]]]: how long does it take different materials to decompose ?<SPLIT>[[[[Label_5]]]]: [[person]]",0.13766002655029297,0.7430103421211243,5,3,5,22,"Successful"
"[[[[Sentence]]]]: george bush purchased a small interest in which baseball team ?<SPLIT>[[[[Example_0]]]]: what does the word laser mean ?<SPLIT>[[[[Label_0]]]]: expression<SPLIT>[[[[Example_1]]]]: what film featured a snarly character named kid shelleen ?<SPLIT>[[[[Label_1]]]]: entity<SPLIT>[[[[Example_2]]]]: how did shipyard inspector james j. kilroy designate equipment as being satisfactory ?<SPLIT>[[[[Label_2]]]]: description<SPLIT>[[[[Example_3]]]]: who 's baby was sweet pea on the popeye cartoon ?<SPLIT>[[[[Label_3]]]]: person<SPLIT>[[[[Example_4]]]]: what man-made waterways is 1.76 miles long ?<SPLIT>[[[[Label_4]]]]: location<SPLIT>[[[[Example_5]]]]: how long does it take different materials to decompose ?<SPLIT>[[[[Label_5]]]]: number","[[[[Sentence]]]]: george bush purchased a small interest in which baseball team ?<SPLIT>[[[[Example_0]]]]: what does the word laser mean ?<SPLIT>[[[[Label_0]]]]: expression<SPLIT>[[[[Example_1]]]]: what film featured a snarly character named kid shelleen ?<SPLIT>[[[[Label_1]]]]: entity<SPLIT>[[[[Example_2]]]]: how did shipyard inspector james j. kilroy designate equipment as being satisfactory ?<SPLIT>[[[[Label_2]]]]: description<SPLIT>[[[[Example_3]]]]: who 's baby was sweet pea on the popeye cartoon ?<SPLIT>[[[[Label_3]]]]: person<SPLIT>[[[[Example_4]]]]: what man-made waterways is 1.76 miles long ?<SPLIT>[[[[Label_4]]]]: location<SPLIT>[[[[Example_5]]]]: how long does it take different materials to decompose ?<SPLIT>[[[[Label_5]]]]: number",0.6789591312408447,0.6789591312408447,1,1,3,1,"Skipped"
"[[[[Sentence]]]]: what is australia 's national flower ?<SPLIT>[[[[Example_0]]]]: what does the word laser mean ?<SPLIT>[[[[Label_0]]]]: expression<SPLIT>[[[[Example_1]]]]: what film featured a snarly character named kid shelleen ?<SPLIT>[[[[Label_1]]]]: entity<SPLIT>[[[[Example_2]]]]: how did shipyard inspector james j. kilroy designate equipment as being satisfactory ?<SPLIT>[[[[Label_2]]]]: description<SPLIT>[[[[Example_3]]]]: who 's baby was sweet pea on the popeye cartoon ?<SPLIT>[[[[Label_3]]]]: [[person]]<SPLIT>[[[[Example_4]]]]: what man-made waterways is 1.76 miles long ?<SPLIT>[[[[Label_4]]]]: location<SPLIT>[[[[Example_5]]]]: how long does it take different materials to decompose ?<SPLIT>[[[[Label_5]]]]: [[number]]","[[[[Sentence]]]]: what is australia 's national flower ?<SPLIT>[[[[Example_0]]]]: what does the word laser mean ?<SPLIT>[[[[Label_0]]]]: expression<SPLIT>[[[[Example_1]]]]: what film featured a snarly character named kid shelleen ?<SPLIT>[[[[Label_1]]]]: entity<SPLIT>[[[[Example_2]]]]: how did shipyard inspector james j. kilroy designate equipment as being satisfactory ?<SPLIT>[[[[Label_2]]]]: description<SPLIT>[[[[Example_3]]]]: who 's baby was sweet pea on the popeye cartoon ?<SPLIT>[[[[Label_3]]]]: [[number]]<SPLIT>[[[[Example_4]]]]: what man-made waterways is 1.76 miles long ?<SPLIT>[[[[Label_4]]]]: location<SPLIT>[[[[Example_5]]]]: how long does it take different materials to decompose ?<SPLIT>[[[[Label_5]]]]: [[person]]",0.3725348711013794,0.8914732933044434,1,0,1,16,"Successful"
"[[[[Sentence]]]]: why does the moon turn orange ?<SPLIT>[[[[Example_0]]]]: what does the word laser mean ?<SPLIT>[[[[Label_0]]]]: [[expression]]<SPLIT>[[[[Example_1]]]]: what film featured a snarly character named kid shelleen ?<SPLIT>[[[[Label_1]]]]: [[entity]]<SPLIT>[[[[Example_2]]]]: how did shipyard inspector james j. kilroy designate equipment as being satisfactory ?<SPLIT>[[[[Label_2]]]]: description<SPLIT>[[[[Example_3]]]]: who 's baby was sweet pea on the popeye cartoon ?<SPLIT>[[[[Label_3]]]]: [[person]]<SPLIT>[[[[Example_4]]]]: what man-made waterways is 1.76 miles long ?<SPLIT>[[[[Label_4]]]]: [[location]]<SPLIT>[[[[Example_5]]]]: how long does it take different materials to decompose ?<SPLIT>[[[[Label_5]]]]: number","[[[[Sentence]]]]: why does the moon turn orange ?<SPLIT>[[[[Example_0]]]]: what does the word laser mean ?<SPLIT>[[[[Label_0]]]]: [[entity]]<SPLIT>[[[[Example_1]]]]: what film featured a snarly character named kid shelleen ?<SPLIT>[[[[Label_1]]]]: [[expression]]<SPLIT>[[[[Example_2]]]]: how did shipyard inspector james j. kilroy designate equipment as being satisfactory ?<SPLIT>[[[[Label_2]]]]: description<SPLIT>[[[[Example_3]]]]: who 's baby was sweet pea on the popeye cartoon ?<SPLIT>[[[[Label_3]]]]: [[location]]<SPLIT>[[[[Example_4]]]]: what man-made waterways is 1.76 miles long ?<SPLIT>[[[[Label_4]]]]: [[person]]<SPLIT>[[[[Example_5]]]]: how long does it take different materials to decompose ?<SPLIT>[[[[Label_5]]]]: number",0.1822025179862976,0.8707739114761353,2,3,2,22,"Successful"
"[[[[Sentence]]]]: what is autism ?<SPLIT>[[[[Example_0]]]]: what does the word laser mean ?<SPLIT>[[[[Label_0]]]]: [[expression]]<SPLIT>[[[[Example_1]]]]: what film featured a snarly character named kid shelleen ?<SPLIT>[[[[Label_1]]]]: [[entity]]<SPLIT>[[[[Example_2]]]]: how did shipyard inspector james j. kilroy designate equipment as being satisfactory ?<SPLIT>[[[[Label_2]]]]: description<SPLIT>[[[[Example_3]]]]: who 's baby was sweet pea on the popeye cartoon ?<SPLIT>[[[[Label_3]]]]: [[person]]<SPLIT>[[[[Example_4]]]]: what man-made waterways is 1.76 miles long ?<SPLIT>[[[[Label_4]]]]: location<SPLIT>[[[[Example_5]]]]: how long does it take different materials to decompose ?<SPLIT>[[[[Label_5]]]]: [[number]]","[[[[Sentence]]]]: what is autism ?<SPLIT>[[[[Example_0]]]]: what does the word laser mean ?<SPLIT>[[[[Label_0]]]]: [[entity]]<SPLIT>[[[[Example_1]]]]: what film featured a snarly character named kid shelleen ?<SPLIT>[[[[Label_1]]]]: [[expression]]<SPLIT>[[[[Example_2]]]]: how did shipyard inspector james j. kilroy designate equipment as being satisfactory ?<SPLIT>[[[[Label_2]]]]: description<SPLIT>[[[[Example_3]]]]: who 's baby was sweet pea on the popeye cartoon ?<SPLIT>[[[[Label_3]]]]: [[number]]<SPLIT>[[[[Example_4]]]]: what man-made waterways is 1.76 miles long ?<SPLIT>[[[[Label_4]]]]: location<SPLIT>[[[[Example_5]]]]: how long does it take different materials to decompose ?<SPLIT>[[[[Label_5]]]]: [[person]]",0.24935543537139893,0.7781497240066528,2,3,2,22,"Successful"
