"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"[[[[Premise]]]]: the new rights are nice enough<SPLIT>[[[[Hypothesis]]]]: everyone really likes the newest benefits ","[[[[Premise]]]]: the new rights are nice enough<SPLIT>[[[[Hypothesis]]]]: everyone really likes the newest benefits ",0.6871148347854614,0.6871148347854614,0,0,1,1,"Skipped"
"[[[[Premise]]]]: this site includes a list of all award winners and a [[searchable]] database of government executive articles.<SPLIT>[[[[Hypothesis]]]]: the government executive [[articles]] housed on the website are not [[able]] to be searched.","[[[[Premise]]]]: this site includes a list of all award winners and a [[seaⲅchable]] database of government executive articles.<SPLIT>[[[[Hypothesis]]]]: the government executive [[articⅼes]] housed on the website are not [[ability]] to be searched.",0.3914036750793457,0.6231160163879395,2,1,2,68,"Successful"
"[[[[Premise]]]]: uh i don't know i i have mixed emotions about him uh sometimes i like him but at the same times i love to see somebody beat him<SPLIT>[[[[Hypothesis]]]]: i like him for the most part, but would still enjoy seeing someone beat him.","[[[[Premise]]]]: uh i don't know i i have mixed emotions about him uh sometimes i like him but at the same times i love to see somebody beat him<SPLIT>[[[[Hypothesis]]]]: i like him for the most part, but would still enjoy seeing someone beat him.",0.6947511434555054,0.6947511434555054,2,2,0,1,"Skipped"
"[[[[Premise]]]]: yeah i i think my favorite restaurant is always been the one closest  you know the closest as long as it's it meets the minimum criteria you know of good food<SPLIT>[[[[Hypothesis]]]]: my favorite restaurants are always at least a [[hundred]] miles away from my house. ","[[[[Premise]]]]: yeah i i think my favorite restaurant is always been the one closest  you know the closest as long as it's it meets the minimum criteria you know of good food<SPLIT>[[[[Hypothesis]]]]: my favorite restaurants are always at least a [[cent]] miles away from my house. ",0.5831459164619446,0.6504048109054565,2,1,2,39,"Successful"
"[[[[Premise]]]]: i don't [[know]] um do you do a lot of camping<SPLIT>[[[[Hypothesis]]]]: i know exactly.","[[[[Premise]]]]: i don't [[realise]] um do you do a lot of camping<SPLIT>[[[[Hypothesis]]]]: i know exactly.",0.618145227432251,0.6900987029075623,2,1,2,18,"Successful"
"[[[[Premise]]]]: well that would be a help i wish they would do that here we have got so little landfill space left that we're going to run out before the end of this decade and it's really going to be<SPLIT>[[[[Hypothesis]]]]: we have [[plenty]] of space in the [[landfill]].","[[[[Premise]]]]: well that would be a help i wish they would do that here we have got so little landfill space left that we're going to run out before the end of this decade and it's really going to be<SPLIT>[[[[Hypothesis]]]]: we have [[pleոty]] of space in the [[discharge]].",0.4637467861175537,0.6073766350746155,2,1,2,49,"Successful"
"[[[[Premise]]]]: yeah i know and i did that all through [[college]] and it worked too<SPLIT>[[[[Hypothesis]]]]: i did that all through college but it never worked ","[[[[Premise]]]]: yeah i know and i did that all through [[coⅼlege]] and it worked too<SPLIT>[[[[Hypothesis]]]]: i did that all through college but it never worked ",0.5977402925491333,0.6327239274978638,2,1,2,22,"Successful"
"[[[[Premise]]]]: calcutta seems to be the only other production center having any pretensions to artistic creativity at all, but ironically you're actually more likely to see the works of satyajit ray or mrinal sen shown in europe or north america than in india itself.<SPLIT>[[[[Hypothesis]]]]: most of mrinal sen's work can be found in european collections.","[[[[Premise]]]]: calcutta seems to be the only other production center having any pretensions to artistic creativity at all, but ironically you're actually more likely to see the works of satyajit ray or mrinal sen shown in europe or north america than in india itself.<SPLIT>[[[[Hypothesis]]]]: most of mrinal sen's work can be found in european collections.",0.6977217197418213,0.6977217197418213,2,2,1,1,"Skipped"
"[[[[Premise]]]]: if that investor were willing to pay extra for the security of limited downside, she could buy put options with a strike price of $98, which would lock in her profit on the shares at $18, less whatever the options cost.<SPLIT>[[[[Hypothesis]]]]: the strike [[price]] could be $[[8]].","[[[[Premise]]]]: if that investor were willing to pay extra for the security of limited downside, she could buy put options with a strike price of $98, which would lock in her profit on the shares at $18, less whatever the options cost.<SPLIT>[[[[Hypothesis]]]]: the strike [[cost]] could be $[[Ȣ]].",0.45146799087524414,0.6276636123657227,2,1,2,41,"Successful"
"[[[[Premise]]]]: 3)  dare you rise to the occasion, like raskolnikov, and reject the petty rules that govern lesser men?<SPLIT>[[[[Hypothesis]]]]: [[would]] you rise up and defeaat all evil lords in the town?","[[[[Premise]]]]: 3)  dare you rise to the occasion, like raskolnikov, and reject the petty rules that govern lesser men?<SPLIT>[[[[Hypothesis]]]]: [[woսld]] you rise up and defeaat all evil lords in the town?",0.6007723808288574,0.6712709665298462,1,2,1,31,"Successful"
"[[[[Premise]]]]: the most important directions are simply up and up leads eventually to the cathedral and fortress commanding the hilltop, and down inevitably leads to one of three gates through the wall to the new town.<SPLIT>[[[[Hypothesis]]]]: go downwards to one of the gates, all of which will lead you into the cathedral.","[[[[Premise]]]]: the most important directions are simply up and up leads eventually to the cathedral and fortress commanding the hilltop, and down inevitably leads to one of three gates through the wall to the new town.<SPLIT>[[[[Hypothesis]]]]: go downwards to one of the gates, all of which will lead you into the cathedral.",0.6335086822509766,0.6335086822509766,0,0,2,1,"Skipped"
"[[[[Premise]]]]: the [[bhakti]] [[movement]] of the tamils brought a new [[warmth]] to the [[hitherto]] rigid brahmanic ritual of hinduism.<SPLIT>[[[[Hypothesis]]]]: the tamils' bhakti movement froze the [[previously]] warm ritual of hinduism.","[[[[Premise]]]]: the [[bhatki]] [[displacement]] of the tamils brought a new [[heating]] to the [[discerned]] rigid brahmanic ritual of hinduism.<SPLIT>[[[[Hypothesis]]]]: the tamils' bhakti movement froze the [[earlier]] warm ritual of hinduism.",0.5214642286300659,0.602897584438324,2,2,2,88,"Failed"
