"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"[[[[Sentence]]]]: it 's a charming and often affecting journey . <SPLIT>[[[[Example_0]]]]: makes the journey feel like a party <SPLIT>[[[[Label_0]]]]: positive<SPLIT>[[[[Example_1]]]]: sometimes charming , sometimes infuriating <SPLIT>[[[[Label_1]]]]: positive<SPLIT>[[[[Example_2]]]]: charming , sometimes infuriating <SPLIT>[[[[Label_2]]]]: positive<SPLIT>[[[[Example_3]]]]: a journey that is as difficult for the audience to take as it is for the protagonist -- yet it 's potentially just as rewarding . <SPLIT>[[[[Label_3]]]]: positive<SPLIT>[[[[Example_4]]]]: that the journey is such a mesmerizing one <SPLIT>[[[[Label_4]]]]: positive<SPLIT>[[[[Example_5]]]]: it has considerable charm . <SPLIT>[[[[Label_5]]]]: positive<SPLIT>[[[[Example_6]]]]: , an interesting and at times captivating take on loss and loneliness . <SPLIT>[[[[Label_6]]]]: [[positive]]<SPLIT>[[[[Example_7]]]]: nasty journey <SPLIT>[[[[Label_7]]]]: [[negative]]","[[[[Sentence]]]]: it 's a charming and often affecting journey . <SPLIT>[[[[Example_0]]]]: makes the journey feel like a party <SPLIT>[[[[Label_0]]]]: positive<SPLIT>[[[[Example_1]]]]: sometimes charming , sometimes infuriating <SPLIT>[[[[Label_1]]]]: positive<SPLIT>[[[[Example_2]]]]: charming , sometimes infuriating <SPLIT>[[[[Label_2]]]]: positive<SPLIT>[[[[Example_3]]]]: a journey that is as difficult for the audience to take as it is for the protagonist -- yet it 's potentially just as rewarding . <SPLIT>[[[[Label_3]]]]: positive<SPLIT>[[[[Example_4]]]]: that the journey is such a mesmerizing one <SPLIT>[[[[Label_4]]]]: positive<SPLIT>[[[[Example_5]]]]: it has considerable charm . <SPLIT>[[[[Label_5]]]]: positive<SPLIT>[[[[Example_6]]]]: , an interesting and at times captivating take on loss and loneliness . <SPLIT>[[[[Label_6]]]]: [[negative]]<SPLIT>[[[[Example_7]]]]: nasty journey <SPLIT>[[[[Label_7]]]]: [[positive]]",0.0031726956367492676,0.13296425342559814,1,1,1,8,"Failed"
"[[[[Sentence]]]]: unflinchingly bleak and desperate <SPLIT>[[[[Example_0]]]]: bleak <SPLIT>[[[[Label_0]]]]: negative<SPLIT>[[[[Example_1]]]]: interminably bleak <SPLIT>[[[[Label_1]]]]: negative<SPLIT>[[[[Example_2]]]]: is so bleak <SPLIT>[[[[Label_2]]]]: negative<SPLIT>[[[[Example_3]]]]: so bleak <SPLIT>[[[[Label_3]]]]: negative<SPLIT>[[[[Example_4]]]]: interminably bleak , to say nothing of boring . <SPLIT>[[[[Label_4]]]]: negative<SPLIT>[[[[Example_5]]]]: unrelenting bleak insistence <SPLIT>[[[[Label_5]]]]: negative<SPLIT>[[[[Example_6]]]]: to the otherwise bleak tale <SPLIT>[[[[Label_6]]]]: negative<SPLIT>[[[[Example_7]]]]: this unrelenting bleak insistence <SPLIT>[[[[Label_7]]]]: negative","[[[[Sentence]]]]: unflinchingly bleak and desperate <SPLIT>[[[[Example_0]]]]: bleak <SPLIT>[[[[Label_0]]]]: negative<SPLIT>[[[[Example_1]]]]: interminably bleak <SPLIT>[[[[Label_1]]]]: negative<SPLIT>[[[[Example_2]]]]: is so bleak <SPLIT>[[[[Label_2]]]]: negative<SPLIT>[[[[Example_3]]]]: so bleak <SPLIT>[[[[Label_3]]]]: negative<SPLIT>[[[[Example_4]]]]: interminably bleak , to say nothing of boring . <SPLIT>[[[[Label_4]]]]: negative<SPLIT>[[[[Example_5]]]]: unrelenting bleak insistence <SPLIT>[[[[Label_5]]]]: negative<SPLIT>[[[[Example_6]]]]: to the otherwise bleak tale <SPLIT>[[[[Label_6]]]]: negative<SPLIT>[[[[Example_7]]]]: this unrelenting bleak insistence <SPLIT>[[[[Label_7]]]]: negative",0.02033233642578125,0.02033233642578125,0,0,0,1,"Failed"
"[[[[Sentence]]]]: allows us to hope that nolan is poised to embark a major career as a commercial yet inventive filmmaker . <SPLIT>[[[[Example_0]]]]: that shows the promise of digital filmmaking <SPLIT>[[[[Label_0]]]]: [[positive]]<SPLIT>[[[[Example_1]]]]: nolan 's penetrating undercurrent of cerebral and cinemantic flair <SPLIT>[[[[Label_1]]]]: positive<SPLIT>[[[[Example_2]]]]: , nolan 's penetrating undercurrent of cerebral and cinemantic flair lends ( it ) stimulating depth . <SPLIT>[[[[Label_2]]]]: [[positive]]<SPLIT>[[[[Example_3]]]]: nolan 's penetrating undercurrent of cerebral and cinemantic flair lends ( it ) stimulating depth . <SPLIT>[[[[Label_3]]]]: positive<SPLIT>[[[[Example_4]]]]: even steven spielberg has dreamed up such blatant and sickening product placement in a movie . <SPLIT>[[[[Label_4]]]]: [[negative]]<SPLIT>[[[[Example_5]]]]: is a filmmaker with a bright future ahead of him <SPLIT>[[[[Label_5]]]]: [[positive]]<SPLIT>[[[[Example_6]]]]: steven spielberg has dreamed up such blatant and sickening product placement in a movie . <SPLIT>[[[[Label_6]]]]: [[negative]]<SPLIT>[[[[Example_7]]]]: not even steven spielberg has dreamed up such blatant and sickening product placement in a movie . <SPLIT>[[[[Label_7]]]]: [[negative]]","[[[[Sentence]]]]: allows us to hope that nolan is poised to embark a major career as a commercial yet inventive filmmaker . <SPLIT>[[[[Example_0]]]]: that shows the promise of digital filmmaking <SPLIT>[[[[Label_0]]]]: [[negative]]<SPLIT>[[[[Example_1]]]]: nolan 's penetrating undercurrent of cerebral and cinemantic flair <SPLIT>[[[[Label_1]]]]: positive<SPLIT>[[[[Example_2]]]]: , nolan 's penetrating undercurrent of cerebral and cinemantic flair lends ( it ) stimulating depth . <SPLIT>[[[[Label_2]]]]: [[negative]]<SPLIT>[[[[Example_3]]]]: nolan 's penetrating undercurrent of cerebral and cinemantic flair lends ( it ) stimulating depth . <SPLIT>[[[[Label_3]]]]: positive<SPLIT>[[[[Example_4]]]]: even steven spielberg has dreamed up such blatant and sickening product placement in a movie . <SPLIT>[[[[Label_4]]]]: [[positive]]<SPLIT>[[[[Example_5]]]]: is a filmmaker with a bright future ahead of him <SPLIT>[[[[Label_5]]]]: [[negative]]<SPLIT>[[[[Example_6]]]]: steven spielberg has dreamed up such blatant and sickening product placement in a movie . <SPLIT>[[[[Label_6]]]]: [[positive]]<SPLIT>[[[[Example_7]]]]: not even steven spielberg has dreamed up such blatant and sickening product placement in a movie . <SPLIT>[[[[Label_7]]]]: [[positive]]",0.005910992622375488,0.43782347440719604,1,1,1,27,"Failed"
"[[[[Sentence]]]]: the acting , costumes , music , cinematography and sound are all astounding given the production 's austere locales . <SPLIT>[[[[Example_0]]]]: is an enjoyable big movie primarily because australia is a weirdly beautiful place <SPLIT>[[[[Label_0]]]]: [[positive]]<SPLIT>[[[[Example_1]]]]: the acting is amateurish , the cinematography is atrocious , <SPLIT>[[[[Label_1]]]]: [[negative]]<SPLIT>[[[[Example_2]]]]: the acting is amateurish , the cinematography is atrocious <SPLIT>[[[[Label_2]]]]: [[negative]]<SPLIT>[[[[Example_3]]]]: the acting is amateurish , the cinematography is atrocious , the direction is clumsy , the writing is insipid and the violence is at once luridly graphic and laughably unconvincing . <SPLIT>[[[[Label_3]]]]: [[negative]]<SPLIT>[[[[Example_4]]]]: its exquisite acting , inventive screenplay , mesmerizing music , and many inimitable scenes <SPLIT>[[[[Label_4]]]]: [[positive]]<SPLIT>[[[[Example_5]]]]: the acting is amateurish , the cinematography is atrocious , the direction is clumsy , the writing is insipid and the violence is at once luridly graphic and laughably unconvincing <SPLIT>[[[[Label_5]]]]: [[negative]]<SPLIT>[[[[Example_6]]]]: viewing for its courage , ideas , technical proficiency and great acting <SPLIT>[[[[Label_6]]]]: [[positive]]<SPLIT>[[[[Example_7]]]]: the gorgeous locales and exceptional lead performances <SPLIT>[[[[Label_7]]]]: [[positive]]","[[[[Sentence]]]]: the acting , costumes , music , cinematography and sound are all astounding given the production 's austere locales . <SPLIT>[[[[Example_0]]]]: is an enjoyable big movie primarily because australia is a weirdly beautiful place <SPLIT>[[[[Label_0]]]]: [[negative]]<SPLIT>[[[[Example_1]]]]: the acting is amateurish , the cinematography is atrocious , <SPLIT>[[[[Label_1]]]]: [[positive]]<SPLIT>[[[[Example_2]]]]: the acting is amateurish , the cinematography is atrocious <SPLIT>[[[[Label_2]]]]: [[positive]]<SPLIT>[[[[Example_3]]]]: the acting is amateurish , the cinematography is atrocious , the direction is clumsy , the writing is insipid and the violence is at once luridly graphic and laughably unconvincing . <SPLIT>[[[[Label_3]]]]: [[positive]]<SPLIT>[[[[Example_4]]]]: its exquisite acting , inventive screenplay , mesmerizing music , and many inimitable scenes <SPLIT>[[[[Label_4]]]]: [[negative]]<SPLIT>[[[[Example_5]]]]: the acting is amateurish , the cinematography is atrocious , the direction is clumsy , the writing is insipid and the violence is at once luridly graphic and laughably unconvincing <SPLIT>[[[[Label_5]]]]: [[positive]]<SPLIT>[[[[Example_6]]]]: viewing for its courage , ideas , technical proficiency and great acting <SPLIT>[[[[Label_6]]]]: [[negative]]<SPLIT>[[[[Example_7]]]]: the gorgeous locales and exceptional lead performances <SPLIT>[[[[Label_7]]]]: [[negative]]",0.0031726956367492676,0.34864509105682373,1,1,1,31,"Failed"
"[[[[Sentence]]]]: it 's slow -- very , very slow . <SPLIT>[[[[Example_0]]]]: fairly slow <SPLIT>[[[[Label_0]]]]: negative<SPLIT>[[[[Example_1]]]]: rather slow <SPLIT>[[[[Label_1]]]]: negative<SPLIT>[[[[Example_2]]]]: very slow , uneventful <SPLIT>[[[[Label_2]]]]: negative<SPLIT>[[[[Example_3]]]]: 's not too fast and not too slow . <SPLIT>[[[[Label_3]]]]: [[positive]]<SPLIT>[[[[Example_4]]]]: the movie is well done , but slow . <SPLIT>[[[[Label_4]]]]: negative<SPLIT>[[[[Example_5]]]]: deliciously slow . <SPLIT>[[[[Label_5]]]]: [[positive]]<SPLIT>[[[[Example_6]]]]: painfully slow <SPLIT>[[[[Label_6]]]]: [[negative]]<SPLIT>[[[[Example_7]]]]: its rather slow beginning <SPLIT>[[[[Label_7]]]]: [[negative]]","[[[[Sentence]]]]: it 's slow -- very , very slow . <SPLIT>[[[[Example_0]]]]: fairly slow <SPLIT>[[[[Label_0]]]]: negative<SPLIT>[[[[Example_1]]]]: rather slow <SPLIT>[[[[Label_1]]]]: negative<SPLIT>[[[[Example_2]]]]: very slow , uneventful <SPLIT>[[[[Label_2]]]]: negative<SPLIT>[[[[Example_3]]]]: 's not too fast and not too slow . <SPLIT>[[[[Label_3]]]]: [[negative]]<SPLIT>[[[[Example_4]]]]: the movie is well done , but slow . <SPLIT>[[[[Label_4]]]]: negative<SPLIT>[[[[Example_5]]]]: deliciously slow . <SPLIT>[[[[Label_5]]]]: [[negative]]<SPLIT>[[[[Example_6]]]]: painfully slow <SPLIT>[[[[Label_6]]]]: [[positive]]<SPLIT>[[[[Example_7]]]]: its rather slow beginning <SPLIT>[[[[Label_7]]]]: [[positive]]",0.16451644897460938,0.5621764659881592,0,1,0,18,"Successful"
"[[[[Sentence]]]]: although laced with humor and a few fanciful touches , the film is a refreshingly serious look at young women . <SPLIT>[[[[Example_0]]]]: the film is a very good viewing alternative for young women . <SPLIT>[[[[Label_0]]]]: positive<SPLIT>[[[[Example_1]]]]: is tragically rare in the depiction of young women in film <SPLIT>[[[[Label_1]]]]: [[negative]]<SPLIT>[[[[Example_2]]]]: with honesty that is tragically rare in the depiction of young women in film <SPLIT>[[[[Label_2]]]]: positive<SPLIT>[[[[Example_3]]]]: a coming-of-age film that avoids the cartoonish clichés and sneering humor of the genre as it provides a fresh view of an old type -- the uncertain girl on the brink of womanhood . <SPLIT>[[[[Label_3]]]]: [[positive]]<SPLIT>[[[[Example_4]]]]: rare in the depiction of young women in film <SPLIT>[[[[Label_4]]]]: positive<SPLIT>[[[[Example_5]]]]: honesty that is tragically rare in the depiction of young women in film <SPLIT>[[[[Label_5]]]]: positive<SPLIT>[[[[Example_6]]]]: jumps to the head of the class of women 's films that manage to avoid the ghetto of sentimental chick-flicks by treating female follies with a satirical style <SPLIT>[[[[Label_6]]]]: positive<SPLIT>[[[[Example_7]]]]: 's lovely and amazing , from her own screenplay , jumps to the head of the class of women 's films that manage to avoid the ghetto of sentimental chick-flicks by treating female follies with a satirical style <SPLIT>[[[[Label_7]]]]: positive","[[[[Sentence]]]]: although laced with humor and a few fanciful touches , the film is a refreshingly serious look at young women . <SPLIT>[[[[Example_0]]]]: the film is a very good viewing alternative for young women . <SPLIT>[[[[Label_0]]]]: positive<SPLIT>[[[[Example_1]]]]: is tragically rare in the depiction of young women in film <SPLIT>[[[[Label_1]]]]: [[positive]]<SPLIT>[[[[Example_2]]]]: with honesty that is tragically rare in the depiction of young women in film <SPLIT>[[[[Label_2]]]]: positive<SPLIT>[[[[Example_3]]]]: a coming-of-age film that avoids the cartoonish clichés and sneering humor of the genre as it provides a fresh view of an old type -- the uncertain girl on the brink of womanhood . <SPLIT>[[[[Label_3]]]]: [[negative]]<SPLIT>[[[[Example_4]]]]: rare in the depiction of young women in film <SPLIT>[[[[Label_4]]]]: positive<SPLIT>[[[[Example_5]]]]: honesty that is tragically rare in the depiction of young women in film <SPLIT>[[[[Label_5]]]]: positive<SPLIT>[[[[Example_6]]]]: jumps to the head of the class of women 's films that manage to avoid the ghetto of sentimental chick-flicks by treating female follies with a satirical style <SPLIT>[[[[Label_6]]]]: positive<SPLIT>[[[[Example_7]]]]: 's lovely and amazing , from her own screenplay , jumps to the head of the class of women 's films that manage to avoid the ghetto of sentimental chick-flicks by treating female follies with a satirical style <SPLIT>[[[[Label_7]]]]: positive",0.08509904146194458,0.18242555856704712,1,1,1,8,"Failed"
"[[[[Sentence]]]]: a sometimes tedious film . <SPLIT>[[[[Example_0]]]]: a different movie -- sometimes tedious -- <SPLIT>[[[[Label_0]]]]: negative<SPLIT>[[[[Example_1]]]]: a funny film . <SPLIT>[[[[Label_1]]]]: positive<SPLIT>[[[[Example_2]]]]: gently tedious in its comedy <SPLIT>[[[[Label_2]]]]: negative<SPLIT>[[[[Example_3]]]]: unfocused , excruciatingly tedious cinema <SPLIT>[[[[Label_3]]]]: [[negative]]<SPLIT>[[[[Example_4]]]]: a naturally funny film , <SPLIT>[[[[Label_4]]]]: [[positive]]<SPLIT>[[[[Example_5]]]]: , and gently tedious in its comedy <SPLIT>[[[[Label_5]]]]: positive<SPLIT>[[[[Example_6]]]]: a surprisingly funny movie . <SPLIT>[[[[Label_6]]]]: positive<SPLIT>[[[[Example_7]]]]: of unfocused , excruciatingly tedious cinema <SPLIT>[[[[Label_7]]]]: negative","[[[[Sentence]]]]: a sometimes tedious film . <SPLIT>[[[[Example_0]]]]: a different movie -- sometimes tedious -- <SPLIT>[[[[Label_0]]]]: negative<SPLIT>[[[[Example_1]]]]: a funny film . <SPLIT>[[[[Label_1]]]]: positive<SPLIT>[[[[Example_2]]]]: gently tedious in its comedy <SPLIT>[[[[Label_2]]]]: negative<SPLIT>[[[[Example_3]]]]: unfocused , excruciatingly tedious cinema <SPLIT>[[[[Label_3]]]]: [[positive]]<SPLIT>[[[[Example_4]]]]: a naturally funny film , <SPLIT>[[[[Label_4]]]]: [[negative]]<SPLIT>[[[[Example_5]]]]: , and gently tedious in its comedy <SPLIT>[[[[Label_5]]]]: positive<SPLIT>[[[[Example_6]]]]: a surprisingly funny movie . <SPLIT>[[[[Label_6]]]]: positive<SPLIT>[[[[Example_7]]]]: of unfocused , excruciatingly tedious cinema <SPLIT>[[[[Label_7]]]]: negative",0.34864509105682373,0.5621764659881592,0,1,0,17,"Successful"
"[[[[Sentence]]]]: or doing last year 's taxes with your ex-wife . <SPLIT>[[[[Example_0]]]]: than to employ hollywood kids and people who owe <SPLIT>[[[[Label_0]]]]: [[positive]]<SPLIT>[[[[Example_1]]]]: like going to a house party and watching the host defend himself against a frothing ex-girlfriend <SPLIT>[[[[Label_1]]]]: negative<SPLIT>[[[[Example_2]]]]: had a bad run in the market or a costly divorce , <SPLIT>[[[[Label_2]]]]: [[negative]]<SPLIT>[[[[Example_3]]]]: had a bad run in the market or a costly divorce <SPLIT>[[[[Label_3]]]]: negative<SPLIT>[[[[Example_4]]]]: 's like going to a house party and watching the host defend himself against a frothing ex-girlfriend . <SPLIT>[[[[Label_4]]]]: negative<SPLIT>[[[[Example_5]]]]: 's like going to a house party and watching the host defend himself against a frothing ex-girlfriend <SPLIT>[[[[Label_5]]]]: negative<SPLIT>[[[[Example_6]]]]: other than to employ hollywood kids and people who owe favors to their famous parents . <SPLIT>[[[[Label_6]]]]: negative<SPLIT>[[[[Example_7]]]]: ticks off kahlo 's lifetime milestones with the dutiful precision of a tax accountant <SPLIT>[[[[Label_7]]]]: negative","[[[[Sentence]]]]: or doing last year 's taxes with your ex-wife . <SPLIT>[[[[Example_0]]]]: than to employ hollywood kids and people who owe <SPLIT>[[[[Label_0]]]]: [[negative]]<SPLIT>[[[[Example_1]]]]: like going to a house party and watching the host defend himself against a frothing ex-girlfriend <SPLIT>[[[[Label_1]]]]: negative<SPLIT>[[[[Example_2]]]]: had a bad run in the market or a costly divorce , <SPLIT>[[[[Label_2]]]]: [[positive]]<SPLIT>[[[[Example_3]]]]: had a bad run in the market or a costly divorce <SPLIT>[[[[Label_3]]]]: negative<SPLIT>[[[[Example_4]]]]: 's like going to a house party and watching the host defend himself against a frothing ex-girlfriend . <SPLIT>[[[[Label_4]]]]: negative<SPLIT>[[[[Example_5]]]]: 's like going to a house party and watching the host defend himself against a frothing ex-girlfriend <SPLIT>[[[[Label_5]]]]: negative<SPLIT>[[[[Example_6]]]]: other than to employ hollywood kids and people who owe favors to their famous parents . <SPLIT>[[[[Label_6]]]]: negative<SPLIT>[[[[Example_7]]]]: ticks off kahlo 's lifetime milestones with the dutiful precision of a tax accountant <SPLIT>[[[[Label_7]]]]: negative",0.13296425342559814,0.46879059076309204,0,0,0,8,"Failed"
"[[[[Sentence]]]]: you do n't have to know about music to appreciate the film 's easygoing blend of comedy and romance . <SPLIT>[[[[Example_0]]]]: the film is not only a love song to the movies <SPLIT>[[[[Label_0]]]]: positive<SPLIT>[[[[Example_1]]]]: the film is not only a love song to the movies but <SPLIT>[[[[Label_1]]]]: positive<SPLIT>[[[[Example_2]]]]: the film is not only a love song to the movies but it also is more fully an example of the kind of lush , all-enveloping movie experience it rhapsodizes <SPLIT>[[[[Label_2]]]]: positive<SPLIT>[[[[Example_3]]]]: , the film is not only a love song to the movies but it also is more fully an example of the kind of lush , all-enveloping movie experience it rhapsodizes . <SPLIT>[[[[Label_3]]]]: positive<SPLIT>[[[[Example_4]]]]: the film is not only a love song to the movies but it also is more fully an example of the kind of lush , all-enveloping movie experience it rhapsodizes . <SPLIT>[[[[Label_4]]]]: positive<SPLIT>[[[[Example_5]]]]: has elements of romance , tragedy and even silent-movie comedy <SPLIT>[[[[Label_5]]]]: positive<SPLIT>[[[[Example_6]]]]: has elements of romance , tragedy and even silent-movie comedy . <SPLIT>[[[[Label_6]]]]: positive<SPLIT>[[[[Example_7]]]]: is not only a love song to the movies <SPLIT>[[[[Label_7]]]]: positive","[[[[Sentence]]]]: you do n't have to know about music to appreciate the film 's easygoing blend of comedy and romance . <SPLIT>[[[[Example_0]]]]: the film is not only a love song to the movies <SPLIT>[[[[Label_0]]]]: positive<SPLIT>[[[[Example_1]]]]: the film is not only a love song to the movies but <SPLIT>[[[[Label_1]]]]: positive<SPLIT>[[[[Example_2]]]]: the film is not only a love song to the movies but it also is more fully an example of the kind of lush , all-enveloping movie experience it rhapsodizes <SPLIT>[[[[Label_2]]]]: positive<SPLIT>[[[[Example_3]]]]: , the film is not only a love song to the movies but it also is more fully an example of the kind of lush , all-enveloping movie experience it rhapsodizes . <SPLIT>[[[[Label_3]]]]: positive<SPLIT>[[[[Example_4]]]]: the film is not only a love song to the movies but it also is more fully an example of the kind of lush , all-enveloping movie experience it rhapsodizes . <SPLIT>[[[[Label_4]]]]: positive<SPLIT>[[[[Example_5]]]]: has elements of romance , tragedy and even silent-movie comedy <SPLIT>[[[[Label_5]]]]: positive<SPLIT>[[[[Example_6]]]]: has elements of romance , tragedy and even silent-movie comedy . <SPLIT>[[[[Label_6]]]]: positive<SPLIT>[[[[Example_7]]]]: is not only a love song to the movies <SPLIT>[[[[Label_7]]]]: positive",0.02595740556716919,0.02595740556716919,1,1,1,1,"Failed"
"[[[[Sentence]]]]: in exactly 89 minutes , most of which passed as slowly as if i 'd been sitting naked on an igloo , formula 51 sank from quirky to jerky to utter turkey . <SPLIT>[[[[Example_0]]]]: the most excruciating 86 minutes one <SPLIT>[[[[Label_0]]]]: negative<SPLIT>[[[[Example_1]]]]: turned out nearly 21/2 hours of unfocused , excruciatingly tedious cinema that , half an hour in , starts making water torture seem appealing <SPLIT>[[[[Label_1]]]]: negative<SPLIT>[[[[Example_2]]]]: most excruciating 86 minutes <SPLIT>[[[[Label_2]]]]: negative<SPLIT>[[[[Example_3]]]]: most excruciating 86 minutes one <SPLIT>[[[[Label_3]]]]: negative<SPLIT>[[[[Example_4]]]]: has turned out nearly 21/2 hours of unfocused , excruciatingly tedious cinema that , half an hour in , starts making water torture seem appealing . <SPLIT>[[[[Label_4]]]]: [[negative]]<SPLIT>[[[[Example_5]]]]: the improbable `` formula 51 '' is somewhat entertaining <SPLIT>[[[[Label_5]]]]: [[positive]]<SPLIT>[[[[Example_6]]]]: the mayhem in formula 51 <SPLIT>[[[[Label_6]]]]: negative<SPLIT>[[[[Example_7]]]]: the most notable observation is how long you 've been sitting still <SPLIT>[[[[Label_7]]]]: negative","[[[[Sentence]]]]: in exactly 89 minutes , most of which passed as slowly as if i 'd been sitting naked on an igloo , formula 51 sank from quirky to jerky to utter turkey . <SPLIT>[[[[Example_0]]]]: the most excruciating 86 minutes one <SPLIT>[[[[Label_0]]]]: negative<SPLIT>[[[[Example_1]]]]: turned out nearly 21/2 hours of unfocused , excruciatingly tedious cinema that , half an hour in , starts making water torture seem appealing <SPLIT>[[[[Label_1]]]]: negative<SPLIT>[[[[Example_2]]]]: most excruciating 86 minutes <SPLIT>[[[[Label_2]]]]: negative<SPLIT>[[[[Example_3]]]]: most excruciating 86 minutes one <SPLIT>[[[[Label_3]]]]: negative<SPLIT>[[[[Example_4]]]]: has turned out nearly 21/2 hours of unfocused , excruciatingly tedious cinema that , half an hour in , starts making water torture seem appealing . <SPLIT>[[[[Label_4]]]]: [[positive]]<SPLIT>[[[[Example_5]]]]: the improbable `` formula 51 '' is somewhat entertaining <SPLIT>[[[[Label_5]]]]: [[negative]]<SPLIT>[[[[Example_6]]]]: the mayhem in formula 51 <SPLIT>[[[[Label_6]]]]: negative<SPLIT>[[[[Example_7]]]]: the most notable observation is how long you 've been sitting still <SPLIT>[[[[Label_7]]]]: negative",0.037326931953430176,0.2689414620399475,0,0,0,8,"Failed"
