"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"how far is it from [[denver]] to aspen ?","how far is it from [[here]] to aspen ?",0.14427626132965088,0.3216940760612488,5,5,5,23,"Failed"
"what [[county]] is modesto , california in ?","what [[of]] is modesto , california in ?",0.10664713382720947,0.7678120732307434,4,1,4,25,"Successful"
"who was galileo ?","who was galileo ?",0.08128416538238525,0.08128416538238525,3,3,3,2,"Failed"
"what is an [[atom]] ?","what is an [[atoms]] ?",0.49289625883102417,0.6429214477539062,2,2,2,3,"Failed"
"when did [[hawaii]] become a state ?","when did [[place]] become a state ?",0.3209514617919922,0.5683678388595581,5,5,5,14,"Failed"
"how [[tall]] is the sears building ?","how [[towering]] is the sears building ?",0.07862460613250732,0.17116975784301758,5,5,5,13,"Failed"
"george bush purchased a small interest in which baseball [[team]] ?","george bush purchased a small interest in which baseball [[season]] ?",0.3866370916366577,0.7983240485191345,3,5,3,48,"Successful"
"what is [[australia]] 's national flower ?","what is [[queensland]] 's national flower ?",0.601844847202301,0.7181339263916016,1,4,1,11,"Successful"
"why does the [[moon]] turn orange ?","why does the [[planet]] turn orange ?",0.28934943675994873,0.38451045751571655,2,2,2,9,"Failed"
"what is autism ?","what is autism ?",0.4268309473991394,0.4268309473991394,2,2,2,2,"Failed"
"what [[city]] had a world fair in 1900 ?","what [[one]] had a world fair in 1900 ?",0.14378076791763306,0.7426699995994568,4,3,4,26,"Successful"
"what [[person]] 's head is on a dime ?","what [[somebody]] 's head is on a dime ?",0.13964933156967163,0.9375975728034973,3,0,3,21,"Successful"
"what is the average weight of a yellow [[labrador]] ?","what is the average weight of a yellow [[coat]] ?",0.008595764636993408,0.04226279258728027,5,5,5,14,"Failed"
"who was the [[first]] man to fly across the pacific [[ocean]] ?","who was the [[only]] man to fly across the pacific [[from]] ?",0.04820239543914795,0.6086021065711975,3,4,3,116,"Successful"
"when did [[idaho]] become a state ?","when did [[oregon]] become a state ?",0.31115424633026123,0.36158663034439087,5,5,5,5,"Failed"
"what is the life expectancy for [[crickets]] ?","what is the life expectancy for [[cricket]]? ?",0.014251351356506348,0.09865462779998779,5,5,5,7,"Failed"
"what metal has the highest melting point ?","what metal has the highest melting point ?",0.8584271669387817,0.8584271669387817,5,5,1,1,"Skipped"
"who developed the vaccination against [[polio]] ?","who developed the vaccination against [[polox]] ?",0.06409728527069092,0.11684799194335938,3,3,3,44,"Failed"
"what is epilepsy ?","what is epilepsy ?",0.44412481784820557,0.44412481784820557,2,2,2,2,"Failed"
"what [[year]] did the titanic sink ?","what [[one]] did the titanic sink ?",0.056472182273864746,0.8126305341720581,5,1,5,36,"Successful"
"who was the first american to walk in [[space]] ?","who was the first american to walk in [[this]] ?",0.040894925594329834,0.8578530550003052,3,1,3,33,"Successful"
"what is a biosphere ?","what is a biosphere ?",0.3027661442756653,0.3027661442756653,2,2,2,2,"Failed"
"what river in the us is [[known]] as the big [[muddy]] ?","what river in the us is [[so]] as the big [[book]] ?",0.2678285241127014,0.7235326170921326,4,1,4,68,"Successful"
"what is bipolar [[disorder]] ?","what is bipolar [[that]] ?",0.37706178426742554,0.6856434345245361,2,1,2,40,"Successful"
"what is cholesterol ?","what is cholesterol ?",0.5628833770751953,0.5628833770751953,2,2,2,2,"Failed"
"who developed the [[macintosh]] computer ?","who developed the [[what]] computer ?",0.086575448513031,0.2772780656814575,3,3,3,7,"Failed"
"what is [[caffeine]] ?","what is [[caffein]] ?",0.43815869092941284,0.6714707612991333,2,2,2,3,"Failed"
"what imaginary line is halfway between the north and south poles ?","what imaginary line is halfway between the north and south poles ?",0.755003809928894,0.755003809928894,1,1,4,1,"Skipped"
"where is john wayne [[airport]] ?","where is john wayne [[one]] ?",0.04658031463623047,0.776456892490387,4,1,4,33,"Successful"
"what [[hemisphere]] is the philippines in ?","what [[one]] is the philippines in ?",0.2656503915786743,0.7177807092666626,4,1,4,19,"Successful"
"what is the average speed of the horses at the [[kentucky]] [[derby]] ?","what is the average speed of the horses at the [[tennessee]] [[terminal]] ?",0.006782710552215576,0.07355386018753052,5,5,5,53,"Failed"
"where are the rocky [[mountains]] ?","where are the rocky [[rockies]] ?",0.0794374942779541,0.2479448914527893,4,4,4,12,"Failed"
"what are invertebrates ?","what are invertebrates ?",0.423896849155426,0.423896849155426,2,2,2,2,"Failed"
"what is the [[temperature]] at the center of the earth ?","what is the [[warm]] at the center of the earth ?",0.02057051658630371,0.7673823833465576,5,2,5,31,"Successful"
"when did john f. kennedy get elected as [[president]] ?","when did john f. kennedy get elected as [[father]] ?",0.31227171421051025,0.5963483452796936,5,3,5,53,"Successful"
"how [[old]] was elvis presley when he died ?","how [[what]] was elvis presley when he died ?",0.07570070028305054,0.9444926381111145,5,3,5,46,"Successful"
"where is the [[orinoco]] river ?","where is the [[orinopacific]] river ?",0.04341089725494385,0.13004130125045776,4,4,4,49,"Failed"
"how [[far]] is the service line from the net in tennis ?","how [[route]] is the service line from the net in tennis ?",0.030648887157440186,0.8631303310394287,5,2,5,47,"Successful"
"how [[much]] fiber should you have [[per]] day ?","how [[this]] fiber should you have [[every]] day ?",0.015617728233337402,0.7284866571426392,5,1,5,52,"Successful"
"how [[many]] great lakes are there ?","how [[why]] great lakes are there ?",0.05065882205963135,0.8324538469314575,5,2,5,43,"Successful"
"[[material]] called linen is [[made]] from what plant ?","[[it]] called linen is [[makes]] from what plant ?",0.40753787755966187,0.530057966709137,1,1,1,73,"Failed"
"what is teflon ?","what is teflon ?",0.2963373064994812,0.2963373064994812,2,2,2,2,"Failed"
"what is amitriptyline ?","what is amitriptyline ?",0.3984169363975525,0.3984169363975525,2,2,2,2,"Failed"
"what is a shaman ?","what is a shaman ?",0.4831227660179138,0.4831227660179138,2,2,2,2,"Failed"
"what is the proper name for a female [[walrus]] ?","what is the proper name for a female [[walcow]] ?",0.5019360780715942,0.5708035230636597,1,1,1,6,"Failed"
"what is a [[group]] of turkeys called ?","what is a [[number]] of turkeys called ?",0.3979724049568176,0.7054750919342041,1,5,1,50,"Successful"
"how [[long]] did rip van winkle sleep ?","how [[there]] did rip van winkle sleep ?",0.06795090436935425,0.8785086870193481,5,2,5,43,"Successful"
"what are [[triglycerides]] ?","what are [[triglyceride]] ?",0.558904230594635,0.5838841199874878,2,2,2,3,"Failed"
"how [[many]] liters in a gallon ?","how [[was]] liters in a gallon ?",0.004148364067077637,0.28476500511169434,5,5,5,43,"Failed"
"what is the name of the chocolate [[company]] in san francisco ?","what is the name of the chocolate [[business]] in san francisco ?",0.6465421915054321,0.6771889925003052,3,1,3,49,"Successful"
"what are amphibians ?","what are amphibians ?",0.47968727350234985,0.47968727350234985,2,2,2,2,"Failed"
"who [[discovered]] x-rays ?","who [[who]] x-rays ?",0.09458643198013306,0.6683678030967712,3,3,3,30,"Failed"
"which comedian 's [[signature]] line is `` can we talk '' ?","which comedian 's [[next]] line is `` can we talk '' ?",0.3528238534927368,0.7836102843284607,3,1,3,39,"Successful"
"what is fibromyalgia ?","what is fibromyalgia ?",0.4164584279060364,0.4164584279060364,2,2,2,2,"Failed"
"what is [[done]] with worn or outdated flags ?","what is [[here]] with worn or outdated flags ?",0.36037880182266235,0.8203243613243103,2,1,2,50,"Successful"
"what does cc in engines mean ?","what does cc in engines mean ?",0.7537935376167297,0.7537935376167297,0,0,2,1,"Skipped"
"when did [[elvis]] presley die ?","when did [[so]] presley die ?",0.4682474136352539,0.6163089275360107,5,3,5,33,"Successful"
"what is the [[capital]] of yugoslavia ?","what is the [[cities]] of yugoslavia ?",0.06339681148529053,0.7040224075317383,4,4,4,9,"Failed"
"where is milan ?","where is milan ?",0.04250001907348633,0.04250001907348633,4,4,4,2,"Failed"
"what is the [[speed]] hummingbirds fly ?","what is the [[way]] hummingbirds fly ?",0.01204991340637207,0.9462380409240723,5,2,5,48,"Successful"
"what is the oldest [[city]] in the united states ?","what is the oldest [[the]] in the united states ?",0.28613197803497314,0.9137756824493408,4,5,4,38,"Successful"
