"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"how [[far]] is it from denver to [[aspen]] ?","how [[𝚏ar]] is it from denver to [[espn]] ?",0.05907106399536133,0.7469584941864014,5,0,5,26,"Successful"
"what [[county]] is modesto , california in ?","what [[countу]] is modesto , california in ?",0.0537111759185791,0.5477446913719177,4,4,4,17,"Failed"
"who was [[galileo]] ?","who was [[galilean]] ?",0.3073042631149292,0.8318119049072266,3,2,3,17,"Successful"
"what is an [[atom]] ?","what is an [[aotm]] ?",0.2640484571456909,0.8750019073486328,2,0,2,14,"Successful"
"when did hawaii become a [[state]] ?","when did hawaii become a [[stɑte]] ?",0.014069080352783203,0.03702080249786377,5,5,5,16,"Failed"
"how [[tall]] is the sears building ?","how [[jacob]] is the sears building ?",0.0677151083946228,0.9678111672401428,5,0,5,15,"Successful"
"george bush purchased a small interest in which baseball team ?","george bush purchased a small interest in which baseball team ?",0.9563825726509094,0.9563825726509094,1,1,3,1,"Skipped"
"what is australia 's national [[flower]] ?","what is australia 's national [[𝚏lower]] ?",0.2868160605430603,0.7602958679199219,1,0,1,18,"Successful"
"why does the [[moon]] turn orange ?","why does the [[mooո]] turn orange ?",0.11391693353652954,0.44616901874542236,2,2,2,14,"Failed"
"what is autism ?","what is autism ?",0.7907853126525879,0.7907853126525879,1,1,2,1,"Skipped"
"what [[city]] had a world fair in [[1900]] ?","what [[cities]] had a world fair in [[19]] [[00]] ?",0.02328258752822876,0.6211543083190918,4,4,4,23,"Failed"
"what person 's head is on a dime ?","what person 's head is on a dime ?",0.9226115942001343,0.9226115942001343,1,1,3,1,"Skipped"
"what is the average [[weight]] of a yellow [[labrador]] ?","what is the average [[ԝeight]] of a yellow [[larbador]] ?",0.1938989758491516,0.6942237615585327,5,5,5,34,"Failed"
"who was the first man to [[fly]] across the [[pacific]] ocean ?","who was the first man to [[stealing]] across the [[peaceful]] ocean ?",0.18739044666290283,0.3709372878074646,3,3,3,30,"Failed"
"when did idaho become a [[state]] ?","when did idaho become a [[stɑte]] ?",0.013711214065551758,0.044711530208587646,5,5,5,17,"Failed"
"what is the life expectancy for [[crickets]] ?","what is the life expectancy for [[cⲅickets]] ?",0.42942458391189575,0.8556666970252991,5,0,5,20,"Successful"
"what metal has the [[highest]] melting point ?","what metal has the [[maximum]] melting point ?",0.5760980844497681,0.6305752396583557,1,2,1,19,"Successful"
"who developed the vaccination against [[polio]] ?","who developed the vaccination against [[p]] [[olio]] ?",0.21012264490127563,0.24540656805038452,3,3,3,17,"Failed"
"what is epilepsy ?","what is epilepsy ?",0.7431533336639404,0.7431533336639404,1,1,2,1,"Skipped"
"what [[year]] did the titanic sink ?","what [[leto]] did the titanic sink ?",0.010535001754760742,0.99003005027771,5,1,5,15,"Successful"
"who was the first [[american]] to walk in [[space]] ?","who was the first [[aerican]] to walk in [[spɑce]] ?",0.1609053611755371,0.26373618841171265,3,3,3,33,"Failed"
"what is a [[biosphere]] ?","what is a [[biospheⲅe]] ?",0.3236725330352783,0.7572060823440552,2,1,2,19,"Successful"
"what river in the us is known as the big muddy ?","what river in the us is known as the big muddy ?",0.7995337247848511,0.7995337247848511,1,1,4,1,"Skipped"
"what is bipolar disorder ?","what is bipolar disorder ?",0.7663343548774719,0.7663343548774719,1,1,2,1,"Skipped"
"what is cholesterol ?","what is cholesterol ?",0.611100435256958,0.611100435256958,1,1,2,1,"Skipped"
"who [[developed]] the macintosh computer ?","who [[deveoped]] the macintosh computer ?",0.15871429443359375,0.20421820878982544,3,3,3,20,"Failed"
"what is caffeine ?","what is caffeine ?",0.8019710779190063,0.8019710779190063,1,1,2,1,"Skipped"
"what imaginary line is halfway between the north and south poles ?","what imaginary line is halfway between the north and south poles ?",0.9605992436408997,0.9605992436408997,2,2,4,1,"Skipped"
"where is john wayne [[airport]] ?","where is john wayne [[airpor𝚝]] ?",0.005903959274291992,0.02895975112915039,4,4,4,19,"Failed"
"what hemisphere is the [[philippines]] in ?","what hemisphere is the [[fei]] in ?",0.5965480208396912,0.9649592041969299,4,2,4,21,"Successful"
"what is the average speed of the horses at the [[kentucky]] [[derby]] ?","what is the average speed of the horses at the [[kfc]] [[wolverhampton]] ?",0.04907268285751343,0.2635115385055542,5,5,5,35,"Failed"
"where are the [[rocky]] mountains ?","where are the [[ⲅocky]] mountains ?",0.024112701416015625,0.058613121509552,4,4,4,15,"Failed"
"what are invertebrates ?","what are invertebrates ?",0.6030845642089844,0.6030845642089844,1,1,2,1,"Skipped"
"what is the [[temperature]] at the center of the earth ?","what is the [[weather]] at the center of the earth ?",0.45221883058547974,0.9913257360458374,5,2,5,22,"Successful"
"when did john f. kennedy get [[elected]] as [[president]] ?","when did john f. kennedy get [[elec𝚝ed]] as [[presiden𝚝]] ?",0.009052574634552002,0.08626145124435425,5,5,5,38,"Failed"
"how [[old]] was elvis presley when he died ?","how [[antigua]] was elvis presley when he died ?",0.015955090522766113,0.8941181898117065,5,2,5,14,"Successful"
"where is the [[orinoco]] river ?","where is the [[оrinoco]] river ?",0.025974571704864502,0.05967956781387329,4,4,4,17,"Failed"
"how [[far]] is the service line from the net in tennis ?","how [[very]] is the service line from the net in tennis ?",0.08810049295425415,0.8256834745407104,5,2,5,15,"Successful"
"how [[much]] fiber should you have per day ?","how [[mucho]] fiber should you have per day ?",0.18026971817016602,0.6965280175209045,5,2,5,16,"Successful"
"how many great [[lakes]] are there ?","how many great [[wu]] are there ?",0.022074103355407715,0.30868369340896606,5,5,5,16,"Failed"
"material called linen is made from what [[plant]] ?","material called linen is made from what [[facility]] ?",0.2642853260040283,0.6209822297096252,1,2,1,19,"Successful"
"what is teflon ?","what is teflon ?",0.8187482953071594,0.8187482953071594,1,1,2,1,"Skipped"
"what is amitriptyline ?","what is amitriptyline ?",0.7554016709327698,0.7554016709327698,1,1,2,1,"Skipped"
"what is a shaman ?","what is a shaman ?",0.7510903477668762,0.7510903477668762,1,1,2,1,"Skipped"
"what is the proper [[name]] for a female [[walrus]] ?","what is the proper [[behalf]] for a female [[morning]] ?",0.21878200769424438,0.8647303581237793,1,0,1,30,"Successful"
"what is a [[group]] of [[turkeys]] called ?","what is a [[grouр]] of [[ankara]] called ?",0.13087308406829834,0.6304918527603149,1,0,1,31,"Successful"
"how [[long]] did rip van winkle [[sleep]] ?","how [[protracted]] did rip van winkle [[sleeр]] ?",0.07465392351150513,0.7244385480880737,5,2,5,29,"Successful"
"what are triglycerides ?","what are triglycerides ?",0.6691483855247498,0.6691483855247498,1,1,2,1,"Skipped"
"how many liters in a [[gallon]] ?","how many liters in a [[litres]] ?",0.08262842893600464,0.4218800663948059,5,5,5,18,"Failed"
"what is the name of the chocolate company in san francisco ?","what is the name of the chocolate company in san francisco ?",0.9970085620880127,0.9970085620880127,1,1,3,1,"Skipped"
"what are amphibians ?","what are amphibians ?",0.7587324976921082,0.7587324976921082,1,1,2,1,"Skipped"
"who [[discovered]] x-rays ?","who [[discoveⲅed]] x-rays ?",0.32279157638549805,0.4226350784301758,3,3,3,20,"Failed"
"which comedian 's signature line is `` can we talk '' ?","which comedian 's signature line is `` can we talk '' ?",0.9057281017303467,0.9057281017303467,1,1,3,1,"Skipped"
"what is fibromyalgia ?","what is fibromyalgia ?",0.8239424824714661,0.8239424824714661,1,1,2,1,"Skipped"
"what is [[done]] with worn or outdated flags ?","what is [[dne]] with worn or outdated flags ?",0.20727330446243286,0.6472342014312744,2,0,2,16,"Successful"
"what does cc in engines mean ?","what does cc in engines mean ?",0.940596342086792,0.940596342086792,0,0,2,1,"Skipped"
"when did elvis presley [[die]] ?","when did elvis presley [[de]] ?",0.00908881425857544,0.10036563873291016,5,5,5,14,"Failed"
"what is the [[capital]] of yugoslavia ?","what is the [[capitalization]] of yugoslavia ?",0.22067707777023315,0.9994004964828491,4,0,4,17,"Successful"
"where is [[milan]] ?","where is [[milaո]] ?",0.04712831974029541,0.14025497436523438,4,4,4,15,"Failed"
"what is the speed [[hummingbirds]] fly ?","what is the speed [[hummingbiⲅds]] fly ?",0.4254615306854248,0.984853208065033,5,1,5,23,"Successful"
"what is the [[oldest]] [[city]] in the united states ?","what is the [[elder]] [[cities]] in the united states ?",0.16608315706253052,0.8706912398338318,4,1,4,29,"Successful"
"what was w.c. fields ' real name ?","what was w.c. fields ' real name ?",0.9216055274009705,0.9216055274009705,2,2,3,1,"Skipped"
"what [[river]] flows between fargo , north dakota and moorhead , minnesota ?","what [[ⲅiver]] flows between fargo , north dakota and moorhead , minnesota ?",0.17410409450531006,0.6632223129272461,4,1,4,20,"Successful"
"what do [[bats]] eat ?","what do [[innings]] eat ?",0.20521169900894165,0.3736576437950134,1,1,1,14,"Failed"
"what [[state]] did the battle of [[bighorn]] take place in ?","what [[s𝚝ate]] did the battle of [[bіghorn]] take place in ?",0.042618513107299805,0.8088878989219666,4,0,4,32,"Successful"
"who was abraham [[lincoln]] ?","who was abraham [[lincolո]] ?",0.1358027458190918,0.5190588235855103,3,3,3,18,"Failed"
"what do you call a [[newborn]] [[kangaroo]] ?","what do you call a [[newboⲅn]] [[tasmania]] ?",0.2500048279762268,0.755942702293396,1,0,1,35,"Successful"
"what are spider veins ?","what are spider veins ?",0.8220045566558838,0.8220045566558838,1,1,2,1,"Skipped"
"what day and month did john [[lennon]] [[die]] ?","what day and month did john [[stevie]] [[de]] ?",0.1833341121673584,0.6466349959373474,5,5,5,29,"Failed"
"what [[strait]] separates north america from asia ?","what [[ѕtrait]] separates north america from asia ?",0.3089064359664917,0.9933071732521057,4,1,4,19,"Successful"
"what is the [[population]] of seattle ?","what is the [[public]] of seattle ?",0.06646126508712769,0.9967237114906311,5,1,5,20,"Successful"
"how [[much]] was a ticket for the [[titanic]] ?","how [[very]] was a ticket for the [[daunting]] ?",0.022332847118377686,0.8619932532310486,5,2,5,30,"Successful"
"what is the largest [[city]] in the world ?","what is the largest [[cities]] in the world ?",0.5812990069389343,0.8661165833473206,4,1,4,15,"Successful"
"what american composer wrote the music for `` west side story '' ?","what american composer wrote the music for `` west side story '' ?",0.6770224571228027,0.6770224571228027,1,1,3,1,"Skipped"
"where is the [[mall]] of the [[america]] ?","where is the [[mɑll]] of the [[amercia]] ?",0.009469687938690186,0.2515754699707031,4,4,4,29,"Failed"
"what is the ph scale ?","what is the ph scale ?",0.582868218421936,0.582868218421936,0,0,2,1,"Skipped"
"what type of currency is used in australia ?","what type of currency is used in australia ?",0.9359839558601379,0.9359839558601379,0,0,1,1,"Skipped"
"how [[tall]] is the gateway arch in st. louis , mo ?","how [[jacob]] is the gateway arch in st. louis , mo ?",0.03388035297393799,0.8486124277114868,5,1,5,18,"Successful"
"how [[much]] does the human adult female brain [[weigh]] ?","how [[very]] does the human adult female brain [[wegih]] ?",0.008927762508392334,0.53490149974823,5,5,5,31,"Failed"
"who was the first [[governor]] of [[alaska]] ?","who was the first [[ruler]] of [[ala]] ?",0.10253214836120605,0.3151301145553589,3,3,3,33,"Failed"
"what is a [[prism]] ?","what is a [[pism]] ?",0.48587340116500854,0.9083458185195923,2,0,2,15,"Successful"
"when was the first liver [[transplant]] ?","when was the first liver [[transplan𝚝]] ?",0.007743239402770996,0.026931345462799072,5,5,5,22,"Failed"
"who was elected president of south [[africa]] in [[1994]] ?","who was elected president of south [[continent]] in [[19৭4]] ?",0.06518375873565674,0.2726449966430664,3,3,3,25,"Failed"
"what is the [[population]] of china ?","what is the [[public]] of china ?",0.046796560287475586,0.9965691566467285,5,2,5,20,"Successful"
"when was rosa parks [[born]] ?","when was rosa parks [[nee]] ?",0.021415412425994873,0.38556158542633057,5,5,5,16,"Failed"
"why is a ladybug [[helpful]] ?","why is a ladybug [[actionable]] ?",0.23696011304855347,0.4251229763031006,2,2,2,18,"Failed"
"what is amoxicillin ?","what is amoxicillin ?",0.7902555465698242,0.7902555465698242,1,1,2,1,"Skipped"
"who was the [[first]] [[female]] united states representative ?","who was the [[firs𝚝]] [[feｍale]] united states representative ?",0.12516993284225464,0.27108103036880493,3,3,3,31,"Failed"
"what are xerophytes ?","what are xerophytes ?",0.7127569913864136,0.7127569913864136,1,1,2,1,"Skipped"
"what [[country]] did ponce de leon come from ?","what [[nationals]] did ponce de leon come from ?",0.20369744300842285,0.8791568875312805,4,1,4,20,"Successful"
"the u.s. department of treasury first issued paper currency for the u.s. during which war ?","the u.s. department of treasury first issued paper currency for the u.s. during which war ?",0.9926579594612122,0.9926579594612122,5,5,1,1,"Skipped"
"what is desktop publishing ?","what is desktop publishing ?",0.7847039699554443,0.7847039699554443,0,0,2,1,"Skipped"
"what is the [[temperature]] of the sun 's surface ?","what is the [[weather]] of the sun 's surface ?",0.38644570112228394,0.9963083863258362,5,2,5,22,"Successful"
"what [[year]] did canada join the united nations ?","what [[leto]] did canada join the united nations ?",0.008148729801177979,0.8693434596061707,5,2,5,17,"Successful"
"what is the oldest university in the us ?","what is the oldest university in the us ?",0.9908734560012817,0.9908734560012817,4,4,3,1,"Skipped"
"where is prince edward [[island]] ?","where is prince edward [[insular]] ?",0.013347744941711426,0.026735126972198486,4,4,4,18,"Failed"
"mercury , what [[year]] was it discovered ?","mercury , what [[leto]] was it discovered ?",0.11696547269821167,0.8625091314315796,5,2,5,15,"Successful"
"what is [[cryogenics]] ?","what is [[cⲅyogenics]] ?",0.37156105041503906,0.7865630388259888,2,0,2,20,"Successful"
"what are coral reefs ?","what are coral reefs ?",0.601934552192688,0.601934552192688,1,1,2,1,"Skipped"
"what is the longest major league baseball-winning streak ?","what is the longest major league baseball-winning streak ?",0.9878578782081604,0.9878578782081604,5,5,1,1,"Skipped"
"what is [[neurology]] ?","what is [[neuro]] ?",0.13405334949493408,0.7554993629455566,2,0,2,19,"Successful"
"who invented the [[calculator]] ?","who invented the [[calculation]] ?",0.285805344581604,0.6417775750160217,3,3,3,21,"Failed"
"how do you measure [[earthquakes]] ?","how do you measure [[ear𝚝hquakes]] ?",0.11182665824890137,0.3545743227005005,2,2,2,22,"Failed"
"who is duke [[ellington]] ?","who is duke [[elliոgton]] ?",0.05534940958023071,0.17938202619552612,3,3,3,20,"Failed"
"what county is [[phoenix]] , az in ?","what county is [[рhoenix]] , az in ?",0.08103352785110474,0.21134281158447266,4,4,4,18,"Failed"
"what is a micron ?","what is a micron ?",0.5945743322372437,0.5945743322372437,0,0,2,1,"Skipped"
"the sun 's core , what is the [[temperature]] ?","the sun 's core , what is the [[weather]] ?",0.4281107187271118,0.9906224012374878,5,2,5,23,"Successful"
