"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"it 's a [[charming]] and often affecting [[journey]] . ","it 's a [[long]] and often affecting [[travel]] . ",0.00023049116134643555,0.004070103168487549,1,1,1,39,"Failed"
"unflinchingly [[bleak]] and desperate ","unflinchingly [[despair]] and desperate ",0.16451644897460938,0.5621764659881592,0,1,0,13,"Successful"
"allows us to hope that nolan is [[poised]] to embark a [[major]] [[career]] as a commercial yet inventive filmmaker . ","allows us to hope that nolan is [[ineligible]] to embark a [[meaningful]] [[comeback]] as a commercial yet inventive filmmaker . ",0.0097084641456604,0.46879059076309204,1,1,1,151,"Failed"
"the acting , costumes , music , cinematography and sound are all [[astounding]] [[given]] the production 's austere [[locales]] . ","the acting , costumes , music , cinematography and sound are all [[atouadequate]] [[but]] the production 's austere [[exoticizes]] . ",0.0019267797470092773,0.5,1,0,1,146,"Successful"
"it 's slow -- very , very [[slow]] . ","it 's slow -- very , very [[fast]] . ",0.08509904146194458,0.6224592924118042,0,1,0,29,"Successful"
"although laced with [[humor]] and a few fanciful [[touches]] , the film is a [[refreshingly]] serious look at young women . ","although laced with [[charm]] and a few fanciful [[screenplay]] , the film is a [[refreshingvery]] serious look at young women . ",0.022977352142333984,0.10669058561325073,1,1,1,134,"Failed"
"a sometimes [[tedious]] film . ","a sometimes [[longieg]] film . ",0.05340331792831421,0.6224592924118042,0,1,0,21,"Successful"
"or doing last year 's taxes with your ex-wife . ","or doing last year 's taxes with your ex-wife . ",0.8175745010375977,0.8175745010375977,1,1,0,1,"Skipped"
"you do [[n't]] have to [[know]] about music to [[appreciate]] the film 's easygoing blend of comedy and romance . ","you do [[n']]$ have to [[care]] about music to [[miss]] the film 's easygoing blend of comedy and romance . ",0.0031726956367492676,0.34864509105682373,1,1,1,149,"Failed"
"in exactly 89 [[minutes]] , most of which [[passed]] as slowly as if i 'd been sitting naked on an igloo , formula 51 [[sank]] from quirky to jerky to utter [[turkey]] . ","in exactly 89 [[years]] , most of which [[history]] as slowly as if i 'd been sitting naked on an igloo , formula 51 [[had]] from quirky to jerky to utter [[piece]] . ",0.04208773374557495,0.5312093496322632,0,1,0,185,"Successful"
"the mesmerizing performances of the leads keep the film [[grounded]] and [[keep]] the audience [[riveted]] . ","the mesmerizing performances of the leads keep the film [[sane]] and [[about]] the audience [[swartsuspense]] . ",0.0010322332382202148,0.02931225299835205,1,1,1,126,"Failed"
"it takes a strange kind of laziness to [[waste]] the talents of robert forster , anne meara , eugene levy , and reginald veljohnson all in the same movie . ","it takes a strange kind of laziness to [[put]] the talents of robert forster , anne meara , eugene levy , and reginald veljohnson all in the same movie . ",0.18242555856704712,0.6791787147521973,0,1,0,61,"Successful"
"... the film [[suffers]] from a lack of humor ( something needed to balance out the violence ) ... ","... the film [[cannot]] from a lack of humor ( something needed to balance out the violence ) ... ",0.09534949064254761,0.5312093496322632,0,1,0,50,"Successful"
"we [[root]] for ( clara and paul ) , even like them , [[though]] perhaps it 's an emotion closer to pity . ","we [[only]] for ( clara and paul ) , even like them , [[well]] perhaps it 's an emotion closer to pity . ",0.09534949064254761,0.5621764659881592,1,0,1,90,"Successful"
"even horror fans will most likely not find what they 're seeking with trouble every day ; the movie [[lacks]] both thrills and humor . ","even horror fans will most likely not find what they 're seeking with trouble every day ; the movie [[doesn]] both thrills and humor . ",0.16451644897460938,0.9626731276512146,0,1,0,59,"Successful"
"a [[gorgeous]] , high-spirited musical from india that [[exquisitely]] [[blends]] music , dance , song , and high drama . ","a [[ballet]] , high-spirited musical from india that [[exquisiteballet]] [[blendwas]] music , dance , song , and high drama . ",0.0010322332382202148,0.010986924171447754,1,1,1,149,"Failed"
"the [[emotions]] are raw and will [[strike]] a nerve with anyone who 's ever had [[family]] trauma . ","the [[emotional]] are raw and will [[damage]] a nerve with anyone who 's ever had [[child]] trauma . ",0.0097084641456604,0.2450850009918213,1,1,1,101,"Failed"
"[[audrey]] tatou has a [[knack]] for [[picking]] roles that magnify her outrageous [[charm]] , and in this literate french [[comedy]] , she 's as morning-glory exuberant as she was in amélie . ","[[else]] tatou has a [[giftedtendency]] for [[over]] roles that magnify her outrageous [[popularity]] , and in this literate french [[flick]] , she 's as morning-glory exuberant as she was in amélie . ",0.0015012025833129883,0.13296425342559814,1,1,1,239,"Failed"
"... the movie is just a [[plain]] old monster . ","... the movie is just a [[whole]] old monster . ",0.09534949064254761,0.6791787147521973,0,1,0,44,"Successful"
"in its best moments , resembles a [[bad]] high school [[production]] of grease , without benefit of song . ","in its best moments , resembles a [[badly]] high school [[classic]] of grease , without benefit of song . ",0.08509904146194458,0.5621764659881592,0,1,0,99,"Successful"
"pumpkin takes an admirable look at the hypocrisy of political correctness , but it does so with such an uneven tone that you never know when [[humor]] [[ends]] and tragedy begins . ","pumpkin takes an admirable look at the hypocrisy of political correctness , but it does so with such an uneven tone that you never know when [[charm]] [[meets]] and tragedy begins . ",0.32082128524780273,0.5312093496322632,0,1,0,104,"Successful"
"the iditarod lasts for days - this just felt like it did . ","the iditarod lasts for days - this just felt like it did . ",0.5312093496322632,0.5312093496322632,1,1,0,1,"Skipped"
"holden caulfield did it [[better]] . ","holden caulfield did it [[best]] . ",0.09534949064254761,0.8354835510253906,0,1,0,50,"Successful"
"a delectable and intriguing thriller filled with [[surprises]] , read my lips is an [[original]] . ","a delectable and intriguing thriller filled with [[bugs]] , read my lips is an [[standard]] . ",0.0017006993293762207,0.08509904146194458,1,1,1,93,"Failed"
"[[seldom]] has a movie so closely matched the spirit of a man and his work . ","[[her]] has a movie so closely matched the spirit of a man and his work . ",0.001325070858001709,0.004609584808349609,1,1,1,39,"Failed"
"nicks , seemingly uncertain what 's going to make people laugh , runs the gamut from [[stale]] parody to raunchy sex gags to [[formula]] romantic comedy . ","nicks , seemingly uncertain what 's going to make people laugh , runs the gamut from [[fresh]] parody to raunchy sex gags to [[just]] romantic comedy . ",0.13296425342559814,0.7549149990081787,0,1,0,110,"Successful"
