"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"they 're [[easy]] to use","they 're [[hard]] to use",0.010986924171447754,0.9465966820716858,1,0,1,47,"Successful"
"playlists can be generated on the fly ( which is a bit clunky but still a really [[nice]] bonus ) or by using the software , and there are a [[bevy]] of eq [[options]]","playlists can be generated on the fly ( which is a bit clunky but still a really [[by]] bonus ) or by using the software , and there are a [[be]], of eq [[disabled]]",0.02033233642578125,0.46879059076309204,1,1,1,100,"Failed"
"[[simply]] , the canon g3 is the [[best]] digital camera out there [[today]] at this price point","[[not]] , the canon g3 is the [[better]] digital camera out there [[people]] at this price point",0.0028009414672851562,0.11920297145843506,1,1,1,100,"Failed"
"multimedia functions are enhanced by multi slide mms messages and a [[gallery]] for organizing digital content [[captured]] or downloaded with the phone","multimedia functions are enhanced by multi slide mms messages and a [[collection]] for organizing digital content [[and]] or downloaded with the phone",0.022977352142333984,0.07585817575454712,1,1,1,100,"Failed"
"oh , and [[another]] is the [[cool]] halo light that surrounds the touch pad , and light 's up when you touch the screen , and how the light glows when the zen is connected to the computer","oh , and [[others]] is the [[white]] halo light that surrounds the touch pad , and light 's up when you touch the screen , and how the light glows when the zen is connected to the computer",0.0021827220916748047,0.2450850009918213,1,1,1,100,"Failed"
"i 'd say that this camera is [[perfect]]","i 'd say that this camera is [[okay]]",0.0024725794792175293,0.5312093496322632,1,0,1,39,"Successful"
"this is the [[best]] phone i have seen","this is the [[worst]] phone i have seen",0.0024725794792175293,0.9820137619972229,1,0,1,47,"Successful"
"this one has a [[good]] looking","this one has a [[bad]] looking",0.02931225299835205,0.9241418242454529,1,0,1,49,"Successful"
"they made the other [[end]] of the camera flat so you can put the camera upright on a flat surface if you don 't like to take the [[usual]] horizontal pictures using the self timer","they made the other [[one]] of the camera flat so you can put the camera upright on a flat surface if you don 't like to take the [[only]] horizontal pictures using the self timer",0.01590639352798462,0.29421496391296387,1,1,1,100,"Failed"
"don 't care about sunlight it 's [[tft]]","don 't care about sunlight it 's [[tbloody]]",0.14804714918136597,0.6224592924118042,1,0,1,51,"Successful"
"other than that , i [[love]] this camera","other than that , i [[dislike]] this camera",0.0028009414672851562,0.9669139981269836,1,0,1,50,"Successful"
"the macro mode is exceptional , the [[pictures]] are very clear and you can [[take]] the pictures with the lens unbelievably close the subject","the macro mode is exceptional , the [[mountains]] are very clear and you can [[tell]] the pictures with the lens unbelievably close the subject",0.0024725794792175293,0.008577525615692139,1,1,1,100,"Failed"
"i do not need to repeat what 's [[great]] about this phone","i do not need to repeat what 's [[weird]] about this phone",0.0097084641456604,0.6224592924118042,1,0,1,51,"Successful"
"the screen is very easy to [[read]] and the blue light is bright enough to read at night , but dim [[enough]] so it does n 't [[blind]] you when you stare too long","the screen is very easy to [[and]] and the blue light is bright enough to read at night , but dim [[and]] so it does n 't [[find]] you when you stare too long",0.0021827220916748047,0.4073333740234375,1,1,1,100,"Failed"
"plusses are the [[easy]] to remove battery and the [[terrific]] sound produced by the nomad","plusses are the [[easier]] to remove battery and the [[constant]] sound produced by the nomad",0.03308594226837158,0.5312093496322632,1,0,1,100,"Successful"
"the camera was a [[marvel]]","the camera was a [[damned]]",0.03308594226837158,0.5312093496322632,1,0,1,28,"Successful"
"the program is called nomad and works great for me and seems to cover all the [[features]] the included [[windows]] software does","the program is called nomad and works great for me and seems to cover all the [[issues]] the included [[this]] software does",0.010986924171447754,0.09534949064254761,1,1,1,100,"Failed"
"these tasks are [[faster]] and easier than in prior versions , and i found the menu to be [[much]] more [[navigable]]","these tasks are [[harder]] and easier than in prior versions , and i found the menu to be [[no]] more [[active]]",0.012431681156158447,0.5,1,0,1,100,"Successful"
"the infrared is a blessing if you have a previous nokia and want to transfer your old phone book to this phone , [[saved]] me hours of re entering my numbers","the infrared is a blessing if you have a previous nokia and want to transfer your old phone book to this phone , [[made]] me hours of re entering my numbers",0.00522005558013916,0.5312093496322632,1,0,1,62,"Successful"
"i can tell [[using]] the phone that it feels a little flimsier than motorola 's do , but as long as i 'm not planning on dropping the phone or running over it with my car it should be just fine","i can tell [[over]] the phone that it feels a little flimsier than motorola 's do , but as long as i 'm not planning on dropping the phone or running over it with my car it should be just fine",0.08509904146194458,0.5621764659881592,1,0,1,59,"Successful"
"the digital zoom takes as [[good]] of pictures , as the optical zoom does !","the digital zoom takes as [[bad]] of pictures , as the optical zoom does !",0.005910992622375488,0.9669139981269836,1,0,1,54,"Successful"
"what [[impressed]] me most was the sound","what [[puzzled]] me most was the sound",0.007577240467071533,0.5621764659881592,1,0,1,49,"Successful"
"could be better to be a perfect camera ( and some competitors do some of this better ) purple fringing , details in high light area , noise over iso100 , red eyes , ( few ) processing artefact 's , ( few ) loss of some details especially of the hairs of peoples in low light , automatic autofocus , whizzing while video playback , better video compression ( smaller viedo files ) , more manual controls , longer lasting battery , indicator for battery , better protection of the lcd , less weight","could be better to be a perfect camera ( and some competitors do some of this better ) purple fringing , details in high light area , noise over iso100 , red eyes , ( few ) processing artefact 's , ( few ) loss of some details especially of the hairs of peoples in low light , automatic autofocus , whizzing while video playback , better video compression ( smaller viedo files ) , more manual controls , longer lasting battery , indicator for battery , better protection of the lcd , less weight",0.5312093496322632,0.5312093496322632,0,0,1,1,"Skipped"
"it [[comes]] with a [[good]] case that fits it snugly","it [[there]] with a [[better]] case that fits it snugly",0.01590639352798462,0.43782347440719604,1,1,1,95,"Failed"
"[[yes]] , the picture quality and features which are too [[numerous]] to mention are [[unmatched]] for any camera in this price range","[[although]] , the picture quality and features which are too [[poor]] to mention are [[un-ched]] for any camera in this price range",0.0031726956367492676,0.7310585975646973,1,0,1,100,"Successful"
"it 's [[easy]]","it 's [[gone]]",0.01590639352798462,0.43782347440719604,1,1,1,33,"Failed"
"very fast powerup and great [[speed]] when taking [[multiple]] pictures","very fast powerup and great [[heat]] when taking [[2]] pictures",0.00522005558013916,0.08509904146194458,1,1,1,99,"Failed"
"8 battery life is [[excellent]]","8 battery life is [[average]]",0.006692826747894287,0.6224592924118042,1,0,1,51,"Successful"
"everything that i have [[listed]] above , the [[zen]] has , and more","everything that i have [[the]] above , the [[world]] has , and more",0.0024725794792175293,0.05340331792831421,1,1,1,92,"Failed"
"it 's easy to [[install]] the security on this product but linksys doesn 't do a good job of explaining why its important","it 's easy to [[installed]] the security on this product but linksys doesn 't do a good job of explaining why its important",0.2227001190185547,0.6791787147521973,1,0,1,57,"Successful"
"c i do [[love]] audio sync which allows a one click synchronization between the player and the music collection on the computer","c i do [[prefer]] audio sync which allows a one click synchronization between the player and the music collection on the computer",0.0179862380027771,0.5,1,0,1,59,"Successful"
"it has fm radio option and i can [[listen]] to music [[anytime]]","it has fm radio option and i can [[tune]] to music [[disabled]]",0.007577240467071533,0.6513548493385315,1,0,1,88,"Successful"
"it holds [[plenty]] of songs","it holds [[on]] of songs",0.012431681156158447,0.29421496391296387,1,1,1,48,"Failed"
"the macro mode works well , although it takes some practice [[since]] the camera doesn 't clearly indicate when it can 't focus","the macro mode works well , although it takes some practice [[the]] the camera doesn 't clearly indicate when it can 't focus",0.02033233642578125,0.5,1,0,1,53,"Successful"
"still , i was [[willing]] to overlook those things as this unit looks sleek and has a myriad of features !","still , i was [[going]] to overlook those things as this unit looks sleek and has a myriad of features !",0.02033233642578125,0.5,1,0,1,54,"Successful"
"there is an open [[source]] firmware on the net which has tons of [[extra]] features","there is an open [[company]] firmware on the net which has tons of [[saving]] features",0.06008666753768921,0.2018132209777832,1,1,1,100,"Failed"
"it has all the features [[one]] would [[need]] in a cellphone","it has all the features [[it]] would [[see]] in a cellphone",0.0179862380027771,0.16451644897460938,1,1,1,96,"Failed"
"i could [[probably]] use a trash can and be ok at this point , but this pr duct seems to work very well so [[far]]","i could [[make]] use a trash can and be ok at this point , but this pr duct seems to work very well so [[so]]",0.03308594226837158,0.5,1,0,1,92,"Successful"
"the zen is an [[outstanding]] way to shuttle music between sources , you can 't do this on the ipod ( [[except]] for a cumbersome work around using the ipod as a hard drive instead of a player )","the zen is an [[no]] way to shuttle music between sources , you can 't do this on the ipod ( [[other]] for a cumbersome work around using the ipod as a hard drive instead of a player )",0.007577240467071533,0.5,1,0,1,100,"Successful"
"interface practically [[seamless]]","interface practically [[seampartial]]",0.0097084641456604,0.29421496391296387,1,1,1,51,"Failed"
"the player is [[great]]","the player is [[terrible]]",0.004609584808349609,0.9465966820716858,1,0,1,40,"Successful"
"overall , i [[feel]] that it 's a decent [[buy]] , and am [[happy]] that i own it","overall , i [[acknowledge]] that it 's a decent [[case]] , and am [[also]] that i own it",0.004070103168487549,0.14804714918136597,1,1,1,100,"Failed"
"what i [[like]] the most small and solid feel","what i [[dislike]] the most small and solid feel",0.0028009414672851562,0.7772998809814453,1,0,1,52,"Successful"
"i have no problem using the player itself and i feel it is a very [[good]] player","i have no problem using the player itself and i feel it is a very [[bad]] player",0.03308594226837158,0.9046505689620972,1,0,1,54,"Successful"
"turn the [[camera]] on while pressing the button ( or is it the menu button ? i have to check again ) ) and it '[[l]] show you the time and date","turn the [[up]] on while pressing the button ( or is it the menu button ? i have to check again ) ) and it '[[wil]] show you the time and date",0.04742586612701416,0.5,1,0,1,100,"Successful"
"this way i [[never]] have to be ripped off by the carrier for stupid ringtones , i can get [[whatever]] i want","this way i [[will]] have to be ripped off by the carrier for stupid ringtones , i can get [[nothing]] i want",0.03308594226837158,0.7981867790222168,1,0,1,100,"Successful"
"i did notice if you turn the phone on and off the os takes a bit to load up and initially the menus are [[slower]] but once the phone has been on and booted up the menus are reasonably quicker","i did notice if you turn the phone on and off the os takes a bit to load up and initially the menus are [[faster]] but once the phone has been on and booted up the menus are reasonably quicker",0.08509904146194458,0.6513548493385315,1,0,1,60,"Successful"
"all in all it hasn 't been a [[bad]] product","all in all it hasn 't been a [[pretty]] product",0.08509904146194458,0.9241418242454529,1,0,1,50,"Successful"
"without any [[tweaking]] at all , if the exposure is accurate , the colors are as realistic as ive ever seen produced by film , and this is a [[raw]] image !","without any [[detailwebacking]] at all , if the exposure is accurate , the colors are as realistic as ive ever seen produced by film , and this is a [[powerful]] image !",0.0028009414672851562,0.04208773374557495,1,1,1,100,"Failed"
"the ringtones are [[beautiful]] , the screen is [[super]] high quality","the ringtones are [[different]] , the screen is [[t]] high quality",0.0097084641456604,0.5312093496322632,1,0,1,98,"Successful"
"i have set up it 's pda features with avaunt com where you can [[download]] info from sites like weather , map quest maps directions into it , which is great","i have set up it 's pda features with avaunt com where you can [[buy]] info from sites like weather , map quest maps directions into it , which is great",0.0097084641456604,0.037326931953430176,1,1,1,100,"Failed"
"i did not [[want]] to have high [[expectations]] for this apex player because of the price but it is definitely working out much better than what i would expect from an expensive high end player","i did not [[love]] to have high [[windows]] for this apex player because of the price but it is definitely working out much better than what i would expect from an expensive high end player",0.014063596725463867,0.2227001190185547,1,1,1,100,"Failed"
"but you can download some [[really]] good ones like [[pac]] man or mafia wars","but you can download some [[not]] good ones like [[po]] man or mafia wars",0.07585817575454712,0.7549149990081787,1,0,1,89,"Successful"
"this product is [[amazing]] and better than the ipod you can [[get]] at the same [[price]]","this product is [[okay]] and better than the ipod you can [[do]] at the same [[person]]",0.007577240467071533,0.29421496391296387,1,1,1,100,"Failed"
"you can also [[slow]] a song down [[speed]] it up , which is [[cool]] too","you can also [[do]] a song down [[faster]] it up , which is [[cheap]] too",0.010986924171447754,0.2018132209777832,1,1,1,100,"Failed"
