"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"[[[[Sentence]]]]: lovingly photographed in the manner of a golden book sprung to life , stuart little 2 manages sweetness largely without stickiness .<SPLIT>[[[[Example_0]]]]: there is a refreshing absence of cynicism in stuart little 2--quite a rarity , even in the family film market . eventually , it wins you over .<SPLIT>[[[[Label_0]]]]: [[positive]]<SPLIT>[[[[Example_1]]]]: while i can't say it's on par with the first one , stuart little 2 is a light , fun cheese puff of a movie .<SPLIT>[[[[Label_1]]]]: [[positive]]<SPLIT>[[[[Example_2]]]]: very special effects , brilliantly bold colors and heightened reality can't hide the giant achilles' heel in "" stuart little 2 "" : there's just no story , folks .<SPLIT>[[[[Label_2]]]]: [[negative]]<SPLIT>[[[[Example_3]]]]: as immaculate as stuart little 2 is , it could be a lot better if it were , well , more adventurous .<SPLIT>[[[[Label_3]]]]: [[negative]]","[[[[Sentence]]]]: lovingly photographed in the manner of a golden book sprung to life , stuart little 2 manages sweetness largely without stickiness .<SPLIT>[[[[Example_0]]]]: there is a refreshing absence of cynicism in stuart little 2--quite a rarity , even in the family film market . eventually , it wins you over .<SPLIT>[[[[Label_0]]]]: [[negative]]<SPLIT>[[[[Example_1]]]]: while i can't say it's on par with the first one , stuart little 2 is a light , fun cheese puff of a movie .<SPLIT>[[[[Label_1]]]]: [[negative]]<SPLIT>[[[[Example_2]]]]: very special effects , brilliantly bold colors and heightened reality can't hide the giant achilles' heel in "" stuart little 2 "" : there's just no story , folks .<SPLIT>[[[[Label_2]]]]: [[positive]]<SPLIT>[[[[Example_3]]]]: as immaculate as stuart little 2 is , it could be a lot better if it were , well , more adventurous .<SPLIT>[[[[Label_3]]]]: [[positive]]",0.008577525615692139,0.14804714918136597,1,1,1,11,"Failed"
"[[[[Sentence]]]]: consistently clever and suspenseful .<SPLIT>[[[[Example_0]]]]: darkly funny and frequently insightful .<SPLIT>[[[[Label_0]]]]: [[positive]]<SPLIT>[[[[Example_1]]]]: witty , touching and well paced .<SPLIT>[[[[Label_1]]]]: [[positive]]<SPLIT>[[[[Example_2]]]]: never engaging , utterly predictable and completely void of anything remotely interesting or suspenseful .<SPLIT>[[[[Label_2]]]]: negative<SPLIT>[[[[Example_3]]]]: a mostly intelligent , engrossing and psychologically resonant suspenser .<SPLIT>[[[[Label_3]]]]: [[positive]]","[[[[Sentence]]]]: consistently clever and suspenseful .<SPLIT>[[[[Example_0]]]]: darkly funny and frequently insightful .<SPLIT>[[[[Label_0]]]]: [[negative]]<SPLIT>[[[[Example_1]]]]: witty , touching and well paced .<SPLIT>[[[[Label_1]]]]: [[negative]]<SPLIT>[[[[Example_2]]]]: never engaging , utterly predictable and completely void of anything remotely interesting or suspenseful .<SPLIT>[[[[Label_2]]]]: negative<SPLIT>[[[[Example_3]]]]: a mostly intelligent , engrossing and psychologically resonant suspenser .<SPLIT>[[[[Label_3]]]]: [[negative]]",0.0015012025833129883,0.7057850360870361,1,0,1,10,"Successful"
"[[[[Sentence]]]]: it's like a "" big chill "" reunion of the baader-meinhof gang , only these guys are more harmless pranksters than political activists .<SPLIT>[[[[Example_0]]]]: i know we're not supposed to take it seriously , but i can't shake the thought that undercover brother missed an opportunity to strongly present some profound social commentary .<SPLIT>[[[[Label_0]]]]: negative<SPLIT>[[[[Example_1]]]]: this movie seems to have been written using mad-libs . there can be no other explanation . hilariously inept and ridiculous .<SPLIT>[[[[Label_1]]]]: negative<SPLIT>[[[[Example_2]]]]: it's all entertaining enough , but don't look for any hefty anti-establishment message in what is essentially a whip-crack of a buddy movie that ends with a whimper .<SPLIT>[[[[Label_2]]]]: [[positive]]<SPLIT>[[[[Example_3]]]]: an amusing , breezily apolitical documentary about life on the campaign trail .<SPLIT>[[[[Label_3]]]]: [[positive]]","[[[[Sentence]]]]: it's like a "" big chill "" reunion of the baader-meinhof gang , only these guys are more harmless pranksters than political activists .<SPLIT>[[[[Example_0]]]]: i know we're not supposed to take it seriously , but i can't shake the thought that undercover brother missed an opportunity to strongly present some profound social commentary .<SPLIT>[[[[Label_0]]]]: negative<SPLIT>[[[[Example_1]]]]: this movie seems to have been written using mad-libs . there can be no other explanation . hilariously inept and ridiculous .<SPLIT>[[[[Label_1]]]]: negative<SPLIT>[[[[Example_2]]]]: it's all entertaining enough , but don't look for any hefty anti-establishment message in what is essentially a whip-crack of a buddy movie that ends with a whimper .<SPLIT>[[[[Label_2]]]]: [[negative]]<SPLIT>[[[[Example_3]]]]: an amusing , breezily apolitical documentary about life on the campaign trail .<SPLIT>[[[[Label_3]]]]: [[negative]]",0.2689414620399475,0.8175745010375977,1,0,1,8,"Successful"
"[[[[Sentence]]]]: the story gives ample opportunity for large-scale action and suspense , which director shekhar kapur supplies with tremendous skill .<SPLIT>[[[[Example_0]]]]: a beautiful , entertaining two hours . you get the idea , though , that kapur intended the film to be more than that .<SPLIT>[[[[Label_0]]]]: [[positive]]<SPLIT>[[[[Example_1]]]]: director kapur is a filmmaker with a real flair for epic landscapes and adventure , and this is a better film than his earlier english-language movie , the overpraised elizabeth .<SPLIT>[[[[Label_1]]]]: [[positive]]<SPLIT>[[[[Example_2]]]]: instead of panoramic sweep , kapur gives us episodic choppiness , undermining the story's emotional thrust .<SPLIT>[[[[Label_2]]]]: negative<SPLIT>[[[[Example_3]]]]: all in all , it's a pretty good execution of a story that's a lot richer than the ones hollywood action screenwriters usually come up with on their own .<SPLIT>[[[[Label_3]]]]: [[positive]]","[[[[Sentence]]]]: the story gives ample opportunity for large-scale action and suspense , which director shekhar kapur supplies with tremendous skill .<SPLIT>[[[[Example_0]]]]: a beautiful , entertaining two hours . you get the idea , though , that kapur intended the film to be more than that .<SPLIT>[[[[Label_0]]]]: [[negative]]<SPLIT>[[[[Example_1]]]]: director kapur is a filmmaker with a real flair for epic landscapes and adventure , and this is a better film than his earlier english-language movie , the overpraised elizabeth .<SPLIT>[[[[Label_1]]]]: [[negative]]<SPLIT>[[[[Example_2]]]]: instead of panoramic sweep , kapur gives us episodic choppiness , undermining the story's emotional thrust .<SPLIT>[[[[Label_2]]]]: negative<SPLIT>[[[[Example_3]]]]: all in all , it's a pretty good execution of a story that's a lot richer than the ones hollywood action screenwriters usually come up with on their own .<SPLIT>[[[[Label_3]]]]: [[negative]]",0.006692826747894287,0.7549149990081787,1,0,1,10,"Successful"
"[[[[Sentence]]]]: red dragon "" never cuts corners .<SPLIT>[[[[Example_0]]]]: measured against practically any like-themed film other than its oscar-sweeping franchise predecessor the silence of the lambs , red dragon rates as an exceptional thriller .<SPLIT>[[[[Label_0]]]]: [[positive]]<SPLIT>[[[[Example_1]]]]: for all its brilliant touches , dragon loses its fire midway , nearly flickering out by its perfunctory conclusion .<SPLIT>[[[[Label_1]]]]: negative<SPLIT>[[[[Example_2]]]]: red dragon is less baroque and showy than hannibal , and less emotionally affecting than silence . but , like silence , it's a movie that gets under your skin .<SPLIT>[[[[Label_2]]]]: [[positive]]<SPLIT>[[[[Example_3]]]]: "" red dragon "" is entertaining . an obvious copy of one of the best films ever made , how could it not be ? but it is entertaining on an inferior level . it is a popcorn film , not a must-own , or even a must-see .<SPLIT>[[[[Label_3]]]]: [[positive]]","[[[[Sentence]]]]: red dragon "" never cuts corners .<SPLIT>[[[[Example_0]]]]: measured against practically any like-themed film other than its oscar-sweeping franchise predecessor the silence of the lambs , red dragon rates as an exceptional thriller .<SPLIT>[[[[Label_0]]]]: [[negative]]<SPLIT>[[[[Example_1]]]]: for all its brilliant touches , dragon loses its fire midway , nearly flickering out by its perfunctory conclusion .<SPLIT>[[[[Label_1]]]]: negative<SPLIT>[[[[Example_2]]]]: red dragon is less baroque and showy than hannibal , and less emotionally affecting than silence . but , like silence , it's a movie that gets under your skin .<SPLIT>[[[[Label_2]]]]: [[negative]]<SPLIT>[[[[Example_3]]]]: "" red dragon "" is entertaining . an obvious copy of one of the best films ever made , how could it not be ? but it is entertaining on an inferior level . it is a popcorn film , not a must-own , or even a must-see .<SPLIT>[[[[Label_3]]]]: [[negative]]",0.06008666753768921,0.5312093496322632,1,0,1,10,"Successful"
"[[[[Sentence]]]]: fresnadillo has something serious to say about the ways in which extravagant chance can distort our perspective and throw us off the path of good sense .<SPLIT>[[[[Example_0]]]]: the story and structure are well-honed . fresnadillo's dark and jolting images have a way of plying into your subconscious like the nightmare you had a week ago that won't go away .<SPLIT>[[[[Label_0]]]]: [[positive]]<SPLIT>[[[[Example_1]]]]: it has the courage to wonder about big questions with sincerity and devotion . it risks seeming slow and pretentious , because it thinks the gamble is worth the promise .<SPLIT>[[[[Label_1]]]]: [[positive]]<SPLIT>[[[[Example_2]]]]: frei assembles a fascinating profile of a deeply humanistic artist who , in spite of all that he's witnessed , remains surprisingly idealistic , and retains an extraordinary faith in the ability of images to communicate the truth of the world around him .<SPLIT>[[[[Label_2]]]]: [[positive]]<SPLIT>[[[[Example_3]]]]: fudges fact and fancy with such confidence that we feel as if we're seeing something purer than the real thing .<SPLIT>[[[[Label_3]]]]: [[positive]]","[[[[Sentence]]]]: fresnadillo has something serious to say about the ways in which extravagant chance can distort our perspective and throw us off the path of good sense .<SPLIT>[[[[Example_0]]]]: the story and structure are well-honed . fresnadillo's dark and jolting images have a way of plying into your subconscious like the nightmare you had a week ago that won't go away .<SPLIT>[[[[Label_0]]]]: [[negative]]<SPLIT>[[[[Example_1]]]]: it has the courage to wonder about big questions with sincerity and devotion . it risks seeming slow and pretentious , because it thinks the gamble is worth the promise .<SPLIT>[[[[Label_1]]]]: [[negative]]<SPLIT>[[[[Example_2]]]]: frei assembles a fascinating profile of a deeply humanistic artist who , in spite of all that he's witnessed , remains surprisingly idealistic , and retains an extraordinary faith in the ability of images to communicate the truth of the world around him .<SPLIT>[[[[Label_2]]]]: [[negative]]<SPLIT>[[[[Example_3]]]]: fudges fact and fancy with such confidence that we feel as if we're seeing something purer than the real thing .<SPLIT>[[[[Label_3]]]]: [[negative]]",0.04208773374557495,0.6513548493385315,1,0,1,11,"Successful"
"[[[[Sentence]]]]: throws in enough clever and unexpected twists to make the formula feel fresh .<SPLIT>[[[[Example_0]]]]: turns potentially forgettable formula into something strangely diverting .<SPLIT>[[[[Label_0]]]]: [[positive]]<SPLIT>[[[[Example_1]]]]: the result is something quite fresh and delightful .<SPLIT>[[[[Label_1]]]]: [[positive]]<SPLIT>[[[[Example_2]]]]: with an unusual protagonist ( a kilt-wearing jackson ) and subject matter , the improbable "" formula 51 "" is somewhat entertaining , but it could have been much stronger .<SPLIT>[[[[Label_2]]]]: negative<SPLIT>[[[[Example_3]]]]: works better in the conception than it does in the execution . . . winds up seeming just a little too clever .<SPLIT>[[[[Label_3]]]]: negative","[[[[Sentence]]]]: throws in enough clever and unexpected twists to make the formula feel fresh .<SPLIT>[[[[Example_0]]]]: turns potentially forgettable formula into something strangely diverting .<SPLIT>[[[[Label_0]]]]: [[negative]]<SPLIT>[[[[Example_1]]]]: the result is something quite fresh and delightful .<SPLIT>[[[[Label_1]]]]: [[negative]]<SPLIT>[[[[Example_2]]]]: with an unusual protagonist ( a kilt-wearing jackson ) and subject matter , the improbable "" formula 51 "" is somewhat entertaining , but it could have been much stronger .<SPLIT>[[[[Label_2]]]]: negative<SPLIT>[[[[Example_3]]]]: works better in the conception than it does in the execution . . . winds up seeming just a little too clever .<SPLIT>[[[[Label_3]]]]: negative",0.014063596725463867,0.5926665663719177,1,0,1,8,"Successful"
"[[[[Sentence]]]]: weighty and ponderous but every bit as filling as the treat of the title .<SPLIT>[[[[Example_0]]]]: thought-provoking and stylish , if also somewhat hermetic .<SPLIT>[[[[Label_0]]]]: [[positive]]<SPLIT>[[[[Example_1]]]]: deadeningly dull , mired in convoluted melodrama , nonsensical jargon and stiff-upper-lip laboriousness .<SPLIT>[[[[Label_1]]]]: negative<SPLIT>[[[[Example_2]]]]: ponderous , plodding soap opera disguised as a feature film .<SPLIT>[[[[Label_2]]]]: negative<SPLIT>[[[[Example_3]]]]: this isn't a stand up and cheer flick ; it's a sit down and ponder affair . and thanks to kline's superbly nuanced performance , that pondering is highly pleasurable .<SPLIT>[[[[Label_3]]]]: [[positive]]","[[[[Sentence]]]]: weighty and ponderous but every bit as filling as the treat of the title .<SPLIT>[[[[Example_0]]]]: thought-provoking and stylish , if also somewhat hermetic .<SPLIT>[[[[Label_0]]]]: [[negative]]<SPLIT>[[[[Example_1]]]]: deadeningly dull , mired in convoluted melodrama , nonsensical jargon and stiff-upper-lip laboriousness .<SPLIT>[[[[Label_1]]]]: negative<SPLIT>[[[[Example_2]]]]: ponderous , plodding soap opera disguised as a feature film .<SPLIT>[[[[Label_2]]]]: negative<SPLIT>[[[[Example_3]]]]: this isn't a stand up and cheer flick ; it's a sit down and ponder affair . and thanks to kline's superbly nuanced performance , that pondering is highly pleasurable .<SPLIT>[[[[Label_3]]]]: [[negative]]",0.04742586612701416,0.6791787147521973,1,0,1,8,"Successful"
"[[[[Sentence]]]]: a real audience-pleaser that will strike a chord with anyone who's ever waited in a doctor's office , emergency room , hospital bed or insurance company office .<SPLIT>[[[[Example_0]]]]: a movie more to be prescribed than recommended -- as visually bland as a dentist's waiting room , complete with soothing muzak and a cushion of predictable narrative rhythms .<SPLIT>[[[[Label_0]]]]: negative<SPLIT>[[[[Example_1]]]]: a by-the-numbers patient/doctor pic that covers all the usual ground<SPLIT>[[[[Label_1]]]]: negative<SPLIT>[[[[Example_2]]]]: full of profound , real-life moments that anyone can relate to , it deserves a wide audience .<SPLIT>[[[[Label_2]]]]: [[positive]]<SPLIT>[[[[Example_3]]]]: a frantic search for laughs , with a hit-to-miss ratio that doesn't exactly favour the audience .<SPLIT>[[[[Label_3]]]]: negative","[[[[Sentence]]]]: a real audience-pleaser that will strike a chord with anyone who's ever waited in a doctor's office , emergency room , hospital bed or insurance company office .<SPLIT>[[[[Example_0]]]]: a movie more to be prescribed than recommended -- as visually bland as a dentist's waiting room , complete with soothing muzak and a cushion of predictable narrative rhythms .<SPLIT>[[[[Label_0]]]]: negative<SPLIT>[[[[Example_1]]]]: a by-the-numbers patient/doctor pic that covers all the usual ground<SPLIT>[[[[Label_1]]]]: negative<SPLIT>[[[[Example_2]]]]: full of profound , real-life moments that anyone can relate to , it deserves a wide audience .<SPLIT>[[[[Label_2]]]]: [[negative]]<SPLIT>[[[[Example_3]]]]: a frantic search for laughs , with a hit-to-miss ratio that doesn't exactly favour the audience .<SPLIT>[[[[Label_3]]]]: negative",0.02931225299835205,0.8519527912139893,1,0,1,5,"Successful"
"[[[[Sentence]]]]: generates an enormous feeling of empathy for its characters .<SPLIT>[[[[Example_0]]]]: unlike the speedy wham-bam effect of most hollywood offerings , character development -- and more importantly , character empathy -- is at the heart of italian for beginners .<SPLIT>[[[[Label_0]]]]: [[positive]]<SPLIT>[[[[Example_1]]]]: any enjoyment will be hinge from a personal threshold of watching sad but endearing characters do extremely unconventional things .<SPLIT>[[[[Label_1]]]]: [[negative]]<SPLIT>[[[[Example_2]]]]: cut through the layers of soap-opera emotion and you find a scathing portrayal of a powerful entity strangling the life out of the people who want to believe in it the most .<SPLIT>[[[[Label_2]]]]: [[positive]]<SPLIT>[[[[Example_3]]]]: the film's constant mood of melancholy and its unhurried narrative are masterfully controlled . but  in trying to capture the novel's deeper intimate resonances , the film has  ironically - distanced us from the characters .<SPLIT>[[[[Label_3]]]]: [[positive]]","[[[[Sentence]]]]: generates an enormous feeling of empathy for its characters .<SPLIT>[[[[Example_0]]]]: unlike the speedy wham-bam effect of most hollywood offerings , character development -- and more importantly , character empathy -- is at the heart of italian for beginners .<SPLIT>[[[[Label_0]]]]: [[negative]]<SPLIT>[[[[Example_1]]]]: any enjoyment will be hinge from a personal threshold of watching sad but endearing characters do extremely unconventional things .<SPLIT>[[[[Label_1]]]]: [[positive]]<SPLIT>[[[[Example_2]]]]: cut through the layers of soap-opera emotion and you find a scathing portrayal of a powerful entity strangling the life out of the people who want to believe in it the most .<SPLIT>[[[[Label_2]]]]: [[negative]]<SPLIT>[[[[Example_3]]]]: the film's constant mood of melancholy and its unhurried narrative are masterfully controlled . but  in trying to capture the novel's deeper intimate resonances , the film has  ironically - distanced us from the characters .<SPLIT>[[[[Label_3]]]]: [[negative]]",0.13296425342559814,0.03308594226837158,1,1,1,11,"Failed"
