"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"it 's a [[charming]] and often [[affecting]] journey . ","it 's a [[mimi]] and often [[affected]] journey . ",0.007577240467071533,0.9525741338729858,1,0,1,50,"Successful"
"unflinchingly [[bleak]] and desperate ","unflinchingly [[sorrowful]] and desperate ",0.377540647983551,0.6513548493385315,0,1,0,27,"Successful"
"allows [[us]] to hope that nolan is poised to embark a major [[career]] as a commercial yet [[inventive]] filmmaker . ","allows [[ourselves]] to hope that nolan is poised to embark a major [[quarries]] as a commercial yet [[crafty]] filmmaker . ",0.01590639352798462,0.07585817575454712,1,1,1,50,"Failed"
"the acting , [[costumes]] , music , cinematography and sound are all [[astounding]] given the [[production]] 's austere locales . ","the acting , [[clothe]] , music , cinematography and sound are all [[breathless]] given the [[fecund]] 's austere locales . ",0.006692826747894287,0.05340331792831421,1,1,1,68,"Failed"
"it 's [[slow]] -- very , very slow . ","it 's [[slowest]] -- very , very slow . ",0.022977352142333984,0.04742586612701416,0,0,0,12,"Failed"
"although laced with humor and a few fanciful touches , the film is a [[refreshingly]] serious look at young women . ","although laced with humor and a few fanciful touches , the film is a [[blithely]] serious look at young women . ",0.037326931953430176,0.5,1,0,1,37,"Successful"
"a sometimes [[tedious]] film . ","a sometimes [[industrious]] film . ",0.02595740556716919,0.2689414620399475,0,0,0,33,"Failed"
"or doing [[last]] year 's taxes with your ex-wife . ","or doing [[ultimate]] year 's taxes with your ex-wife . ",0.46879059076309204,0.5621764659881592,0,1,0,24,"Successful"
"you do n't [[have]] to [[know]] about music to [[appreciate]] the film 's easygoing blend of comedy and romance . ","you do n't [[enjoy]] to [[realize]] about music to [[praising]] the film 's easygoing blend of comedy and romance . ",0.02931225299835205,0.5,1,0,1,134,"Successful"
"in [[exactly]] 89 [[minutes]] , most of which passed as [[slowly]] as if i 'd been sitting naked on an igloo , formula 51 [[sank]] from quirky to [[jerky]] to utter turkey . ","in [[attentively]] 89 [[minute]] , most of which passed as [[tenderly]] as if i 'd been sitting naked on an igloo , formula 51 [[dabbled]] from quirky to [[drier]] to utter turkey . ",0.07585817575454712,0.5312093496322632,0,1,0,121,"Successful"
"the mesmerizing [[performances]] of the leads [[keep]] the film grounded and keep the audience [[riveted]] . ","the mesmerizing [[spectacle]] of the leads [[preserved]] the film grounded and keep the audience [[mystified]] . ",0.0031726956367492676,0.037326931953430176,1,1,1,63,"Failed"
"it takes a strange kind of laziness to [[waste]] the talents of robert forster , anne meara , eugene levy , and reginald veljohnson all in the same movie . ","it takes a strange kind of laziness to [[residuals]] the talents of robert forster , anne meara , eugene levy , and reginald veljohnson all in the same movie . ",0.2450850009918213,0.6224592924118042,0,1,0,40,"Successful"
"... the film [[suffers]] from a lack of [[humor]] ( something needed to balance out the [[violence]] ) ... ","... the film [[adversity]] from a lack of [[joking]] ( something needed to balance out the [[mistreatment]] ) ... ",0.07585817575454712,0.4073333740234375,0,0,0,40,"Failed"
"we [[root]] for ( clara and paul ) , even like them , though perhaps it 's an emotion [[closer]] to pity . ","we [[backgrounds]] for ( clara and paul ) , even like them , though perhaps it 's an emotion [[narrower]] to pity . ",0.14804714918136597,0.5,1,0,1,50,"Successful"
"even horror fans will most likely not find what they 're seeking with trouble every day ; the movie [[lacks]] both thrills and humor . ","even horror fans will most likely not find what they 're seeking with trouble every day ; the movie [[dearth]] both thrills and humor . ",0.14804714918136597,0.7310585975646973,0,1,0,39,"Successful"
"a [[gorgeous]] , high-spirited musical from india that exquisitely [[blends]] music , [[dance]] , song , and high drama . ","a [[belle]] , high-spirited musical from india that exquisitely [[blending]] music , [[ballerina]] , song , and high drama . ",0.0024725794792175293,0.0179862380027771,1,1,1,131,"Failed"
"the emotions are [[raw]] and will [[strike]] a nerve with anyone who 's ever had family trauma . ","the emotions are [[crude]] and will [[bombarding]] a nerve with anyone who 's ever had family trauma . ",0.022977352142333984,0.5621764659881592,1,0,1,54,"Successful"
"[[audrey]] tatou [[has]] a knack for [[picking]] roles that [[magnify]] her outrageous charm , and in this literate french [[comedy]] , she 's as morning-glory exuberant as she was in amélie . ","[[sabrina]] tatou [[acres]] a knack for [[election]] roles that [[expanded]] her outrageous charm , and in this literate french [[comedians]] , she 's as morning-glory exuberant as she was in amélie . ",0.008577525615692139,0.02931225299835205,1,1,1,127,"Failed"
"... the [[movie]] is just a plain old monster . ","... the [[cinematography]] is just a plain old monster . ",0.14804714918136597,0.7981867790222168,0,1,0,29,"Successful"
"in its best moments , [[resembles]] a bad high school [[production]] of grease , without benefit of song . ","in its best moments , [[remind]] a bad high school [[productive]] of grease , without benefit of song . ",0.05340331792831421,0.5312093496322632,0,1,0,48,"Successful"
"pumpkin takes an admirable look at the hypocrisy of political correctness , but it does so with such an uneven tone that you never know when humor ends and tragedy begins . ","pumpkin takes an admirable look at the hypocrisy of political correctness , but it does so with such an uneven tone that you never know when humor ends and tragedy begins . ",0.5926665663719177,0.5926665663719177,1,1,0,1,"Skipped"
"the iditarod lasts for days - this just [[felt]] like it did . ","the iditarod lasts for days - this just [[believed]] like it did . ",0.09534949064254761,0.8670357465744019,0,1,0,25,"Successful"
"holden caulfield [[did]] it better . ","holden caulfield [[es]] it better . ",0.13296425342559814,0.7549149990081787,0,1,0,22,"Successful"
