"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"[[lovingly]] photographed in the manner of a golden book sprung to [[life]] , stuart little 2 [[manages]] sweetness largely without stickiness .","[[dutifully]] photographed in the manner of a golden book sprung to [[liv]] , stuart little 2 [[administering]] sweetness largely without stickiness .",0.36282479763031006,0.4630010724067688,1,1,1,74,"Failed"
"consistently [[clever]] and suspenseful .","consistently [[malin]] and suspenseful .",0.339877188205719,0.3689384460449219,1,1,1,14,"Failed"
"it's like a "" big chill "" reunion of the baader-meinhof gang , only these [[guys]] are more harmless [[pranksters]] than political activists .","it's like a "" big chill "" reunion of the baader-meinhof gang , only these [[types]] are more harmless [[vandals]] than political activists .",0.4511723518371582,0.5,1,0,1,90,"Successful"
"the [[story]] gives ample opportunity for large-scale action and suspense , which director shekhar kapur supplies with [[tremendous]] [[skill]] .","the [[conte]] gives ample opportunity for large-scale action and suspense , which director shekhar kapur supplies with [[considerable]] [[jurisdiction]] .",0.36282479763031006,0.4184216856956482,1,1,1,100,"Failed"
"red dragon "" never [[cuts]] corners .","red dragon "" never [[decreases]] corners .",0.3689384460449219,0.40861499309539795,1,1,1,47,"Failed"
"fresnadillo [[has]] something [[serious]] to say about the [[ways]] in which [[extravagant]] chance can distort our perspective and throw us off the path of good sense .","fresnadillo [[haya]] something [[ponderous]] to say about the [[boulevards]] in which [[deluxe]] chance can distort our perspective and throw us off the path of good sense .",0.3435664772987366,0.47514986991882324,1,1,1,131,"Failed"
"[[throws]] in enough [[clever]] and unexpected twists to make the formula feel fresh .","[[castings]] in enough [[malignant]] and unexpected twists to make the formula feel fresh .",0.33656781911849976,0.3829374313354492,1,1,1,44,"Failed"
"weighty and ponderous but [[every]] bit as filling as the [[treat]] of the title .","weighty and ponderous but [[any]] bit as filling as the [[manipulating]] of the title .",0.4184216856956482,0.512481153011322,1,0,1,44,"Successful"
"a [[real]] audience-pleaser that will [[strike]] a chord with anyone who's ever [[waited]] in a doctor's office , emergency room , hospital [[bed]] or insurance company office .","a [[practical]] audience-pleaser that will [[bombed]] a chord with anyone who's ever [[anticipated]] in a doctor's office , emergency room , hospital [[bunk]] or insurance company office .",0.3994244337081909,0.4397522211074829,1,1,1,149,"Failed"
"[[generates]] an enormous feeling of [[empathy]] for its characters .","[[begets]] an enormous feeling of [[pity]] for its characters .",0.339877188205719,0.47514986991882324,1,1,1,51,"Failed"
"exposing the [[ways]] we fool ourselves is one hour photo's real [[strength]] .","exposing the [[boulevards]] we fool ourselves is one hour photo's real [[toughness]] .",0.3756345510482788,0.4397522211074829,1,1,1,61,"Failed"
"it's up to you to decide whether to admire these people's dedication to their cause or be [[repelled]] by their dogmatism , manipulativeness and narrow , fearful view of american life .","it's up to you to decide whether to admire these people's dedication to their cause or be [[rescheduled]] by their dogmatism , manipulativeness and narrow , fearful view of american life .",0.4511723518371582,0.512481153011322,1,0,1,26,"Successful"
