"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"[[[[Sentence]]]]: it 's a charming and often affecting journey . <SPLIT>[[[[Example_0]]]]: makes the journey feel like a party <SPLIT>[[[[Label_0]]]]: [[positive]]<SPLIT>[[[[Example_1]]]]: sometimes charming , sometimes infuriating <SPLIT>[[[[Label_1]]]]: [[positive]]<SPLIT>[[[[Example_2]]]]: charming , sometimes infuriating <SPLIT>[[[[Label_2]]]]: [[positive]]<SPLIT>[[[[Example_3]]]]: a journey that is as difficult for the audience to take as it is for the protagonist -- yet it 's potentially just as rewarding . <SPLIT>[[[[Label_3]]]]: [[positive]]","[[[[Sentence]]]]: it 's a charming and often affecting journey . <SPLIT>[[[[Example_0]]]]: makes the journey feel like a party <SPLIT>[[[[Label_0]]]]: [[negative]]<SPLIT>[[[[Example_1]]]]: sometimes charming , sometimes infuriating <SPLIT>[[[[Label_1]]]]: [[negative]]<SPLIT>[[[[Example_2]]]]: charming , sometimes infuriating <SPLIT>[[[[Label_2]]]]: [[negative]]<SPLIT>[[[[Example_3]]]]: a journey that is as difficult for the audience to take as it is for the protagonist -- yet it 's potentially just as rewarding . <SPLIT>[[[[Label_3]]]]: [[negative]]",0.014063596725463867,0.46879059076309204,1,1,1,11,"Failed"
"[[[[Sentence]]]]: unflinchingly bleak and desperate <SPLIT>[[[[Example_0]]]]: bleak <SPLIT>[[[[Label_0]]]]: negative<SPLIT>[[[[Example_1]]]]: interminably bleak <SPLIT>[[[[Label_1]]]]: [[negative]]<SPLIT>[[[[Example_2]]]]: is so bleak <SPLIT>[[[[Label_2]]]]: negative<SPLIT>[[[[Example_3]]]]: so bleak <SPLIT>[[[[Label_3]]]]: negative","[[[[Sentence]]]]: unflinchingly bleak and desperate <SPLIT>[[[[Example_0]]]]: bleak <SPLIT>[[[[Label_0]]]]: negative<SPLIT>[[[[Example_1]]]]: interminably bleak <SPLIT>[[[[Label_1]]]]: [[positive]]<SPLIT>[[[[Example_2]]]]: is so bleak <SPLIT>[[[[Label_2]]]]: negative<SPLIT>[[[[Example_3]]]]: so bleak <SPLIT>[[[[Label_3]]]]: negative",0.06008666753768921,0.5621764659881592,0,1,0,5,"Successful"
"[[[[Sentence]]]]: allows us to hope that nolan is poised to embark a major career as a commercial yet inventive filmmaker . <SPLIT>[[[[Example_0]]]]: that shows the promise of digital filmmaking <SPLIT>[[[[Label_0]]]]: [[positive]]<SPLIT>[[[[Example_1]]]]: nolan 's penetrating undercurrent of cerebral and cinemantic flair <SPLIT>[[[[Label_1]]]]: positive<SPLIT>[[[[Example_2]]]]: , nolan 's penetrating undercurrent of cerebral and cinemantic flair lends ( it ) stimulating depth . <SPLIT>[[[[Label_2]]]]: [[positive]]<SPLIT>[[[[Example_3]]]]: nolan 's penetrating undercurrent of cerebral and cinemantic flair lends ( it ) stimulating depth . <SPLIT>[[[[Label_3]]]]: positive","[[[[Sentence]]]]: allows us to hope that nolan is poised to embark a major career as a commercial yet inventive filmmaker . <SPLIT>[[[[Example_0]]]]: that shows the promise of digital filmmaking <SPLIT>[[[[Label_0]]]]: [[negative]]<SPLIT>[[[[Example_1]]]]: nolan 's penetrating undercurrent of cerebral and cinemantic flair <SPLIT>[[[[Label_1]]]]: positive<SPLIT>[[[[Example_2]]]]: , nolan 's penetrating undercurrent of cerebral and cinemantic flair lends ( it ) stimulating depth . <SPLIT>[[[[Label_2]]]]: [[negative]]<SPLIT>[[[[Example_3]]]]: nolan 's penetrating undercurrent of cerebral and cinemantic flair lends ( it ) stimulating depth . <SPLIT>[[[[Label_3]]]]: positive",0.02033233642578125,0.5312093496322632,1,0,1,8,"Successful"
"[[[[Sentence]]]]: the acting , costumes , music , cinematography and sound are all astounding given the production 's austere locales . <SPLIT>[[[[Example_0]]]]: is an enjoyable big movie primarily because australia is a weirdly beautiful place <SPLIT>[[[[Label_0]]]]: [[positive]]<SPLIT>[[[[Example_1]]]]: the acting is amateurish , the cinematography is atrocious , <SPLIT>[[[[Label_1]]]]: [[negative]]<SPLIT>[[[[Example_2]]]]: the acting is amateurish , the cinematography is atrocious <SPLIT>[[[[Label_2]]]]: [[negative]]<SPLIT>[[[[Example_3]]]]: the acting is amateurish , the cinematography is atrocious , the direction is clumsy , the writing is insipid and the violence is at once luridly graphic and laughably unconvincing . <SPLIT>[[[[Label_3]]]]: [[negative]]","[[[[Sentence]]]]: the acting , costumes , music , cinematography and sound are all astounding given the production 's austere locales . <SPLIT>[[[[Example_0]]]]: is an enjoyable big movie primarily because australia is a weirdly beautiful place <SPLIT>[[[[Label_0]]]]: [[negative]]<SPLIT>[[[[Example_1]]]]: the acting is amateurish , the cinematography is atrocious , <SPLIT>[[[[Label_1]]]]: [[positive]]<SPLIT>[[[[Example_2]]]]: the acting is amateurish , the cinematography is atrocious <SPLIT>[[[[Label_2]]]]: [[positive]]<SPLIT>[[[[Example_3]]]]: the acting is amateurish , the cinematography is atrocious , the direction is clumsy , the writing is insipid and the violence is at once luridly graphic and laughably unconvincing . <SPLIT>[[[[Label_3]]]]: [[positive]]",0.02033233642578125,0.18242555856704712,1,1,1,11,"Failed"
"[[[[Sentence]]]]: it 's slow -- very , very slow . <SPLIT>[[[[Example_0]]]]: fairly slow <SPLIT>[[[[Label_0]]]]: negative<SPLIT>[[[[Example_1]]]]: rather slow <SPLIT>[[[[Label_1]]]]: negative<SPLIT>[[[[Example_2]]]]: very slow , uneventful <SPLIT>[[[[Label_2]]]]: [[negative]]<SPLIT>[[[[Example_3]]]]: 's not too fast and not too slow . <SPLIT>[[[[Label_3]]]]: positive","[[[[Sentence]]]]: it 's slow -- very , very slow . <SPLIT>[[[[Example_0]]]]: fairly slow <SPLIT>[[[[Label_0]]]]: negative<SPLIT>[[[[Example_1]]]]: rather slow <SPLIT>[[[[Label_1]]]]: negative<SPLIT>[[[[Example_2]]]]: very slow , uneventful <SPLIT>[[[[Label_2]]]]: [[positive]]<SPLIT>[[[[Example_3]]]]: 's not too fast and not too slow . <SPLIT>[[[[Label_3]]]]: positive",0.2227001190185547,0.5312093496322632,0,1,0,5,"Successful"
"[[[[Sentence]]]]: although laced with humor and a few fanciful touches , the film is a refreshingly serious look at young women . <SPLIT>[[[[Example_0]]]]: the film is a very good viewing alternative for young women . <SPLIT>[[[[Label_0]]]]: positive<SPLIT>[[[[Example_1]]]]: is tragically rare in the depiction of young women in film <SPLIT>[[[[Label_1]]]]: negative<SPLIT>[[[[Example_2]]]]: with honesty that is tragically rare in the depiction of young women in film <SPLIT>[[[[Label_2]]]]: [[positive]]<SPLIT>[[[[Example_3]]]]: a coming-of-age film that avoids the cartoonish clichés and sneering humor of the genre as it provides a fresh view of an old type -- the uncertain girl on the brink of womanhood . <SPLIT>[[[[Label_3]]]]: [[positive]]","[[[[Sentence]]]]: although laced with humor and a few fanciful touches , the film is a refreshingly serious look at young women . <SPLIT>[[[[Example_0]]]]: the film is a very good viewing alternative for young women . <SPLIT>[[[[Label_0]]]]: positive<SPLIT>[[[[Example_1]]]]: is tragically rare in the depiction of young women in film <SPLIT>[[[[Label_1]]]]: negative<SPLIT>[[[[Example_2]]]]: with honesty that is tragically rare in the depiction of young women in film <SPLIT>[[[[Label_2]]]]: [[negative]]<SPLIT>[[[[Example_3]]]]: a coming-of-age film that avoids the cartoonish clichés and sneering humor of the genre as it provides a fresh view of an old type -- the uncertain girl on the brink of womanhood . <SPLIT>[[[[Label_3]]]]: [[negative]]",0.13296425342559814,0.6513548493385315,1,0,1,8,"Successful"
"[[[[Sentence]]]]: a sometimes tedious film . <SPLIT>[[[[Example_0]]]]: a different movie -- sometimes tedious -- <SPLIT>[[[[Label_0]]]]: [[negative]]<SPLIT>[[[[Example_1]]]]: a funny film . <SPLIT>[[[[Label_1]]]]: positive<SPLIT>[[[[Example_2]]]]: gently tedious in its comedy <SPLIT>[[[[Label_2]]]]: negative<SPLIT>[[[[Example_3]]]]: unfocused , excruciatingly tedious cinema <SPLIT>[[[[Label_3]]]]: negative","[[[[Sentence]]]]: a sometimes tedious film . <SPLIT>[[[[Example_0]]]]: a different movie -- sometimes tedious -- <SPLIT>[[[[Label_0]]]]: [[positive]]<SPLIT>[[[[Example_1]]]]: a funny film . <SPLIT>[[[[Label_1]]]]: positive<SPLIT>[[[[Example_2]]]]: gently tedious in its comedy <SPLIT>[[[[Label_2]]]]: negative<SPLIT>[[[[Example_3]]]]: unfocused , excruciatingly tedious cinema <SPLIT>[[[[Label_3]]]]: negative",0.13296425342559814,0.5312093496322632,0,1,0,5,"Successful"
"[[[[Sentence]]]]: or doing last year 's taxes with your ex-wife . <SPLIT>[[[[Example_0]]]]: than to employ hollywood kids and people who owe <SPLIT>[[[[Label_0]]]]: positive<SPLIT>[[[[Example_1]]]]: like going to a house party and watching the host defend himself against a frothing ex-girlfriend <SPLIT>[[[[Label_1]]]]: negative<SPLIT>[[[[Example_2]]]]: had a bad run in the market or a costly divorce , <SPLIT>[[[[Label_2]]]]: [[negative]]<SPLIT>[[[[Example_3]]]]: had a bad run in the market or a costly divorce <SPLIT>[[[[Label_3]]]]: negative","[[[[Sentence]]]]: or doing last year 's taxes with your ex-wife . <SPLIT>[[[[Example_0]]]]: than to employ hollywood kids and people who owe <SPLIT>[[[[Label_0]]]]: positive<SPLIT>[[[[Example_1]]]]: like going to a house party and watching the host defend himself against a frothing ex-girlfriend <SPLIT>[[[[Label_1]]]]: negative<SPLIT>[[[[Example_2]]]]: had a bad run in the market or a costly divorce , <SPLIT>[[[[Label_2]]]]: [[positive]]<SPLIT>[[[[Example_3]]]]: had a bad run in the market or a costly divorce <SPLIT>[[[[Label_3]]]]: negative",0.34864509105682373,0.7772998809814453,0,1,0,5,"Successful"
"[[[[Sentence]]]]: you do n't have to know about music to appreciate the film 's easygoing blend of comedy and romance . <SPLIT>[[[[Example_0]]]]: the film is not only a love song to the movies <SPLIT>[[[[Label_0]]]]: [[positive]]<SPLIT>[[[[Example_1]]]]: the film is not only a love song to the movies but <SPLIT>[[[[Label_1]]]]: positive<SPLIT>[[[[Example_2]]]]: the film is not only a love song to the movies but it also is more fully an example of the kind of lush , all-enveloping movie experience it rhapsodizes <SPLIT>[[[[Label_2]]]]: [[positive]]<SPLIT>[[[[Example_3]]]]: , the film is not only a love song to the movies but it also is more fully an example of the kind of lush , all-enveloping movie experience it rhapsodizes . <SPLIT>[[[[Label_3]]]]: positive","[[[[Sentence]]]]: you do n't have to know about music to appreciate the film 's easygoing blend of comedy and romance . <SPLIT>[[[[Example_0]]]]: the film is not only a love song to the movies <SPLIT>[[[[Label_0]]]]: [[negative]]<SPLIT>[[[[Example_1]]]]: the film is not only a love song to the movies but <SPLIT>[[[[Label_1]]]]: positive<SPLIT>[[[[Example_2]]]]: the film is not only a love song to the movies but it also is more fully an example of the kind of lush , all-enveloping movie experience it rhapsodizes <SPLIT>[[[[Label_2]]]]: [[negative]]<SPLIT>[[[[Example_3]]]]: , the film is not only a love song to the movies but it also is more fully an example of the kind of lush , all-enveloping movie experience it rhapsodizes . <SPLIT>[[[[Label_3]]]]: positive",0.06008666753768921,0.5,1,0,1,8,"Successful"
"[[[[Sentence]]]]: in exactly 89 minutes , most of which passed as slowly as if i 'd been sitting naked on an igloo , formula 51 sank from quirky to jerky to utter turkey . <SPLIT>[[[[Example_0]]]]: the most excruciating 86 minutes one <SPLIT>[[[[Label_0]]]]: negative<SPLIT>[[[[Example_1]]]]: turned out nearly 21/2 hours of unfocused , excruciatingly tedious cinema that , half an hour in , starts making water torture seem appealing <SPLIT>[[[[Label_1]]]]: [[negative]]<SPLIT>[[[[Example_2]]]]: most excruciating 86 minutes <SPLIT>[[[[Label_2]]]]: [[negative]]<SPLIT>[[[[Example_3]]]]: most excruciating 86 minutes one <SPLIT>[[[[Label_3]]]]: negative","[[[[Sentence]]]]: in exactly 89 minutes , most of which passed as slowly as if i 'd been sitting naked on an igloo , formula 51 sank from quirky to jerky to utter turkey . <SPLIT>[[[[Example_0]]]]: the most excruciating 86 minutes one <SPLIT>[[[[Label_0]]]]: negative<SPLIT>[[[[Example_1]]]]: turned out nearly 21/2 hours of unfocused , excruciatingly tedious cinema that , half an hour in , starts making water torture seem appealing <SPLIT>[[[[Label_1]]]]: [[positive]]<SPLIT>[[[[Example_2]]]]: most excruciating 86 minutes <SPLIT>[[[[Label_2]]]]: [[positive]]<SPLIT>[[[[Example_3]]]]: most excruciating 86 minutes one <SPLIT>[[[[Label_3]]]]: negative",0.06008666753768921,0.5312093496322632,0,1,0,8,"Successful"
