"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"how far is it from [[denver]] to aspen ?","how far is it from [[town]] to aspen ?",0.3200160264968872,0.5038564801216125,5,5,5,23,"Failed"
"what county is modesto , [[california]] in ?","what county is modesto , [[it]] in ?",0.11504310369491577,0.9592155814170837,4,1,4,37,"Successful"
"who was galileo ?","who was galileo ?",0.9028608202934265,0.9028608202934265,1,1,3,1,"Skipped"
"what is an atom ?","what is an atom ?",0.5057657957077026,0.5057657957077026,1,1,2,1,"Skipped"
"when did hawaii become a [[state]] ?","when did hawaii become a [[thing]] ?",0.273828387260437,0.8148894309997559,5,3,5,48,"Successful"
"how tall is the sears [[building]] ?","how tall is the sears [[shop]] ?",0.22193384170532227,0.5506176352500916,5,3,5,48,"Successful"
"george bush purchased a small interest in which baseball team ?","george bush purchased a small interest in which baseball team ?",0.9982341527938843,0.9982341527938843,1,1,3,1,"Skipped"
"what is australia 's national [[flower]] ?","what is australia 's national [[roses]] ?",0.23072755336761475,0.9890769124031067,1,3,1,15,"Successful"
"why does the moon turn [[orange]] ?","why does the moon turn [[green]] ?",0.15268784761428833,0.9929654002189636,2,3,2,30,"Successful"
"what is autism ?","what is autism ?",0.3543720245361328,0.3543720245361328,2,2,2,2,"Failed"
"what city had a world fair in [[1900]] ?","what city had a world fair in [[1880]] ?",0.23040765523910522,0.9803621172904968,4,1,4,40,"Successful"
"what person 's head is on a dime ?","what person 's head is on a dime ?",0.9257923364639282,0.9257923364639282,1,1,3,1,"Skipped"
"what is the average [[weight]] of a yellow labrador ?","what is the average [[look]] of a yellow labrador ?",0.11606645584106445,0.8971523642539978,5,3,5,47,"Successful"
"who was the first man to fly across the pacific ocean ?","who was the first man to fly across the pacific ocean ?",0.9130725264549255,0.9130725264549255,1,1,3,1,"Skipped"
"when did idaho become a [[state]] ?","when did idaho become a [[thing]] ?",0.2609822750091553,0.8647186756134033,5,3,5,47,"Successful"
"what is the life expectancy for [[crickets]] ?","what is the life expectancy for [[cricket]]? ?",0.1291348934173584,0.39655357599258423,5,5,5,7,"Failed"
"what metal has the highest [[melting]] point ?","what metal has the highest [[melted]] point ?",0.36750519275665283,0.7267805337905884,1,2,1,34,"Successful"
"who developed the vaccination against polio ?","who developed the vaccination against polio ?",0.8795000314712524,0.8795000314712524,1,1,3,1,"Skipped"
"what is epilepsy ?","what is epilepsy ?",0.38251668214797974,0.38251668214797974,2,2,2,2,"Failed"
"what [[year]] did the titanic sink ?","what [[era]] did the titanic sink ?",0.1942148208618164,0.6329580545425415,5,1,5,36,"Successful"
"who was the first american to walk in space ?","who was the first american to walk in space ?",0.8923200368881226,0.8923200368881226,1,1,3,1,"Skipped"
"what is a biosphere ?","what is a biosphere ?",0.45052069425582886,0.45052069425582886,2,2,2,2,"Failed"
"what river in the us is known as the [[big]] muddy ?","what river in the us is known as the [[large]] muddy ?",0.49641096591949463,0.8829101920127869,4,3,4,50,"Successful"
"what is bipolar [[disorder]] ?","what is bipolar [[that]] ?",0.27495861053466797,0.9957520365715027,2,3,2,40,"Successful"
"what is cholesterol ?","what is cholesterol ?",0.5351928472518921,0.5351928472518921,1,1,2,1,"Skipped"
"who developed the macintosh computer ?","who developed the macintosh computer ?",0.903448760509491,0.903448760509491,1,1,3,1,"Skipped"
"what is caffeine ?","what is caffeine ?",0.6816950440406799,0.6816950440406799,1,1,2,1,"Skipped"
"what imaginary line is halfway between the north and south poles ?","what imaginary line is halfway between the north and south poles ?",0.7149558663368225,0.7149558663368225,1,1,4,1,"Skipped"
"where is john wayne [[airport]] ?","where is john wayne [[airlines]] ?",0.05942875146865845,0.845115602016449,4,1,4,33,"Successful"
"what hemisphere is the [[philippines]] in ?","what hemisphere is the [[philippine]] in ?",0.34064626693725586,0.971064031124115,4,1,4,7,"Successful"
"what is the [[average]] speed of the [[horses]] at the kentucky derby ?","what is the [[only]] speed of the [[four]] at the kentucky derby ?",0.06599408388137817,0.7997723817825317,5,3,5,84,"Successful"
"where are the rocky [[mountains]] ?","where are the rocky [[himalayas]] ?",0.07152891159057617,0.7311617136001587,4,1,4,12,"Successful"
"what are invertebrates ?","what are invertebrates ?",0.3526838421821594,0.3526838421821594,2,2,2,2,"Failed"
"what is the [[temperature]] at the center of the earth ?","what is the [[warmth]] at the center of the earth ?",0.09330713748931885,0.9870306849479675,5,3,5,31,"Successful"
"when did john f. [[kennedy]] get elected as president ?","when did john f. [[1963]] get elected as president ?",0.25895893573760986,0.6528797745704651,5,3,5,41,"Successful"
