"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"[[[[Sentence]]]]: they 're easy to use<SPLIT>[[[[Example_0]]]]: software is easy to use ( although red hat software is better , but costs money )<SPLIT>[[[[Label_0]]]]: positive<SPLIT>[[[[Example_1]]]]: also , you have to use it with itunes or they ' ll sue , dammit ! but itunes is about as good as anything<SPLIT>[[[[Label_1]]]]: positive<SPLIT>[[[[Example_2]]]]: i really dislike holding a phone to my ear , and i ' ve found the free speak to be very comfortable and easy to use with this phone<SPLIT>[[[[Label_2]]]]: positive<SPLIT>[[[[Example_3]]]]: i only wanted something to play dvds on but this machine has all these other features that i probably will never use but it ' s nice to know that there ' re there<SPLIT>[[[[Label_3]]]]: positive<SPLIT>[[[[Example_4]]]]: the menus are easy to scroll through they are laid out naturally , and make sense<SPLIT>[[[[Label_4]]]]: positive<SPLIT>[[[[Example_5]]]]: it ' s a great looking , easy to use device but it ' s the sound quality which is truly amazing far better than my sony mini disc player<SPLIT>[[[[Label_5]]]]: positive<SPLIT>[[[[Example_6]]]]: both are very easy to learn use , and intuitive enough for even a novice<SPLIT>[[[[Label_6]]]]: positive<SPLIT>[[[[Example_7]]]]: the file ripping transfering software that comes with the player is easy to use<SPLIT>[[[[Label_7]]]]: positive","[[[[Sentence]]]]: they 're easy to use<SPLIT>[[[[Example_0]]]]: software is easy to use ( although red hat software is better , but costs money )<SPLIT>[[[[Label_0]]]]: positive<SPLIT>[[[[Example_1]]]]: also , you have to use it with itunes or they ' ll sue , dammit ! but itunes is about as good as anything<SPLIT>[[[[Label_1]]]]: positive<SPLIT>[[[[Example_2]]]]: i really dislike holding a phone to my ear , and i ' ve found the free speak to be very comfortable and easy to use with this phone<SPLIT>[[[[Label_2]]]]: positive<SPLIT>[[[[Example_3]]]]: i only wanted something to play dvds on but this machine has all these other features that i probably will never use but it ' s nice to know that there ' re there<SPLIT>[[[[Label_3]]]]: positive<SPLIT>[[[[Example_4]]]]: the menus are easy to scroll through they are laid out naturally , and make sense<SPLIT>[[[[Label_4]]]]: positive<SPLIT>[[[[Example_5]]]]: it ' s a great looking , easy to use device but it ' s the sound quality which is truly amazing far better than my sony mini disc player<SPLIT>[[[[Label_5]]]]: positive<SPLIT>[[[[Example_6]]]]: both are very easy to learn use , and intuitive enough for even a novice<SPLIT>[[[[Label_6]]]]: positive<SPLIT>[[[[Example_7]]]]: the file ripping transfering software that comes with the player is easy to use<SPLIT>[[[[Label_7]]]]: positive",0.01590639352798462,0.01590639352798462,1,1,1,1,"Failed"
"[[[[Sentence]]]]: playlists can be generated on the fly ( which is a bit clunky but still a really nice bonus ) or by using the software , and there are a bevy of eq options<SPLIT>[[[[Example_0]]]]: finally the software used to put all the songs into it is vastly inferior to itunes on two levels , first it is poorly integrated into the overall player and clunky to use especially with tagging and second the wma audio format sucks , flat out sucks in terms of sound quality compared with the vastly superior aac format the apple ipod uses and it sticks you with one of the sub par paid music services such as napster instead of allowing to use the itunes store , which , if you ever plan to pay for your music , is by far the best<SPLIT>[[[[Label_0]]]]: negative<SPLIT>[[[[Example_1]]]]: you can move the focus range to almost anywhere in the scene with the push of a button , and it has an on screen manual focus mode that would be really helpful if shooting a scene that is tough to automatically focus<SPLIT>[[[[Label_1]]]]: positive<SPLIT>[[[[Example_2]]]]: the opening could be a little wider , i suppose , but i haven ' t really seen anything else that could be improved<SPLIT>[[[[Label_2]]]]: negative<SPLIT>[[[[Example_3]]]]: sound excellent polyphonic ringing tones are very nice ( check cons ) it also doubles as a radio , which is a nice feature when you are bored<SPLIT>[[[[Label_3]]]]: positive<SPLIT>[[[[Example_4]]]]: i expected the 12x digital zoom to be grainy , but on full size high to fine quality , the zoomed images are quite impressive<SPLIT>[[[[Label_4]]]]: positive<SPLIT>[[[[Example_5]]]]: 2 ) music organization is based on id3 ( by genre , artist , album , etc ) and this can be a problem for older downloaded music files with missing or incorrect id3 information<SPLIT>[[[[Label_5]]]]: negative<SPLIT>[[[[Example_6]]]]: ripping your songs and creating playlists could n ' t be any easier<SPLIT>[[[[Label_6]]]]: positive<SPLIT>[[[[Example_7]]]]: you ' ll be changing track information a lot because the cd database information utilized by the software is mediocre at best<SPLIT>[[[[Label_7]]]]: negative","[[[[Sentence]]]]: playlists can be generated on the fly ( which is a bit clunky but still a really nice bonus ) or by using the software , and there are a bevy of eq options<SPLIT>[[[[Example_0]]]]: finally the software used to put all the songs into it is vastly inferior to itunes on two levels , first it is poorly integrated into the overall player and clunky to use especially with tagging and second the wma audio format sucks , flat out sucks in terms of sound quality compared with the vastly superior aac format the apple ipod uses and it sticks you with one of the sub par paid music services such as napster instead of allowing to use the itunes store , which , if you ever plan to pay for your music , is by far the best<SPLIT>[[[[Label_0]]]]: negative<SPLIT>[[[[Example_1]]]]: you can move the focus range to almost anywhere in the scene with the push of a button , and it has an on screen manual focus mode that would be really helpful if shooting a scene that is tough to automatically focus<SPLIT>[[[[Label_1]]]]: positive<SPLIT>[[[[Example_2]]]]: the opening could be a little wider , i suppose , but i haven ' t really seen anything else that could be improved<SPLIT>[[[[Label_2]]]]: negative<SPLIT>[[[[Example_3]]]]: sound excellent polyphonic ringing tones are very nice ( check cons ) it also doubles as a radio , which is a nice feature when you are bored<SPLIT>[[[[Label_3]]]]: positive<SPLIT>[[[[Example_4]]]]: i expected the 12x digital zoom to be grainy , but on full size high to fine quality , the zoomed images are quite impressive<SPLIT>[[[[Label_4]]]]: positive<SPLIT>[[[[Example_5]]]]: 2 ) music organization is based on id3 ( by genre , artist , album , etc ) and this can be a problem for older downloaded music files with missing or incorrect id3 information<SPLIT>[[[[Label_5]]]]: negative<SPLIT>[[[[Example_6]]]]: ripping your songs and creating playlists could n ' t be any easier<SPLIT>[[[[Label_6]]]]: positive<SPLIT>[[[[Example_7]]]]: you ' ll be changing track information a lot because the cd database information utilized by the software is mediocre at best<SPLIT>[[[[Label_7]]]]: negative",0.01590639352798462,0.01590639352798462,1,1,1,1,"Failed"
"[[[[Sentence]]]]: simply , the canon g3 is the best digital camera out there today at this price point<SPLIT>[[[[Example_0]]]]: i have a canon a 70 , and now this sd500 , its amazing , how this little camera produces , such great pics , it even brings out ur pimples on the face<SPLIT>[[[[Label_0]]]]: positive<SPLIT>[[[[Example_1]]]]: also if you want a device that does so much more than the ipod mini but is at the same price , this is the player for you<SPLIT>[[[[Label_1]]]]: positive<SPLIT>[[[[Example_2]]]]: the optical zoom works great and the 14x digital zoom is a very nice addition although pictures at the highest digital zoom are a little blurry<SPLIT>[[[[Label_2]]]]: positive<SPLIT>[[[[Example_3]]]]: can recommend the hitachi in this ergonomic arena at the price quoted on amazon it is a bargain<SPLIT>[[[[Label_3]]]]: positive<SPLIT>[[[[Example_4]]]]: this is my first digital camera and i can say that i am quite impressed with the features that it has<SPLIT>[[[[Label_4]]]]: positive<SPLIT>[[[[Example_5]]]]: the camera is adequate and if i want high res photos i ' ll use my digital camera instead<SPLIT>[[[[Label_5]]]]: positive<SPLIT>[[[[Example_6]]]]: this is the perfect camera for a photo hobbiest who wants to have easy point and shoot ability as well<SPLIT>[[[[Label_6]]]]: positive<SPLIT>[[[[Example_7]]]]: the battery is alot better than most of the phones out there<SPLIT>[[[[Label_7]]]]: positive","[[[[Sentence]]]]: simply , the canon g3 is the best digital camera out there today at this price point<SPLIT>[[[[Example_0]]]]: i have a canon a 70 , and now this sd500 , its amazing , how this little camera produces , such great pics , it even brings out ur pimples on the face<SPLIT>[[[[Label_0]]]]: positive<SPLIT>[[[[Example_1]]]]: also if you want a device that does so much more than the ipod mini but is at the same price , this is the player for you<SPLIT>[[[[Label_1]]]]: positive<SPLIT>[[[[Example_2]]]]: the optical zoom works great and the 14x digital zoom is a very nice addition although pictures at the highest digital zoom are a little blurry<SPLIT>[[[[Label_2]]]]: positive<SPLIT>[[[[Example_3]]]]: can recommend the hitachi in this ergonomic arena at the price quoted on amazon it is a bargain<SPLIT>[[[[Label_3]]]]: positive<SPLIT>[[[[Example_4]]]]: this is my first digital camera and i can say that i am quite impressed with the features that it has<SPLIT>[[[[Label_4]]]]: positive<SPLIT>[[[[Example_5]]]]: the camera is adequate and if i want high res photos i ' ll use my digital camera instead<SPLIT>[[[[Label_5]]]]: positive<SPLIT>[[[[Example_6]]]]: this is the perfect camera for a photo hobbiest who wants to have easy point and shoot ability as well<SPLIT>[[[[Label_6]]]]: positive<SPLIT>[[[[Example_7]]]]: the battery is alot better than most of the phones out there<SPLIT>[[[[Label_7]]]]: positive",0.00522005558013916,0.00522005558013916,1,1,1,1,"Failed"
"[[[[Sentence]]]]: multimedia functions are enhanced by multi slide mms messages and a gallery for organizing digital content captured or downloaded with the phone<SPLIT>[[[[Example_0]]]]: the only downside i have found with this phone is that it is a bit slow to react , meaning when i push the contacts button , it takes a while to load , this is true for almost all the menus and programs on the phone<SPLIT>[[[[Label_0]]]]: negative<SPLIT>[[[[Example_1]]]]: if you are looking for a phone to integrate as easily as the sonyericsson phones with isync , i say stick with a sonyericsson<SPLIT>[[[[Label_1]]]]: positive<SPLIT>[[[[Example_2]]]]: it receives very nice mms pictures from other gsm phones<SPLIT>[[[[Label_2]]]]: positive<SPLIT>[[[[Example_3]]]]: if you are looking for an upgrade , this is definitely the phone for you<SPLIT>[[[[Label_3]]]]: positive<SPLIT>[[[[Example_4]]]]: Health Minister Ginette Petitpas Taylor is launching consultations aimed at amending federal food and drug regulations to restrict the content of sweetened beverages whose alcohol content is between seven per cent and 12 per cent.<SPLIT><SPLIT>[[[[Label_4]]]]: positive<SPLIT>[[[[Example_5]]]]: the optical and digital zooms combine to give an effective 4x zoom<SPLIT>[[[[Label_5]]]]: positive<SPLIT>[[[[Example_6]]]]: Scroll for more content...<SPLIT><SPLIT>[[[[Label_6]]]]: positive<SPLIT>[[[[Example_7]]]]: even with these shortcomings , i still think it is the best digital camera available under 1200<SPLIT>[[[[Label_7]]]]: positive","[[[[Sentence]]]]: multimedia functions are enhanced by multi slide mms messages and a gallery for organizing digital content captured or downloaded with the phone<SPLIT>[[[[Example_0]]]]: the only downside i have found with this phone is that it is a bit slow to react , meaning when i push the contacts button , it takes a while to load , this is true for almost all the menus and programs on the phone<SPLIT>[[[[Label_0]]]]: negative<SPLIT>[[[[Example_1]]]]: if you are looking for a phone to integrate as easily as the sonyericsson phones with isync , i say stick with a sonyericsson<SPLIT>[[[[Label_1]]]]: positive<SPLIT>[[[[Example_2]]]]: it receives very nice mms pictures from other gsm phones<SPLIT>[[[[Label_2]]]]: positive<SPLIT>[[[[Example_3]]]]: if you are looking for an upgrade , this is definitely the phone for you<SPLIT>[[[[Label_3]]]]: positive<SPLIT>[[[[Example_4]]]]: Health Minister Ginette Petitpas Taylor is launching consultations aimed at amending federal food and drug regulations to restrict the content of sweetened beverages whose alcohol content is between seven per cent and 12 per cent.<SPLIT><SPLIT>[[[[Label_4]]]]: positive<SPLIT>[[[[Example_5]]]]: the optical and digital zooms combine to give an effective 4x zoom<SPLIT>[[[[Label_5]]]]: positive<SPLIT>[[[[Example_6]]]]: Scroll for more content...<SPLIT><SPLIT>[[[[Label_6]]]]: positive<SPLIT>[[[[Example_7]]]]: even with these shortcomings , i still think it is the best digital camera available under 1200<SPLIT>[[[[Label_7]]]]: positive",0.05340331792831421,0.05340331792831421,1,1,1,1,"Failed"
"[[[[Sentence]]]]: oh , and another is the cool halo light that surrounds the touch pad , and light 's up when you touch the screen , and how the light glows when the zen is connected to the computer<SPLIT>[[[[Example_0]]]]: 2 the camera is so small that when you attach some lenses i have the 19mm wide angle wc e 68 , the optical viewfinder is partially obscured<SPLIT>[[[[Label_0]]]]: negative<SPLIT>[[[[Example_1]]]]: i will also say that it takes a very long moment for the camera to do its digital image processing between the time you press the button and when the camera actually takes the picture<SPLIT>[[[[Label_1]]]]: negative<SPLIT>[[[[Example_2]]]]: all the buttons necessary lil ' gadgets are on the sides of the player which is nice for when you are holding it in the palm of your hand<SPLIT>[[[[Label_2]]]]: positive<SPLIT>[[[[Example_3]]]]: the zoom goes up and down in magnification , which is nice , but there is always a display of the zoom size about one quarter of the way down from the top of the screen that interferes with viewing at most settings<SPLIT>[[[[Label_3]]]]: negative<SPLIT>[[[[Example_4]]]]: “So, uh, what is it you do?” Meghan asks, meeting Harry’s gaze in the flickering romantic light.<SPLIT><SPLIT>[[[[Label_4]]]]: positive<SPLIT>[[[[Example_5]]]]: when you learn how to change some settings , you can make the quality even better<SPLIT>[[[[Label_5]]]]: positive<SPLIT>[[[[Example_6]]]]: the zen lives up to the audio quality i love and expect<SPLIT>[[[[Label_6]]]]: positive<SPLIT>[[[[Example_7]]]]: i also did n ' t like the way it displayed information way down into the screen when you are in zoom mode<SPLIT>[[[[Label_7]]]]: negative","[[[[Sentence]]]]: oh , and another is the cool halo light that surrounds the touch pad , and light 's up when you touch the screen , and how the light glows when the zen is connected to the computer<SPLIT>[[[[Example_0]]]]: 2 the camera is so small that when you attach some lenses i have the 19mm wide angle wc e 68 , the optical viewfinder is partially obscured<SPLIT>[[[[Label_0]]]]: negative<SPLIT>[[[[Example_1]]]]: i will also say that it takes a very long moment for the camera to do its digital image processing between the time you press the button and when the camera actually takes the picture<SPLIT>[[[[Label_1]]]]: negative<SPLIT>[[[[Example_2]]]]: all the buttons necessary lil ' gadgets are on the sides of the player which is nice for when you are holding it in the palm of your hand<SPLIT>[[[[Label_2]]]]: positive<SPLIT>[[[[Example_3]]]]: the zoom goes up and down in magnification , which is nice , but there is always a display of the zoom size about one quarter of the way down from the top of the screen that interferes with viewing at most settings<SPLIT>[[[[Label_3]]]]: negative<SPLIT>[[[[Example_4]]]]: “So, uh, what is it you do?” Meghan asks, meeting Harry’s gaze in the flickering romantic light.<SPLIT><SPLIT>[[[[Label_4]]]]: positive<SPLIT>[[[[Example_5]]]]: when you learn how to change some settings , you can make the quality even better<SPLIT>[[[[Label_5]]]]: positive<SPLIT>[[[[Example_6]]]]: the zen lives up to the audio quality i love and expect<SPLIT>[[[[Label_6]]]]: positive<SPLIT>[[[[Example_7]]]]: i also did n ' t like the way it displayed information way down into the screen when you are in zoom mode<SPLIT>[[[[Label_7]]]]: negative",0.008577525615692139,0.008577525615692139,1,1,1,1,"Failed"
"[[[[Sentence]]]]: i 'd say that this camera is perfect<SPLIT>[[[[Example_0]]]]: i can ' t write enough positive things about this great little camera !<SPLIT>[[[[Label_0]]]]: positive<SPLIT>[[[[Example_1]]]]: i have to say that i am very happy with it so far<SPLIT>[[[[Label_1]]]]: positive<SPLIT>[[[[Example_2]]]]: i am impressed with how easy this camera is to use<SPLIT>[[[[Label_2]]]]: positive<SPLIT>[[[[Example_3]]]]: our norton internet av 2004 was terrible right from the get go , so i ' d think that if steelworks is ok now , it should remain ok<SPLIT>[[[[Label_3]]]]: negative<SPLIT>[[[[Example_4]]]]: i love this camera !<SPLIT>[[[[Label_4]]]]: positive<SPLIT>[[[[Example_5]]]]: i enthusiastically recommend this camera<SPLIT>[[[[Label_5]]]]: positive<SPLIT>[[[[Example_6]]]]: this is my first digital camera , and what a ' toy ' it is !<SPLIT>[[[[Label_6]]]]: positive<SPLIT>[[[[Example_7]]]]: the camera is adequate and if i want high res photos i ' ll use my digital camera instead<SPLIT>[[[[Label_7]]]]: positive","[[[[Sentence]]]]: i 'd say that this camera is perfect<SPLIT>[[[[Example_0]]]]: i can ' t write enough positive things about this great little camera !<SPLIT>[[[[Label_0]]]]: positive<SPLIT>[[[[Example_1]]]]: i have to say that i am very happy with it so far<SPLIT>[[[[Label_1]]]]: positive<SPLIT>[[[[Example_2]]]]: i am impressed with how easy this camera is to use<SPLIT>[[[[Label_2]]]]: positive<SPLIT>[[[[Example_3]]]]: our norton internet av 2004 was terrible right from the get go , so i ' d think that if steelworks is ok now , it should remain ok<SPLIT>[[[[Label_3]]]]: negative<SPLIT>[[[[Example_4]]]]: i love this camera !<SPLIT>[[[[Label_4]]]]: positive<SPLIT>[[[[Example_5]]]]: i enthusiastically recommend this camera<SPLIT>[[[[Label_5]]]]: positive<SPLIT>[[[[Example_6]]]]: this is my first digital camera , and what a ' toy ' it is !<SPLIT>[[[[Label_6]]]]: positive<SPLIT>[[[[Example_7]]]]: the camera is adequate and if i want high res photos i ' ll use my digital camera instead<SPLIT>[[[[Label_7]]]]: positive",0.008577525615692139,0.008577525615692139,1,1,1,1,"Failed"
"[[[[Sentence]]]]: this is the best phone i have seen<SPLIT>[[[[Example_0]]]]: i have come across many other beginner cameras that i prefer over this camera , but the thing you have to keep in mind about this camera is the size<SPLIT>[[[[Label_0]]]]: positive<SPLIT>[[[[Example_1]]]]: overall it is the best camera on the market<SPLIT>[[[[Label_1]]]]: positive<SPLIT>[[[[Example_2]]]]: the diaper champ is the best !<SPLIT>[[[[Label_2]]]]: positive<SPLIT>[[[[Example_3]]]]: i have not yet seen any of the usual problems with digital pictures ( purple fringing , etc ) so i am very pleased<SPLIT>[[[[Label_3]]]]: positive<SPLIT>[[[[Example_4]]]]: another benefit of this phone is that it is truly an international phone the 6610 is sold in almost everywhere in the world<SPLIT>[[[[Label_4]]]]: positive<SPLIT>[[[[Example_5]]]]: i think , apex is the best dvd player you can get for the price<SPLIT>[[[[Label_5]]]]: positive<SPLIT>[[[[Example_6]]]]: other than that , i think it is the best router for the money<SPLIT>[[[[Label_6]]]]: positive<SPLIT>[[[[Example_7]]]]: yin to point out they have experience , and so the reliability of the connection you get is among the best<SPLIT>[[[[Label_7]]]]: positive","[[[[Sentence]]]]: this is the best phone i have seen<SPLIT>[[[[Example_0]]]]: i have come across many other beginner cameras that i prefer over this camera , but the thing you have to keep in mind about this camera is the size<SPLIT>[[[[Label_0]]]]: positive<SPLIT>[[[[Example_1]]]]: overall it is the best camera on the market<SPLIT>[[[[Label_1]]]]: positive<SPLIT>[[[[Example_2]]]]: the diaper champ is the best !<SPLIT>[[[[Label_2]]]]: positive<SPLIT>[[[[Example_3]]]]: i have not yet seen any of the usual problems with digital pictures ( purple fringing , etc ) so i am very pleased<SPLIT>[[[[Label_3]]]]: positive<SPLIT>[[[[Example_4]]]]: another benefit of this phone is that it is truly an international phone the 6610 is sold in almost everywhere in the world<SPLIT>[[[[Label_4]]]]: positive<SPLIT>[[[[Example_5]]]]: i think , apex is the best dvd player you can get for the price<SPLIT>[[[[Label_5]]]]: positive<SPLIT>[[[[Example_6]]]]: other than that , i think it is the best router for the money<SPLIT>[[[[Label_6]]]]: positive<SPLIT>[[[[Example_7]]]]: yin to point out they have experience , and so the reliability of the connection you get is among the best<SPLIT>[[[[Label_7]]]]: positive",0.0097084641456604,0.0097084641456604,1,1,1,1,"Failed"
"[[[[Sentence]]]]: this one has a good looking<SPLIT>[[[[Example_0]]]]: my op ion is concentrate on what you need now , this product has excellent range , holds a teddy connection , ha sent even drooped one and i have it for more than a month now<SPLIT>[[[[Label_0]]]]: positive<SPLIT>[[[[Example_1]]]]: without a doubt the finest looking apex dvd player that i ' ve seen<SPLIT>[[[[Label_1]]]]: positive<SPLIT>[[[[Example_2]]]]: although the sound quality is good , it takes more than good sound on a portable mp 3 player to result in a good product<SPLIT>[[[[Label_2]]]]: negative<SPLIT>[[[[Example_3]]]]: h/t Ralph for this one.<SPLIT><SPLIT>[[[[Label_3]]]]: positive<SPLIT>[[[[Example_4]]]]: this has happened with several different dvd ' s and occasionally if we keep trying something , it will work when it did not work one time before<SPLIT>[[[[Label_4]]]]: negative<SPLIT>[[[[Example_5]]]]: one good thing , it is 40 gb of disk space ( well , it is 38 gb in reality )<SPLIT>[[[[Label_5]]]]: positive<SPLIT>[[[[Example_6]]]]: the phone has such advantages as the excellent keypad and display , long rundown time and a good software suite<SPLIT>[[[[Label_6]]]]: positive<SPLIT>[[[[Example_7]]]]: this is probably your best bet if you are looking for a phone in this price range , or like me , do not have the patience to deal with annoying flip phones<SPLIT>[[[[Label_7]]]]: positive","[[[[Sentence]]]]: this one has a good looking<SPLIT>[[[[Example_0]]]]: my op ion is concentrate on what you need now , this product has excellent range , holds a teddy connection , ha sent even drooped one and i have it for more than a month now<SPLIT>[[[[Label_0]]]]: positive<SPLIT>[[[[Example_1]]]]: without a doubt the finest looking apex dvd player that i ' ve seen<SPLIT>[[[[Label_1]]]]: positive<SPLIT>[[[[Example_2]]]]: although the sound quality is good , it takes more than good sound on a portable mp 3 player to result in a good product<SPLIT>[[[[Label_2]]]]: negative<SPLIT>[[[[Example_3]]]]: h/t Ralph for this one.<SPLIT><SPLIT>[[[[Label_3]]]]: positive<SPLIT>[[[[Example_4]]]]: this has happened with several different dvd ' s and occasionally if we keep trying something , it will work when it did not work one time before<SPLIT>[[[[Label_4]]]]: negative<SPLIT>[[[[Example_5]]]]: one good thing , it is 40 gb of disk space ( well , it is 38 gb in reality )<SPLIT>[[[[Label_5]]]]: positive<SPLIT>[[[[Example_6]]]]: the phone has such advantages as the excellent keypad and display , long rundown time and a good software suite<SPLIT>[[[[Label_6]]]]: positive<SPLIT>[[[[Example_7]]]]: this is probably your best bet if you are looking for a phone in this price range , or like me , do not have the patience to deal with annoying flip phones<SPLIT>[[[[Label_7]]]]: positive",0.06008666753768921,0.06008666753768921,1,1,1,1,"Failed"
"[[[[Sentence]]]]: they made the other end of the camera flat so you can put the camera upright on a flat surface if you don 't like to take the usual horizontal pictures using the self timer<SPLIT>[[[[Example_0]]]]: for the price and size and features , you can ' t beat the price<SPLIT>[[[[Label_0]]]]: positive<SPLIT>[[[[Example_1]]]]: Do you have what it takes to be the next American Idol? If so, we want to help you get to the front of the line to audition for the show's producers.<SPLIT><SPLIT>[[[[Label_1]]]]: positive<SPLIT>[[[[Example_2]]]]: another thing i don ' t like is that some of the features take 1 2 seconds to load up<SPLIT>[[[[Label_2]]]]: negative<SPLIT>[[[[Example_3]]]]: the zoom lens unit feels fragile and it is worth buying a good camera bag if you are going put to carry it round a lot<SPLIT>[[[[Label_3]]]]: negative<SPLIT>[[[[Example_4]]]]: yin to point out they have experience , and so the reliability of the connection you get is among the best<SPLIT>[[[[Label_4]]]]: positive<SPLIT>[[[[Example_5]]]]: i see many other reviews that say the same stay away from norton , they don ' t deserve you , or anyone !<SPLIT>[[[[Label_5]]]]: negative<SPLIT>[[[[Example_6]]]]: i will also say that it takes a very long moment for the camera to do its digital image processing between the time you press the button and when the camera actually takes the picture<SPLIT>[[[[Label_6]]]]: negative<SPLIT>[[[[Example_7]]]]: you can take pic of your friends and the picture will pop up when they call<SPLIT>[[[[Label_7]]]]: positive","[[[[Sentence]]]]: they made the other end of the camera flat so you can put the camera upright on a flat surface if you don 't like to take the usual horizontal pictures using the self timer<SPLIT>[[[[Example_0]]]]: for the price and size and features , you can ' t beat the price<SPLIT>[[[[Label_0]]]]: positive<SPLIT>[[[[Example_1]]]]: Do you have what it takes to be the next American Idol? If so, we want to help you get to the front of the line to audition for the show's producers.<SPLIT><SPLIT>[[[[Label_1]]]]: positive<SPLIT>[[[[Example_2]]]]: another thing i don ' t like is that some of the features take 1 2 seconds to load up<SPLIT>[[[[Label_2]]]]: negative<SPLIT>[[[[Example_3]]]]: the zoom lens unit feels fragile and it is worth buying a good camera bag if you are going put to carry it round a lot<SPLIT>[[[[Label_3]]]]: negative<SPLIT>[[[[Example_4]]]]: yin to point out they have experience , and so the reliability of the connection you get is among the best<SPLIT>[[[[Label_4]]]]: positive<SPLIT>[[[[Example_5]]]]: i see many other reviews that say the same stay away from norton , they don ' t deserve you , or anyone !<SPLIT>[[[[Label_5]]]]: negative<SPLIT>[[[[Example_6]]]]: i will also say that it takes a very long moment for the camera to do its digital image processing between the time you press the button and when the camera actually takes the picture<SPLIT>[[[[Label_6]]]]: negative<SPLIT>[[[[Example_7]]]]: you can take pic of your friends and the picture will pop up when they call<SPLIT>[[[[Label_7]]]]: positive",0.09534949064254761,0.09534949064254761,1,1,1,1,"Failed"
"[[[[Sentence]]]]: don 't care about sunlight it 's tft<SPLIT>[[[[Example_0]]]]: another thing i don ' t like is that some of the features take 1 2 seconds to load up<SPLIT>[[[[Label_0]]]]: negative<SPLIT>[[[[Example_1]]]]: the only thing i do n ' t like about this is the cover does suck<SPLIT>[[[[Label_1]]]]: negative<SPLIT>[[[[Example_2]]]]: it doesn ' t bog down under load<SPLIT>[[[[Label_2]]]]: positive<SPLIT>[[[[Example_3]]]]: can ' t say whether i rec ' d an updated model but it will not read dvd rw ' s or vcd ' s for me<SPLIT>[[[[Label_3]]]]: negative<SPLIT>[[[[Example_4]]]]: but it wouldn ' t let me turn the av protection back on and it wouldn ' t stop with the alerts<SPLIT>[[[[Label_4]]]]: negative<SPLIT>[[[[Example_5]]]]: and the biggest plus is that you don ' t have to buy any expensive refills<SPLIT>[[[[Label_5]]]]: positive<SPLIT>[[[[Example_6]]]]: you can disable some of the individual components , but don ' t be fooled they ' re still there and running<SPLIT>[[[[Label_6]]]]: negative<SPLIT>[[[[Example_7]]]]: but it you won ' t regret it<SPLIT>[[[[Label_7]]]]: positive","[[[[Sentence]]]]: don 't care about sunlight it 's tft<SPLIT>[[[[Example_0]]]]: another thing i don ' t like is that some of the features take 1 2 seconds to load up<SPLIT>[[[[Label_0]]]]: negative<SPLIT>[[[[Example_1]]]]: the only thing i do n ' t like about this is the cover does suck<SPLIT>[[[[Label_1]]]]: negative<SPLIT>[[[[Example_2]]]]: it doesn ' t bog down under load<SPLIT>[[[[Label_2]]]]: positive<SPLIT>[[[[Example_3]]]]: can ' t say whether i rec ' d an updated model but it will not read dvd rw ' s or vcd ' s for me<SPLIT>[[[[Label_3]]]]: negative<SPLIT>[[[[Example_4]]]]: but it wouldn ' t let me turn the av protection back on and it wouldn ' t stop with the alerts<SPLIT>[[[[Label_4]]]]: negative<SPLIT>[[[[Example_5]]]]: and the biggest plus is that you don ' t have to buy any expensive refills<SPLIT>[[[[Label_5]]]]: positive<SPLIT>[[[[Example_6]]]]: you can disable some of the individual components , but don ' t be fooled they ' re still there and running<SPLIT>[[[[Label_6]]]]: negative<SPLIT>[[[[Example_7]]]]: but it you won ' t regret it<SPLIT>[[[[Label_7]]]]: positive",0.29421496391296387,0.29421496391296387,1,1,1,1,"Failed"
