"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"[[[[Sentence]]]]: it 's a charming and often affecting journey . <SPLIT>[[[[Example_0]]]]: all mood and no movie . <SPLIT>[[[[Label_0]]]]: negative<SPLIT>[[[[Example_1]]]]: brings an [[irresistible]] [[blend]] of [[warmth]] and humor and a consistent embracing humanity in the face of life 's harshness <SPLIT>[[[[Label_1]]]]: positive<SPLIT>[[[[Example_2]]]]: has been sacrificed for the sake of [[spectacle]] <SPLIT>[[[[Label_2]]]]: negative<SPLIT>[[[[Example_3]]]]: emerges with yet another [[remarkable]] yet shockingly little-known perspective . <SPLIT>[[[[Label_3]]]]: positive<SPLIT>[[[[Example_4]]]]: 's a [[terrible]] movie in every regard <SPLIT>[[[[Label_4]]]]: negative<SPLIT>[[[[Example_5]]]]: are very , very good reasons <SPLIT>[[[[Label_5]]]]: positive<SPLIT>[[[[Example_6]]]]: 'd be hard [[put]] to find a movie character more unattractive or odorous ( than leon ) <SPLIT>[[[[Label_6]]]]: negative<SPLIT>[[[[Example_7]]]]: the ya-ya sisterhood <SPLIT>[[[[Label_7]]]]: positive","[[[[Sentence]]]]: it 's a charming and often affecting journey . <SPLIT>[[[[Example_0]]]]: all mood and no movie . <SPLIT>[[[[Label_0]]]]: negative<SPLIT>[[[[Example_1]]]]: brings an [[irⲅesistible]] [[ble]] [[nd]] of [[w]] [[armth]] and humor and a consistent embracing humanity in the face of life 's harshness <SPLIT>[[[[Label_1]]]]: positive<SPLIT>[[[[Example_2]]]]: has been sacrificed for the sake of [[displaying]] <SPLIT>[[[[Label_2]]]]: negative<SPLIT>[[[[Example_3]]]]: emerges with yet another [[remarkɑble]] yet shockingly little-known perspective . <SPLIT>[[[[Label_3]]]]: positive<SPLIT>[[[[Example_4]]]]: 's a [[terrib]] [[le]] movie in every regard <SPLIT>[[[[Label_4]]]]: negative<SPLIT>[[[[Example_5]]]]: are very , very good reasons <SPLIT>[[[[Label_5]]]]: positive<SPLIT>[[[[Example_6]]]]: 'd be hard [[pu𝚝]] to find a movie character more unattractive or odorous ( than leon ) <SPLIT>[[[[Label_6]]]]: negative<SPLIT>[[[[Example_7]]]]: the ya-ya sisterhood <SPLIT>[[[[Label_7]]]]: positive",0.010986924171447754,0.32082128524780273,1,1,1,172,"Failed"
"[[[[Sentence]]]]: unflinchingly bleak and desperate <SPLIT>[[[[Example_0]]]]: all mood and no movie . <SPLIT>[[[[Label_0]]]]: negative<SPLIT>[[[[Example_1]]]]: brings an irresistible blend of [[warmth]] and humor and a consistent embracing humanity in the face of life 's harshness <SPLIT>[[[[Label_1]]]]: positive<SPLIT>[[[[Example_2]]]]: has been sacrificed for the sake of spectacle <SPLIT>[[[[Label_2]]]]: negative<SPLIT>[[[[Example_3]]]]: emerges with yet another remarkable yet shockingly little-known perspective . <SPLIT>[[[[Label_3]]]]: positive<SPLIT>[[[[Example_4]]]]: 's a terrible movie in every regard <SPLIT>[[[[Label_4]]]]: negative<SPLIT>[[[[Example_5]]]]: are very , very good reasons <SPLIT>[[[[Label_5]]]]: positive<SPLIT>[[[[Example_6]]]]: 'd be hard put to find a movie character more unattractive or odorous ( than leon ) <SPLIT>[[[[Label_6]]]]: negative<SPLIT>[[[[Example_7]]]]: the [[ya-ya]] sisterhood <SPLIT>[[[[Label_7]]]]: positive","[[[[Sentence]]]]: unflinchingly bleak and desperate <SPLIT>[[[[Example_0]]]]: all mood and no movie . <SPLIT>[[[[Label_0]]]]: negative<SPLIT>[[[[Example_1]]]]: brings an irresistible blend of [[warth]] and humor and a consistent embracing humanity in the face of life 's harshness <SPLIT>[[[[Label_1]]]]: positive<SPLIT>[[[[Example_2]]]]: has been sacrificed for the sake of spectacle <SPLIT>[[[[Label_2]]]]: negative<SPLIT>[[[[Example_3]]]]: emerges with yet another remarkable yet shockingly little-known perspective . <SPLIT>[[[[Label_3]]]]: positive<SPLIT>[[[[Example_4]]]]: 's a terrible movie in every regard <SPLIT>[[[[Label_4]]]]: negative<SPLIT>[[[[Example_5]]]]: are very , very good reasons <SPLIT>[[[[Label_5]]]]: positive<SPLIT>[[[[Example_6]]]]: 'd be hard put to find a movie character more unattractive or odorous ( than leon ) <SPLIT>[[[[Label_6]]]]: negative<SPLIT>[[[[Example_7]]]]: the [[yay-a]] sisterhood <SPLIT>[[[[Label_7]]]]: positive",0.32082128524780273,0.5312093496322632,0,1,0,56,"Successful"
"[[[[Sentence]]]]: allows us to hope that nolan is poised to embark a major career as a commercial yet inventive filmmaker . <SPLIT>[[[[Example_0]]]]: all mood and no movie . <SPLIT>[[[[Label_0]]]]: negative<SPLIT>[[[[Example_1]]]]: brings an irresistible blend of warmth and humor and a [[consistent]] embracing [[humanity]] in the face of life 's harshness <SPLIT>[[[[Label_1]]]]: positive<SPLIT>[[[[Example_2]]]]: has been sacrificed for the sake of [[spectacle]] <SPLIT>[[[[Label_2]]]]: negative<SPLIT>[[[[Example_3]]]]: emerges with yet another remarkable yet shockingly little-known perspective . <SPLIT>[[[[Label_3]]]]: positive<SPLIT>[[[[Example_4]]]]: 's a [[terrible]] movie in every regard <SPLIT>[[[[Label_4]]]]: negative<SPLIT>[[[[Example_5]]]]: are very , very good reasons <SPLIT>[[[[Label_5]]]]: positive<SPLIT>[[[[Example_6]]]]: 'd be hard [[put]] to find a movie character more unattractive or odorous ( than [[leon]] ) <SPLIT>[[[[Label_6]]]]: negative<SPLIT>[[[[Example_7]]]]: the ya-ya sisterhood <SPLIT>[[[[Label_7]]]]: positive","[[[[Sentence]]]]: allows us to hope that nolan is poised to embark a major career as a commercial yet inventive filmmaker . <SPLIT>[[[[Example_0]]]]: all mood and no movie . <SPLIT>[[[[Label_0]]]]: negative<SPLIT>[[[[Example_1]]]]: brings an irresistible blend of warmth and humor and a [[cnsistent]] embracing [[հumanity]] in the face of life 's harshness <SPLIT>[[[[Label_1]]]]: positive<SPLIT>[[[[Example_2]]]]: has been sacrificed for the sake of [[displaying]] <SPLIT>[[[[Label_2]]]]: negative<SPLIT>[[[[Example_3]]]]: emerges with yet another remarkable yet shockingly little-known perspective . <SPLIT>[[[[Label_3]]]]: positive<SPLIT>[[[[Example_4]]]]: 's a [[terribⅼe]] movie in every regard <SPLIT>[[[[Label_4]]]]: negative<SPLIT>[[[[Example_5]]]]: are very , very good reasons <SPLIT>[[[[Label_5]]]]: positive<SPLIT>[[[[Example_6]]]]: 'd be hard [[pսt]] to find a movie character more unattractive or odorous ( than [[leoո]] ) <SPLIT>[[[[Label_6]]]]: negative<SPLIT>[[[[Example_7]]]]: the ya-ya sisterhood <SPLIT>[[[[Label_7]]]]: positive",0.06754672527313232,0.32082128524780273,1,1,1,368,"Failed"
"[[[[Sentence]]]]: the acting , costumes , music , cinematography and sound are all astounding given the production 's austere locales . <SPLIT>[[[[Example_0]]]]: all mood and no movie . <SPLIT>[[[[Label_0]]]]: negative<SPLIT>[[[[Example_1]]]]: brings an irresistible blend of warmth and [[humor]] and a consistent embracing humanity in the face of [[life]] 's [[harshness]] <SPLIT>[[[[Label_1]]]]: positive<SPLIT>[[[[Example_2]]]]: has been sacrificed for the sake of [[spectacle]] <SPLIT>[[[[Label_2]]]]: negative<SPLIT>[[[[Example_3]]]]: [[emerges]] with yet another remarkable yet shockingly little-known perspective . <SPLIT>[[[[Label_3]]]]: positive<SPLIT>[[[[Example_4]]]]: 's a [[terrible]] movie in every regard <SPLIT>[[[[Label_4]]]]: negative<SPLIT>[[[[Example_5]]]]: are very , very good reasons <SPLIT>[[[[Label_5]]]]: positive<SPLIT>[[[[Example_6]]]]: 'd be hard put to find a movie character more [[unattractive]] or odorous ( than [[leon]] ) <SPLIT>[[[[Label_6]]]]: negative<SPLIT>[[[[Example_7]]]]: the ya-ya sisterhood <SPLIT>[[[[Label_7]]]]: positive","[[[[Sentence]]]]: the acting , costumes , music , cinematography and sound are all astounding given the production 's austere locales . <SPLIT>[[[[Example_0]]]]: all mood and no movie . <SPLIT>[[[[Label_0]]]]: negative<SPLIT>[[[[Example_1]]]]: brings an irresistible blend of warmth and [[hum]] [[or]] and a consistent embracing humanity in the face of [[vie]] 's [[harsհness]] <SPLIT>[[[[Label_1]]]]: positive<SPLIT>[[[[Example_2]]]]: has been sacrificed for the sake of [[displaying]] <SPLIT>[[[[Label_2]]]]: negative<SPLIT>[[[[Example_3]]]]: [[occurs]] with yet another remarkable yet shockingly little-known perspective . <SPLIT>[[[[Label_3]]]]: positive<SPLIT>[[[[Example_4]]]]: 's a [[terribⅼe]] movie in every regard <SPLIT>[[[[Label_4]]]]: negative<SPLIT>[[[[Example_5]]]]: are very , very good reasons <SPLIT>[[[[Label_5]]]]: positive<SPLIT>[[[[Example_6]]]]: 'd be hard put to find a movie character more [[repulsive]] or odorous ( than [[le]] [[on]] ) <SPLIT>[[[[Label_6]]]]: negative<SPLIT>[[[[Example_7]]]]: the ya-ya sisterhood <SPLIT>[[[[Label_7]]]]: positive",0.02931225299835205,0.2689414620399475,1,1,1,323,"Failed"
"[[[[Sentence]]]]: it 's slow -- very , very slow . <SPLIT>[[[[Example_0]]]]: all mood and no movie . <SPLIT>[[[[Label_0]]]]: negative<SPLIT>[[[[Example_1]]]]: brings an irresistible blend of warmth and humor and a consistent embracing humanity in the [[face]] of life 's [[harshness]] <SPLIT>[[[[Label_1]]]]: positive<SPLIT>[[[[Example_2]]]]: has been sacrificed for the sake of spectacle <SPLIT>[[[[Label_2]]]]: negative<SPLIT>[[[[Example_3]]]]: emerges with yet [[another]] remarkable [[yet]] shockingly little-known perspective . <SPLIT>[[[[Label_3]]]]: positive<SPLIT>[[[[Example_4]]]]: 's a terrible movie in every regard <SPLIT>[[[[Label_4]]]]: negative<SPLIT>[[[[Example_5]]]]: are very , very good reasons <SPLIT>[[[[Label_5]]]]: positive<SPLIT>[[[[Example_6]]]]: 'd be hard put to find a movie character more unattractive or odorous ( than leon ) <SPLIT>[[[[Label_6]]]]: negative<SPLIT>[[[[Example_7]]]]: the ya-ya sisterhood <SPLIT>[[[[Label_7]]]]: positive","[[[[Sentence]]]]: it 's slow -- very , very slow . <SPLIT>[[[[Example_0]]]]: all mood and no movie . <SPLIT>[[[[Label_0]]]]: negative<SPLIT>[[[[Example_1]]]]: brings an irresistible blend of warmth and humor and a consistent embracing humanity in the [[fɑce]] of life 's [[harshne]] [[ss]] <SPLIT>[[[[Label_1]]]]: positive<SPLIT>[[[[Example_2]]]]: has been sacrificed for the sake of spectacle <SPLIT>[[[[Label_2]]]]: negative<SPLIT>[[[[Example_3]]]]: emerges with yet [[else]] remarkable [[yеt]] shockingly little-known perspective . <SPLIT>[[[[Label_3]]]]: positive<SPLIT>[[[[Example_4]]]]: 's a terrible movie in every regard <SPLIT>[[[[Label_4]]]]: negative<SPLIT>[[[[Example_5]]]]: are very , very good reasons <SPLIT>[[[[Label_5]]]]: positive<SPLIT>[[[[Example_6]]]]: 'd be hard put to find a movie character more unattractive or odorous ( than leon ) <SPLIT>[[[[Label_6]]]]: negative<SPLIT>[[[[Example_7]]]]: the ya-ya sisterhood <SPLIT>[[[[Label_7]]]]: positive",0.2227001190185547,0.377540647983551,0,0,0,334,"Failed"
"[[[[Sentence]]]]: although laced with humor and a few fanciful touches , the film is a refreshingly serious look at young women . <SPLIT>[[[[Example_0]]]]: all mood and no movie . <SPLIT>[[[[Label_0]]]]: negative<SPLIT>[[[[Example_1]]]]: brings an irresistible blend of warmth and humor and a consistent embracing [[humanity]] in the face of life 's harshness <SPLIT>[[[[Label_1]]]]: positive<SPLIT>[[[[Example_2]]]]: has been sacrificed for the sake of [[spectacle]] <SPLIT>[[[[Label_2]]]]: negative<SPLIT>[[[[Example_3]]]]: [[emerges]] with yet another remarkable yet shockingly little-known perspective . <SPLIT>[[[[Label_3]]]]: positive<SPLIT>[[[[Example_4]]]]: 's a [[terrible]] movie in every regard <SPLIT>[[[[Label_4]]]]: negative<SPLIT>[[[[Example_5]]]]: are very , very good reasons <SPLIT>[[[[Label_5]]]]: positive<SPLIT>[[[[Example_6]]]]: 'd be hard put to [[find]] a movie character more unattractive or odorous ( than [[leon]] ) <SPLIT>[[[[Label_6]]]]: negative<SPLIT>[[[[Example_7]]]]: the ya-ya sisterhood <SPLIT>[[[[Label_7]]]]: positive","[[[[Sentence]]]]: although laced with humor and a few fanciful touches , the film is a refreshingly serious look at young women . <SPLIT>[[[[Example_0]]]]: all mood and no movie . <SPLIT>[[[[Label_0]]]]: negative<SPLIT>[[[[Example_1]]]]: brings an irresistible blend of warmth and humor and a consistent embracing [[հumanity]] in the face of life 's harshness <SPLIT>[[[[Label_1]]]]: positive<SPLIT>[[[[Example_2]]]]: has been sacrificed for the sake of [[displaying]] <SPLIT>[[[[Label_2]]]]: negative<SPLIT>[[[[Example_3]]]]: [[occurs]] with yet another remarkable yet shockingly little-known perspective . <SPLIT>[[[[Label_3]]]]: positive<SPLIT>[[[[Example_4]]]]: 's a [[terribⅼe]] movie in every regard <SPLIT>[[[[Label_4]]]]: negative<SPLIT>[[[[Example_5]]]]: are very , very good reasons <SPLIT>[[[[Label_5]]]]: positive<SPLIT>[[[[Example_6]]]]: 'd be hard put to [[found]] a movie character more unattractive or odorous ( than [[le]] [[on]] ) <SPLIT>[[[[Label_6]]]]: negative<SPLIT>[[[[Example_7]]]]: the ya-ya sisterhood <SPLIT>[[[[Label_7]]]]: positive",0.06754672527313232,0.32082128524780273,1,1,1,420,"Failed"
"[[[[Sentence]]]]: a sometimes tedious film . <SPLIT>[[[[Example_0]]]]: all mood and no [[movie]] . <SPLIT>[[[[Label_0]]]]: negative<SPLIT>[[[[Example_1]]]]: brings an irresistible blend of warmth and humor and a consistent embracing humanity in the face of life 's [[harshness]] <SPLIT>[[[[Label_1]]]]: positive<SPLIT>[[[[Example_2]]]]: has been sacrificed for the sake of [[spectacle]] <SPLIT>[[[[Label_2]]]]: negative<SPLIT>[[[[Example_3]]]]: [[emerges]] with yet another remarkable yet shockingly [[little-known]] [[perspective]] . <SPLIT>[[[[Label_3]]]]: positive<SPLIT>[[[[Example_4]]]]: 's a [[terrible]] movie in every regard <SPLIT>[[[[Label_4]]]]: negative<SPLIT>[[[[Example_5]]]]: are very , very good reasons <SPLIT>[[[[Label_5]]]]: positive<SPLIT>[[[[Example_6]]]]: 'd be hard put to find a movie character more unattractive or odorous ( than leon ) <SPLIT>[[[[Label_6]]]]: negative<SPLIT>[[[[Example_7]]]]: the ya-ya sisterhood <SPLIT>[[[[Label_7]]]]: positive","[[[[Sentence]]]]: a sometimes tedious film . <SPLIT>[[[[Example_0]]]]: all mood and no [[moive]] . <SPLIT>[[[[Label_0]]]]: negative<SPLIT>[[[[Example_1]]]]: brings an irresistible blend of warmth and humor and a consistent embracing humanity in the face of life 's [[harshess]] <SPLIT>[[[[Label_1]]]]: positive<SPLIT>[[[[Example_2]]]]: has been sacrificed for the sake of [[spectaϲle]] <SPLIT>[[[[Label_2]]]]: negative<SPLIT>[[[[Example_3]]]]: [[occurs]] with yet another remarkable yet shockingly [[littleknown]] [[perspectivе]] . <SPLIT>[[[[Label_3]]]]: positive<SPLIT>[[[[Example_4]]]]: 's a [[horrible]] movie in every regard <SPLIT>[[[[Label_4]]]]: negative<SPLIT>[[[[Example_5]]]]: are very , very good reasons <SPLIT>[[[[Label_5]]]]: positive<SPLIT>[[[[Example_6]]]]: 'd be hard put to find a movie character more unattractive or odorous ( than leon ) <SPLIT>[[[[Label_6]]]]: negative<SPLIT>[[[[Example_7]]]]: the ya-ya sisterhood <SPLIT>[[[[Label_7]]]]: positive",0.11920297145843506,0.29421496391296387,0,0,0,437,"Failed"
"[[[[Sentence]]]]: or doing last year 's taxes with your ex-wife . <SPLIT>[[[[Example_0]]]]: all [[mood]] and no movie . <SPLIT>[[[[Label_0]]]]: negative<SPLIT>[[[[Example_1]]]]: brings an irresistible blend of warmth and humor and a consistent embracing humanity in the face of life 's harshness <SPLIT>[[[[Label_1]]]]: positive<SPLIT>[[[[Example_2]]]]: has been sacrificed for the sake of spectacle <SPLIT>[[[[Label_2]]]]: negative<SPLIT>[[[[Example_3]]]]: emerges with yet another remarkable yet shockingly little-known perspective . <SPLIT>[[[[Label_3]]]]: positive<SPLIT>[[[[Example_4]]]]: 's a terrible movie in every regard <SPLIT>[[[[Label_4]]]]: negative<SPLIT>[[[[Example_5]]]]: are very , very good reasons <SPLIT>[[[[Label_5]]]]: positive<SPLIT>[[[[Example_6]]]]: 'd be hard put to find a [[movie]] character more unattractive or odorous ( than leon ) <SPLIT>[[[[Label_6]]]]: negative<SPLIT>[[[[Example_7]]]]: the ya-ya sisterhood <SPLIT>[[[[Label_7]]]]: positive","[[[[Sentence]]]]: or doing last year 's taxes with your ex-wife . <SPLIT>[[[[Example_0]]]]: all [[ambience]] and no movie . <SPLIT>[[[[Label_0]]]]: negative<SPLIT>[[[[Example_1]]]]: brings an irresistible blend of warmth and humor and a consistent embracing humanity in the face of life 's harshness <SPLIT>[[[[Label_1]]]]: positive<SPLIT>[[[[Example_2]]]]: has been sacrificed for the sake of spectacle <SPLIT>[[[[Label_2]]]]: negative<SPLIT>[[[[Example_3]]]]: emerges with yet another remarkable yet shockingly little-known perspective . <SPLIT>[[[[Label_3]]]]: positive<SPLIT>[[[[Example_4]]]]: 's a terrible movie in every regard <SPLIT>[[[[Label_4]]]]: negative<SPLIT>[[[[Example_5]]]]: are very , very good reasons <SPLIT>[[[[Label_5]]]]: positive<SPLIT>[[[[Example_6]]]]: 'd be hard put to find a [[mоvie]] character more unattractive or odorous ( than leon ) <SPLIT>[[[[Label_6]]]]: negative<SPLIT>[[[[Example_7]]]]: the ya-ya sisterhood <SPLIT>[[[[Label_7]]]]: positive",0.46879059076309204,0.5312093496322632,0,1,0,57,"Successful"
"[[[[Sentence]]]]: you do n't have to know about music to appreciate the film 's easygoing blend of comedy and romance . <SPLIT>[[[[Example_0]]]]: all mood and no movie . <SPLIT>[[[[Label_0]]]]: negative<SPLIT>[[[[Example_1]]]]: brings an irresistible blend of warmth and [[humor]] and a consistent [[embracing]] [[humanity]] in the face of life 's harshness <SPLIT>[[[[Label_1]]]]: positive<SPLIT>[[[[Example_2]]]]: has been sacrificed for the sake of [[spectacle]] <SPLIT>[[[[Label_2]]]]: negative<SPLIT>[[[[Example_3]]]]: emerges with yet another remarkable yet shockingly little-known perspective . <SPLIT>[[[[Label_3]]]]: positive<SPLIT>[[[[Example_4]]]]: 's a [[terrible]] movie in every regard <SPLIT>[[[[Label_4]]]]: negative<SPLIT>[[[[Example_5]]]]: are very , very good reasons <SPLIT>[[[[Label_5]]]]: positive<SPLIT>[[[[Example_6]]]]: 'd be hard put to find a movie character more unattractive or odorous ( than [[leon]] ) <SPLIT>[[[[Label_6]]]]: negative<SPLIT>[[[[Example_7]]]]: the ya-ya sisterhood <SPLIT>[[[[Label_7]]]]: positive","[[[[Sentence]]]]: you do n't have to know about music to appreciate the film 's easygoing blend of comedy and romance . <SPLIT>[[[[Example_0]]]]: all mood and no movie . <SPLIT>[[[[Label_0]]]]: negative<SPLIT>[[[[Example_1]]]]: brings an irresistible blend of warmth and [[mood]] and a consistent [[embrace]] [[հumanity]] in the face of life 's harshness <SPLIT>[[[[Label_1]]]]: positive<SPLIT>[[[[Example_2]]]]: has been sacrificed for the sake of [[displaying]] <SPLIT>[[[[Label_2]]]]: negative<SPLIT>[[[[Example_3]]]]: emerges with yet another remarkable yet shockingly little-known perspective . <SPLIT>[[[[Label_3]]]]: positive<SPLIT>[[[[Example_4]]]]: 's a [[terribⅼe]] movie in every regard <SPLIT>[[[[Label_4]]]]: negative<SPLIT>[[[[Example_5]]]]: are very , very good reasons <SPLIT>[[[[Label_5]]]]: positive<SPLIT>[[[[Example_6]]]]: 'd be hard put to find a movie character more unattractive or odorous ( than [[leоn]] ) <SPLIT>[[[[Label_6]]]]: negative<SPLIT>[[[[Example_7]]]]: the ya-ya sisterhood <SPLIT>[[[[Label_7]]]]: positive",0.06754672527313232,0.34864509105682373,1,1,1,323,"Failed"
"[[[[Sentence]]]]: in exactly 89 minutes , most of which passed as slowly as if i 'd been sitting naked on an igloo , formula 51 sank from quirky to jerky to utter turkey . <SPLIT>[[[[Example_0]]]]: all mood and no movie . <SPLIT>[[[[Label_0]]]]: negative<SPLIT>[[[[Example_1]]]]: brings an irresistible blend of warmth and [[humor]] and a consistent embracing humanity in the [[face]] of life 's [[harshness]] <SPLIT>[[[[Label_1]]]]: positive<SPLIT>[[[[Example_2]]]]: has been sacrificed for the sake of [[spectacle]] <SPLIT>[[[[Label_2]]]]: negative<SPLIT>[[[[Example_3]]]]: emerges with yet [[another]] remarkable yet shockingly [[little-known]] perspective . <SPLIT>[[[[Label_3]]]]: positive<SPLIT>[[[[Example_4]]]]: 's a [[terrible]] movie in every regard <SPLIT>[[[[Label_4]]]]: negative<SPLIT>[[[[Example_5]]]]: are very , very good reasons <SPLIT>[[[[Label_5]]]]: positive<SPLIT>[[[[Example_6]]]]: 'd be [[hard]] put to find a movie character more unattractive or odorous ( than leon ) <SPLIT>[[[[Label_6]]]]: negative<SPLIT>[[[[Example_7]]]]: the ya-ya sisterhood <SPLIT>[[[[Label_7]]]]: positive","[[[[Sentence]]]]: in exactly 89 minutes , most of which passed as slowly as if i 'd been sitting naked on an igloo , formula 51 sank from quirky to jerky to utter turkey . <SPLIT>[[[[Example_0]]]]: all mood and no movie . <SPLIT>[[[[Label_0]]]]: negative<SPLIT>[[[[Example_1]]]]: brings an irresistible blend of warmth and [[hu]] [[mor]] and a consistent embracing humanity in the [[faϲe]] of life 's [[harshոess]] <SPLIT>[[[[Label_1]]]]: positive<SPLIT>[[[[Example_2]]]]: has been sacrificed for the sake of [[displaying]] <SPLIT>[[[[Label_2]]]]: negative<SPLIT>[[[[Example_3]]]]: emerges with yet [[latter]] remarkable yet shockingly [[little-knoԝn]] perspective . <SPLIT>[[[[Label_3]]]]: positive<SPLIT>[[[[Example_4]]]]: 's a [[terriblе]] movie in every regard <SPLIT>[[[[Label_4]]]]: negative<SPLIT>[[[[Example_5]]]]: are very , very good reasons <SPLIT>[[[[Label_5]]]]: positive<SPLIT>[[[[Example_6]]]]: 'd be [[arduous]] put to find a movie character more unattractive or odorous ( than leon ) <SPLIT>[[[[Label_6]]]]: negative<SPLIT>[[[[Example_7]]]]: the ya-ya sisterhood <SPLIT>[[[[Label_7]]]]: positive",0.06754672527313232,0.4073333740234375,0,0,0,172,"Failed"
