"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"it 's a [[charming]] and often [[affecting]] journey . ","it 's a [[ϲharming]] and often [[afflicting]] journey . ",0.006692826747894287,0.8670357465744019,1,0,1,36,"Successful"
"unflinchingly [[bleak]] and desperate ","unflinchingly [[blaek]] and desperate ",0.34864509105682373,0.7057850360870361,0,1,0,16,"Successful"
"allows us to [[hope]] that nolan is poised to embark a major career as a commercial yet [[inventive]] [[filmmaker]] . ","allows us to [[hoped]] that nolan is poised to embark a major career as a commercial yet [[inveոtive]] [[cinematographer]] . ",0.03308594226837158,0.10669058561325073,1,1,1,58,"Failed"
"the [[acting]] , costumes , music , cinematography and sound are all [[astounding]] [[given]] the production 's austere locales . ","the [[actinɡ]] , costumes , music , cinematography and sound are all [[as𝚝ounding]] [[gave]] the production 's austere locales . ",0.008577525615692139,0.13296425342559814,1,1,1,53,"Failed"
"it 's slow -- very , very [[slow]] . ","it 's slow -- very , very [[decelerate]] . ",0.13296425342559814,0.29421496391296387,0,0,0,15,"Failed"
"although [[laced]] with humor and a few [[fanciful]] touches , the film is a [[refreshingly]] serious look at young women . ","although [[laecd]] with humor and a few [[imaginative]] touches , the film is a [[neatly]] serious look at young women . ",0.06008666753768921,0.2689414620399475,1,1,1,83,"Failed"
"a sometimes [[tedious]] film . ","a sometimes [[pesky]] film . ",0.04742586612701416,0.18242555856704712,0,0,0,18,"Failed"
"or doing [[last]] [[year]] 's taxes with your ex-wife . ","or doing [[lastly]] [[уear]] 's taxes with your ex-wife . ",0.34864509105682373,0.43782347440719604,0,0,0,27,"Failed"
"you do [[n't]] have to [[know]] about music to appreciate the film 's easygoing blend of comedy and [[romance]] . ","you do [[n'𝚝]] have to [[soaps]] about music to appreciate the film 's easygoing blend of comedy and [[rmance]] . ",0.03308594226837158,0.18242555856704712,1,1,1,39,"Failed"
"in exactly 89 [[minutes]] , most of which [[passed]] as slowly as if i 'd been sitting naked on an igloo , [[formula]] 51 [[sank]] from [[quirky]] to jerky to utter turkey . ","in exactly 89 [[minսtes]] , most of which [[passeԁ]] as slowly as if i 'd been sitting naked on an igloo , [[forms]] 51 [[san𝒌]] from [[lunatic]] to jerky to utter turkey . ",0.012431681156158447,0.18242555856704712,0,0,0,81,"Failed"
"the mesmerizing [[performances]] of the leads [[keep]] the film grounded and keep the audience [[riveted]] . ","the mesmerizing [[spectacles]] of the leads [[keeping]] the film grounded and keep the audience [[rive𝚝ed]] . ",0.00522005558013916,0.06008666753768921,1,1,1,54,"Failed"
"it [[takes]] a strange kind of [[laziness]] to [[waste]] the talents of robert forster , anne meara , eugene levy , and reginald veljohnson all in the same movie . ","it [[tɑkes]] a strange kind of [[idleness]] to [[wsate]] the talents of robert forster , anne meara , eugene levy , and reginald veljohnson all in the same movie . ",0.11920297145843506,0.6224592924118042,0,1,0,55,"Successful"
"... the [[film]] suffers from a lack of [[humor]] ( something needed to balance out the [[violence]] ) ... ","... the [[cinema]] suffers from a lack of [[humoⲅ]] ( something needed to balance out the [[mistreatment]] ) ... ",0.07585817575454712,0.377540647983551,0,0,0,40,"Failed"
"we [[root]] for ( clara and paul ) , even like them , though perhaps it 's an emotion [[closer]] to pity . ","we [[origins]] for ( clara and paul ) , even like them , though perhaps it 's an emotion [[coser]] to pity . ",0.2227001190185547,0.5,1,0,1,47,"Successful"
"even horror fans will most likely not find what they 're seeking with trouble every day ; the movie [[lacks]] both thrills and humor . ","even horror fans will most likely not find what they 're seeking with trouble every day ; the movie [[dearth]] both thrills and humor . ",0.07585817575454712,0.5621764659881592,0,1,0,26,"Successful"
