"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"lovingly photographed in the manner of a golden book sprung to [[life]] , stuart little 2 [[manages]] [[sweetness]] largely without stickiness .","lovingly photographed in the manner of a golden book sprung to [[inhabit]] , stuart little 2 [[management]] [[softness]] largely without stickiness .",0.004609584808349609,0.377540647983551,1,1,1,66,"Failed"
"consistently [[clever]] and suspenseful .","consistently [[cleverer]] and suspenseful .",0.008577525615692139,0.02595740556716919,1,1,1,14,"Failed"
"it's like a "" big [[chill]] "" reunion of the baader-meinhof [[gang]] , only these guys are more harmless [[pranksters]] than political activists .","it's like a "" big [[refrigeration]] "" reunion of the baader-meinhof [[gangs]] , only these guys are more harmless [[vandals]] than political activists .",0.2689414620399475,0.43782347440719604,1,1,1,38,"Failed"
"the story gives ample opportunity for large-scale [[action]] and [[suspense]] , which director shekhar kapur supplies with [[tremendous]] skill .","the story gives ample opportunity for large-scale [[measurements]] and [[waiting]] , which director shekhar kapur supplies with [[sizable]] skill .",0.014063596725463867,0.11920297145843506,1,1,1,91,"Failed"
"red dragon "" never cuts [[corners]] .","red dragon "" never cuts [[coins]] .",0.03308594226837158,0.5621764659881592,1,0,1,11,"Successful"
"fresnadillo [[has]] something serious to [[say]] about the ways in which extravagant chance can distort our perspective and throw us off the path of good [[sense]] .","fresnadillo [[haya]] something serious to [[cite]] about the ways in which extravagant chance can distort our perspective and throw us off the path of good [[sentiment]] .",0.022977352142333984,0.5,1,0,1,92,"Successful"
"throws in enough clever and [[unexpected]] twists to make the [[formula]] feel fresh .","throws in enough clever and [[unwanted]] twists to make the [[phraseology]] feel fresh .",0.01590639352798462,0.46879059076309204,1,1,1,49,"Failed"
"weighty and ponderous but [[every]] bit as filling as the treat of the title .","weighty and ponderous but [[any]] bit as filling as the treat of the title .",0.05340331792831421,0.6224592924118042,1,0,1,11,"Successful"
"a [[real]] audience-pleaser that will [[strike]] a chord with anyone who's ever [[waited]] in a doctor's office , emergency room , hospital bed or insurance company [[office]] .","a [[pragmatic]] audience-pleaser that will [[bombard]] a chord with anyone who's ever [[projected]] in a doctor's office , emergency room , hospital bed or insurance company [[bureaus]] .",0.008577525615692139,0.43782347440719604,1,1,1,97,"Failed"
"generates an [[enormous]] feeling of [[empathy]] for its characters .","generates an [[dreaded]] feeling of [[condolence]] for its characters .",0.008577525615692139,0.9149009585380554,1,0,1,67,"Successful"
"exposing the [[ways]] we fool ourselves is one [[hour]] photo's real strength .","exposing the [[boulevards]] we fool ourselves is one [[moment]] photo's real strength .",0.06008666753768921,0.2018132209777832,1,1,1,48,"Failed"
"it's up to you to decide whether to admire these people's dedication to their cause or be repelled by their dogmatism , manipulativeness and narrow , fearful [[view]] of american life .","it's up to you to decide whether to admire these people's dedication to their cause or be repelled by their dogmatism , manipulativeness and narrow , fearful [[views]] of american life .",0.18242555856704712,0.5312093496322632,1,0,1,48,"Successful"
"mostly , [goldbacher] just [[lets]] her complicated [[characters]] be [[unruly]] , confusing and , through it all , human .","mostly , [goldbacher] just [[entitles]] her complicated [[character]] be [[sloppy]] , confusing and , through it all , human .",0.022977352142333984,0.46879059076309204,1,1,1,63,"Failed"
". . . quite [[good]] at providing some good old fashioned [[spooks]] .",". . . quite [[proper]] at providing some good old fashioned [[infiltrators]] .",0.02931225299835205,0.2018132209777832,1,1,1,27,"Failed"
"at its worst , the movie is pretty diverting ; the pity is that it rarely achieves its best .","at its worst , the movie is pretty diverting ; the pity is that it rarely achieves its best .",0.6791787147521973,0.6791787147521973,0,0,1,1,"Skipped"
"scherfig's light-hearted profile of emotional desperation is achingly [[honest]] and [[delightfully]] cheeky .","scherfig's light-hearted profile of emotional desperation is achingly [[trusty]] and [[astonishingly]] cheeky .",0.006692826747894287,0.03308594226837158,1,1,1,63,"Failed"
"a journey [[spanning]] nearly three decades of bittersweet camaraderie and [[history]] , in which we [[feel]] that we [[truly]] know what makes holly and marina tick , and our [[hearts]] go out to them as both continue to negotiate their [[imperfect]] , love-hate [[relationship]] .","a journey [[expansion]] nearly three decades of bittersweet camaraderie and [[historian]] , in which we [[thinks]] that we [[earnestly]] know what makes holly and marina tick , and our [[cardiology]] go out to them as both continue to negotiate their [[deficient]] , love-hate [[coitus]] .",0.004070103168487549,0.11920297145843506,1,1,1,191,"Failed"
"the wonderfully lush morvern callar is pure [[punk]] existentialism , and ms . ramsay and her co-writer , liana dognini , have dramatized the alan warner novel , which itself felt like an [[answer]] to irvine welsh's book trainspotting .","the wonderfully lush morvern callar is pure [[wanker]] existentialism , and ms . ramsay and her co-writer , liana dognini , have dramatized the alan warner novel , which itself felt like an [[cope]] to irvine welsh's book trainspotting .",0.010986924171447754,0.5926665663719177,1,0,1,70,"Successful"
"as it turns out , you can [[go]] home again .","as it turns out , you can [[spend]] home again .",0.02931225299835205,0.5312093496322632,1,0,1,14,"Successful"
"you've already seen city by the sea under a variety of titles , but it's [[worth]] yet another visit .","you've already seen city by the sea under a variety of titles , but it's [[amounting]] yet another visit .",0.0179862380027771,0.5926665663719177,1,0,1,13,"Successful"
"this kind of hands-on [[storytelling]] is ultimately what makes shanghai ghetto [[move]] beyond a good , [[dry]] , reliable textbook and what allows it to [[rank]] with its worthy [[predecessors]] .","this kind of hands-on [[historian]] is ultimately what makes shanghai ghetto [[moved]] beyond a good , [[ces]] , reliable textbook and what allows it to [[category]] with its worthy [[ancestry]] .",0.010986924171447754,0.06754672527313232,1,1,1,108,"Failed"
"making such a tragedy the backdrop to a love story [[risks]] trivializing it , though chouraqui no doubt intended the film to affirm love's power to help people endure almost unimaginable horror .","making such a tragedy the backdrop to a love story [[risk]] trivializing it , though chouraqui no doubt intended the film to affirm love's power to help people endure almost unimaginable horror .",0.29421496391296387,0.6224592924118042,1,0,1,42,"Successful"
"grown-up quibbles are beside the point here . the [[little]] girls [[understand]] , and mccracken [[knows]] that's all that matters .","grown-up quibbles are beside the point here . the [[scant]] girls [[hear]] , and mccracken [[realizes]] that's all that matters .",0.012431681156158447,0.16451644897460938,1,1,1,57,"Failed"
