"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"how [[far]] is it from denver to [[aspen]] ?","how [[eminently]] is it from denver to [[espn]] ?",0.00983881950378418,0.18808555603027344,5,5,5,26,"Failed"
"what [[county]] is modesto , california in ?","what [[arrondissement]] is modesto , california in ?",0.008254468441009521,0.07045853137969971,4,4,4,20,"Failed"
"who was [[galileo]] ?","who was [[galilee]] ?",0.10714763402938843,0.16132521629333496,3,3,3,5,"Failed"
"what is an [[atom]] ?","what is an [[protons]] ?",0.1431434154510498,0.422723650932312,2,2,2,7,"Failed"
"when did hawaii become a [[state]] ?","when did hawaii become a [[country]] ?",0.14582931995391846,0.22127068042755127,5,5,5,14,"Failed"
"how [[tall]] is the sears building ?","how [[jacob]] is the sears building ?",0.1964946985244751,0.7514981031417847,5,2,5,11,"Successful"
"george bush purchased a small interest in which baseball team ?","george bush purchased a small interest in which baseball team ?",0.6223768591880798,0.6223768591880798,4,4,3,1,"Skipped"
"what is australia 's national flower ?","what is australia 's national flower ?",0.9999567270278931,0.9999567270278931,4,4,1,1,"Skipped"
"why does the [[moon]] turn orange ?","why does the [[moun]] turn orange ?",0.09774798154830933,0.15094012022018433,2,2,2,15,"Failed"
"what is [[autism]] ?","what is [[asperger]] ?",0.10575902462005615,0.33099591732025146,2,2,2,4,"Failed"
"what [[city]] had a world [[fair]] in 1900 ?","what [[townships]] had a world [[equity]] in 1900 ?",0.018244504928588867,0.3076763153076172,4,4,4,37,"Failed"
"what [[person]] 's head is on a dime ?","what [[someone]] 's head is on a dime ?",0.1601586937904358,0.9454222917556763,3,2,3,18,"Successful"
"what is the average [[weight]] of a yellow [[labrador]] ?","what is the average [[brunt]] of a yellow [[pooch]] ?",0.037753403186798096,0.40331512689590454,5,5,5,37,"Failed"
"who was the first [[man]] to [[fly]] across the pacific ocean ?","who was the first [[folks]] to [[rob]] across the pacific ocean ?",0.07318729162216187,0.2862517237663269,3,3,3,68,"Failed"
"when did idaho become a [[state]] ?","when did idaho become a [[country]] ?",0.15919071435928345,0.2403113842010498,5,5,5,14,"Failed"
"what is the [[life]] expectancy for [[crickets]] ?","what is the [[lifestyles]] expectancy for [[roaches]] ?",0.016616404056549072,0.3093835115432739,5,5,5,24,"Failed"
"what metal has the highest melting point ?","what metal has the highest melting point ?",0.9999551773071289,0.9999551773071289,5,5,1,1,"Skipped"
"who [[developed]] the vaccination against polio ?","who [[readies]] the vaccination against polio ?",0.027997493743896484,0.06701046228408813,3,3,3,48,"Failed"
"what is [[epilepsy]] ?","what is [[seizures]] ?",0.0891534686088562,0.1901794672012329,2,2,2,5,"Failed"
"what [[year]] did the titanic sink ?","what [[sunni]] did the titanic sink ?",0.06378668546676636,0.987524688243866,5,3,5,14,"Successful"
"who was the first american to [[walk]] in [[space]] ?","who was the first american to [[eglantine]] in [[spacing]] ?",0.05793970823287964,0.11699318885803223,3,3,3,21,"Failed"
"what is a biosphere ?","what is a biosphere ?",0.4726499319076538,0.4726499319076538,2,2,2,4,"Failed"
"what [[river]] in the us is [[known]] as the big muddy ?","what [[revere]] in the us is [[celebrated]] as the big muddy ?",0.07357221841812134,0.26364004611968994,4,4,4,29,"Failed"
"what is bipolar [[disorder]] ?","what is bipolar [[mayhem]] ?",0.09505856037139893,0.32267093658447266,2,2,2,53,"Failed"
"what is [[cholesterol]] ?","what is [[diabetics]] ?",0.1062726378440857,0.26701658964157104,2,2,2,6,"Failed"
"who [[developed]] the macintosh computer ?","who [[readies]] the macintosh computer ?",0.03149467706680298,0.1129375696182251,3,3,3,44,"Failed"
"what is [[caffeine]] ?","what is [[coffeemaker]] ?",0.22364813089370728,0.5833895206451416,2,2,2,6,"Failed"
"what [[imaginary]] [[line]] is halfway between the north and south poles ?","what [[deceptive]] [[harmony]] is halfway between the north and south poles ?",0.06383466720581055,0.5406303405761719,4,4,4,33,"Failed"
"where is john wayne [[airport]] ?","where is john wayne [[airfields]] ?",0.0011415481567382812,0.00335538387298584,4,4,4,9,"Failed"
"what hemisphere is the [[philippines]] in ?","what hemisphere is the [[fei]] in ?",0.08957308530807495,0.236577570438385,4,4,4,8,"Failed"
"what is the average [[speed]] of the horses at the kentucky [[derby]] ?","what is the average [[rhythms]] of the horses at the kentucky [[nottingham]] ?",0.007099270820617676,0.3060539960861206,5,5,5,45,"Failed"
"where are the rocky [[mountains]] ?","where are the rocky [[berg]] ?",0.013261079788208008,0.02428460121154785,4,4,4,16,"Failed"
"what are [[invertebrates]] ?","what are [[fishes]] ?",0.1628326177597046,0.27420127391815186,2,2,2,8,"Failed"
"what is the [[temperature]] at the center of the earth ?","what is the [[wen]] at the center of the earth ?",0.03988611698150635,0.9057785868644714,5,4,5,15,"Successful"
"when [[did]] john f. kennedy get elected as [[president]] ?","when [[does]] john f. kennedy get elected as [[wheelchair]] ?",0.1655867099761963,0.8160876631736755,5,3,5,48,"Successful"
"how [[old]] was elvis presley when he [[died]] ?","how [[obsolete]] was elvis presley when he [[murders]] ?",0.05813568830490112,0.5568870306015015,5,5,5,50,"Failed"
"where is the orinoco [[river]] ?","where is the orinoco [[tributaries]] ?",0.0023179054260253906,0.01068568229675293,4,4,4,14,"Failed"
"how [[far]] is the service line from the net in tennis ?","how [[eminently]] is the service line from the net in tennis ?",0.015212059020996094,0.6075770854949951,5,2,5,22,"Successful"
"how much [[fiber]] should you have per [[day]] ?","how much [[fibre]] should you have per [[date]] ?",0.006818711757659912,0.011989176273345947,5,5,5,20,"Failed"
"how many great [[lakes]] are there ?","how many great [[lagos]] are there ?",0.029870033264160156,0.07081156969070435,5,5,5,9,"Failed"
"material called linen is made from what plant ?","material called linen is made from what plant ?",0.9997698664665222,0.9997698664665222,2,2,1,1,"Skipped"
"what is teflon ?","what is teflon ?",0.16669625043869019,0.16669625043869019,2,2,2,2,"Failed"
"what is amitriptyline ?","what is amitriptyline ?",0.2613446116447449,0.2613446116447449,2,2,2,2,"Failed"
"what is a [[shaman]] ?","what is a [[magic]] ?",0.31562352180480957,0.4711849093437195,2,2,2,13,"Failed"
"what is the proper name for a female walrus ?","what is the proper name for a female walrus ?",0.9998769164085388,0.9998769164085388,2,2,1,1,"Skipped"
"what is a group of turkeys called ?","what is a group of turkeys called ?",0.9999117255210876,0.9999117255210876,2,2,1,1,"Skipped"
"how [[long]] did rip van winkle [[sleep]] ?","how [[longer]] did rip van winkle [[dodo]] ?",0.027275383472442627,0.06062507629394531,5,5,5,22,"Failed"
"what are triglycerides ?","what are triglycerides ?",0.11625277996063232,0.11625277996063232,2,2,2,2,"Failed"
"how many liters in a [[gallon]] ?","how many liters in a [[litres]] ?",0.004275083541870117,0.014677882194519043,5,5,5,14,"Failed"
"what is the name of the chocolate company in san francisco ?","what is the name of the chocolate company in san francisco ?",0.9121594429016113,0.9121594429016113,4,4,3,1,"Skipped"
"what are [[amphibians]] ?","what are [[fishes]] ?",0.18104737997055054,0.27420127391815186,2,2,2,10,"Failed"
"who [[discovered]] x-rays ?","who [[seen]] x-rays ?",0.03361994028091431,0.21962255239486694,3,3,3,40,"Failed"
"which [[comedian]] 's [[signature]] line is `` can we talk '' ?","which [[hilarious]] 's [[sign]] line is `` can we talk '' ?",0.18653255701065063,0.9316144585609436,3,2,3,17,"Successful"
"what is fibromyalgia ?","what is fibromyalgia ?",0.09455955028533936,0.09455955028533936,2,2,2,2,"Failed"
"what is done with [[worn]] or outdated [[flags]] ?","what is done with [[spent]] or outdated [[flagged]] ?",0.4043511152267456,0.5867039561271667,2,2,2,44,"Failed"
"what [[does]] cc in engines mean ?","what [[wo]] cc in engines mean ?",0.3194347023963928,0.4627178907394409,2,2,2,18,"Failed"
"when did elvis presley [[die]] ?","when did elvis presley [[decease]] ?",0.3927656412124634,0.5381355881690979,5,5,5,43,"Failed"
"what is the [[capital]] of yugoslavia ?","what is the [[funding]] of yugoslavia ?",0.02343618869781494,0.9184432029724121,4,5,4,15,"Successful"
"where is [[milan]] ?","where is [[nancy]] ?",0.0035198330879211426,0.0336875319480896,4,4,4,12,"Failed"
"what is the [[speed]] hummingbirds fly ?","what is the [[rashness]] hummingbirds fly ?",0.005539059638977051,0.6447806358337402,5,5,5,31,"Failed"
"what is the [[oldest]] [[city]] in the united states ?","what is the [[longest]] [[stadt]] in the united states ?",0.036138176918029785,0.2310073971748352,4,4,4,31,"Failed"
"what was w.c. fields ' real [[name]] ?","what was w.c. fields ' real [[numbers]] ?",0.29676908254623413,0.833551824092865,3,5,3,34,"Successful"
"what [[river]] [[flows]] between fargo , north dakota and moorhead , minnesota ?","what [[revere]] [[corrientes]] between fargo , north dakota and moorhead , minnesota ?",0.013779759407043457,0.15951275825500488,4,4,4,33,"Failed"
"what do bats eat ?","what do bats eat ?",0.9999161958694458,0.9999161958694458,2,2,1,1,"Skipped"
"what [[state]] did the battle of [[bighorn]] take place in ?","what [[stat]] did the battle of [[trumpet]] take place in ?",0.011201560497283936,0.2233474850654602,4,4,4,19,"Failed"
"who was [[abraham]] lincoln ?","who was [[abe]] lincoln ?",0.10441869497299194,0.14069890975952148,3,3,3,7,"Failed"
"what do you call a newborn kangaroo ?","what do you call a newborn kangaroo ?",0.999910831451416,0.999910831451416,2,2,1,1,"Skipped"
"what are spider [[veins]] ?","what are spider [[ribs]] ?",0.13554680347442627,0.33819204568862915,2,2,2,8,"Failed"
"what day and month did john lennon [[die]] ?","what day and month did john lennon [[lives]] ?",0.6243509650230408,0.8230269551277161,5,4,5,45,"Successful"
"what [[strait]] separates north america from [[asia]] ?","what [[hae]] separates north america from [[matter]] ?",0.007225751876831055,0.06388896703720093,4,4,4,14,"Failed"
"what is the [[population]] of seattle ?","what is the [[canadian]] of seattle ?",0.044385552406311035,0.9986501932144165,5,4,5,21,"Successful"
"how [[much]] was a ticket for the [[titanic]] ?","how [[sizeable]] was a ticket for the [[herculean]] ?",0.005629122257232666,0.016015708446502686,5,5,5,9,"Failed"
"what is the largest [[city]] in the [[world]] ?","what is the largest [[linn]] in the [[universe]] ?",0.051178574562072754,0.42209571599960327,4,4,4,36,"Failed"
"what american composer wrote the [[music]] for `` west side [[story]] '' ?","what american composer wrote the [[lok]] for `` west side [[escudos]] '' ?",0.1362813115119934,0.3083871006965637,3,3,3,43,"Failed"
"where is the [[mall]] of the [[america]] ?","where is the [[shopper]] of the [[latin]] ?",0.002462148666381836,0.13777101039886475,4,4,4,19,"Failed"
"what is the ph scale ?","what is the ph scale ?",0.5713046789169312,0.5713046789169312,5,5,2,1,"Skipped"
"what type of currency is used in australia ?","what type of currency is used in australia ?",0.9998606443405151,0.9998606443405151,2,2,1,1,"Skipped"
"how [[tall]] is the gateway [[arch]] in st. louis , mo ?","how [[jacob]] is the gateway [[vaulting]] in st. louis , mo ?",0.015018224716186523,0.8308582305908203,5,2,5,22,"Successful"
"how much does the human adult female [[brain]] [[weigh]] ?","how much does the human adult female [[mastermind]] [[sinker]] ?",0.004138290882110596,0.0454174280166626,5,5,5,32,"Failed"
"who was the first [[governor]] of [[alaska]] ?","who was the first [[ruling]] of [[alabama]] ?",0.08393305540084839,0.21421754360198975,3,3,3,10,"Failed"
"what is a [[prism]] ?","what is a [[wedge]] ?",0.17389452457427979,0.3692101240158081,2,2,2,7,"Failed"
"when was the first liver [[transplant]] ?","when was the first liver [[grafted]] ?",0.12565487623214722,0.17928457260131836,5,5,5,14,"Failed"
"who was elected president of [[south]] [[africa]] in 1994 ?","who was elected president of [[southerly]] [[continents]] in 1994 ?",0.03848749399185181,0.09798693656921387,3,3,3,13,"Failed"
"what is the population of [[china]] ?","what is the population of [[porcelain]] ?",0.025800347328186035,0.13409292697906494,5,5,5,10,"Failed"
"when was rosa parks [[born]] ?","when was rosa parks [[weld]] ?",0.48872292041778564,0.7096363306045532,5,3,5,11,"Successful"
"why is a ladybug [[helpful]] ?","why is a ladybug [[worthwhile]] ?",0.09065419435501099,0.20575952529907227,2,2,2,19,"Failed"
"what is amoxicillin ?","what is amoxicillin ?",0.3090129494667053,0.3090129494667053,2,2,2,2,"Failed"
"who was the first female [[united]] states [[representative]] ?","who was the first female [[uni]] states [[portraying]] ?",0.06196790933609009,0.12957215309143066,3,3,3,22,"Failed"
"what are xerophytes ?","what are xerophytes ?",0.27550458908081055,0.27550458908081055,2,2,2,2,"Failed"
"what [[country]] did [[ponce]] de leon come from ?","what [[nationals]] did [[pons]] de leon come from ?",0.07709646224975586,0.4560689330101013,4,4,4,23,"Failed"
"the u.s. department of treasury first issued paper currency for the u.s. during which war ?","the u.s. department of treasury first issued paper currency for the u.s. during which war ?",0.9999606013298035,0.9999606013298035,5,5,1,1,"Skipped"
"what is desktop [[publishing]] ?","what is desktop [[released]] ?",0.073222815990448,0.8601641654968262,2,5,2,24,"Successful"
"what is the [[temperature]] of the sun 's surface ?","what is the [[weather]] of the sun 's surface ?",0.02458101511001587,0.9207141399383545,5,2,5,15,"Successful"
"what [[year]] did canada join the united nations ?","what [[sunni]] did canada join the united nations ?",0.03775525093078613,0.9398370981216431,5,3,5,16,"Successful"
"what is the oldest university in the us ?","what is the oldest university in the us ?",0.9645333886146545,0.9645333886146545,4,4,3,1,"Skipped"
"where is prince edward [[island]] ?","where is prince edward [[islander]] ?",0.002913057804107666,0.04007136821746826,4,4,4,16,"Failed"
"mercury , what [[year]] was it discovered ?","mercury , what [[sunni]] was it discovered ?",0.21187788248062134,0.949645459651947,5,3,5,13,"Successful"
"what is [[cryogenics]] ?","what is [[cryonics]] ?",0.07485675811767578,0.0988776683807373,2,2,2,3,"Failed"
"what are coral reefs ?","what are coral reefs ?",0.5344600677490234,0.5344600677490234,4,4,2,1,"Skipped"
"what is the longest major league baseball-winning streak ?","what is the longest major league baseball-winning streak ?",0.9999971389770508,0.9999971389770508,5,5,1,1,"Skipped"
