"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"how [[far]] is it from denver to aspen ?","how [[eminently]] is it from denver to aspen ?",0.2491081953048706,0.830662190914154,5,0,5,20,"Successful"
"what [[county]] is modesto , california in ?","what [[townships]] is modesto , california in ?",0.029724717140197754,0.27643370628356934,4,4,4,20,"Failed"
"who was [[galileo]] ?","who was [[galilee]] ?",0.4224376678466797,0.8469772338867188,3,1,3,5,"Successful"
"what is an [[atom]] ?","what is an [[protons]] ?",0.46255433559417725,0.8320420980453491,2,1,2,7,"Successful"
"when did hawaii become a [[state]] ?","when did hawaii become a [[country]] ?",0.3116934895515442,0.41338127851486206,5,5,5,14,"Failed"
"how [[tall]] is the sears building ?","how [[jacob]] is the sears building ?",0.24705249071121216,0.9758598804473877,5,0,5,11,"Successful"
"george bush purchased a small interest in which baseball team ?","george bush purchased a small interest in which baseball team ?",0.8919185400009155,0.8919185400009155,1,1,3,1,"Skipped"
"what is australia 's national [[flower]] ?","what is australia 's national [[flourish]] ?",0.34851938486099243,0.9750093817710876,1,0,1,38,"Successful"
"why does the [[moon]] turn orange ?","why does the [[window]] turn orange ?",0.16141951084136963,0.36238354444503784,2,2,2,15,"Failed"
"what is [[autism]] ?","what is [[asperger]] ?",0.5394033193588257,0.7679260969161987,2,0,2,4,"Successful"
"what [[city]] had a world [[fair]] in 1900 ?","what [[cities]] had a world [[justo]] in 1900 ?",0.034964799880981445,0.6269524097442627,4,4,4,37,"Failed"
"what person 's head is on a dime ?","what person 's head is on a dime ?",0.8105283975601196,0.8105283975601196,1,1,3,1,"Skipped"
"what is the average weight of a yellow [[labrador]] ?","what is the average weight of a yellow [[pooch]] ?",0.1847206950187683,0.8194769620895386,5,1,5,23,"Successful"
"who was the first man to [[fly]] across the [[pacific]] ocean ?","who was the first man to [[shoplift]] across the [[tranquil]] ocean ?",0.3024374842643738,0.6377059817314148,3,2,3,55,"Successful"
"when did idaho become a [[state]] ?","when did idaho become a [[stat]] ?",0.2839725613594055,0.45379042625427246,5,5,5,14,"Failed"
"what is the life expectancy for [[crickets]] ?","what is the life expectancy for [[roaches]] ?",0.38119518756866455,0.8154287934303284,5,1,5,13,"Successful"
"what metal has the [[highest]] melting [[point]] ?","what metal has the [[upstairs]] melting [[remark]] ?",0.399885356426239,0.6085172891616821,1,0,1,51,"Successful"
"who developed the vaccination against [[polio]] ?","who developed the vaccination against [[measles]] ?",0.17935025691986084,0.19851422309875488,3,3,3,8,"Failed"
"what is [[epilepsy]] ?","what is [[seizures]] ?",0.4319384694099426,0.5864070653915405,2,1,2,5,"Successful"
"what [[year]] did the titanic sink ?","what [[sunni]] did the titanic sink ?",0.14202666282653809,0.9988467693328857,5,1,5,14,"Successful"
"who was the first american to [[walk]] in [[space]] ?","who was the first american to [[walking]] in [[spacing]] ?",0.24089288711547852,0.36507248878479004,3,3,3,21,"Failed"
"what is a biosphere ?","what is a biosphere ?",0.5472593307495117,0.5472593307495117,2,2,2,4,"Failed"
"what [[river]] in the us is known as the big muddy ?","what [[revere]] in the us is known as the big muddy ?",0.5413959622383118,0.8983362913131714,4,0,4,17,"Successful"
"what is bipolar [[disorder]] ?","what is bipolar [[mess]] ?",0.36353641748428345,0.8614043593406677,2,0,2,53,"Successful"
"what is [[cholesterol]] ?","what is [[insulin]] ?",0.6109714508056641,0.8287001848220825,2,0,2,6,"Successful"
"who [[developed]] the macintosh computer ?","who [[readies]] the macintosh computer ?",0.1439719796180725,0.5427771210670471,3,3,3,44,"Failed"
"what is caffeine ?","what is caffeine ?",0.8940826654434204,0.8940826654434204,0,0,2,1,"Skipped"
"what imaginary line is halfway between the north and south poles ?","what imaginary line is halfway between the north and south poles ?",0.9533118605613708,0.9533118605613708,0,0,4,1,"Skipped"
"where is john wayne [[airport]] ?","where is john wayne [[airports]] ?",0.016747474670410156,0.025070667266845703,4,4,4,9,"Failed"
"what hemisphere is the [[philippines]] in ?","what hemisphere is the [[fei]] in ?",0.24010974168777466,0.9288457632064819,4,0,4,8,"Successful"
"what is the average [[speed]] of the horses at the kentucky [[derby]] ?","what is the average [[airspeed]] of the horses at the kentucky [[nottingham]] ?",0.05345052480697632,0.5229736566543579,5,5,5,45,"Failed"
"where are the rocky [[mountains]] ?","where are the rocky [[gore]] ?",0.038854360580444336,0.1420765519142151,4,4,4,16,"Failed"
"what are invertebrates ?","what are invertebrates ?",0.6140198707580566,0.6140198707580566,1,1,2,1,"Skipped"
"what is the [[temperature]] at the center of the earth ?","what is the [[wen]] at the center of the earth ?",0.40311241149902344,0.999428927898407,5,0,5,15,"Successful"
"when did john f. kennedy get elected as [[president]] ?","when did john f. kennedy get elected as [[wheelchair]] ?",0.1405506730079651,0.6930042505264282,5,0,5,31,"Successful"
"how [[old]] was elvis presley when he died ?","how [[obsolete]] was elvis presley when he died ?",0.11292529106140137,0.9435102939605713,5,2,5,12,"Successful"
"where is the orinoco [[river]] ?","where is the orinoco [[waters]] ?",0.02596879005432129,0.08018314838409424,4,4,4,14,"Failed"
"how [[far]] is the service line from the net in tennis ?","how [[eminently]] is the service line from the net in tennis ?",0.08110231161117554,0.9827474355697632,5,2,5,22,"Successful"
"how [[much]] fiber should you have per [[day]] ?","how [[mucho]] fiber should you have per [[hoy]] ?",0.23262381553649902,0.9200723171234131,5,0,5,30,"Successful"
"how many great [[lakes]] are there ?","how many great [[lagos]] are there ?",0.05764782428741455,0.3041604161262512,5,5,5,9,"Failed"
"material called linen is made from what [[plant]] ?","material called linen is made from what [[facility]] ?",0.15838831663131714,0.7160216569900513,1,0,1,26,"Successful"
"what is teflon ?","what is teflon ?",0.9167063236236572,0.9167063236236572,0,0,2,1,"Skipped"
"what is amitriptyline ?","what is amitriptyline ?",0.8387175798416138,0.8387175798416138,1,1,2,1,"Skipped"
"what is a shaman ?","what is a shaman ?",0.7203918099403381,0.7203918099403381,1,1,2,1,"Skipped"
