"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"[[[[Sentence]]]]: it 's a charming and often affecting journey . <SPLIT>[[[[Example_0]]]]: is charming <SPLIT>[[[[Label_0]]]]: positive<SPLIT>[[[[Example_1]]]]: that work -- is charming , is moving <SPLIT>[[[[Label_1]]]]: positive<SPLIT>[[[[Example_2]]]]: its charm <SPLIT>[[[[Label_2]]]]: positive<SPLIT>[[[[Example_3]]]]: the journey is such a mesmerizing one <SPLIT>[[[[Label_3]]]]: positive<SPLIT>[[[[Example_4]]]]: charming and evoking <SPLIT>[[[[Label_4]]]]: positive<SPLIT>[[[[Example_5]]]]: charming , <SPLIT>[[[[Label_5]]]]: positive<SPLIT>[[[[Example_6]]]]: , charming <SPLIT>[[[[Label_6]]]]: positive<SPLIT>[[[[Example_7]]]]: its charms <SPLIT>[[[[Label_7]]]]: positive","[[[[Sentence]]]]: it 's a charming and often affecting journey . <SPLIT>[[[[Example_0]]]]: is charming <SPLIT>[[[[Label_0]]]]: positive<SPLIT>[[[[Example_1]]]]: that work -- is charming , is moving <SPLIT>[[[[Label_1]]]]: positive<SPLIT>[[[[Example_2]]]]: its charm <SPLIT>[[[[Label_2]]]]: positive<SPLIT>[[[[Example_3]]]]: the journey is such a mesmerizing one <SPLIT>[[[[Label_3]]]]: positive<SPLIT>[[[[Example_4]]]]: charming and evoking <SPLIT>[[[[Label_4]]]]: positive<SPLIT>[[[[Example_5]]]]: charming , <SPLIT>[[[[Label_5]]]]: positive<SPLIT>[[[[Example_6]]]]: , charming <SPLIT>[[[[Label_6]]]]: positive<SPLIT>[[[[Example_7]]]]: its charms <SPLIT>[[[[Label_7]]]]: positive",0.004070103168487549,0.004070103168487549,1,1,1,1,"Failed"
"[[[[Sentence]]]]: unflinchingly bleak and desperate <SPLIT>[[[[Example_0]]]]: unrelenting bleak insistence <SPLIT>[[[[Label_0]]]]: negative<SPLIT>[[[[Example_1]]]]: unrelentingly grim -- <SPLIT>[[[[Label_1]]]]: negative<SPLIT>[[[[Example_2]]]]: this unrelenting bleak insistence <SPLIT>[[[[Label_2]]]]: negative<SPLIT>[[[[Example_3]]]]: so bleak <SPLIT>[[[[Label_3]]]]: negative<SPLIT>[[[[Example_4]]]]: is so bleak <SPLIT>[[[[Label_4]]]]: negative<SPLIT>[[[[Example_5]]]]: depressing , ruthlessly pained <SPLIT>[[[[Label_5]]]]: negative<SPLIT>[[[[Example_6]]]]: desperate <SPLIT>[[[[Label_6]]]]: negative<SPLIT>[[[[Example_7]]]]: dreary and <SPLIT>[[[[Label_7]]]]: negative","[[[[Sentence]]]]: unflinchingly bleak and desperate <SPLIT>[[[[Example_0]]]]: unrelenting bleak insistence <SPLIT>[[[[Label_0]]]]: negative<SPLIT>[[[[Example_1]]]]: unrelentingly grim -- <SPLIT>[[[[Label_1]]]]: negative<SPLIT>[[[[Example_2]]]]: this unrelenting bleak insistence <SPLIT>[[[[Label_2]]]]: negative<SPLIT>[[[[Example_3]]]]: so bleak <SPLIT>[[[[Label_3]]]]: negative<SPLIT>[[[[Example_4]]]]: is so bleak <SPLIT>[[[[Label_4]]]]: negative<SPLIT>[[[[Example_5]]]]: depressing , ruthlessly pained <SPLIT>[[[[Label_5]]]]: negative<SPLIT>[[[[Example_6]]]]: desperate <SPLIT>[[[[Label_6]]]]: negative<SPLIT>[[[[Example_7]]]]: dreary and <SPLIT>[[[[Label_7]]]]: negative",0.004070103168487549,0.004070103168487549,0,0,0,1,"Failed"
"[[[[Sentence]]]]: allows us to hope that nolan is poised to embark a major career as a commercial yet inventive filmmaker . <SPLIT>[[[[Example_0]]]]: a filmmaker with a bright future ahead of him <SPLIT>[[[[Label_0]]]]: positive<SPLIT>[[[[Example_1]]]]: has stepped into the mainstream of filmmaking with an assurance worthy of international acclaim and with every cinematic tool well under his control <SPLIT>[[[[Label_1]]]]: positive<SPLIT>[[[[Example_2]]]]: has stepped into the mainstream of filmmaking with an assurance worthy of international acclaim and with every cinematic tool well under his control -- <SPLIT>[[[[Label_2]]]]: positive<SPLIT>[[[[Example_3]]]]: nolan proves that he can cross swords with the best of them and helm a more traditionally plotted popcorn thriller while surrendering little of his intellectual rigor or creative composure . <SPLIT>[[[[Label_3]]]]: positive<SPLIT>[[[[Example_4]]]]: a major director is emerging in world cinema <SPLIT>[[[[Label_4]]]]: positive<SPLIT>[[[[Example_5]]]]: the mainstream of filmmaking with an assurance worthy of international acclaim <SPLIT>[[[[Label_5]]]]: positive<SPLIT>[[[[Example_6]]]]: be a breakthrough in filmmaking <SPLIT>[[[[Label_6]]]]: positive<SPLIT>[[[[Example_7]]]]: of filmmaking with an assurance worthy of international acclaim <SPLIT>[[[[Label_7]]]]: positive","[[[[Sentence]]]]: allows us to hope that nolan is poised to embark a major career as a commercial yet inventive filmmaker . <SPLIT>[[[[Example_0]]]]: a filmmaker with a bright future ahead of him <SPLIT>[[[[Label_0]]]]: positive<SPLIT>[[[[Example_1]]]]: has stepped into the mainstream of filmmaking with an assurance worthy of international acclaim and with every cinematic tool well under his control <SPLIT>[[[[Label_1]]]]: positive<SPLIT>[[[[Example_2]]]]: has stepped into the mainstream of filmmaking with an assurance worthy of international acclaim and with every cinematic tool well under his control -- <SPLIT>[[[[Label_2]]]]: positive<SPLIT>[[[[Example_3]]]]: nolan proves that he can cross swords with the best of them and helm a more traditionally plotted popcorn thriller while surrendering little of his intellectual rigor or creative composure . <SPLIT>[[[[Label_3]]]]: positive<SPLIT>[[[[Example_4]]]]: a major director is emerging in world cinema <SPLIT>[[[[Label_4]]]]: positive<SPLIT>[[[[Example_5]]]]: the mainstream of filmmaking with an assurance worthy of international acclaim <SPLIT>[[[[Label_5]]]]: positive<SPLIT>[[[[Example_6]]]]: be a breakthrough in filmmaking <SPLIT>[[[[Label_6]]]]: positive<SPLIT>[[[[Example_7]]]]: of filmmaking with an assurance worthy of international acclaim <SPLIT>[[[[Label_7]]]]: positive",0.004070103168487549,0.004070103168487549,1,1,1,1,"Failed"
"[[[[Sentence]]]]: the acting , costumes , music , cinematography and sound are all astounding given the production 's austere locales . <SPLIT>[[[[Example_0]]]]: its exquisite acting , inventive screenplay , mesmerizing music , and <SPLIT>[[[[Label_0]]]]: positive<SPLIT>[[[[Example_1]]]]: with its exquisite acting , inventive screenplay , mesmerizing music , and many inimitable scenes <SPLIT>[[[[Label_1]]]]: positive<SPLIT>[[[[Example_2]]]]: rom the performances and the cinematography to the outstanding soundtrack and unconventional narrative <SPLIT>[[[[Label_2]]]]: positive<SPLIT>[[[[Example_3]]]]: cinematography to the outstanding soundtrack and unconventional <SPLIT>[[[[Label_3]]]]: positive<SPLIT>[[[[Example_4]]]]: ( f ) rom the performances and the cinematography to the outstanding soundtrack and unconventional narrative , the film is blazingly alive and admirable on many levels . <SPLIT>[[[[Label_4]]]]: positive<SPLIT>[[[[Example_5]]]]: cinematography to the outstanding soundtrack <SPLIT>[[[[Label_5]]]]: positive<SPLIT>[[[[Example_6]]]]: its exquisite acting , inventive screenplay , <SPLIT>[[[[Label_6]]]]: positive<SPLIT>[[[[Example_7]]]]: the cinematography to the outstanding soundtrack and unconventional narrative <SPLIT>[[[[Label_7]]]]: positive","[[[[Sentence]]]]: the acting , costumes , music , cinematography and sound are all astounding given the production 's austere locales . <SPLIT>[[[[Example_0]]]]: its exquisite acting , inventive screenplay , mesmerizing music , and <SPLIT>[[[[Label_0]]]]: positive<SPLIT>[[[[Example_1]]]]: with its exquisite acting , inventive screenplay , mesmerizing music , and many inimitable scenes <SPLIT>[[[[Label_1]]]]: positive<SPLIT>[[[[Example_2]]]]: rom the performances and the cinematography to the outstanding soundtrack and unconventional narrative <SPLIT>[[[[Label_2]]]]: positive<SPLIT>[[[[Example_3]]]]: cinematography to the outstanding soundtrack and unconventional <SPLIT>[[[[Label_3]]]]: positive<SPLIT>[[[[Example_4]]]]: ( f ) rom the performances and the cinematography to the outstanding soundtrack and unconventional narrative , the film is blazingly alive and admirable on many levels . <SPLIT>[[[[Label_4]]]]: positive<SPLIT>[[[[Example_5]]]]: cinematography to the outstanding soundtrack <SPLIT>[[[[Label_5]]]]: positive<SPLIT>[[[[Example_6]]]]: its exquisite acting , inventive screenplay , <SPLIT>[[[[Label_6]]]]: positive<SPLIT>[[[[Example_7]]]]: the cinematography to the outstanding soundtrack and unconventional narrative <SPLIT>[[[[Label_7]]]]: positive",0.004070103168487549,0.004070103168487549,1,1,1,1,"Failed"
"[[[[Sentence]]]]: it 's slow -- very , very slow . <SPLIT>[[[[Example_0]]]]: very sluggish <SPLIT>[[[[Label_0]]]]: negative<SPLIT>[[[[Example_1]]]]: painfully slow <SPLIT>[[[[Label_1]]]]: negative<SPLIT>[[[[Example_2]]]]: rather slow <SPLIT>[[[[Label_2]]]]: negative<SPLIT>[[[[Example_3]]]]: slow <SPLIT>[[[[Label_3]]]]: negative<SPLIT>[[[[Example_4]]]]: takes a really long , slow and dreary time <SPLIT>[[[[Label_4]]]]: negative<SPLIT>[[[[Example_5]]]]: sluggish <SPLIT>[[[[Label_5]]]]: negative<SPLIT>[[[[Example_6]]]]: sluggish , <SPLIT>[[[[Label_6]]]]: negative<SPLIT>[[[[Example_7]]]]: really long , slow and dreary time <SPLIT>[[[[Label_7]]]]: negative","[[[[Sentence]]]]: it 's slow -- very , very slow . <SPLIT>[[[[Example_0]]]]: very sluggish <SPLIT>[[[[Label_0]]]]: negative<SPLIT>[[[[Example_1]]]]: painfully slow <SPLIT>[[[[Label_1]]]]: negative<SPLIT>[[[[Example_2]]]]: rather slow <SPLIT>[[[[Label_2]]]]: negative<SPLIT>[[[[Example_3]]]]: slow <SPLIT>[[[[Label_3]]]]: negative<SPLIT>[[[[Example_4]]]]: takes a really long , slow and dreary time <SPLIT>[[[[Label_4]]]]: negative<SPLIT>[[[[Example_5]]]]: sluggish <SPLIT>[[[[Label_5]]]]: negative<SPLIT>[[[[Example_6]]]]: sluggish , <SPLIT>[[[[Label_6]]]]: negative<SPLIT>[[[[Example_7]]]]: really long , slow and dreary time <SPLIT>[[[[Label_7]]]]: negative",0.02595740556716919,0.02595740556716919,0,0,0,1,"Failed"
"[[[[Sentence]]]]: although laced with humor and a few fanciful touches , the film is a refreshingly serious look at young women . <SPLIT>[[[[Example_0]]]]: the movie enters a realm where few non-porn films venture , and comes across as darkly funny , energetic , and surprisingly gentle . <SPLIT>[[[[Label_0]]]]: positive<SPLIT>[[[[Example_1]]]]: enters a realm where few non-porn films venture , and comes across as darkly funny , energetic , and surprisingly gentle <SPLIT>[[[[Label_1]]]]: positive<SPLIT>[[[[Example_2]]]]: the soul-searching deliberateness of the film , although leavened nicely with dry absurdist wit <SPLIT>[[[[Label_2]]]]: positive<SPLIT>[[[[Example_3]]]]: enters a realm where few non-porn films venture , and comes across as darkly funny , energetic , and surprisingly gentle . <SPLIT>[[[[Label_3]]]]: positive<SPLIT>[[[[Example_4]]]]: of light-heartedness , that makes it attractive throughout <SPLIT>[[[[Label_4]]]]: positive<SPLIT>[[[[Example_5]]]]: light-heartedness , that makes it attractive throughout <SPLIT>[[[[Label_5]]]]: positive<SPLIT>[[[[Example_6]]]]: the film is funny , insightfully human and a delightful lark for history buffs <SPLIT>[[[[Label_6]]]]: positive<SPLIT>[[[[Example_7]]]]: some of the visual flourishes are a little too obvious , but restrained and subtle storytelling , and fine performances make this delicate coming-of-age tale a treat <SPLIT>[[[[Label_7]]]]: positive","[[[[Sentence]]]]: although laced with humor and a few fanciful touches , the film is a refreshingly serious look at young women . <SPLIT>[[[[Example_0]]]]: the movie enters a realm where few non-porn films venture , and comes across as darkly funny , energetic , and surprisingly gentle . <SPLIT>[[[[Label_0]]]]: positive<SPLIT>[[[[Example_1]]]]: enters a realm where few non-porn films venture , and comes across as darkly funny , energetic , and surprisingly gentle <SPLIT>[[[[Label_1]]]]: positive<SPLIT>[[[[Example_2]]]]: the soul-searching deliberateness of the film , although leavened nicely with dry absurdist wit <SPLIT>[[[[Label_2]]]]: positive<SPLIT>[[[[Example_3]]]]: enters a realm where few non-porn films venture , and comes across as darkly funny , energetic , and surprisingly gentle . <SPLIT>[[[[Label_3]]]]: positive<SPLIT>[[[[Example_4]]]]: of light-heartedness , that makes it attractive throughout <SPLIT>[[[[Label_4]]]]: positive<SPLIT>[[[[Example_5]]]]: light-heartedness , that makes it attractive throughout <SPLIT>[[[[Label_5]]]]: positive<SPLIT>[[[[Example_6]]]]: the film is funny , insightfully human and a delightful lark for history buffs <SPLIT>[[[[Label_6]]]]: positive<SPLIT>[[[[Example_7]]]]: some of the visual flourishes are a little too obvious , but restrained and subtle storytelling , and fine performances make this delicate coming-of-age tale a treat <SPLIT>[[[[Label_7]]]]: positive",0.008577525615692139,0.008577525615692139,1,1,1,1,"Failed"
"[[[[Sentence]]]]: a sometimes tedious film . <SPLIT>[[[[Example_0]]]]: a different movie -- sometimes tedious -- <SPLIT>[[[[Label_0]]]]: negative<SPLIT>[[[[Example_1]]]]: is not an easy film . <SPLIT>[[[[Label_1]]]]: negative<SPLIT>[[[[Example_2]]]]: unfocused , excruciatingly tedious cinema <SPLIT>[[[[Label_2]]]]: negative<SPLIT>[[[[Example_3]]]]: of unfocused , excruciatingly tedious cinema <SPLIT>[[[[Label_3]]]]: negative<SPLIT>[[[[Example_4]]]]: this is not an easy film . <SPLIT>[[[[Label_4]]]]: negative<SPLIT>[[[[Example_5]]]]: sometimes tedious -- <SPLIT>[[[[Label_5]]]]: negative<SPLIT>[[[[Example_6]]]]: -- sometimes tedious -- <SPLIT>[[[[Label_6]]]]: negative<SPLIT>[[[[Example_7]]]]: this film that may not always work <SPLIT>[[[[Label_7]]]]: negative","[[[[Sentence]]]]: a sometimes tedious film . <SPLIT>[[[[Example_0]]]]: a different movie -- sometimes tedious -- <SPLIT>[[[[Label_0]]]]: negative<SPLIT>[[[[Example_1]]]]: is not an easy film . <SPLIT>[[[[Label_1]]]]: negative<SPLIT>[[[[Example_2]]]]: unfocused , excruciatingly tedious cinema <SPLIT>[[[[Label_2]]]]: negative<SPLIT>[[[[Example_3]]]]: of unfocused , excruciatingly tedious cinema <SPLIT>[[[[Label_3]]]]: negative<SPLIT>[[[[Example_4]]]]: this is not an easy film . <SPLIT>[[[[Label_4]]]]: negative<SPLIT>[[[[Example_5]]]]: sometimes tedious -- <SPLIT>[[[[Label_5]]]]: negative<SPLIT>[[[[Example_6]]]]: -- sometimes tedious -- <SPLIT>[[[[Label_6]]]]: negative<SPLIT>[[[[Example_7]]]]: this film that may not always work <SPLIT>[[[[Label_7]]]]: negative",0.005910992622375488,0.005910992622375488,0,0,0,1,"Failed"
"[[[[Sentence]]]]: or doing last year 's taxes with your ex-wife . <SPLIT>[[[[Example_0]]]]: —<SPLIT><SPLIT>[[[[Label_0]]]]: positive<SPLIT>[[[[Example_1]]]]: —<SPLIT><SPLIT>[[[[Label_1]]]]: negative<SPLIT>[[[[Example_2]]]]: —<SPLIT><SPLIT>[[[[Label_2]]]]: negative<SPLIT>[[[[Example_3]]]]: —<SPLIT><SPLIT>[[[[Label_3]]]]: positive<SPLIT>[[[[Example_4]]]]: ——<SPLIT><SPLIT>[[[[Label_4]]]]: positive<SPLIT>[[[[Example_5]]]]: ——<SPLIT><SPLIT>[[[[Label_5]]]]: positive<SPLIT>[[[[Example_6]]]]: ——<SPLIT><SPLIT>[[[[Label_6]]]]: negative<SPLIT>[[[[Example_7]]]]: ——<SPLIT><SPLIT>[[[[Label_7]]]]: negative","[[[[Sentence]]]]: or doing last year 's taxes with your ex-wife . <SPLIT>[[[[Example_0]]]]: —<SPLIT><SPLIT>[[[[Label_0]]]]: positive<SPLIT>[[[[Example_1]]]]: —<SPLIT><SPLIT>[[[[Label_1]]]]: negative<SPLIT>[[[[Example_2]]]]: —<SPLIT><SPLIT>[[[[Label_2]]]]: negative<SPLIT>[[[[Example_3]]]]: —<SPLIT><SPLIT>[[[[Label_3]]]]: positive<SPLIT>[[[[Example_4]]]]: ——<SPLIT><SPLIT>[[[[Label_4]]]]: positive<SPLIT>[[[[Example_5]]]]: ——<SPLIT><SPLIT>[[[[Label_5]]]]: positive<SPLIT>[[[[Example_6]]]]: ——<SPLIT><SPLIT>[[[[Label_6]]]]: negative<SPLIT>[[[[Example_7]]]]: ——<SPLIT><SPLIT>[[[[Label_7]]]]: negative",0.6370307803153992,0.6370307803153992,1,1,0,1,"Skipped"
"[[[[Sentence]]]]: you do n't have to know about music to appreciate the film 's easygoing blend of comedy and romance . <SPLIT>[[[[Example_0]]]]: you need n't be steeped in '50s sociology , pop culture or movie lore to appreciate the emotional depth of haynes ' work . <SPLIT>[[[[Label_0]]]]: positive<SPLIT>[[[[Example_1]]]]: purely enjoyable that you might not even notice it 's a fairly straightforward remake of hollywood comedies such as father of the bride . <SPLIT>[[[[Label_1]]]]: positive<SPLIT>[[[[Example_2]]]]: you do n't need to be a hip-hop fan to appreciate scratch <SPLIT>[[[[Label_2]]]]: positive<SPLIT>[[[[Example_3]]]]: do n't need to be a hip-hop fan to appreciate scratch <SPLIT>[[[[Label_3]]]]: positive<SPLIT>[[[[Example_4]]]]: simple , sweet and romantic comedy <SPLIT>[[[[Label_4]]]]: positive<SPLIT>[[[[Example_5]]]]: , but i believe a movie can be mindless without being the peak of all things insipid . <SPLIT>[[[[Label_5]]]]: negative<SPLIT>[[[[Example_6]]]]: a movie can be mindless without being the peak of all things insipid <SPLIT>[[[[Label_6]]]]: negative<SPLIT>[[[[Example_7]]]]: a romantic comedy that 's not the least bit romantic and only mildly funny <SPLIT>[[[[Label_7]]]]: negative","[[[[Sentence]]]]: you do n't have to know about music to appreciate the film 's easygoing blend of comedy and romance . <SPLIT>[[[[Example_0]]]]: you need n't be steeped in '50s sociology , pop culture or movie lore to appreciate the emotional depth of haynes ' work . <SPLIT>[[[[Label_0]]]]: positive<SPLIT>[[[[Example_1]]]]: purely enjoyable that you might not even notice it 's a fairly straightforward remake of hollywood comedies such as father of the bride . <SPLIT>[[[[Label_1]]]]: positive<SPLIT>[[[[Example_2]]]]: you do n't need to be a hip-hop fan to appreciate scratch <SPLIT>[[[[Label_2]]]]: positive<SPLIT>[[[[Example_3]]]]: do n't need to be a hip-hop fan to appreciate scratch <SPLIT>[[[[Label_3]]]]: positive<SPLIT>[[[[Example_4]]]]: simple , sweet and romantic comedy <SPLIT>[[[[Label_4]]]]: positive<SPLIT>[[[[Example_5]]]]: , but i believe a movie can be mindless without being the peak of all things insipid . <SPLIT>[[[[Label_5]]]]: negative<SPLIT>[[[[Example_6]]]]: a movie can be mindless without being the peak of all things insipid <SPLIT>[[[[Label_6]]]]: negative<SPLIT>[[[[Example_7]]]]: a romantic comedy that 's not the least bit romantic and only mildly funny <SPLIT>[[[[Label_7]]]]: negative",0.00522005558013916,0.00522005558013916,1,1,1,1,"Failed"
"[[[[Sentence]]]]: in exactly 89 minutes , most of which passed as slowly as if i 'd been sitting naked on an igloo , formula 51 sank from quirky to jerky to utter turkey . <SPLIT>[[[[Example_0]]]]: as aimless as an old pickup skidding completely out of control on a long patch of black ice , the movie makes two hours feel like four . <SPLIT>[[[[Label_0]]]]: negative<SPLIT>[[[[Example_1]]]]: drifts aimlessly for 90 minutes before lodging in the cracks of that ever-growing category <SPLIT>[[[[Label_1]]]]: negative<SPLIT>[[[[Example_2]]]]: a fairly slow paced <SPLIT>[[[[Label_2]]]]: negative<SPLIT>[[[[Example_3]]]]: sluggish , <SPLIT>[[[[Label_3]]]]: negative<SPLIT>[[[[Example_4]]]]: really long , slow and dreary time <SPLIT>[[[[Label_4]]]]: negative<SPLIT>[[[[Example_5]]]]: than the very sluggish pace <SPLIT>[[[[Label_5]]]]: negative<SPLIT>[[[[Example_6]]]]: ( other than the very sluggish pace ) <SPLIT>[[[[Label_6]]]]: negative<SPLIT>[[[[Example_7]]]]: fairly slow paced <SPLIT>[[[[Label_7]]]]: negative","[[[[Sentence]]]]: in exactly 89 minutes , most of which passed as slowly as if i 'd been sitting naked on an igloo , formula 51 sank from quirky to jerky to utter turkey . <SPLIT>[[[[Example_0]]]]: as aimless as an old pickup skidding completely out of control on a long patch of black ice , the movie makes two hours feel like four . <SPLIT>[[[[Label_0]]]]: negative<SPLIT>[[[[Example_1]]]]: drifts aimlessly for 90 minutes before lodging in the cracks of that ever-growing category <SPLIT>[[[[Label_1]]]]: negative<SPLIT>[[[[Example_2]]]]: a fairly slow paced <SPLIT>[[[[Label_2]]]]: negative<SPLIT>[[[[Example_3]]]]: sluggish , <SPLIT>[[[[Label_3]]]]: negative<SPLIT>[[[[Example_4]]]]: really long , slow and dreary time <SPLIT>[[[[Label_4]]]]: negative<SPLIT>[[[[Example_5]]]]: than the very sluggish pace <SPLIT>[[[[Label_5]]]]: negative<SPLIT>[[[[Example_6]]]]: ( other than the very sluggish pace ) <SPLIT>[[[[Label_6]]]]: negative<SPLIT>[[[[Example_7]]]]: fairly slow paced <SPLIT>[[[[Label_7]]]]: negative",0.022977352142333984,0.022977352142333984,0,0,0,1,"Failed"
