"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"[[[[Premise]]]]: dana reeve, the widow of the actor christopher reeve, has died of lung cancer at age 44, according to the christopher reeve foundation.<SPLIT>[[[[Hypothesis]]]]: christopher reeve [[had]] an [[accident]].","[[[[Premise]]]]: dana reeve, the widow of the actor christopher reeve, has died of lung cancer at age 44, according to the christopher reeve foundation.<SPLIT>[[[[Hypothesis]]]]: christopher reeve [[have]] an [[tragedy]].",0.4647701382637024,0.6255743503570557,1,0,1,59,"Successful"
"[[[[Premise]]]]: yet, we now are discovering that antibiotics are losing their effectiveness against illness. disease-causing bacteria are mutating faster than we can come up with new antibiotics to fight the new variations.<SPLIT>[[[[Hypothesis]]]]: bacteria is winning the war against antibiotics.","[[[[Premise]]]]: yet, we now are discovering that antibiotics are losing their effectiveness against illness. disease-causing bacteria are mutating faster than we can come up with new antibiotics to fight the new variations.<SPLIT>[[[[Hypothesis]]]]: bacteria is winning the war against antibiotics.",0.5051658749580383,0.5051658749580383,1,1,0,1,"Skipped"
"[[[[Premise]]]]: cairo is now home to some 15 million people - a burgeoning population that produces approximately 10,000 tonnes of rubbish per day, putting an enormous strain on public services. in the past 10 years, the government has tried hard to encourage private investment in the refuse sector, but some estimate 4,000 tonnes of waste is left behind every day, festering in the heat as it waits for someone to clear it up. it is often the people in the poorest neighbourhoods that are worst affected. but in some areas they are fighting back. in shubra, one of the northern districts of the city, the residents have taken to the streets armed with dustpans and brushes to clean up public areas which have been used as public dumps.<SPLIT>[[[[Hypothesis]]]]: 15 million [[tonnes]] of [[rubbish]] are [[produced]] daily in cairo.","[[[[Premise]]]]: cairo is now home to some 15 million people - a burgeoning population that produces approximately 10,000 tonnes of rubbish per day, putting an enormous strain on public services. in the past 10 years, the government has tried hard to encourage private investment in the refuse sector, but some estimate 4,000 tonnes of waste is left behind every day, festering in the heat as it waits for someone to clear it up. it is often the people in the poorest neighbourhoods that are worst affected. but in some areas they are fighting back. in shubra, one of the northern districts of the city, the residents have taken to the streets armed with dustpans and brushes to clean up public areas which have been used as public dumps.<SPLIT>[[[[Hypothesis]]]]: 15 million [[t]] of [[trash]] are [[generating]] daily in cairo.",0.11549985408782959,0.2369956374168396,1,1,1,76,"Failed"
"[[[[Premise]]]]: the amish community in pennsylvania, which numbers about 55,000, lives an agrarian lifestyle, shunning technological advances like electricity and automobiles. and many say their insular lifestyle gives them a sense that they are protected from the violence of american society. but as residents gathered near the school, some wearing traditional garb and arriving in horse-drawn buggies, they said that sense of safety had been shattered. ""if someone snaps and wants to do something stupid, there's no distance that's going to stop them,"" said jake king, 56, an amish lantern maker who knew several families whose children had been shot.<SPLIT>[[[[Hypothesis]]]]: pennsylvania has the [[biggest]] amish community in the u.s.","[[[[Premise]]]]: the amish community in pennsylvania, which numbers about 55,000, lives an agrarian lifestyle, shunning technological advances like electricity and automobiles. and many say their insular lifestyle gives them a sense that they are protected from the violence of american society. but as residents gathered near the school, some wearing traditional garb and arriving in horse-drawn buggies, they said that sense of safety had been shattered. ""if someone snaps and wants to do something stupid, there's no distance that's going to stop them,"" said jake king, 56, an amish lantern maker who knew several families whose children had been shot.<SPLIT>[[[[Hypothesis]]]]: pennsylvania has the [[largest]] amish community in the u.s.",0.4843190908432007,0.5847867131233215,1,0,1,43,"Successful"
"[[[[Premise]]]]: security forces were on high alert after an election campaign in which more than 1,000 people, including seven election candidates, have been killed.<SPLIT>[[[[Hypothesis]]]]: security forces were on high [[alert]] after a campaign marred by violence.","[[[[Premise]]]]: security forces were on high alert after an election campaign in which more than 1,000 people, including seven election candidates, have been killed.<SPLIT>[[[[Hypothesis]]]]: security forces were on high [[alarmed]] after a campaign marred by violence.",0.32496005296707153,0.5214397311210632,0,1,0,40,"Successful"
"[[[[Premise]]]]: in 1979, the leaders signed the egypt-israel peace treaty on the white house lawn. both president begin and sadat received the nobel peace prize for their work. the two nations have enjoyed peaceful relations to this day.<SPLIT>[[[[Hypothesis]]]]: the israel-egypt [[peace]] agreement was signed in 1979.","[[[[Premise]]]]: in 1979, the leaders signed the egypt-israel peace treaty on the white house lawn. both president begin and sadat received the nobel peace prize for their work. the two nations have enjoyed peaceful relations to this day.<SPLIT>[[[[Hypothesis]]]]: the israel-egypt [[lull]] agreement was signed in 1979.",0.09791833162307739,0.6003837585449219,0,1,0,33,"Successful"
"[[[[Premise]]]]: singer and actress britney spears, 24, has filled papers in los angeles county superior court to divorce her husband kevin federline, 28. a spokeswoman for the court, kathy roberts stated that the papers cited irreconcilable differences"" as the reason for the divorce and have, according to the courts, been legally separated as of monday, november 6, the same day that spears appeared on late night with david letterman.<SPLIT>[[[[Hypothesis]]]]: spears is to [[divorce]] from kevin federline.","[[[[Premise]]]]: singer and actress britney spears, 24, has filled papers in los angeles county superior court to divorce her husband kevin federline, 28. a spokeswoman for the court, kathy roberts stated that the papers cited irreconcilable differences"" as the reason for the divorce and have, according to the courts, been legally separated as of monday, november 6, the same day that spears appeared on late night with david letterman.<SPLIT>[[[[Hypothesis]]]]: spears is to [[remarriage]] from kevin federline.",0.17573165893554688,0.6930105686187744,0,1,0,13,"Successful"
"[[[[Premise]]]]: following the successful bid to bring the 2010 ryder cup to wales, the wales tourist board has wasted little time in commissioning work to ensure that the benefits accruing from the event are felt throughout the country.<SPLIT>[[[[Hypothesis]]]]: wales to [[host]] 2010 ryder cup.","[[[[Premise]]]]: following the successful bid to bring the 2010 ryder cup to wales, the wales tourist board has wasted little time in commissioning work to ensure that the benefits accruing from the event are felt throughout the country.<SPLIT>[[[[Hypothesis]]]]: wales to [[accommodated]] 2010 ryder cup.",0.3493930697441101,0.5150668025016785,0,1,0,20,"Successful"
"[[[[Premise]]]]: steve jobs was attacked by sculley and other apple executives for not delivering enough hot new products and resigned from the company a few weeks later.<SPLIT>[[[[Hypothesis]]]]: steve jobs [[worked]] for [[apple]].","[[[[Premise]]]]: steve jobs was attacked by sculley and other apple executives for not delivering enough hot new products and resigned from the company a few weeks later.<SPLIT>[[[[Hypothesis]]]]: steve jobs [[striven]] for [[apples]].",0.09771931171417236,0.5803158283233643,0,1,0,38,"Successful"
"[[[[Premise]]]]: traditionally, the brahui of the raisani tribe are in charge of the law and order situation through the pass area. this tribe is still living in present day balochistan in pakistan.<SPLIT>[[[[Hypothesis]]]]: the raisani tribe resides in [[pakistan]].","[[[[Premise]]]]: traditionally, the brahui of the raisani tribe are in charge of the law and order situation through the pass area. this tribe is still living in present day balochistan in pakistan.<SPLIT>[[[[Hypothesis]]]]: the raisani tribe resides in [[pakistani]].",0.3766248822212219,0.5764539241790771,0,1,0,13,"Successful"
