"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"lovingly [[photographed]] in the manner of a golden book sprung to [[life]] , stuart little 2 [[manages]] sweetness largely without stickiness .","lovingly [[gallery]] in the manner of a golden book sprung to [[liv]] , stuart little 2 [[managed]] sweetness largely without stickiness .",0.00522005558013916,0.2018132209777832,1,1,1,102,"Failed"
"consistently [[clever]] and suspenseful .","consistently [[shrewd]] and suspenseful .",0.010986924171447754,0.04208773374557495,1,1,1,14,"Failed"
"it's like a "" big [[chill]] "" reunion of the baader-meinhof gang , only these guys are more harmless pranksters than political activists .","it's like a "" big [[colder]] "" reunion of the baader-meinhof gang , only these guys are more harmless pranksters than political activists .",0.03308594226837158,0.5621764659881592,1,0,1,21,"Successful"
"the story [[gives]] ample opportunity for large-scale [[action]] and suspense , which director shekhar kapur [[supplies]] with tremendous skill .","the story [[provide]] ample opportunity for large-scale [[measurement]] and suspense , which director shekhar kapur [[foodstuffs]] with tremendous skill .",0.010986924171447754,0.16451644897460938,1,1,1,72,"Failed"
"red dragon "" never [[cuts]] corners .","red dragon "" never [[reduce]] corners .",0.012431681156158447,0.34864509105682373,1,1,1,47,"Failed"
"fresnadillo [[has]] something [[serious]] to say about the [[ways]] in which extravagant [[chance]] can distort our perspective and throw us off the path of good sense .","fresnadillo [[haya]] something [[deep]] to say about the [[modes]] in which extravagant [[lucky]] can distort our perspective and throw us off the path of good sense .",0.02033233642578125,0.5,1,0,1,228,"Successful"
"throws in enough [[clever]] and [[unexpected]] twists to make the formula feel fresh .","throws in enough [[termite]] and [[unsolicited]] twists to make the formula feel fresh .",0.0097084641456604,0.16451644897460938,1,1,1,59,"Failed"
"weighty and ponderous but [[every]] bit as filling as the treat of the title .","weighty and ponderous but [[any]] bit as filling as the treat of the title .",0.04742586612701416,0.7310585975646973,1,0,1,11,"Successful"
"a [[real]] audience-pleaser that will [[strike]] a chord with anyone who's ever [[waited]] in a doctor's office , emergency room , [[hospital]] bed or insurance company office .","a [[pragmatic]] audience-pleaser that will [[bombardment]] a chord with anyone who's ever [[expect]] in a doctor's office , emergency room , [[clinique]] bed or insurance company office .",0.01590639352798462,0.377540647983551,1,1,1,190,"Failed"
"generates an [[enormous]] [[feeling]] of empathy for its characters .","generates an [[redoubtable]] [[foreboding]] of empathy for its characters .",0.005910992622375488,0.18242555856704712,1,1,1,64,"Failed"
"exposing the [[ways]] we fool ourselves is one hour photo's real [[strength]] .","exposing the [[routing]] we fool ourselves is one hour photo's real [[kraft]] .",0.04208773374557495,0.32082128524780273,1,1,1,61,"Failed"
