"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"it 's a charming and often affecting [[journey]] . ","it 's a charming and often affecting [[day]] . ",0.0008041262626647949,0.16451644897460938,1,1,1,45,"Failed"
"unflinchingly bleak and desperate ","unflinchingly bleak and desperate ",0.7310585975646973,0.7310585975646973,1,1,0,1,"Skipped"
"allows [[us]] to hope that nolan is poised to embark a major career as a commercial [[yet]] inventive [[filmmaker]] . ","allows [[letters]] to hope that nolan is poised to embark a major career as a commercial [[no]] inventive [[d]] . ",0.014063596725463867,0.46879059076309204,1,1,1,125,"Failed"
"the acting , costumes , music , cinematography and sound are all [[astounding]] given the production 's austere locales . ","the acting , costumes , music , cinematography and sound are all [[atouadequate]] given the production 's austere locales . ",0.005910992622375488,0.5,1,0,1,59,"Successful"
"it 's slow -- very , very slow . ","it 's slow -- very , very slow . ",0.9465966820716858,0.9465966820716858,1,1,0,1,"Skipped"
"although laced with humor and a few [[fanciful]] touches , the [[film]] is a refreshingly serious look at [[young]] women . ","although laced with humor and a few [[fansentimental]] touches , the [[cinema]] is a refreshingly serious look at [[naive]] women . ",0.02931225299835205,0.43782347440719604,1,1,1,115,"Failed"
"a sometimes tedious film . ","a sometimes tedious film . ",0.7310585975646973,0.7310585975646973,1,1,0,1,"Skipped"
"or doing last year 's taxes with your ex-wife . ","or doing last year 's taxes with your ex-wife . ",0.8670357465744019,0.8670357465744019,1,1,0,1,"Skipped"
"you do n't have to [[know]] about music to [[appreciate]] the film 's [[easygoing]] blend of comedy and romance . ","you do n't have to [[hate]] about music to [[review]] the film 's [[ahistorical]] blend of comedy and romance . ",0.014063596725463867,0.5926665663719177,1,0,1,152,"Successful"
"in exactly 89 minutes , most of which passed as slowly as if i 'd been sitting naked on an igloo , formula 51 sank from quirky to jerky to utter turkey . ","in exactly 89 minutes , most of which passed as slowly as if i 'd been sitting naked on an igloo , formula 51 sank from quirky to jerky to utter turkey . ",0.6513548493385315,0.6513548493385315,1,1,0,1,"Skipped"
"the mesmerizing performances of the leads [[keep]] the film [[grounded]] and keep the [[audience]] riveted . ","the mesmerizing performances of the leads [[do]] the film [[down]] and keep the [[lead]] riveted . ",0.003593623638153076,0.4073333740234375,1,1,1,111,"Failed"
"it takes a strange kind of laziness to waste the talents of robert forster , anne meara , eugene levy , and reginald veljohnson all in the same movie . ","it takes a strange kind of laziness to waste the talents of robert forster , anne meara , eugene levy , and reginald veljohnson all in the same movie . ",0.8519527912139893,0.8519527912139893,1,1,0,1,"Skipped"
"... the [[film]] suffers from a lack of humor ( something needed to balance out the violence ) ... ","... the [[films]] suffers from a lack of humor ( something needed to balance out the violence ) ... ",0.5,0.5312093496322632,0,1,0,50,"Successful"
"we root for ( clara and paul ) , even like them , [[though]] perhaps it 's an emotion closer to pity . ","we root for ( clara and paul ) , even like them , [[but]] perhaps it 's an emotion closer to pity . ",0.05340331792831421,0.5312093496322632,1,0,1,52,"Successful"
"even horror fans will most likely not find what they 're seeking with trouble every day ; the movie lacks both thrills and humor . ","even horror fans will most likely not find what they 're seeking with trouble every day ; the movie lacks both thrills and humor . ",0.7772998809814453,0.7772998809814453,1,1,0,1,"Skipped"
"a gorgeous , high-spirited musical from india that exquisitely [[blends]] music , [[dance]] , song , and [[high]] drama . ","a gorgeous , high-spirited musical from india that exquisitely [[blendcombines]] music , [[legal]] , song , and [[gothic]] drama . ",0.004609584808349609,0.14804714918136597,1,1,1,146,"Failed"
"the emotions are raw and will strike a [[nerve]] with anyone who 's [[ever]] had family trauma . ","the emotions are raw and will strike a [[tree]] with anyone who 's [[just]] had family trauma . ",0.03308594226837158,0.5312093496322632,1,0,1,91,"Successful"
"audrey [[tatou]] has a knack for picking roles that magnify her outrageous [[charm]] , and in this literate [[french]] comedy , she 's as [[morning-glory]] exuberant as she was in [[amélie]] . ","audrey [[thede]] has a knack for picking roles that magnify her outrageous [[looks]] , and in this literate [[journal]] comedy , she 's as [[morning-school]] exuberant as she was in [[beau]] . ",0.00522005558013916,0.34864509105682373,1,1,1,325,"Failed"
"... the movie is just a plain old monster . ","... the movie is just a plain old monster . ",0.7310585975646973,0.7310585975646973,1,1,0,1,"Skipped"
"in its best moments , resembles a bad high school production of grease , without benefit of song . ","in its best moments , resembles a bad high school production of grease , without benefit of song . ",0.7057850360870361,0.7057850360870361,1,1,0,1,"Skipped"
"pumpkin takes an admirable look at the hypocrisy of political correctness , but it does so with such an uneven tone that you never know when humor ends and tragedy begins . ","pumpkin takes an admirable look at the hypocrisy of political correctness , but it does so with such an uneven tone that you never know when humor ends and tragedy begins . ",0.8354835510253906,0.8354835510253906,1,1,0,1,"Skipped"
"the iditarod lasts for days - this just felt like it did . ","the iditarod lasts for days - this just felt like it did . ",0.8933094143867493,0.8933094143867493,1,1,0,1,"Skipped"
"holden caulfield did it better . ","holden caulfield did it better . ",0.8519527912139893,0.8519527912139893,1,1,0,1,"Skipped"
"a delectable and [[intriguing]] thriller filled with surprises , read my lips is an [[original]] . ","a delectable and [[absorbing]] thriller filled with surprises , read my lips is an [[adaptation]] . ",0.003824472427368164,0.29421496391296387,1,1,1,152,"Failed"
"seldom has a [[movie]] so closely matched the spirit of a man and his work . ","seldom has a [[family]] so closely matched the spirit of a man and his work . ",0.006692826747894287,0.2450850009918213,1,1,1,51,"Failed"
"nicks , seemingly uncertain what 's going to make people laugh , runs the gamut from stale parody to raunchy sex gags to formula romantic comedy . ","nicks , seemingly uncertain what 's going to make people laugh , runs the gamut from stale parody to raunchy sex gags to formula romantic comedy . ",0.8354835510253906,0.8354835510253906,1,1,0,1,"Skipped"
"the action switches between past and present , but the material link is too tenuous to anchor the emotional connections that purport to span a 125-year divide . ","the action switches between past and present , but the material link is too tenuous to anchor the emotional connections that purport to span a 125-year divide . ",0.7549149990081787,0.7549149990081787,1,1,0,1,"Skipped"
"it 's an offbeat [[treat]] that pokes [[fun]] at the democratic exercise while [[also]] [[examining]] its significance for those who take part . ","it 's an offbeat [[conference]] that pokes [[criticism]] at the democratic exercise while [[already]] [[questioning]] its significance for those who take part . ",0.012431681156158447,0.5,1,0,1,148,"Successful"
"it 's a cookie-cutter movie , a cut-and-paste job . ","it 's a cookie-cutter movie , a cut-and-paste job . ",0.7772998809814453,0.7772998809814453,1,1,0,1,"Skipped"
"i had to look away - this was god [[awful]] . ","i had to look away - this was god [[horrific]] . ",0.32082128524780273,0.5926665663719177,0,1,0,14,"Successful"
"thanks to [[scott]] 's charismatic [[roger]] and eisenberg 's sweet nephew , roger dodger is [[one]] of the most compelling [[variations]] on in the company of men . ","thanks to [[not]] 's charismatic [[he]] and eisenberg 's sweet nephew , roger dodger is [[told]] of the most compelling [[mysteries]] on in the company of men . ",0.010986924171447754,0.5312093496322632,1,0,1,180,"Successful"
"... designed to provide a mix of smiles and tears , `` crossroads '' instead provokes a handful of unintentional howlers and numerous yawns . ","... designed to provide a mix of smiles and tears , `` crossroads '' instead provokes a handful of unintentional howlers and numerous yawns . ",0.5621764659881592,0.5621764659881592,1,1,0,1,"Skipped"
"a gorgeous , witty , seductive [[movie]] . ","a gorgeous , witty , seductive [[sex]] . ",0.003593623638153076,0.2018132209777832,1,1,1,23,"Failed"
"if the movie succeeds in instilling a wary sense of ` there but for the grace of god , ' it is far too self-conscious to draw you deeply into its world . ","if the movie succeeds in instilling a wary sense of ` there but for the grace of god , ' it is far too self-conscious to draw you deeply into its world . ",0.8670357465744019,0.8670357465744019,1,1,0,1,"Skipped"
"it does n't believe in itself , it has no sense of humor ... it 's just plain bored . ","it does n't believe in itself , it has no sense of humor ... it 's just plain bored . ",0.6791787147521973,0.6791787147521973,1,1,0,1,"Skipped"
"a sequence of ridiculous shoot - 'em - up scenes . ","a sequence of ridiculous shoot - 'em - up scenes . ",0.8933094143867493,0.8933094143867493,1,1,0,1,"Skipped"
"the weight of the piece , the unerring professionalism of the chilly production , and the fascination embedded in the lurid topic prove [[recommendation]] enough . ","the weight of the piece , the unerring professionalism of the chilly production , and the fascination embedded in the lurid topic prove [[objection]] enough . ",0.014063596725463867,0.5621764659881592,1,0,1,59,"Successful"
"( w ) hile long on amiable monkeys and worthy environmentalism , jane goodall 's wild chimpanzees is short on the thrills the oversize medium demands . ","( w ) hile long on amiable monkeys and worthy environmentalism , jane goodall 's wild chimpanzees is short on the thrills the oversize medium demands . ",0.8519527912139893,0.8519527912139893,1,1,0,1,"Skipped"
"as surreal as a [[dream]] and as detailed as a photograph , as visually [[dexterous]] as it is at times [[imaginatively]] overwhelming . ","as surreal as a [[car]] and as detailed as a photograph , as visually [[dexterconsuming]] as it is at times [[imaginativeor]] overwhelming . ",0.010986924171447754,0.377540647983551,1,1,1,139,"Failed"
"escaping the studio , piccoli is [[warmly]] affecting and so is this adroitly minimalist movie . ","escaping the studio , piccoli is [[poorly]] affecting and so is this adroitly minimalist movie . ",0.0097084641456604,0.6513548493385315,1,0,1,52,"Successful"
"there 's ... tremendous [[energy]] from the cast , a sense of playfulness and excitement that seems [[appropriate]] . ","there 's ... tremendous [[energies]] from the cast , a sense of playfulness and excitement that seems [[trans]] . ",0.0179862380027771,0.2689414620399475,1,1,1,71,"Failed"
"this illuminating documentary transcends our preconceived vision of the holy land and its [[inhabitants]] , revealing the [[human]] complexities [[beneath]] . ","this illuminating documentary transcends our preconceived vision of the holy land and its [[christian]] , revealing the [[of]] complexities [[lies]] . ",0.00522005558013916,0.16451644897460938,1,1,1,135,"Failed"
"the subtle strength of `` elling '' is that it never [[loses]] touch with the reality of the grim situation . ","the subtle strength of `` elling '' is that it never [[gives]] touch with the reality of the grim situation . ",0.0179862380027771,0.5,1,0,1,57,"Successful"
"holm ... [[embodies]] the character with an [[effortlessly]] regal charisma . ","holm ... .[[boores]] the character with an [[is]] regal charisma . ",0.00522005558013916,0.5,1,0,1,87,"Successful"
"the title not only describes its main characters , but the lazy people behind the camera as well . ","the title not only describes its main characters , but the lazy people behind the camera as well . ",0.8807970881462097,0.8807970881462097,1,1,0,1,"Skipped"
"it offers little beyond the momentary joys of pretty and weightless intellectual entertainment . ","it offers little beyond the momentary joys of pretty and weightless intellectual entertainment . ",0.8354835510253906,0.8354835510253906,1,1,0,1,"Skipped"
"a synthesis of cliches and absurdities that seems positively decadent in its cinematic flash and emptiness . ","a synthesis of cliches and absurdities that seems positively decadent in its cinematic flash and emptiness . ",0.7057850360870361,0.7057850360870361,1,1,0,1,"Skipped"
"a subtle and well-crafted ( for the most [[part]] ) chiller . ","a subtle and well-crafted ( for the most [[be]] ) chiller . ",0.014063596725463867,0.2018132209777832,1,1,1,41,"Failed"
"has a [[lot]] of the virtues of eastwood at his [[best]] . ","has a [[very]] of the virtues of eastwood at his [[worst]] . ",0.010986924171447754,0.5,1,0,1,92,"Successful"
"it 's hampered by a lifetime-channel kind of plot and a lead actress who is out of her depth . ","it 's hampered by a lifetime-channel kind of plot and a lead actress who is out of her depth . ",0.7549149990081787,0.7549149990081787,1,1,0,1,"Skipped"
"it feels like an after-school special gussied up with some fancy special effects , and watching its rote plot points connect is about as exciting as gazing at an egg timer for 93 minutes . ","it feels like an after-school special gussied up with some fancy special effects , and watching its rote plot points connect is about as exciting as gazing at an egg timer for 93 minutes . ",0.7310585975646973,0.7310585975646973,1,1,0,1,"Skipped"
"for the most part , director anne-sophie birot 's first feature is a sensitive , [[extraordinarily]] [[well-acted]] [[drama]] . ","for the most part , director anne-sophie birot 's first feature is a sensitive , [[extra-inacuriously]] [[well--]] [[tragedy]] . ",0.008577525615692139,0.43782347440719604,1,1,1,146,"Failed"
"mr. tsai is a very original artist in his medium , and what [[time]] is it there ? ","mr. tsai is a very original artist in his medium , and what [[point]] is it there ? ",0.05340331792831421,0.5312093496322632,1,0,1,46,"Successful"
"sade is an [[engaging]] look at the controversial eponymous and [[fiercely]] atheistic hero . ","sade is an [[an]] look at the controversial eponymous and [[harshly]] atheistic hero . ",0.02595740556716919,0.5312093496322632,1,0,1,96,"Successful"
"so devoid of any kind of intelligible story that it makes films like xxx and collateral damage seem like thoughtful treatises ","so devoid of any kind of intelligible story that it makes films like xxx and collateral damage seem like thoughtful treatises ",0.7772998809814453,0.7772998809814453,1,1,0,1,"Skipped"
"a tender , [[heartfelt]] family drama . ","a tender , [[emotionaloffering]] family drama . ",0.004609584808349609,0.2450850009918213,1,1,1,53,"Failed"
"... a hollow joke told by a cinematic gymnast having too much fun embellishing the misanthropic tale to actually engage it . ","... a hollow joke told by a cinematic gymnast having too much fun embellishing the misanthropic tale to actually engage it . ",0.6513548493385315,0.6513548493385315,1,1,0,1,"Skipped"
"the cold turkey would 've been a far better title . ","the cold turkey would 've been a far better title . ",0.8519527912139893,0.8519527912139893,1,1,0,1,"Skipped"
"manages to be both repulsively sadistic and mundane . ","manages to be both repulsively sadistic and mundane . ",0.7772998809814453,0.7772998809814453,1,1,0,1,"Skipped"
"it 's just disappointingly superficial -- a movie that has all the elements necessary to be a fascinating , involving character study , but never does more than scratch the surface . ","it 's just disappointingly superficial -- a movie that has all the elements necessary to be a fascinating , involving character study , but never does more than scratch the surface . ",0.9149009585380554,0.9149009585380554,1,1,0,1,"Skipped"
"this is a story of two misfits who do [[n't]] stand a [[chance]] alone , but [[together]] they are magnificent . ","this is a story of two misfits who do [[n'you]] stand a [[and]] alone , but [[on]] they are magnificent . ",0.00522005558013916,0.29421496391296387,1,1,1,179,"Failed"
"schaeffer has to find some hook on which to hang his persistently useless movies , and it might as well be the resuscitation of the middle-aged character . ","schaeffer has to find some hook on which to hang his persistently useless movies , and it might as well be the resuscitation of the middle-aged character . ",0.6224592924118042,0.6224592924118042,1,1,0,1,"Skipped"
"the primitive [[force]] of this film [[seems]] to bubble up from the [[vast]] collective memory of the combatants . ","the primitive [[film]] of this film [[the]] to bubble up from the [[of]] collective memory of the combatants . ",0.010986924171447754,0.5,1,0,1,144,"Successful"
"on this tricky topic , tadpole is very [[much]] a step in the [[right]] direction , with its [[blend]] of frankness , [[civility]] and compassion . ","on this tricky topic , tadpole is very [[but]] a step in the [[opposite]] direction , with its [[picture]] of frankness , [[civildim]] and compassion . ",0.006692826747894287,0.4073333740234375,1,1,1,140,"Failed"
"the script kicks in , and mr. hartley 's distended pace and foot-dragging rhythms follow . ","the script kicks in , and mr. hartley 's distended pace and foot-dragging rhythms follow . ",0.7772998809814453,0.7772998809814453,1,1,0,1,"Skipped"
"you wonder why enough was n't just a music video rather than a full-length movie . ","you wonder why enough was n't just a music video rather than a full-length movie . ",0.9046505689620972,0.9046505689620972,1,1,0,1,"Skipped"
"if you 're hard up for raunchy college humor , this is your ticket [[right]] here . ","if you 're hard up for raunchy college humor , this is your ticket [[hell]] here . ",0.022977352142333984,0.5312093496322632,1,0,1,49,"Successful"
"a fast , funny , highly [[enjoyable]] movie . ","a fast , funny , highly [[the]] movie . ",0.003593623638153076,0.13296425342559814,1,1,1,39,"Failed"
"good old-fashioned slash-and-hack is [[back]] ! ","good old-fashioned slash-and-hack is [[gone]] ! ",0.08509904146194458,0.5,1,0,1,29,"Successful"
"this one is definitely one to skip , even for horror movie fanatics . ","this one is definitely one to skip , even for horror movie fanatics . ",0.6513548493385315,0.6513548493385315,1,1,0,1,"Skipped"
"for all its impressive craftsmanship , and despite an overbearing series of third-act crescendos , lily chou-chou never really builds up a head of emotional steam . ","for all its impressive craftsmanship , and despite an overbearing series of third-act crescendos , lily chou-chou never really builds up a head of emotional steam . ",0.8670357465744019,0.8670357465744019,1,1,0,1,"Skipped"
"exquisitely nuanced in mood tics and dialogue , this chamber drama is [[superbly]] acted by the [[deeply]] appealing veteran bouquet and the [[chilling]] but quite [[human]] berling . ","exquisitely nuanced in mood tics and dialogue , this chamber drama is [[superboften]] acted by the [[clearly]] appealing veteran bouquet and the [[bleak]] but quite [[mere]] berling . ",0.014063596725463867,0.46879059076309204,1,1,1,196,"Failed"
"uses high comedy to [[evoke]] surprising [[poignance]] . ","uses high comedy to [[thebear]] surprising [[comicign]]. . ",0.008577525615692139,0.4073333740234375,1,1,1,134,"Failed"
