"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"lovingly photographed in the manner of a golden book sprung to life , stuart little 2 [[manages]] sweetness largely [[without]] [[stickiness]] .","lovingly photographed in the manner of a golden book sprung to life , stuart little 2 [[manageѕ]] sweetness largely [[unless]] [[stickіness]] .",0.012431681156158447,0.4073333740234375,1,1,1,58,"Failed"
"consistently clever and [[suspenseful]] .","consistently clever and [[thrillers]] .",0.01590639352798462,0.04742586612701416,1,1,1,23,"Failed"
"it's like a "" big chill "" reunion of the baader-meinhof gang , only these guys are more harmless pranksters than political activists .","it's like a "" big chill "" reunion of the baader-meinhof gang , only these guys are more harmless pranksters than political activists .",0.5621764659881592,0.5621764659881592,0,0,1,1,"Skipped"
"the story [[gives]] ample opportunity for large-scale action and [[suspense]] , which director shekhar kapur supplies with [[tremendous]] skill .","the story [[furnishes]] ample opportunity for large-scale action and [[waiting]] , which director shekhar kapur supplies with [[tⲅemendous]] skill .",0.03308594226837158,0.11920297145843506,1,1,1,59,"Failed"
"red dragon "" [[never]] cuts corners .","red dragon "" [[nos]] cuts corners .",0.09534949064254761,0.6791787147521973,1,0,1,18,"Successful"
"fresnadillo has [[something]] serious to say about the [[ways]] in which extravagant [[chance]] can distort our perspective and throw us off the path of good sense .","fresnadillo has [[nada]] serious to say about the [[wyas]] in which extravagant [[chancе]] can distort our perspective and throw us off the path of good sense .",0.10669058561325073,0.5926665663719177,1,0,1,55,"Successful"
"throws in enough clever and [[unexpected]] twists to make the formula feel [[fresh]] .","throws in enough clever and [[unscheduled]] twists to make the formula feel [[cost]] .",0.037326931953430176,0.14804714918136597,1,1,1,40,"Failed"
"weighty and ponderous but [[every]] bit as filling as the treat of the title .","weighty and ponderous but [[entire]] bit as filling as the treat of the title .",0.11920297145843506,0.5312093496322632,1,0,1,20,"Successful"
"a [[real]] [[audience-pleaser]] that will strike a chord with anyone who's ever [[waited]] in a doctor's office , emergency room , hospital bed or insurance company [[office]] .","a [[reales]] [[aսdience-pleaser]] that will strike a chord with anyone who's ever [[wai𝚝ed]] in a doctor's office , emergency room , hospital bed or insurance company [[bureau]] .",0.03308594226837158,0.2018132209777832,1,1,1,96,"Failed"
"generates an [[enormous]] feeling of [[empathy]] for its characters .","generates an [[enoⲅmous]] feeling of [[empa𝚝hy]] for its characters .",0.022977352142333984,0.08509904146194458,1,1,1,35,"Failed"
"exposing the ways we fool ourselves is one [[hour]] [[photo's]] real strength .","exposing the ways we fool ourselves is one [[time]] [[pho𝚝o's]] real strength .",0.10669058561325073,0.32082128524780273,1,1,1,29,"Failed"
"it's up to you to decide whether to admire these people's dedication to their cause or be repelled by their dogmatism , manipulativeness and narrow , fearful view of american life .","it's up to you to decide whether to admire these people's dedication to their cause or be repelled by their dogmatism , manipulativeness and narrow , fearful view of american life .",0.5,0.5,0,0,1,1,"Skipped"
"mostly , [goldbacher] just [[lets]] her complicated characters be unruly , confusing and , through it all , [[human]] .","mostly , [goldbacher] just [[les]] her complicated characters be unruly , confusing and , through it all , [[humn]] .",0.06754672527313232,0.6791787147521973,1,0,1,33,"Successful"
". . . quite [[good]] at providing some good old fashioned [[spooks]] .",". . . quite [[alright]] at providing some good old fashioned [[sopoks]] .",0.06008666753768921,0.34864509105682373,1,1,1,32,"Failed"
"at its worst , the movie is pretty diverting ; the pity is that it rarely achieves its best .","at its worst , the movie is pretty diverting ; the pity is that it rarely achieves its best .",0.9149009585380554,0.9149009585380554,0,0,1,1,"Skipped"
