"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"it 's a [[charming]] and often affecting [[journey]] . ","it 's a [[purty]] and often affecting [[ikea]] . ",0.001325070858001709,0.18242555856704712,1,1,1,64,"Failed"
"unflinchingly bleak and [[desperate]] ","unflinchingly bleak and [[frenetic]] ",0.43782347440719604,0.6513548493385315,0,1,0,13,"Successful"
"allows [[us]] to hope that nolan is poised to embark a major [[career]] as a commercial yet [[inventive]] filmmaker . ","allows [[ourselves]] to hope that nolan is poised to embark a major [[racing]] as a commercial yet [[crafty]] filmmaker . ",0.010986924171447754,0.08509904146194458,1,1,1,50,"Failed"
"the acting , [[costumes]] , music , [[cinematography]] and sound are all [[astounding]] given the production 's austere locales . ","the acting , [[outfits]] , music , [[movie]] and sound are all [[breathless]] given the production 's austere locales . ",0.0031726956367492676,0.16451644897460938,1,1,1,75,"Failed"
"it 's slow -- very , very [[slow]] . ","it 's slow -- very , very [[lento]] . ",0.09534949064254761,0.43782347440719604,0,0,0,12,"Failed"
"although laced with [[humor]] and a few fanciful touches , the film is a [[refreshingly]] serious look at young women . ","although laced with [[amusing]] and a few fanciful touches , the film is a [[blithely]] serious look at young women . ",0.01590639352798462,0.5621764659881592,1,0,1,59,"Successful"
"a sometimes [[tedious]] film . ","a sometimes [[industrious]] film . ",0.07585817575454712,0.7549149990081787,0,1,0,33,"Successful"
"or doing last year 's taxes with your ex-wife . ","or doing last year 's taxes with your ex-wife . ",0.6513548493385315,0.6513548493385315,1,1,0,1,"Skipped"
"you do n't have to [[know]] about music to [[appreciate]] the film 's [[easygoing]] blend of comedy and romance . ","you do n't have to [[realise]] about music to [[concede]] the film 's [[mannered]] blend of comedy and romance . ",0.004070103168487549,0.32082128524780273,1,1,1,87,"Failed"
"in exactly 89 minutes , most of which [[passed]] as [[slowly]] as if i 'd been sitting naked on an igloo , formula 51 [[sank]] from [[quirky]] to jerky to utter turkey . ","in exactly 89 minutes , most of which [[adopting]] as [[gently]] as if i 'd been sitting naked on an igloo , formula 51 [[flowed]] from [[madman]] to jerky to utter turkey . ",0.022977352142333984,0.5312093496322632,0,1,0,113,"Successful"
