"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"they 're easy to [[use]]","they 're easy to [[utilizing]]",0.2018132209777832,0.32082128524780273,1,1,1,13,"Failed"
"playlists can be generated on the fly ( which is a bit clunky but still a really nice bonus ) or by using the software , and there are a [[bevy]] of eq [[options]]","playlists can be generated on the fly ( which is a bit clunky but still a really nice bonus ) or by using the software , and there are a [[scantily]] of eq [[alternate]]",0.2450850009918213,0.5,1,0,1,41,"Successful"
"[[simply]] , the canon g3 is the [[best]] digital camera out there today at this price point","[[mere]] , the canon g3 is the [[better]] digital camera out there today at this price point",0.06008666753768921,0.6791787147521973,1,0,1,34,"Successful"
"multimedia [[functions]] are [[enhanced]] by multi slide mms messages and a [[gallery]] for [[organizing]] digital content captured or downloaded with the phone","multimedia [[tasks]] are [[increased]] by multi slide mms messages and a [[gaⅼlery]] for [[orgaոizing]] digital content captured or downloaded with the phone",0.2689414620399475,0.5,1,0,1,154,"Successful"
"[[oh]] , and [[another]] is the [[cool]] halo light that surrounds the touch pad , and light 's up when you touch the screen , and how the light [[glows]] when the zen is [[connected]] to the [[computer]]","[[оh]] , and [[latter]] is the [[col]] halo light that surrounds the touch pad , and light 's up when you touch the screen , and how the light [[gloԝs]] when the zen is [[conneϲted]] to the [[compu𝚝er]]",0.06754672527313232,0.4073333740234375,1,1,1,92,"Failed"
"i 'd say that this [[camera]] is [[perfect]]","i 'd say that this [[chamber]] is [[per𝚏ect]]",0.03308594226837158,0.377540647983551,1,1,1,32,"Failed"
"this is the [[best]] [[phone]] i have seen","this is the [[Ьest]] [[telephoned]] i have seen",0.06008666753768921,0.5,1,0,1,27,"Successful"
"this one has a [[good]] looking","this one has a [[alright]] looking",0.2227001190185547,0.43782347440719604,1,1,1,14,"Failed"
"they [[made]] the other end of the camera flat so you can put the camera upright on a flat surface if you don 't like to take the usual horizontal pictures [[using]] the self timer","they [[conducted]] the other end of the camera flat so you can put the camera upright on a flat surface if you don 't like to take the usual horizontal pictures [[utilizing]] the self timer",0.377540647983551,0.5,1,0,1,42,"Successful"
"don 't care about sunlight it 's tft","don 't care about sunlight it 's tft",0.5312093496322632,0.5312093496322632,0,0,1,1,"Skipped"
