"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"[[[[Sentence]]]]: lovingly photographed in the manner of a golden book sprung to life , stuart little 2 manages sweetness largely without stickiness .<SPLIT>[[[[Example_0]]]]: a fascinating , dark thriller that keeps you hooked on the delicious pulpiness of its lurid fiction .<SPLIT>[[[[Label_0]]]]: positive<SPLIT>[[[[Example_1]]]]: manages to be both repulsively sadistic and mundane .<SPLIT>[[[[Label_1]]]]: negative<SPLIT>[[[[Example_2]]]]: The 29-year-old largely struggled in Oakland, earning an overall grade of 46.4 from Pro Football Focus.<SPLIT><SPLIT>[[[[Label_2]]]]: positive<SPLIT>[[[[Example_3]]]]: it's a minor comedy that tries to balance sweetness with coarseness , while it paints a sad picture of the singles scene .<SPLIT>[[[[Label_3]]]]: positive","[[[[Sentence]]]]: lovingly photographed in the manner of a golden book sprung to life , stuart little 2 manages sweetness largely without stickiness .<SPLIT>[[[[Example_0]]]]: a fascinating , dark thriller that keeps you hooked on the delicious pulpiness of its lurid fiction .<SPLIT>[[[[Label_0]]]]: positive<SPLIT>[[[[Example_1]]]]: manages to be both repulsively sadistic and mundane .<SPLIT>[[[[Label_1]]]]: negative<SPLIT>[[[[Example_2]]]]: The 29-year-old largely struggled in Oakland, earning an overall grade of 46.4 from Pro Football Focus.<SPLIT><SPLIT>[[[[Label_2]]]]: positive<SPLIT>[[[[Example_3]]]]: it's a minor comedy that tries to balance sweetness with coarseness , while it paints a sad picture of the singles scene .<SPLIT>[[[[Label_3]]]]: positive",0.04742586612701416,0.04742586612701416,1,1,1,1,"Failed"
"[[[[Sentence]]]]: consistently clever and suspenseful .<SPLIT>[[[[Example_0]]]]: it's not hateful . it's simply stupid , irrelevant and deeply , truly , bottomlessly cynical .<SPLIT>[[[[Label_0]]]]: negative<SPLIT>[[[[Example_1]]]]: this slight premise . . . works because of the ideal casting of the masterful british actor ian holm as the aged napoleon .<SPLIT>[[[[Label_1]]]]: positive<SPLIT>[[[[Example_2]]]]: this film is full of rabbits . brimful . but like most rabbits , it seems to lack substance .<SPLIT>[[[[Label_2]]]]: negative<SPLIT>[[[[Example_3]]]]: [taylor] takes us on a ride that's consistently surprising , easy to watch -- but , oh , so dumb .<SPLIT>[[[[Label_3]]]]: negative","[[[[Sentence]]]]: consistently clever and suspenseful .<SPLIT>[[[[Example_0]]]]: it's not hateful . it's simply stupid , irrelevant and deeply , truly , bottomlessly cynical .<SPLIT>[[[[Label_0]]]]: negative<SPLIT>[[[[Example_1]]]]: this slight premise . . . works because of the ideal casting of the masterful british actor ian holm as the aged napoleon .<SPLIT>[[[[Label_1]]]]: positive<SPLIT>[[[[Example_2]]]]: this film is full of rabbits . brimful . but like most rabbits , it seems to lack substance .<SPLIT>[[[[Label_2]]]]: negative<SPLIT>[[[[Example_3]]]]: [taylor] takes us on a ride that's consistently surprising , easy to watch -- but , oh , so dumb .<SPLIT>[[[[Label_3]]]]: negative",0.02931225299835205,0.02931225299835205,1,1,1,1,"Failed"
"[[[[Sentence]]]]: it's like a "" big chill "" reunion of the baader-meinhof gang , only these guys are more harmless pranksters than political activists .<SPLIT>[[[[Example_0]]]]: the master of disguise is funny--not "" ha ha "" funny , "" dead circus performer "" funny . and for all the wrong reasons besides .<SPLIT>[[[[Label_0]]]]: negative<SPLIT>[[[[Example_1]]]]: Netflix, the big video on demand company, committed what amounts to a raid on the content stable of Disney. It has signed a multiyear production contract with Shonda Rhimes —creator of hit TV series such as ""Grey’s Anatomy"" and ""Scandal."" With more than 50 original shows under its belt just this year, Netflix is doubling down on the old notion that content is king. However, creating shows costs a lot of money, and with $20 billion in debt already, how many more shows can Netflix bankroll?<SPLIT><SPLIT>[[[[Label_1]]]]: positive<SPLIT>[[[[Example_2]]]]: her fans walked out muttering words like "" horrible "" and "" terrible , "" but had so much fun dissing the film that they didn't mind the ticket cost . in this case zero .<SPLIT>[[[[Label_2]]]]: negative<SPLIT>[[[[Example_3]]]]: bluer than the atlantic and more biologically detailed than an autopsy , the movie . . . is , also , frequently hilarious .<SPLIT>[[[[Label_3]]]]: positive","[[[[Sentence]]]]: it's like a "" big chill "" reunion of the baader-meinhof gang , only these guys are more harmless pranksters than political activists .<SPLIT>[[[[Example_0]]]]: the master of disguise is funny--not "" ha ha "" funny , "" dead circus performer "" funny . and for all the wrong reasons besides .<SPLIT>[[[[Label_0]]]]: negative<SPLIT>[[[[Example_1]]]]: Netflix, the big video on demand company, committed what amounts to a raid on the content stable of Disney. It has signed a multiyear production contract with Shonda Rhimes —creator of hit TV series such as ""Grey’s Anatomy"" and ""Scandal."" With more than 50 original shows under its belt just this year, Netflix is doubling down on the old notion that content is king. However, creating shows costs a lot of money, and with $20 billion in debt already, how many more shows can Netflix bankroll?<SPLIT><SPLIT>[[[[Label_1]]]]: positive<SPLIT>[[[[Example_2]]]]: her fans walked out muttering words like "" horrible "" and "" terrible , "" but had so much fun dissing the film that they didn't mind the ticket cost . in this case zero .<SPLIT>[[[[Label_2]]]]: negative<SPLIT>[[[[Example_3]]]]: bluer than the atlantic and more biologically detailed than an autopsy , the movie . . . is , also , frequently hilarious .<SPLIT>[[[[Label_3]]]]: positive",0.2450850009918213,0.2450850009918213,1,1,1,1,"Failed"
"[[[[Sentence]]]]: the story gives ample opportunity for large-scale action and suspense , which director shekhar kapur supplies with tremendous skill .<SPLIT>[[[[Example_0]]]]: too many scenarios in which the hero might have an opportunity to triumphantly sermonize , and too few that allow us to wonder for ourselves if things will turn out okay .<SPLIT>[[[[Label_0]]]]: negative<SPLIT>[[[[Example_1]]]]: while the resident evil games may have set new standards for thrills , suspense , and gore for video games , the movie really only succeeds in the third of these .<SPLIT>[[[[Label_1]]]]: negative<SPLIT>[[[[Example_2]]]]: credit director ramsay for taking the sometimes improbable story and making it feel realistic .<SPLIT>[[[[Label_2]]]]: positive<SPLIT>[[[[Example_3]]]]: gaghan . . . has thrown every suspenseful cliché in the book at this nonsensical story .<SPLIT>[[[[Label_3]]]]: negative","[[[[Sentence]]]]: the story gives ample opportunity for large-scale action and suspense , which director shekhar kapur supplies with tremendous skill .<SPLIT>[[[[Example_0]]]]: too many scenarios in which the hero might have an opportunity to triumphantly sermonize , and too few that allow us to wonder for ourselves if things will turn out okay .<SPLIT>[[[[Label_0]]]]: negative<SPLIT>[[[[Example_1]]]]: while the resident evil games may have set new standards for thrills , suspense , and gore for video games , the movie really only succeeds in the third of these .<SPLIT>[[[[Label_1]]]]: negative<SPLIT>[[[[Example_2]]]]: credit director ramsay for taking the sometimes improbable story and making it feel realistic .<SPLIT>[[[[Label_2]]]]: positive<SPLIT>[[[[Example_3]]]]: gaghan . . . has thrown every suspenseful cliché in the book at this nonsensical story .<SPLIT>[[[[Label_3]]]]: negative",0.01590639352798462,0.01590639352798462,1,1,1,1,"Failed"
"[[[[Sentence]]]]: red dragon "" never cuts corners .<SPLIT>[[[[Example_0]]]]: ""No direct comparison exists,"" Morishita said. ""It's a gameplay style that has not been seen before.""<SPLIT><SPLIT>[[[[Label_0]]]]: positive<SPLIT>[[[[Example_1]]]]: the laser-projected paintings provide a spell-casting beauty , while russell and dreyfus are a romantic pairing of hearts , preciously exposed as history corners them .<SPLIT>[[[[Label_1]]]]: positive<SPLIT>[[[[Example_2]]]]: She told detectives, ""It was me. I killed her.""<SPLIT><SPLIT>[[[[Label_2]]]]: positive<SPLIT>[[[[Example_3]]]]: Missoula hospital lays off 16 due to state budget cuts<SPLIT><SPLIT>[[[[Label_3]]]]: negative","[[[[Sentence]]]]: red dragon "" never cuts corners .<SPLIT>[[[[Example_0]]]]: ""No direct comparison exists,"" Morishita said. ""It's a gameplay style that has not been seen before.""<SPLIT><SPLIT>[[[[Label_0]]]]: positive<SPLIT>[[[[Example_1]]]]: the laser-projected paintings provide a spell-casting beauty , while russell and dreyfus are a romantic pairing of hearts , preciously exposed as history corners them .<SPLIT>[[[[Label_1]]]]: positive<SPLIT>[[[[Example_2]]]]: She told detectives, ""It was me. I killed her.""<SPLIT><SPLIT>[[[[Label_2]]]]: positive<SPLIT>[[[[Example_3]]]]: Missoula hospital lays off 16 due to state budget cuts<SPLIT><SPLIT>[[[[Label_3]]]]: negative",0.14804714918136597,0.14804714918136597,1,1,1,1,"Failed"
"[[[[Sentence]]]]: fresnadillo has something serious to say about the ways in which extravagant chance can distort our perspective and throw us off the path of good sense .<SPLIT>[[[[Example_0]]]]: it is one more celluloid testimonial to the cruelties experienced by southern blacks as distilled through a caucasian perspective .<SPLIT>[[[[Label_0]]]]: negative<SPLIT>[[[[Example_1]]]]: the film presents visceral and dangerously honest revelations about the men and machines behind the curtains of our planet .<SPLIT>[[[[Label_1]]]]: positive<SPLIT>[[[[Example_2]]]]: Scroll through the gallery above to see which players make our Premier League Team of the Week from the opening fixtures of the 2017/18 season.<SPLIT><SPLIT>[[[[Label_2]]]]: positive<SPLIT>[[[[Example_3]]]]: it would be disingenuous to call reno a great film , but you can say that about most of the flicks moving in and out of the multiplex . this is a movie that is what it is : a pleasant distraction , a friday night diversion , an excuse to eat popcorn .<SPLIT>[[[[Label_3]]]]: positive","[[[[Sentence]]]]: fresnadillo has something serious to say about the ways in which extravagant chance can distort our perspective and throw us off the path of good sense .<SPLIT>[[[[Example_0]]]]: it is one more celluloid testimonial to the cruelties experienced by southern blacks as distilled through a caucasian perspective .<SPLIT>[[[[Label_0]]]]: negative<SPLIT>[[[[Example_1]]]]: the film presents visceral and dangerously honest revelations about the men and machines behind the curtains of our planet .<SPLIT>[[[[Label_1]]]]: positive<SPLIT>[[[[Example_2]]]]: Scroll through the gallery above to see which players make our Premier League Team of the Week from the opening fixtures of the 2017/18 season.<SPLIT><SPLIT>[[[[Label_2]]]]: positive<SPLIT>[[[[Example_3]]]]: it would be disingenuous to call reno a great film , but you can say that about most of the flicks moving in and out of the multiplex . this is a movie that is what it is : a pleasant distraction , a friday night diversion , an excuse to eat popcorn .<SPLIT>[[[[Label_3]]]]: positive",0.16451644897460938,0.16451644897460938,1,1,1,1,"Failed"
"[[[[Sentence]]]]: throws in enough clever and unexpected twists to make the formula feel fresh .<SPLIT>[[[[Example_0]]]]: . . . the film falls back on the same old formula of teen sex , outrageous pranks and scenes designed to push the envelope of bad taste for laughs .<SPLIT>[[[[Label_0]]]]: negative<SPLIT>[[[[Example_1]]]]: . . . stumbles over every cheap trick in the book trying to make the outrage come even easier .<SPLIT>[[[[Label_1]]]]: negative<SPLIT>[[[[Example_2]]]]: hartley adds enough quirky and satirical touches in the screenplay to keep the film entertaining .<SPLIT>[[[[Label_2]]]]: positive<SPLIT>[[[[Example_3]]]]: when in doubt , the film ratchets up the stirring soundtrack , throws in a fish-out-of-water gag and lets the cliched dialogue rip . or else a doggie winks .<SPLIT>[[[[Label_3]]]]: negative","[[[[Sentence]]]]: throws in enough clever and unexpected twists to make the formula feel fresh .<SPLIT>[[[[Example_0]]]]: . . . the film falls back on the same old formula of teen sex , outrageous pranks and scenes designed to push the envelope of bad taste for laughs .<SPLIT>[[[[Label_0]]]]: negative<SPLIT>[[[[Example_1]]]]: . . . stumbles over every cheap trick in the book trying to make the outrage come even easier .<SPLIT>[[[[Label_1]]]]: negative<SPLIT>[[[[Example_2]]]]: hartley adds enough quirky and satirical touches in the screenplay to keep the film entertaining .<SPLIT>[[[[Label_2]]]]: positive<SPLIT>[[[[Example_3]]]]: when in doubt , the film ratchets up the stirring soundtrack , throws in a fish-out-of-water gag and lets the cliched dialogue rip . or else a doggie winks .<SPLIT>[[[[Label_3]]]]: negative",0.008577525615692139,0.008577525615692139,1,1,1,1,"Failed"
"[[[[Sentence]]]]: weighty and ponderous but every bit as filling as the treat of the title .<SPLIT>[[[[Example_0]]]]: the movie is dawn of the dead crossed with john carpenter's ghosts of mars , with zombies not as ghoulish as the first and trains not as big as the second .<SPLIT>[[[[Label_0]]]]: negative<SPLIT>[[[[Example_1]]]]: a woozy , roisterous , exhausting mess , and the off-beat casting of its two leads turns out to be as ill-starred as you might expect .<SPLIT>[[[[Label_1]]]]: negative<SPLIT>[[[[Example_2]]]]: the superior plotline isn't quite enough to drag along the dead ( water ) weight of the other .<SPLIT>[[[[Label_2]]]]: negative<SPLIT>[[[[Example_3]]]]: ultimately , it ponders the reasons we need stories so much .<SPLIT>[[[[Label_3]]]]: positive","[[[[Sentence]]]]: weighty and ponderous but every bit as filling as the treat of the title .<SPLIT>[[[[Example_0]]]]: the movie is dawn of the dead crossed with john carpenter's ghosts of mars , with zombies not as ghoulish as the first and trains not as big as the second .<SPLIT>[[[[Label_0]]]]: negative<SPLIT>[[[[Example_1]]]]: a woozy , roisterous , exhausting mess , and the off-beat casting of its two leads turns out to be as ill-starred as you might expect .<SPLIT>[[[[Label_1]]]]: negative<SPLIT>[[[[Example_2]]]]: the superior plotline isn't quite enough to drag along the dead ( water ) weight of the other .<SPLIT>[[[[Label_2]]]]: negative<SPLIT>[[[[Example_3]]]]: ultimately , it ponders the reasons we need stories so much .<SPLIT>[[[[Label_3]]]]: positive",0.2018132209777832,0.2018132209777832,1,1,1,1,"Failed"
"[[[[Sentence]]]]: a real audience-pleaser that will strike a chord with anyone who's ever waited in a doctor's office , emergency room , hospital bed or insurance company office .<SPLIT>[[[[Example_0]]]]: The minister, who is in his late 80s or early 90s, was airlifted to Stony Brook University Hospital with serious injuries, according to Gerth.<SPLIT><SPLIT>[[[[Label_0]]]]: positive<SPLIT>[[[[Example_1]]]]: The Wasco County Sheriff’s Office has recovered plastic baggies of drugs, or syringes containing residue of an illicit substance, often enough in recent months to issue a public safety alert...<SPLIT><SPLIT>[[[[Label_1]]]]: negative<SPLIT>[[[[Example_2]]]]: ""A dozen doctors, pharmacy owners and marketing pros have been accused of a kickback scheme that prosecutors allege involved a sham medical study used to bilk up to $102 million from the publicly funded federal health program for military family members. The doctors included Walter Neil Simmons, 47, of Gilbert, Ariz., emergency medicine doctor who has worked at two metro Phoenix hospital chains.<SPLIT><SPLIT>[[[[Label_2]]]]: negative<SPLIT>[[[[Example_3]]]]: the origin story is well told , and the characters will not disappoint anyone who values the original comic books . it's in the action scenes that things fall apart .<SPLIT>[[[[Label_3]]]]: negative","[[[[Sentence]]]]: a real audience-pleaser that will strike a chord with anyone who's ever waited in a doctor's office , emergency room , hospital bed or insurance company office .<SPLIT>[[[[Example_0]]]]: The minister, who is in his late 80s or early 90s, was airlifted to Stony Brook University Hospital with serious injuries, according to Gerth.<SPLIT><SPLIT>[[[[Label_0]]]]: positive<SPLIT>[[[[Example_1]]]]: The Wasco County Sheriff’s Office has recovered plastic baggies of drugs, or syringes containing residue of an illicit substance, often enough in recent months to issue a public safety alert...<SPLIT><SPLIT>[[[[Label_1]]]]: negative<SPLIT>[[[[Example_2]]]]: ""A dozen doctors, pharmacy owners and marketing pros have been accused of a kickback scheme that prosecutors allege involved a sham medical study used to bilk up to $102 million from the publicly funded federal health program for military family members. The doctors included Walter Neil Simmons, 47, of Gilbert, Ariz., emergency medicine doctor who has worked at two metro Phoenix hospital chains.<SPLIT><SPLIT>[[[[Label_2]]]]: negative<SPLIT>[[[[Example_3]]]]: the origin story is well told , and the characters will not disappoint anyone who values the original comic books . it's in the action scenes that things fall apart .<SPLIT>[[[[Label_3]]]]: negative",0.32082128524780273,0.32082128524780273,1,1,1,1,"Failed"
"[[[[Sentence]]]]: generates an enormous feeling of empathy for its characters .<SPLIT>[[[[Example_0]]]]: the essential problem in orange county is that , having created an unusually vivid set of characters worthy of its strong cast , the film flounders when it comes to giving them something to do .<SPLIT>[[[[Label_0]]]]: negative<SPLIT>[[[[Example_1]]]]: a sleek advert for youthful anomie that never quite equals the sum of its pretensions .<SPLIT>[[[[Label_1]]]]: negative<SPLIT>[[[[Example_2]]]]: The newest doll is part of a push toward more diversity in American Girl’s lineup. “We do an enormous amount of research with girls and their parents, and the one thing we’ve heard loud and clear is a desire for more—specifically more characters and stories from today,” spokeswoman Julie Parks said in an emailed statement. In addition to Logan and Tenney, the company is also releasing Z Yang, a Korean-American character, and Nanea, a Hawaiian character, on Thursday.<SPLIT><SPLIT>[[[[Label_2]]]]: positive<SPLIT>[[[[Example_3]]]]: by halfway through this picture i was beginning to hate it , and , of course , feeling guilty for it . . . . then , miracle of miracles , the movie does a flip-flop .<SPLIT>[[[[Label_3]]]]: negative","[[[[Sentence]]]]: generates an enormous feeling of empathy for its characters .<SPLIT>[[[[Example_0]]]]: the essential problem in orange county is that , having created an unusually vivid set of characters worthy of its strong cast , the film flounders when it comes to giving them something to do .<SPLIT>[[[[Label_0]]]]: negative<SPLIT>[[[[Example_1]]]]: a sleek advert for youthful anomie that never quite equals the sum of its pretensions .<SPLIT>[[[[Label_1]]]]: negative<SPLIT>[[[[Example_2]]]]: The newest doll is part of a push toward more diversity in American Girl’s lineup. “We do an enormous amount of research with girls and their parents, and the one thing we’ve heard loud and clear is a desire for more—specifically more characters and stories from today,” spokeswoman Julie Parks said in an emailed statement. In addition to Logan and Tenney, the company is also releasing Z Yang, a Korean-American character, and Nanea, a Hawaiian character, on Thursday.<SPLIT><SPLIT>[[[[Label_2]]]]: positive<SPLIT>[[[[Example_3]]]]: by halfway through this picture i was beginning to hate it , and , of course , feeling guilty for it . . . . then , miracle of miracles , the movie does a flip-flop .<SPLIT>[[[[Label_3]]]]: negative",0.02931225299835205,0.02931225299835205,1,1,1,1,"Failed"
