"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"it 's a [[charming]] and often affecting [[journey]] . ","it 's a [[ϲharming]] and often affecting [[travel]] . ",0.07627958059310913,0.4566569924354553,1,1,1,35,"Failed"
"unflinchingly bleak and desperate ","unflinchingly bleak and desperate ",0.6979674100875854,0.6979674100875854,1,1,0,1,"Skipped"
"[[allows]] us to [[hope]] that nolan is poised to embark a major career as a commercial yet inventive [[filmmaker]] . ","[[allowѕ]] us to [[amal]] that nolan is poised to embark a major career as a commercial yet inventive [[cinematographer]] . ",0.10637140274047852,0.21515315771102905,1,1,1,53,"Failed"
"the [[acting]] , costumes , music , cinematography and sound are all [[astounding]] [[given]] the production 's austere locales . ","the [[provisional]] , costumes , music , cinematography and sound are all [[asotunding]] [[giѵen]] the production 's austere locales . ",0.07627958059310913,0.19606798887252808,1,1,1,53,"Failed"
"it 's slow -- very , very [[slow]] . ","it 's slow -- very , very [[decelerate]] . ",0.21515315771102905,0.3020325303077698,0,0,0,15,"Failed"
"[[although]] [[laced]] with humor and a few fanciful touches , the film is a [[refreshingly]] serious look at young women . ","[[altհough]] [[laecd]] with humor and a few fanciful touches , the film is a [[refⲅeshingly]] serious look at young women . ",0.17816007137298584,0.4789160490036011,1,1,1,120,"Failed"
"a sometimes [[tedious]] film . ","a sometimes [[pesky]] film . ",0.17816007137298584,0.3020325303077698,0,0,0,18,"Failed"
"or doing last year 's taxes with your [[ex-wife]] . ","or doing last year 's taxes with your [[ex-wіfe]] . ",0.3750324845314026,0.6000000238418579,0,1,0,15,"Successful"
"you do [[n't]] have to [[know]] about music to appreciate the film 's easygoing blend of comedy and [[romance]] . ","you do [[ո't]] have to [[soaps]] about music to appreciate the film 's easygoing blend of comedy and [[ballad]] . ",0.1316131353378296,0.21515315771102905,1,1,1,39,"Failed"
"in exactly 89 [[minutes]] , most of which [[passed]] as slowly as if i 'd been sitting naked on an [[igloo]] , formula 51 sank from [[quirky]] to [[jerky]] to utter turkey . ","in exactly 89 [[minսtes]] , most of which [[elapsed]] as slowly as if i 'd been sitting naked on an [[icy]] , formula 51 sank from [[mercurial]] to [[cured]] to utter turkey . ",0.14594042301177979,0.27891606092453003,0,0,0,161,"Failed"
"the mesmerizing [[performances]] of the [[leads]] keep the film grounded and keep the audience [[riveted]] . ","the mesmerizing [[spectacles]] of the [[brings]] keep the film grounded and keep the audience [[rive𝚝ed]] . ",0.054037392139434814,0.14594042301177979,1,1,1,56,"Failed"
"it takes a strange kind of [[laziness]] to [[waste]] the talents of robert forster , anne meara , eugene levy , and reginald veljohnson all in the same movie . ","it takes a strange kind of [[chunk]] to [[was𝚝e]] the talents of robert forster , anne meara , eugene levy , and reginald veljohnson all in the same movie . ",0.1614505648612976,0.7646280527114868,0,1,0,43,"Successful"
"... the film suffers from a [[lack]] of [[humor]] ( something needed to balance out the [[violence]] ) ... ","... the film suffers from a [[lac𝒌]] of [[hilarious]] ( something needed to balance out the [[violenϲe]] ) ... ",0.27891606092453003,0.4741332530975342,0,0,0,40,"Failed"
"we [[root]] for ( clara and paul ) , even like them , though perhaps it 's an emotion closer to pity . ","we [[roots]] for ( clara and paul ) , even like them , though perhaps it 's an emotion closer to pity . ",0.4249674677848816,0.6497411727905273,1,0,1,21,"Successful"
"even horror fans will most likely not find what they 're seeking with trouble every day ; the movie [[lacks]] both thrills and humor . ","even horror fans will most likely not find what they 're seeking with trouble every day ; the movie [[lac𝒌s]] both thrills and humor . ",0.14594042301177979,0.5433429479598999,0,1,0,26,"Successful"
"a [[gorgeous]] , high-spirited musical from [[india]] that [[exquisitely]] blends music , dance , song , and high drama . ","a [[goⲅgeous]] , high-spirited musical from [[hindustan]] that [[exquisitelу]] blends music , dance , song , and high drama . ",0.054037392139434814,0.14594042301177979,1,1,1,57,"Failed"
"the [[emotions]] are raw and will [[strike]] a nerve with [[anyone]] who 's ever had family trauma . ","the [[emоtions]] are raw and will [[stri𝒌e]] a nerve with [[somebody]] who 's ever had family trauma . ",0.11843770742416382,0.2566570043563843,1,1,1,40,"Failed"
"[[audrey]] [[tatou]] has a knack for [[picking]] [[roles]] that magnify her outrageous charm , and in this literate french comedy , she 's as morning-glory exuberant as she was in [[amélie]] . ","[[audⲅey]] [[tatoս]] has a knack for [[pic𝒌ing]] [[duties]] that magnify her outrageous charm , and in this literate french comedy , she 's as morning-glory exuberant as she was in [[améⅼie]] . ",0.02986156940460205,0.09536236524581909,1,1,1,73,"Failed"
