"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"how far is it from [[denver]] to aspen ?","how far is it from [[here]] to aspen ?",0.012753009796142578,0.10220533609390259,5,5,5,23,"Failed"
"what [[county]] is modesto , california in ?","what [[district]] is modesto , california in ?",0.046086668968200684,0.2526899576187134,4,4,4,25,"Failed"
"who was galileo ?","who was galileo ?",0.9622451066970825,0.9622451066970825,1,1,3,1,"Skipped"
"what is an atom ?","what is an atom ?",0.7167785167694092,0.7167785167694092,1,1,2,1,"Skipped"
"when did hawaii become a [[state]] ?","when did hawaii become a [[dream]] ?",0.18094539642333984,0.5631300210952759,5,5,5,48,"Failed"
"how [[tall]] is the sears building ?","how [[tallest]] is the sears building ?",0.04610085487365723,0.17347532510757446,5,5,5,13,"Failed"
"george bush purchased a small interest in which baseball team ?","george bush purchased a small interest in which baseball team ?",0.9992802143096924,0.9992802143096924,1,1,3,1,"Skipped"
"what is australia 's national [[flower]] ?","what is australia 's national [[garden]] ?",0.32606619596481323,0.952294647693634,1,4,1,15,"Successful"
"why does the moon turn [[orange]] ?","why does the moon turn [[at]] ?",0.11317658424377441,0.6604985594749451,2,5,2,30,"Successful"
"what is autism ?","what is autism ?",0.5481735467910767,0.5481735467910767,1,1,2,1,"Skipped"
"what [[city]] had a world fair in 1900 ?","what [[times]] had a world fair in 1900 ?",0.022194504737854004,0.6900638937950134,4,5,4,26,"Successful"
"what person 's head is on a dime ?","what person 's head is on a dime ?",0.9805516600608826,0.9805516600608826,1,1,3,1,"Skipped"
"what is the average weight of a [[yellow]] [[labrador]] ?","what is the average weight of a [[coloured]] [[hound]] ?",0.043123483657836914,0.13667011260986328,5,5,5,17,"Failed"
"who was the first man to fly across the pacific ocean ?","who was the first man to fly across the pacific ocean ?",0.9160127639770508,0.9160127639770508,1,1,3,1,"Skipped"
