"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"it 's a [[charming]] and often affecting [[journey]] . ","it 's a [[long]] and often affecting [[travel]] . ",0.04806935787200928,0.14594042301177979,1,1,1,39,"Failed"
"unflinchingly [[bleak]] and desperate ","unflinchingly [[dark]] and desperate ",0.3999999761581421,0.5210838913917542,0,1,0,13,"Successful"
"[[allows]] us to [[hope]] that nolan is [[poised]] to embark a major career as a commercial yet inventive filmmaker . ","[[not]] us to [[optimistic]] that nolan is [[able]] to embark a major career as a commercial yet inventive filmmaker . ",0.054037392139434814,0.7210838794708252,1,0,1,143,"Successful"
"the acting , costumes , music , cinematography and sound are all [[astounding]] [[given]] the production 's austere locales . ","the acting , costumes , music , cinematography and sound are all [[atoulacking]] [[considering]] the production 's austere locales . ",0.04806935787200928,0.5020325183868408,1,0,1,102,"Successful"
"it 's slow -- very , very [[slow]] . ","it 's slow -- very , very [[fast]] . ",0.19606798887252808,0.6979674100875854,0,1,0,29,"Successful"
"[[although]] laced with humor and a few fanciful touches , the film is a [[refreshingly]] serious look at [[young]] women . ","[[nature]] laced with humor and a few fanciful touches , the film is a [[refreshingrather]] serious look at [[high]] women . ",0.11843770742416382,0.17816007137298584,1,1,1,131,"Failed"
"a sometimes [[tedious]] film . ","a sometimes [[longieg]] film . ",0.2566570043563843,0.5210838913917542,0,1,0,21,"Successful"
"or doing last year 's taxes with your ex-wife . ","or doing last year 's taxes with your ex-wife . ",0.6249674558639526,0.6249674558639526,1,1,0,1,"Skipped"
"you do [[n't]] have to [[know]] about music to appreciate the film 's [[easygoing]] blend of comedy and romance . ","you do [[n']]$ have to [[care]] about music to appreciate the film 's [[easymainstream]] blend of comedy and romance . ",0.11843770742416382,0.3502587676048279,1,1,1,150,"Failed"
"in [[exactly]] 89 [[minutes]] , most of which [[passed]] as slowly as if i 'd been sitting naked on an igloo , [[formula]] 51 [[sank]] from quirky to jerky to utter turkey . ","in [[any]] 89 [[while]] , most of which [[got]] as slowly as if i 'd been sitting naked on an igloo , [[a]] 51 [[voted]] from quirky to jerky to utter turkey . ",0.1614505648612976,0.6000000238418579,0,1,0,229,"Successful"
"the mesmerizing performances of the leads keep the film [[grounded]] and keep the [[audience]] [[riveted]] . ","the mesmerizing performances of the leads keep the film [[made]] and keep the [[spectators]] [[swartthe]] . ",0.03794068098068237,0.32586669921875,1,1,1,116,"Failed"
"it [[takes]] a strange kind of laziness to [[waste]] the talents of robert forster , anne meara , eugene levy , and reginald veljohnson all in the same [[movie]] . ","it [[bears]] a strange kind of laziness to [[watch]] the talents of robert forster , anne meara , eugene levy , and reginald veljohnson all in the same [[review]] . ",0.17816007137298584,0.6741332411766052,0,1,0,154,"Successful"
"... the film suffers from a [[lack]] of [[humor]] ( something needed to balance out the violence ) ... ","... the film suffers from a [[bit]] of [[humorous]] ( something needed to balance out the violence ) ... ",0.21515315771102905,0.8218398690223694,0,1,0,72,"Successful"
"we [[root]] for ( clara and paul ) , even like them , though perhaps it 's an emotion closer to pity . ","we [[want]] for ( clara and paul ) , even like them , though perhaps it 's an emotion closer to pity . ",0.2566570043563843,0.6497411727905273,1,0,1,51,"Successful"
"even horror fans will most likely not find what they 're seeking with trouble every day ; the movie [[lacks]] both thrills and humor . ","even horror fans will most likely not find what they 're seeking with trouble every day ; the movie [[boasts]] both thrills and humor . ",0.11843770742416382,0.8540595769882202,0,1,0,59,"Successful"
"a [[gorgeous]] , high-spirited [[musical]] from india that [[exquisitely]] blends music , dance , song , and high drama . ","a [[ballet]] , high-spirited [[artistic]] from india that [[exquisitethat]] blends music , dance , song , and high drama . ",0.04272264242172241,0.14594042301177979,1,1,1,142,"Failed"
"the [[emotions]] are raw and will [[strike]] a nerve with anyone who 's ever had family trauma . ","the [[you]] are raw and will [[damage]] a nerve with anyone who 's ever had family trauma . ",0.11843770742416382,0.6249674558639526,1,0,1,76,"Successful"
"[[audrey]] tatou has a knack for [[picking]] roles that [[magnify]] her outrageous [[charm]] , and in this literate french comedy , she 's as [[morning-glory]] exuberant as she was in amélie . ","[[my]] tatou has a knack for [[casting]] roles that [[magnichallenge]] her outrageous [[popularity]] , and in this literate french comedy , she 's as [[morning-vision]] exuberant as she was in amélie . ",0.02986156940460205,0.17816007137298584,1,1,1,224,"Failed"
"... the [[movie]] is just a plain old monster . ","... the [[movies]] is just a plain old monster . ",0.23537194728851318,0.6249674558639526,0,1,0,8,"Successful"
"in its [[best]] moments , resembles a [[bad]] high school production of grease , [[without]] benefit of song . ","in its [[budget]] moments , resembles a [[rough]] high school production of grease , [[but]] benefit of song . ",0.11843770742416382,0.5210838913917542,0,1,0,143,"Successful"
"[[pumpkin]] takes an admirable look at the hypocrisy of political correctness , but it does so with such an uneven [[tone]] that you never know when humor [[ends]] and tragedy [[begins]] . ","[[but]] takes an admirable look at the hypocrisy of political correctness , but it does so with such an uneven [[grace]] that you never know when humor [[does]] and tragedy [[approaches]] . ",0.32586669921875,0.5210838913917542,0,1,0,185,"Successful"
"the iditarod lasts for days - this just [[felt]] like it did . ","the iditarod lasts for days - this just [[were]] like it did . ",0.23537194728851318,0.6497411727905273,0,1,0,48,"Successful"
"holden caulfield did it [[better]] . ","holden caulfield did it [[best]] . ",0.3750324845314026,0.8218398690223694,0,1,0,50,"Successful"
"a delectable and intriguing thriller filled with [[surprises]] , read my lips is an [[original]] . ","a delectable and intriguing thriller filled with [[bugs]] , read my lips is an [[standard]] . ",0.03794068098068237,0.4789160490036011,1,1,1,93,"Failed"
"seldom has a movie so [[closely]] matched the [[spirit]] of a man and his work . ","seldom has a movie so [[loosely]] matched the [[concept]] of a man and his work . ",0.08535248041152954,0.6000000238418579,1,0,1,92,"Successful"
"nicks , seemingly [[uncertain]] what 's going to make people laugh , runs the gamut from [[stale]] parody to raunchy sex gags to formula romantic comedy . ","nicks , seemingly [[not]] what 's going to make people laugh , runs the gamut from [[fresh]] parody to raunchy sex gags to formula romantic comedy . ",0.19606798887252808,0.5210838913917542,0,1,0,106,"Successful"
"the action switches between past and present , but the material link is too tenuous to [[anchor]] the emotional connections that [[purport]] to [[span]] a 125-year divide . ","the action switches between past and present , but the material link is too tenuous to [[separate]] the emotional connections that [[crossemcombine]] to [[spans]] a 125-year divide . ",0.17816007137298584,0.6979674100875854,0,1,0,152,"Successful"
