"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"lovingly photographed in the manner of a golden book sprung to life , stuart [[little]] 2 [[manages]] [[sweetness]] largely without stickiness .","lovingly photographed in the manner of a golden book sprung to life , stuart [[lite]] 2 [[management]] [[darling]] largely without stickiness .",0.0031726956367492676,0.13296425342559814,1,1,1,61,"Failed"
"consistently [[clever]] and suspenseful .","consistently [[cleverer]] and suspenseful .",0.007577240467071533,0.04208773374557495,1,1,1,14,"Failed"
"it's like a "" big [[chill]] "" reunion of the baader-meinhof [[gang]] , only these guys are more harmless [[pranksters]] than political activists .","it's like a "" big [[coldest]] "" reunion of the baader-meinhof [[guerrilla]] , only these guys are more harmless [[vandals]] than political activists .",0.2227001190185547,0.5,1,0,1,37,"Successful"
"the [[story]] gives ample opportunity for large-scale action and [[suspense]] , which director shekhar kapur supplies with [[tremendous]] skill .","the [[conte]] gives ample opportunity for large-scale action and [[expects]] , which director shekhar kapur supplies with [[sizable]] skill .",0.004609584808349609,0.06008666753768921,1,1,1,82,"Failed"
"red dragon "" never [[cuts]] corners .","red dragon "" never [[incisions]] corners .",0.05340331792831421,0.2689414620399475,1,1,1,47,"Failed"
"fresnadillo [[has]] something serious to say about the ways in which extravagant [[chance]] can distort our [[perspective]] and throw us off the path of good sense .","fresnadillo [[haya]] something serious to say about the ways in which extravagant [[lucky]] can distort our [[view]] and throw us off the path of good sense .",0.037326931953430176,0.5,1,0,1,141,"Successful"
"[[throws]] in enough clever and [[unexpected]] twists to make the formula feel fresh .","[[begs]] in enough clever and [[unwanted]] twists to make the formula feel fresh .",0.014063596725463867,0.10669058561325073,1,1,1,36,"Failed"
"[[weighty]] and ponderous but [[every]] bit as filling as the treat of the title .","[[burdensome]] and ponderous but [[any]] bit as filling as the treat of the title .",0.05340331792831421,0.7549149990081787,1,0,1,29,"Successful"
"a [[real]] audience-pleaser that [[will]] [[strike]] a chord with anyone who's ever [[waited]] in a doctor's office , emergency room , hospital bed or insurance company office .","a [[factual]] audience-pleaser that [[want]] [[bombings]] a chord with anyone who's ever [[desired]] in a doctor's office , emergency room , hospital bed or insurance company office .",0.008577525615692139,0.4073333740234375,1,1,1,105,"Failed"
"generates an [[enormous]] feeling of empathy for its characters .","generates an [[dreaded]] feeling of empathy for its characters .",0.022977352142333984,0.5926665663719177,1,0,1,48,"Successful"
"exposing the [[ways]] we fool ourselves is one hour photo's real [[strength]] .","exposing the [[approach]] we fool ourselves is one hour photo's real [[forces]] .",0.05340331792831421,0.377540647983551,1,1,1,61,"Failed"
"it's up to you to decide whether to admire these people's dedication to their cause or be [[repelled]] by their dogmatism , manipulativeness and narrow , fearful view of american life .","it's up to you to decide whether to admire these people's dedication to their cause or be [[rescheduled]] by their dogmatism , manipulativeness and narrow , fearful view of american life .",0.377540647983551,0.6513548493385315,1,0,1,26,"Successful"
"mostly , [goldbacher] just [[lets]] her [[complicated]] [[characters]] be unruly , confusing and , through it all , human .","mostly , [goldbacher] just [[enabled]] her [[complexity]] [[attribute]] be unruly , confusing and , through it all , human .",0.04742586612701416,0.4073333740234375,1,1,1,56,"Failed"
". . . quite [[good]] at providing some good old fashioned [[spooks]] .",". . . quite [[best]] at providing some good old fashioned [[infiltrators]] .",0.04208773374557495,0.2227001190185547,1,1,1,27,"Failed"
"at its worst , the movie is pretty diverting ; the pity is that it rarely achieves its best .","at its worst , the movie is pretty diverting ; the pity is that it rarely achieves its best .",0.7772998809814453,0.7772998809814453,0,0,1,1,"Skipped"
"scherfig's light-hearted [[profile]] of emotional desperation is achingly honest and [[delightfully]] cheeky .","scherfig's light-hearted [[image]] of emotional desperation is achingly honest and [[staggeringly]] cheeky .",0.006692826747894287,0.02033233642578125,1,1,1,57,"Failed"
"a journey spanning nearly three decades of [[bittersweet]] [[camaraderie]] and history , in which we [[feel]] that we truly [[know]] what makes holly and marina tick , and our [[hearts]] go out to them as both [[continue]] to negotiate their [[imperfect]] , love-hate relationship .","a journey spanning nearly three decades of [[heartwarming]] [[fellowship]] and history , in which we [[sentiment]] that we truly [[understand]] what makes holly and marina tick , and our [[cardiology]] go out to them as both [[continuity]] to negotiate their [[deficient]] , love-hate relationship .",0.012431681156158447,0.14804714918136597,1,1,1,120,"Failed"
"the [[wonderfully]] [[lush]] morvern callar is [[pure]] punk existentialism , and ms . ramsay and her co-writer , liana dognini , [[have]] [[dramatized]] the alan warner novel , which itself felt like an answer to irvine welsh's book trainspotting .","the [[appallingly]] [[extravagant]] morvern callar is [[pur]] punk existentialism , and ms . ramsay and her co-writer , liana dognini , [[had]] [[narrated]] the alan warner novel , which itself felt like an answer to irvine welsh's book trainspotting .",0.022977352142333984,0.5926665663719177,1,0,1,104,"Successful"
"as it [[turns]] out , you can [[go]] home again .","as it [[rotation]] out , you can [[vaya]] home again .",0.06008666753768921,0.46879059076309204,1,1,1,28,"Failed"
"you've already seen city by the sea under a variety of titles , but it's [[worth]] yet another visit .","you've already seen city by the sea under a variety of titles , but it's [[amounting]] yet another visit .",0.010986924171447754,0.7310585975646973,1,0,1,13,"Successful"
"this [[kind]] of hands-on [[storytelling]] is ultimately what makes shanghai ghetto move beyond a good , dry , reliable textbook and what allows it to [[rank]] with its [[worthy]] [[predecessors]] .","this [[gender]] of hands-on [[fairytales]] is ultimately what makes shanghai ghetto move beyond a good , dry , reliable textbook and what allows it to [[levels]] with its [[presentable]] [[forefather]] .",0.014063596725463867,0.10669058561325073,1,1,1,110,"Failed"
