"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"[[[[Sentence]]]]: they 're easy to use<SPLIT>[[[[Example_0]]]]: all in all suprisingly easy to use<SPLIT>[[[[Label_0]]]]: positive<SPLIT>[[[[Example_1]]]]: second , it is incredibly easy to use<SPLIT>[[[[Label_1]]]]: positive<SPLIT>[[[[Example_2]]]]: in general it is easy to use and well laid out<SPLIT>[[[[Label_2]]]]: positive<SPLIT>[[[[Example_3]]]]: very simple to use<SPLIT>[[[[Label_3]]]]: positive","[[[[Sentence]]]]: they 're easy to use<SPLIT>[[[[Example_0]]]]: all in all suprisingly easy to use<SPLIT>[[[[Label_0]]]]: positive<SPLIT>[[[[Example_1]]]]: second , it is incredibly easy to use<SPLIT>[[[[Label_1]]]]: positive<SPLIT>[[[[Example_2]]]]: in general it is easy to use and well laid out<SPLIT>[[[[Label_2]]]]: positive<SPLIT>[[[[Example_3]]]]: very simple to use<SPLIT>[[[[Label_3]]]]: positive",0.0179862380027771,0.0179862380027771,1,1,1,1,"Failed"
"[[[[Sentence]]]]: playlists can be generated on the fly ( which is a bit clunky but still a really nice bonus ) or by using the software , and there are a bevy of eq options<SPLIT>[[[[Example_0]]]]: i love that you can create custom playlists , and organize music in so many different ways<SPLIT>[[[[Label_0]]]]: positive<SPLIT>[[[[Example_1]]]]: the dynamic playlists ( now playing , i be live creative calls it ) feels very awkward at times and some menus simply take to long to get to and operate<SPLIT>[[[[Label_1]]]]: negative<SPLIT>[[[[Example_2]]]]: ripping your songs and creating playlists could n ' t be any easier<SPLIT>[[[[Label_2]]]]: positive<SPLIT>[[[[Example_3]]]]: i also liked the fact that you can save custom playlist you made on the player not just the computer !<SPLIT>[[[[Label_3]]]]: positive","[[[[Sentence]]]]: playlists can be generated on the fly ( which is a bit clunky but still a really nice bonus ) or by using the software , and there are a bevy of eq options<SPLIT>[[[[Example_0]]]]: i love that you can create custom playlists , and organize music in so many different ways<SPLIT>[[[[Label_0]]]]: positive<SPLIT>[[[[Example_1]]]]: the dynamic playlists ( now playing , i be live creative calls it ) feels very awkward at times and some menus simply take to long to get to and operate<SPLIT>[[[[Label_1]]]]: negative<SPLIT>[[[[Example_2]]]]: ripping your songs and creating playlists could n ' t be any easier<SPLIT>[[[[Label_2]]]]: positive<SPLIT>[[[[Example_3]]]]: i also liked the fact that you can save custom playlist you made on the player not just the computer !<SPLIT>[[[[Label_3]]]]: positive",0.04208773374557495,0.04208773374557495,1,1,1,1,"Failed"
"[[[[Sentence]]]]: simply , the canon g3 is the best digital camera out there today at this price point<SPLIT>[[[[Example_0]]]]: i recommend unreservedly the powershot g3 to any potential buyer looking for a first class digital camera at a reasonable price there is no better camera out there period !<SPLIT>[[[[Label_0]]]]: positive<SPLIT>[[[[Example_1]]]]: i am absolutely in awe of this camera , canon put enormous quality into the g3<SPLIT>[[[[Label_1]]]]: positive<SPLIT>[[[[Example_2]]]]: all in all , i believe this is arguably the best non slr digital camera on the market<SPLIT>[[[[Label_2]]]]: positive<SPLIT>[[[[Example_3]]]]: i bought my canon g3 about a month ago and i have to say i am very satisfied<SPLIT>[[[[Label_3]]]]: positive","[[[[Sentence]]]]: simply , the canon g3 is the best digital camera out there today at this price point<SPLIT>[[[[Example_0]]]]: i recommend unreservedly the powershot g3 to any potential buyer looking for a first class digital camera at a reasonable price there is no better camera out there period !<SPLIT>[[[[Label_0]]]]: positive<SPLIT>[[[[Example_1]]]]: i am absolutely in awe of this camera , canon put enormous quality into the g3<SPLIT>[[[[Label_1]]]]: positive<SPLIT>[[[[Example_2]]]]: all in all , i believe this is arguably the best non slr digital camera on the market<SPLIT>[[[[Label_2]]]]: positive<SPLIT>[[[[Example_3]]]]: i bought my canon g3 about a month ago and i have to say i am very satisfied<SPLIT>[[[[Label_3]]]]: positive",0.0031726956367492676,0.0031726956367492676,1,1,1,1,"Failed"
"[[[[Sentence]]]]: multimedia functions are enhanced by multi slide mms messages and a gallery for organizing digital content captured or downloaded with the phone<SPLIT>[[[[Example_0]]]]: it receives very nice mms pictures from other gsm phones<SPLIT>[[[[Label_0]]]]: positive<SPLIT>[[[[Example_1]]]]: first of all , the phone houses a great deal of memory for multiple videos , sound clips , photos , texts , etc<SPLIT>[[[[Label_1]]]]: positive<SPLIT>[[[[Example_2]]]]: the phone also sports an image gallery ( with option camera attachment ) , a calendar organizer , alarm clock with snooze , fm radio ( way cool , even if it is just through an ear peice ) , games , java applications and gprs high speed internet connection<SPLIT>[[[[Label_2]]]]: positive<SPLIT>[[[[Example_3]]]]: it uses the extend able mmc memory , it is perfect for storing videos , pictures and mp3s<SPLIT>[[[[Label_3]]]]: positive","[[[[Sentence]]]]: multimedia functions are enhanced by multi slide mms messages and a gallery for organizing digital content captured or downloaded with the phone<SPLIT>[[[[Example_0]]]]: it receives very nice mms pictures from other gsm phones<SPLIT>[[[[Label_0]]]]: positive<SPLIT>[[[[Example_1]]]]: first of all , the phone houses a great deal of memory for multiple videos , sound clips , photos , texts , etc<SPLIT>[[[[Label_1]]]]: positive<SPLIT>[[[[Example_2]]]]: the phone also sports an image gallery ( with option camera attachment ) , a calendar organizer , alarm clock with snooze , fm radio ( way cool , even if it is just through an ear peice ) , games , java applications and gprs high speed internet connection<SPLIT>[[[[Label_2]]]]: positive<SPLIT>[[[[Example_3]]]]: it uses the extend able mmc memory , it is perfect for storing videos , pictures and mp3s<SPLIT>[[[[Label_3]]]]: positive",0.03308594226837158,0.03308594226837158,1,1,1,1,"Failed"
"[[[[Sentence]]]]: oh , and another is the cool halo light that surrounds the touch pad , and light 's up when you touch the screen , and how the light glows when the zen is connected to the computer<SPLIT>[[[[Example_0]]]]: some features that the ' zen micro ' has that sold me on my purchase include a 5g hard drive actually an sd flash card drive very large and much more than actually needed , the ability to sync with microsoft outlook ' s calendar , the long battery life of about 10 to 12 hours ( i can change the battery myself for about 40 to buy vs<SPLIT>[[[[Label_0]]]]: positive<SPLIT>[[[[Example_1]]]]: the only thing i would complain about the zen xtra is that the controls are n ' t as easy as the ipod ' s , or as sexy looking<SPLIT>[[[[Label_1]]]]: negative<SPLIT>[[[[Example_2]]]]: the zen micro is no exception in addition to the case , it comes with a neck strap , and has all of the necessary cables for syncing and charging<SPLIT>[[[[Label_2]]]]: positive<SPLIT>[[[[Example_3]]]]: this one is particularly bothersome allegedly one can use the zen micro as a portable drive to store and transport data from one computer to another<SPLIT>[[[[Label_3]]]]: negative","[[[[Sentence]]]]: oh , and another is the cool halo light that surrounds the touch pad , and light 's up when you touch the screen , and how the light glows when the zen is connected to the computer<SPLIT>[[[[Example_0]]]]: some features that the ' zen micro ' has that sold me on my purchase include a 5g hard drive actually an sd flash card drive very large and much more than actually needed , the ability to sync with microsoft outlook ' s calendar , the long battery life of about 10 to 12 hours ( i can change the battery myself for about 40 to buy vs<SPLIT>[[[[Label_0]]]]: positive<SPLIT>[[[[Example_1]]]]: the only thing i would complain about the zen xtra is that the controls are n ' t as easy as the ipod ' s , or as sexy looking<SPLIT>[[[[Label_1]]]]: negative<SPLIT>[[[[Example_2]]]]: the zen micro is no exception in addition to the case , it comes with a neck strap , and has all of the necessary cables for syncing and charging<SPLIT>[[[[Label_2]]]]: positive<SPLIT>[[[[Example_3]]]]: this one is particularly bothersome allegedly one can use the zen micro as a portable drive to store and transport data from one computer to another<SPLIT>[[[[Label_3]]]]: negative",0.06008666753768921,0.06008666753768921,1,1,1,1,"Failed"
"[[[[Sentence]]]]: i 'd say that this camera is perfect<SPLIT>[[[[Example_0]]]]: i would recommend this camera unequivocally !<SPLIT>[[[[Label_0]]]]: positive<SPLIT>[[[[Example_1]]]]: overall it is the best camera on the market<SPLIT>[[[[Label_1]]]]: positive<SPLIT>[[[[Example_2]]]]: this is a wonderful camera<SPLIT>[[[[Label_2]]]]: positive<SPLIT>[[[[Example_3]]]]: i enthusiastically recommend this camera<SPLIT>[[[[Label_3]]]]: positive","[[[[Sentence]]]]: i 'd say that this camera is perfect<SPLIT>[[[[Example_0]]]]: i would recommend this camera unequivocally !<SPLIT>[[[[Label_0]]]]: positive<SPLIT>[[[[Example_1]]]]: overall it is the best camera on the market<SPLIT>[[[[Label_1]]]]: positive<SPLIT>[[[[Example_2]]]]: this is a wonderful camera<SPLIT>[[[[Label_2]]]]: positive<SPLIT>[[[[Example_3]]]]: i enthusiastically recommend this camera<SPLIT>[[[[Label_3]]]]: positive",0.0097084641456604,0.0097084641456604,1,1,1,1,"Failed"
"[[[[Sentence]]]]: this is the best phone i have seen<SPLIT>[[[[Example_0]]]]: and really this is the best phone one could have<SPLIT>[[[[Label_0]]]]: positive<SPLIT>[[[[Example_1]]]]: i just purchased this phone and i think this is the coolest phone i ever had<SPLIT>[[[[Label_1]]]]: positive<SPLIT>[[[[Example_2]]]]: i highly recommend this phone to anyone<SPLIT>[[[[Label_2]]]]: positive<SPLIT>[[[[Example_3]]]]: the phone itself is pretty nice<SPLIT>[[[[Label_3]]]]: positive","[[[[Sentence]]]]: this is the best phone i have seen<SPLIT>[[[[Example_0]]]]: and really this is the best phone one could have<SPLIT>[[[[Label_0]]]]: positive<SPLIT>[[[[Example_1]]]]: i just purchased this phone and i think this is the coolest phone i ever had<SPLIT>[[[[Label_1]]]]: positive<SPLIT>[[[[Example_2]]]]: i highly recommend this phone to anyone<SPLIT>[[[[Label_2]]]]: positive<SPLIT>[[[[Example_3]]]]: the phone itself is pretty nice<SPLIT>[[[[Label_3]]]]: positive",0.022977352142333984,0.022977352142333984,1,1,1,1,"Failed"
"[[[[Sentence]]]]: this one has a good looking<SPLIT>[[[[Example_0]]]]: this one is really great<SPLIT>[[[[Label_0]]]]: positive<SPLIT>[[[[Example_1]]]]: this one has a color display , which i like a lot , being very visual<SPLIT>[[[[Label_1]]]]: positive<SPLIT>[[[[Example_2]]]]: it looks sleek and modern<SPLIT>[[[[Label_2]]]]: positive<SPLIT>[[[[Example_3]]]]: the look feel i have the black one and the contrasting neon blue on the buttons add a very nice ambiance<SPLIT>[[[[Label_3]]]]: positive","[[[[Sentence]]]]: this one has a good looking<SPLIT>[[[[Example_0]]]]: this one is really great<SPLIT>[[[[Label_0]]]]: positive<SPLIT>[[[[Example_1]]]]: this one has a color display , which i like a lot , being very visual<SPLIT>[[[[Label_1]]]]: positive<SPLIT>[[[[Example_2]]]]: it looks sleek and modern<SPLIT>[[[[Label_2]]]]: positive<SPLIT>[[[[Example_3]]]]: the look feel i have the black one and the contrasting neon blue on the buttons add a very nice ambiance<SPLIT>[[[[Label_3]]]]: positive",0.02595740556716919,0.02595740556716919,1,1,1,1,"Failed"
"[[[[Sentence]]]]: they made the other end of the camera flat so you can put the camera upright on a flat surface if you don 't like to take the usual horizontal pictures using the self timer<SPLIT>[[[[Example_0]]]]: the lcd screen pulls out and rotates in any direction for easy pictures<SPLIT>[[[[Label_0]]]]: positive<SPLIT>[[[[Example_1]]]]: it sometimes takes the picture at some indefinite period of time after you press the shutter button<SPLIT>[[[[Label_1]]]]: negative<SPLIT>[[[[Example_2]]]]: the functionality on this camera is mind blowing<SPLIT>[[[[Label_2]]]]: positive<SPLIT>[[[[Example_3]]]]: by cocking the shutter to the halfway position and getting the settings ready to shoot , i was able to produce excellent stop action photos contrary to what other reviewers experienced<SPLIT>[[[[Label_3]]]]: positive","[[[[Sentence]]]]: they made the other end of the camera flat so you can put the camera upright on a flat surface if you don 't like to take the usual horizontal pictures using the self timer<SPLIT>[[[[Example_0]]]]: the lcd screen pulls out and rotates in any direction for easy pictures<SPLIT>[[[[Label_0]]]]: positive<SPLIT>[[[[Example_1]]]]: it sometimes takes the picture at some indefinite period of time after you press the shutter button<SPLIT>[[[[Label_1]]]]: negative<SPLIT>[[[[Example_2]]]]: the functionality on this camera is mind blowing<SPLIT>[[[[Label_2]]]]: positive<SPLIT>[[[[Example_3]]]]: by cocking the shutter to the halfway position and getting the settings ready to shoot , i was able to produce excellent stop action photos contrary to what other reviewers experienced<SPLIT>[[[[Label_3]]]]: positive",0.08509904146194458,0.08509904146194458,1,1,1,1,"Failed"
"[[[[Sentence]]]]: don 't care about sunlight it 's tft<SPLIT>[[[[Example_0]]]]: sunset feature takes incredible pics in the morning , and the evening !<SPLIT>[[[[Label_0]]]]: positive<SPLIT>[[[[Example_1]]]]: i like the nomad ' s color better , but it ' s not terribly flashy<SPLIT>[[[[Label_1]]]]: positive<SPLIT>[[[[Example_2]]]]: you could take a picture of a stone glinting in the sun and still avoid the shining glaze and get the contours right<SPLIT>[[[[Label_2]]]]: positive<SPLIT>[[[[Example_3]]]]: the auto color balance is often fooled by dense clouds<SPLIT>[[[[Label_3]]]]: negative","[[[[Sentence]]]]: don 't care about sunlight it 's tft<SPLIT>[[[[Example_0]]]]: sunset feature takes incredible pics in the morning , and the evening !<SPLIT>[[[[Label_0]]]]: positive<SPLIT>[[[[Example_1]]]]: i like the nomad ' s color better , but it ' s not terribly flashy<SPLIT>[[[[Label_1]]]]: positive<SPLIT>[[[[Example_2]]]]: you could take a picture of a stone glinting in the sun and still avoid the shining glaze and get the contours right<SPLIT>[[[[Label_2]]]]: positive<SPLIT>[[[[Example_3]]]]: the auto color balance is often fooled by dense clouds<SPLIT>[[[[Label_3]]]]: negative",0.29421496391296387,0.29421496391296387,1,1,1,1,"Failed"
