"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"how far is it from denver to [[aspen]] ?","how far is it from denver to [[espn]] ?",0.02599233388900757,0.5769921541213989,5,4,5,10,"Successful"
"what [[county]] is modesto , california in ?","what [[townships]] is modesto , california in ?",0.08484870195388794,0.9557430744171143,4,2,4,22,"Successful"
"who was [[galileo]] ?","who was [[galilee]] ?",0.11042928695678711,0.17474055290222168,3,3,3,5,"Failed"
"what is an atom ?","what is an atom ?",0.8064373135566711,0.8064373135566711,5,5,2,1,"Skipped"
"when did [[hawaii]] become a state ?","when did [[honolulu]] become a state ?",0.08847832679748535,0.7969521284103394,5,4,5,7,"Successful"
"how [[tall]] is the sears building ?","how [[jakob]] is the sears building ?",0.018384873867034912,0.8473658561706543,5,2,5,11,"Successful"
"george bush purchased a small interest in which baseball team ?","george bush purchased a small interest in which baseball team ?",0.8808993101119995,0.8808993101119995,4,4,3,1,"Skipped"
"what is australia 's national flower ?","what is australia 's national flower ?",0.8544402718544006,0.8544402718544006,4,4,1,1,"Skipped"
"why does the moon turn orange ?","why does the moon turn orange ?",0.7665328979492188,0.7665328979492188,5,5,2,1,"Skipped"
"what is [[autism]] ?","what is [[asperger]] ?",0.6911194920539856,0.8685005307197571,2,4,2,4,"Successful"
"what city had a world [[fair]] in 1900 ?","what city had a world [[justo]] in 1900 ?",0.046032845973968506,0.9689930081367493,4,1,4,21,"Successful"
"what [[person]] 's head is on a dime ?","what [[everybody]] 's head is on a dime ?",0.23344337940216064,0.9998180270195007,3,2,3,18,"Successful"
"what is the [[average]] [[weight]] of a yellow labrador ?","what is the [[middle]] [[underweight]] of a yellow labrador ?",0.0006698369979858398,0.3332236409187317,5,5,5,30,"Failed"
"who was the first man to [[fly]] across the pacific ocean ?","who was the first man to [[rob]] across the pacific ocean ?",0.11028844118118286,0.7510228157043457,3,1,3,32,"Successful"
"when did [[idaho]] become a state ?","when did [[montana]] become a state ?",0.07499903440475464,0.7889565229415894,5,1,5,15,"Successful"
"what is the life [[expectancy]] for [[crickets]] ?","what is the life [[awaited]] for [[locusts]] ?",0.0033710598945617676,0.9990025758743286,5,2,5,30,"Successful"
"what metal has the highest melting point ?","what metal has the highest melting point ?",0.987919270992279,0.987919270992279,5,5,1,1,"Skipped"
"who developed the vaccination against [[polio]] ?","who developed the vaccination against [[paralysis]] ?",0.08988761901855469,0.6340399980545044,3,1,3,8,"Successful"
"what is [[epilepsy]] ?","what is [[convulsion]] ?",0.6668082475662231,0.7012679576873779,2,1,2,5,"Successful"
"what [[year]] did the titanic sink ?","what [[sunni]] did the titanic sink ?",0.016281545162200928,0.992977499961853,5,2,5,14,"Successful"
"who was the first american to walk in [[space]] ?","who was the first american to walk in [[spacecraft]] ?",0.13871312141418457,0.7142949104309082,3,1,3,9,"Successful"
"what is a biosphere ?","what is a biosphere ?",0.9180014133453369,0.9180014133453369,4,4,2,1,"Skipped"
"what river in the us is known as the [[big]] muddy ?","what river in the us is known as the [[sizeable]] muddy ?",0.03200507164001465,0.9976860284805298,4,2,4,35,"Successful"
"what is bipolar [[disorder]] ?","what is bipolar [[riots]] ?",0.6037875413894653,0.948950469493866,2,4,2,53,"Successful"
"what is cholesterol ?","what is cholesterol ?",0.8263212442398071,0.8263212442398071,5,5,2,1,"Skipped"
"who [[developed]] the macintosh computer ?","who [[worded]] the macintosh computer ?",0.14085274934768677,0.8064597845077515,3,1,3,44,"Successful"
"what is caffeine ?","what is caffeine ?",0.9306970238685608,0.9306970238685608,5,5,2,1,"Skipped"
"what imaginary line is halfway between the [[north]] and south poles ?","what imaginary line is halfway between the [[norse]] and south poles ?",0.2227264642715454,0.9905833601951599,4,2,4,16,"Successful"
"where is john wayne [[airport]] ?","where is john wayne [[airports]] ?",0.007125735282897949,0.8114547729492188,4,2,4,9,"Successful"
"what hemisphere is the [[philippines]] in ?","what hemisphere is the [[filipinos]] in ?",0.20444506406784058,0.9757415056228638,4,2,4,8,"Successful"
"what is the average [[speed]] of the [[horses]] at the kentucky derby ?","what is the average [[airspeed]] of the [[equine]] at the kentucky derby ?",0.001637876033782959,0.8652629256248474,5,2,5,53,"Successful"
"where are the rocky [[mountains]] ?","where are the rocky [[gore]] ?",0.004097402095794678,0.9162315130233765,4,2,4,16,"Successful"
"what are invertebrates ?","what are invertebrates ?",0.7499709129333496,0.7499709129333496,5,5,2,1,"Skipped"
"what is the [[temperature]] at the center of the earth ?","what is the [[wen]] at the center of the earth ?",0.004135251045227051,0.9996113777160645,5,2,5,15,"Successful"
"when did john f. kennedy get elected as [[president]] ?","when did john f. kennedy get elected as [[wheelchair]] ?",0.044892191886901855,0.8964276313781738,5,3,5,31,"Successful"
"how [[old]] was elvis presley when he [[died]] ?","how [[former]] was elvis presley when he [[murdered]] ?",0.003781139850616455,0.6723496317863464,5,2,5,50,"Successful"
"where is the orinoco [[river]] ?","where is the orinoco [[rio]] ?",0.002695322036743164,0.8117565512657166,4,2,4,14,"Successful"
"how [[far]] is the service [[line]] from the net in tennis ?","how [[eminently]] is the service [[iine]] from the net in tennis ?",0.017164528369903564,0.9649258852005005,5,2,5,28,"Successful"
"how much fiber [[should]] you [[have]] per day ?","how much fiber [[would]] you [[had]] per day ?",0.0016346573829650879,0.23102587461471558,5,5,5,35,"Failed"
"how many great [[lakes]] are there ?","how many great [[lagos]] are there ?",0.010719120502471924,0.13559472560882568,5,5,5,9,"Failed"
"material called [[linen]] is made from what plant ?","material called [[garments]] is made from what plant ?",0.6214033365249634,0.9888179302215576,1,2,1,20,"Successful"
"what is teflon ?","what is teflon ?",0.6203721165657043,0.6203721165657043,2,2,2,2,"Failed"
"what is amitriptyline ?","what is amitriptyline ?",0.8525404334068298,0.8525404334068298,1,1,2,1,"Skipped"
"what is a shaman ?","what is a shaman ?",0.8733172416687012,0.8733172416687012,3,3,2,1,"Skipped"
"what is the proper [[name]] for a female walrus ?","what is the proper [[baptism]] for a female walrus ?",0.573815107345581,0.9986426830291748,1,2,1,34,"Successful"
"what is a group of turkeys called ?","what is a group of turkeys called ?",0.8935050368309021,0.8935050368309021,5,5,1,1,"Skipped"
"how long did rip [[van]] winkle [[sleep]] ?","how long did rip [[pickup]] winkle [[dodo]] ?",0.0076784491539001465,0.4019864797592163,5,5,5,26,"Failed"
"what are triglycerides ?","what are triglycerides ?",0.7975767850875854,0.7975767850875854,5,5,2,1,"Skipped"
"how many liters in a [[gallon]] ?","how many liters in a [[litres]] ?",0.0009505152702331543,0.20778250694274902,5,5,5,14,"Failed"
"what is the name of the chocolate company in san francisco ?","what is the name of the chocolate company in san francisco ?",0.9954010844230652,0.9954010844230652,4,4,3,1,"Skipped"
"what are amphibians ?","what are amphibians ?",0.7996467351913452,0.7996467351913452,5,5,2,1,"Skipped"
"who [[discovered]] x-rays ?","who [[saw]] x-rays ?",0.10445553064346313,0.7674875855445862,3,2,3,40,"Successful"
"which comedian 's [[signature]] line is `` can we talk '' ?","which comedian 's [[signatures]] line is `` can we talk '' ?",0.45416510105133057,0.976035475730896,3,2,3,13,"Successful"
"what is fibromyalgia ?","what is fibromyalgia ?",0.5804290771484375,0.5804290771484375,2,2,2,2,"Failed"
"what is done with worn or outdated flags ?","what is done with worn or outdated flags ?",0.941645085811615,0.941645085811615,5,5,2,1,"Skipped"
"what does cc in engines mean ?","what does cc in engines mean ?",0.9884119629859924,0.9884119629859924,5,5,2,1,"Skipped"
"when did [[elvis]] presley die ?","when did [[presley]] presley die ?",0.05113792419433594,0.8920694589614868,5,3,5,7,"Successful"
"what is the [[capital]] of yugoslavia ?","what is the [[money]] of yugoslavia ?",0.045507073402404785,0.999243974685669,4,2,4,15,"Successful"
"where is [[milan]] ?","where is [[marseilles]] ?",0.004442393779754639,0.7441143989562988,4,2,4,12,"Successful"
"what is the speed [[hummingbirds]] fly ?","what is the speed [[hummingbird]] fly ?",0.0009538531303405762,0.3122914433479309,5,5,5,7,"Failed"
"what is the oldest city in the [[united]] states ?","what is the oldest city in the [[uniting]] states ?",0.07193058729171753,0.9849715232849121,4,1,4,13,"Successful"
"what was w.c. fields ' [[real]] name ?","what was w.c. fields ' [[realistic]] name ?",0.5231961011886597,0.9949489831924438,3,2,3,18,"Successful"
"what river flows between fargo , [[north]] dakota and moorhead , minnesota ?","what river flows between fargo , [[northern]] dakota and moorhead , minnesota ?",0.03127032518386841,0.9584448933601379,4,1,4,14,"Successful"
"what do bats eat ?","what do bats eat ?",0.810401976108551,0.810401976108551,5,5,1,1,"Skipped"
"what state did the [[battle]] of [[bighorn]] take place in ?","what state did the [[grappling]] of [[trumpet]] take place in ?",0.054427146911621094,0.9796708226203918,4,2,4,54,"Successful"
