"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"how [[far]] is it from denver to [[aspen]] ?","how [[vastly]] is it from denver to [[tremble]] ?",0.22715842723846436,0.5298177599906921,5,5,5,26,"Failed"
"what county is [[modesto]] , california in ?","what county is [[mоdesto]] , california in ?",0.10821837186813354,0.1550297737121582,4,4,4,18,"Failed"
"who was [[galileo]] ?","who was [[galilean]] ?",0.06274533271789551,0.3016212582588196,3,3,3,17,"Failed"
"what is an [[atom]] ?","what is an [[a𝚝om]] ?",0.49256813526153564,0.8515751361846924,2,1,2,14,"Successful"
"when did hawaii become a [[state]] ?","when did hawaii become a [[sta𝚝e]] ?",0.48699355125427246,0.5524698495864868,5,5,5,17,"Failed"
"how [[tall]] is the sears building ?","how [[jacob]] is the sears building ?",0.17566978931427002,0.5400350689888,5,5,5,15,"Failed"
"george bush purchased a small interest in which baseball [[team]] ?","george bush purchased a small interest in which baseball [[𝚝eam]] ?",0.5966627597808838,0.8636879920959473,3,1,3,20,"Successful"
"what is australia 's national [[flower]] ?","what is australia 's national [[blooming]] ?",0.5568225383758545,0.6505928635597229,1,1,1,18,"Failed"
"why does the [[moon]] turn orange ?","why does the [[mon]] turn orange ?",0.2024909257888794,0.4773789048194885,2,2,2,14,"Failed"
"what is [[autism]] ?","what is [[autisｍ]] ?",0.23469328880310059,0.6903477907180786,2,1,2,16,"Successful"
"what [[city]] had a world fair in [[1900]] ?","what [[cities]] had a world fair in [[1৭00]] ?",0.1243085265159607,0.4327806830406189,4,4,4,23,"Failed"
"what [[person]] 's head is on a dime ?","what [[someone]] 's head is on a dime ?",0.16012346744537354,0.9457660913467407,3,0,3,17,"Successful"
"what is the average [[weight]] of a yellow [[labrador]] ?","what is the average [[weigh𝚝]] of a yellow [[lɑbrador]] ?",0.012002170085906982,0.033732056617736816,5,5,5,34,"Failed"
"who was the [[first]] man to [[fly]] across the pacific ocean ?","who was the [[firs𝚝]] man to [[𝚏ly]] across the pacific ocean ?",0.05917435884475708,0.11388152837753296,3,3,3,28,"Failed"
"when did [[idaho]] become a state ?","when did [[boise]] become a state ?",0.45024746656417847,0.5365352034568787,5,5,5,16,"Failed"
"what is the life [[expectancy]] for [[crickets]] ?","what is the life [[hoped]] for [[cricke𝚝s]] ?",0.02853691577911377,0.957452654838562,5,3,5,37,"Successful"
"what metal has the highest melting point ?","what metal has the highest melting point ?",0.8163300156593323,0.8163300156593323,5,5,1,1,"Skipped"
"who developed the vaccination against [[polio]] ?","who developed the vaccination against [[poⅼio]] ?",0.0822058916091919,0.1040002703666687,3,3,3,17,"Failed"
"what is [[epilepsy]] ?","what is [[epilepsу]] ?",0.30792468786239624,0.5728355646133423,2,2,2,18,"Failed"
"what [[year]] did the titanic sink ?","what [[leto]] did the titanic sink ?",0.09516972303390503,0.9637813568115234,5,3,5,15,"Successful"
"who was the first american to [[walk]] in [[space]] ?","who was the first american to [[wal𝒌]] in [[spɑce]] ?",0.054161667823791504,0.10532784461975098,3,3,3,29,"Failed"
"what is a biosphere ?","what is a biosphere ?",0.6912539005279541,0.6912539005279541,1,1,2,1,"Skipped"
"what [[river]] in the [[us]] is known as the big muddy ?","what [[revere]] in the [[nous]] is known as the big muddy ?",0.25005704164505005,0.6547118425369263,4,4,4,25,"Failed"
"what is [[bipolar]] disorder ?","what is [[schizoid]] disorder ?",0.22001326084136963,0.3631811738014221,2,2,2,17,"Failed"
"what is [[cholesterol]] ?","what is [[ϲholesterol]] ?",0.44595617055892944,0.7850055694580078,2,1,2,21,"Successful"
"who [[developed]] the macintosh computer ?","who [[deveⅼoped]] the macintosh computer ?",0.08499324321746826,0.11332046985626221,3,3,3,20,"Failed"
"what is caffeine ?","what is caffeine ?",0.709620475769043,0.709620475769043,1,1,2,1,"Skipped"
"what [[imaginary]] [[line]] is halfway between the north and south poles ?","what [[bogus]] [[lie]] is halfway between the north and south poles ?",0.48274320363998413,0.7469140291213989,4,1,4,34,"Successful"
"where is john wayne [[airport]] ?","where is john wayne [[airpor𝚝]] ?",0.02834385633468628,0.1054922342300415,4,4,4,19,"Failed"
"what hemisphere is the [[philippines]] in ?","what hemisphere is the [[filipino]] in ?",0.3334251046180725,0.5405369400978088,4,4,4,21,"Failed"
"what is the average speed of the [[horses]] at the kentucky [[derby]] ?","what is the average speed of the [[horsey]] at the kentucky [[wolverhampton]] ?",0.013695776462554932,0.14876192808151245,5,5,5,32,"Failed"
