"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"it 's a charming and often [[affecting]] [[journey]] . ","it 's a charming and often [[a]] [[book]] . ",0.0019267797470092773,0.07585817575454712,1,1,1,98,"Failed"
"unflinchingly bleak and desperate ","unflinchingly bleak and desperate ",0.7057850360870361,0.7057850360870361,1,1,0,1,"Skipped"
"allows us to [[hope]] that nolan is [[poised]] to embark a major career as a commercial yet inventive [[filmmaker]] . ","allows us to [[pray]] that nolan is [[ineligible]] to embark a major career as a commercial yet inventive [[villain]] . ",0.004070103168487549,0.2018132209777832,1,1,1,143,"Failed"
"the [[acting]] , costumes , music , cinematography and sound are all [[astounding]] [[given]] the production 's austere locales . ","the [[action]] , costumes , music , cinematography and sound are all [[atouadequate]] [[but]] the production 's austere locales . ",0.0028009414672851562,0.5621764659881592,1,0,1,144,"Successful"
"it 's slow -- very , very [[slow]] . ","it 's slow -- very , very [[sharp]] . ",0.012431681156158447,0.5621764659881592,0,1,0,45,"Successful"
"although laced with humor and a few fanciful touches , the film is a [[refreshingly]] [[serious]] [[look]] at young women . ","although laced with humor and a few fanciful touches , the film is a [[refreshingnot]] [[funny]] [[attempt]] at young women . ",0.008577525615692139,0.29421496391296387,1,1,1,130,"Failed"
"a sometimes [[tedious]] film . ","a sometimes [[longimportant]] film . ",0.008577525615692139,0.6513548493385315,0,1,0,51,"Successful"
"or doing [[last]] [[year]] 's taxes with your ex-wife . ","or doing [[her]] [[state]] 's taxes with your ex-wife . ",0.08509904146194458,0.2689414620399475,0,0,0,92,"Failed"
"you do [[n't]] have to [[know]] about music to [[appreciate]] the film 's easygoing blend of comedy and romance . ","you do [[n'know]] have to [[wonder]] about music to [[follow]] the film 's easygoing blend of comedy and romance . ",0.014063596725463867,0.5,1,0,1,148,"Successful"
"in exactly 89 [[minutes]] , most of which [[passed]] as slowly as if i 'd been sitting naked on an igloo , [[formula]] 51 [[sank]] from [[quirky]] to jerky to utter turkey . ","in exactly 89 [[months]] , most of which [[changed]] as slowly as if i 'd been sitting naked on an igloo , [[him]] 51 [[had]] from [[quiblack]] to jerky to utter turkey . ",0.022977352142333984,0.5,0,0,0,237,"Failed"
