"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"[[[[Sentence]]]]: it 's a charming and often affecting journey . <SPLIT>[[[[Example_0]]]]: filmed directly from a television monitor <SPLIT>[[[[Label_0]]]]: [[negative]]<SPLIT>[[[[Example_1]]]]: , intelligent eyes <SPLIT>[[[[Label_1]]]]: [[positive]]","[[[[Sentence]]]]: it 's a charming and often affecting journey . <SPLIT>[[[[Example_0]]]]: filmed directly from a television monitor <SPLIT>[[[[Label_0]]]]: [[positive]]<SPLIT>[[[[Example_1]]]]: , intelligent eyes <SPLIT>[[[[Label_1]]]]: [[negative]]",0.07627952098846436,0.1316131353378296,1,1,1,2,"Failed"
"[[[[Sentence]]]]: unflinchingly bleak and desperate <SPLIT>[[[[Example_0]]]]: filmed directly from a television monitor <SPLIT>[[[[Label_0]]]]: negative<SPLIT>[[[[Example_1]]]]: , intelligent eyes <SPLIT>[[[[Label_1]]]]: positive","[[[[Sentence]]]]: unflinchingly bleak and desperate <SPLIT>[[[[Example_0]]]]: filmed directly from a television monitor <SPLIT>[[[[Label_0]]]]: negative<SPLIT>[[[[Example_1]]]]: , intelligent eyes <SPLIT>[[[[Label_1]]]]: positive",0.6672836542129517,0.6672836542129517,1,1,0,1,"Skipped"
"[[[[Sentence]]]]: allows us to hope that nolan is poised to embark a major career as a commercial yet inventive filmmaker . <SPLIT>[[[[Example_0]]]]: filmed directly from a television monitor <SPLIT>[[[[Label_0]]]]: [[negative]]<SPLIT>[[[[Example_1]]]]: , intelligent eyes <SPLIT>[[[[Label_1]]]]: [[positive]]","[[[[Sentence]]]]: allows us to hope that nolan is poised to embark a major career as a commercial yet inventive filmmaker . <SPLIT>[[[[Example_0]]]]: filmed directly from a television monitor <SPLIT>[[[[Label_0]]]]: [[positive]]<SPLIT>[[[[Example_1]]]]: , intelligent eyes <SPLIT>[[[[Label_1]]]]: [[negative]]",0.1101452112197876,0.14938265085220337,1,1,1,2,"Failed"
"[[[[Sentence]]]]: the acting , costumes , music , cinematography and sound are all astounding given the production 's austere locales . <SPLIT>[[[[Example_0]]]]: filmed directly from a television monitor <SPLIT>[[[[Label_0]]]]: [[negative]]<SPLIT>[[[[Example_1]]]]: , intelligent eyes <SPLIT>[[[[Label_1]]]]: [[positive]]","[[[[Sentence]]]]: the acting , costumes , music , cinematography and sound are all astounding given the production 's austere locales . <SPLIT>[[[[Example_0]]]]: filmed directly from a television monitor <SPLIT>[[[[Label_0]]]]: [[positive]]<SPLIT>[[[[Example_1]]]]: , intelligent eyes <SPLIT>[[[[Label_1]]]]: [[negative]]",0.06807923316955566,0.1316131353378296,1,1,1,2,"Failed"
"[[[[Sentence]]]]: it 's slow -- very , very slow . <SPLIT>[[[[Example_0]]]]: filmed directly from a television monitor <SPLIT>[[[[Label_0]]]]: [[negative]]<SPLIT>[[[[Example_1]]]]: , intelligent eyes <SPLIT>[[[[Label_1]]]]: [[positive]]","[[[[Sentence]]]]: it 's slow -- very , very slow . <SPLIT>[[[[Example_0]]]]: filmed directly from a television monitor <SPLIT>[[[[Label_0]]]]: [[positive]]<SPLIT>[[[[Example_1]]]]: , intelligent eyes <SPLIT>[[[[Label_1]]]]: [[negative]]",0.2566570043563843,0.4253161549568176,0,0,0,2,"Failed"
"[[[[Sentence]]]]: although laced with humor and a few fanciful touches , the film is a refreshingly serious look at young women . <SPLIT>[[[[Example_0]]]]: filmed directly from a television monitor <SPLIT>[[[[Label_0]]]]: [[negative]]<SPLIT>[[[[Example_1]]]]: , intelligent eyes <SPLIT>[[[[Label_1]]]]: [[positive]]","[[[[Sentence]]]]: although laced with humor and a few fanciful touches , the film is a refreshingly serious look at young women . <SPLIT>[[[[Example_0]]]]: filmed directly from a television monitor <SPLIT>[[[[Label_0]]]]: [[positive]]<SPLIT>[[[[Example_1]]]]: , intelligent eyes <SPLIT>[[[[Label_1]]]]: [[negative]]",0.1614505648612976,0.24239712953567505,1,1,1,2,"Failed"
"[[[[Sentence]]]]: a sometimes tedious film . <SPLIT>[[[[Example_0]]]]: filmed directly from a television monitor <SPLIT>[[[[Label_0]]]]: [[negative]]<SPLIT>[[[[Example_1]]]]: , intelligent eyes <SPLIT>[[[[Label_1]]]]: [[positive]]","[[[[Sentence]]]]: a sometimes tedious film . <SPLIT>[[[[Example_0]]]]: filmed directly from a television monitor <SPLIT>[[[[Label_0]]]]: [[positive]]<SPLIT>[[[[Example_1]]]]: , intelligent eyes <SPLIT>[[[[Label_1]]]]: [[negative]]",0.2896568179130554,0.5136511325836182,0,1,0,2,"Successful"
"[[[[Sentence]]]]: or doing last year 's taxes with your ex-wife . <SPLIT>[[[[Example_0]]]]: filmed directly from a television monitor <SPLIT>[[[[Label_0]]]]: [[negative]]<SPLIT>[[[[Example_1]]]]: , intelligent eyes <SPLIT>[[[[Label_1]]]]: [[positive]]","[[[[Sentence]]]]: or doing last year 's taxes with your ex-wife . <SPLIT>[[[[Example_0]]]]: filmed directly from a television monitor <SPLIT>[[[[Label_0]]]]: [[positive]]<SPLIT>[[[[Example_1]]]]: , intelligent eyes <SPLIT>[[[[Label_1]]]]: [[negative]]",0.46053409576416016,0.4993056058883667,0,0,0,2,"Failed"
"[[[[Sentence]]]]: you do n't have to know about music to appreciate the film 's easygoing blend of comedy and romance . <SPLIT>[[[[Example_0]]]]: filmed directly from a television monitor <SPLIT>[[[[Label_0]]]]: [[negative]]<SPLIT>[[[[Example_1]]]]: , intelligent eyes <SPLIT>[[[[Label_1]]]]: [[positive]]","[[[[Sentence]]]]: you do n't have to know about music to appreciate the film 's easygoing blend of comedy and romance . <SPLIT>[[[[Example_0]]]]: filmed directly from a television monitor <SPLIT>[[[[Label_0]]]]: [[positive]]<SPLIT>[[[[Example_1]]]]: , intelligent eyes <SPLIT>[[[[Label_1]]]]: [[negative]]",0.17816007137298584,0.2423083782196045,1,1,1,2,"Failed"
"[[[[Sentence]]]]: in exactly 89 minutes , most of which passed as slowly as if i 'd been sitting naked on an igloo , formula 51 sank from quirky to jerky to utter turkey . <SPLIT>[[[[Example_0]]]]: filmed directly from a television monitor <SPLIT>[[[[Label_0]]]]: [[negative]]<SPLIT>[[[[Example_1]]]]: , intelligent eyes <SPLIT>[[[[Label_1]]]]: [[positive]]","[[[[Sentence]]]]: in exactly 89 minutes , most of which passed as slowly as if i 'd been sitting naked on an igloo , formula 51 sank from quirky to jerky to utter turkey . <SPLIT>[[[[Example_0]]]]: filmed directly from a television monitor <SPLIT>[[[[Label_0]]]]: [[positive]]<SPLIT>[[[[Example_1]]]]: , intelligent eyes <SPLIT>[[[[Label_1]]]]: [[negative]]",0.27891606092453003,0.4011172652244568,0,0,0,2,"Failed"
"[[[[Sentence]]]]: the mesmerizing performances of the leads keep the film grounded and keep the audience riveted . <SPLIT>[[[[Example_0]]]]: filmed directly from a television monitor <SPLIT>[[[[Label_0]]]]: [[negative]]<SPLIT>[[[[Example_1]]]]: , intelligent eyes <SPLIT>[[[[Label_1]]]]: [[positive]]","[[[[Sentence]]]]: the mesmerizing performances of the leads keep the film grounded and keep the audience riveted . <SPLIT>[[[[Example_0]]]]: filmed directly from a television monitor <SPLIT>[[[[Label_0]]]]: [[positive]]<SPLIT>[[[[Example_1]]]]: , intelligent eyes <SPLIT>[[[[Label_1]]]]: [[negative]]",0.04806935787200928,0.10637140274047852,1,1,1,2,"Failed"
"[[[[Sentence]]]]: it takes a strange kind of laziness to waste the talents of robert forster , anne meara , eugene levy , and reginald veljohnson all in the same movie . <SPLIT>[[[[Example_0]]]]: filmed directly from a television monitor <SPLIT>[[[[Label_0]]]]: [[negative]]<SPLIT>[[[[Example_1]]]]: , intelligent eyes <SPLIT>[[[[Label_1]]]]: [[positive]]","[[[[Sentence]]]]: it takes a strange kind of laziness to waste the talents of robert forster , anne meara , eugene levy , and reginald veljohnson all in the same movie . <SPLIT>[[[[Example_0]]]]: filmed directly from a television monitor <SPLIT>[[[[Label_0]]]]: [[positive]]<SPLIT>[[[[Example_1]]]]: , intelligent eyes <SPLIT>[[[[Label_1]]]]: [[negative]]",0.3502587676048279,0.45882272720336914,0,0,0,2,"Failed"
