"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"they 're easy to [[use]]","they 're easy to [[ue]]",0.010986924171447754,0.08509904146194458,1,1,1,13,"Failed"
"playlists can be generated on the fly ( which is a bit clunky but [[still]] a really [[nice]] bonus ) or by [[using]] the software , and there are a [[bevy]] of eq [[options]]","playlists can be generated on the fly ( which is a bit clunky but [[stilⅼ]] a really [[nce]] bonus ) or by [[սsing]] the software , and there are a [[Ьevy]] of eq [[alternatives]]",0.02033233642578125,0.32082128524780273,1,1,1,101,"Failed"
"[[simply]] , the canon [[g3]] is the [[best]] digital camera out there today at this price point","[[mere]] , the canon [[gƷ]] is the [[Ьest]] digital camera out there today at this price point",0.0028009414672851562,0.022977352142333984,1,1,1,36,"Failed"
"multimedia functions are [[enhanced]] by multi slide [[mms]] messages and a [[gallery]] for organizing digital content captured or downloaded with the [[phone]]","multimedia functions are [[enhaոced]] by multi slide [[sms]] messages and a [[gallrey]] for organizing digital content captured or downloaded with the [[phonе]]",0.022977352142333984,0.09534949064254761,1,1,1,92,"Failed"
"[[oh]] , and [[another]] is the cool [[halo]] light that [[surrounds]] the touch pad , and light 's up when you touch the screen , and how the light [[glows]] when the zen is connected to the [[computer]]","[[uhh]] , and [[aոother]] is the cool [[haze]] light that [[takes]] the touch pad , and light 's up when you touch the screen , and how the light [[ɡlows]] when the zen is connected to the [[computeⲅ]]",0.0021827220916748047,0.13296425342559814,1,1,1,124,"Failed"
"i 'd [[say]] that this camera is [[perfect]]","i 'd [[told]] that this camera is [[perfected]]",0.0024725794792175293,0.014063596725463867,1,1,1,28,"Failed"
"this is the [[best]] [[phone]] i have seen","this is the [[better]] [[telephoned]] i have seen",0.0024725794792175293,0.02595740556716919,1,1,1,27,"Failed"
"this one has a [[good]] looking","this one has a [[alright]] looking",0.02931225299835205,0.13296425342559814,1,1,1,14,"Failed"
"they made the other [[end]] of the camera flat so you can put the camera upright on a flat surface if you don 't [[like]] to take the [[usual]] horizontal pictures [[using]] the [[self]] [[timer]]","they made the other [[enԁ]] of the camera flat so you can put the camera upright on a flat surface if you don 't [[li𝒌e]] to take the [[usսal]] horizontal pictures [[utilizing]] the [[ѕelf]] [[stopwatch]]",0.01590639352798462,0.2450850009918213,1,1,1,136,"Failed"
"don 't care about [[sunlight]] it 's [[tft]]","don 't care about [[sunliɡht]] it 's [[tt]]",0.14804714918136597,0.377540647983551,1,1,1,24,"Failed"
"other than that , i [[love]] this [[camera]]","other than that , i [[loved]] this [[cameⲅa]]",0.0028009414672851562,0.06008666753768921,1,1,1,28,"Failed"
"the [[macro]] mode is [[exceptional]] , the [[pictures]] are very clear and you can take the pictures with the lens unbelievably close the [[subject]]","the [[macⲅo]] mode is [[exceptіonal]] , the [[pictսres]] are very clear and you can take the pictures with the lens unbelievably close the [[themes]]",0.0024725794792175293,0.0179862380027771,1,1,1,67,"Failed"
"i do not need to [[repeat]] what 's great about this phone","i do not need to [[repetition]] what 's great about this phone",0.0097084641456604,0.04208773374557495,1,1,1,53,"Failed"
"the screen is very easy to read and the [[blue]] light is [[bright]] enough to [[read]] at night , but [[dim]] enough so it does [[n]] 't blind you when you stare too long","the screen is very easy to read and the [[azur]] light is [[bⲅight]] enough to [[reaԁ]] at night , but [[diｍ]] enough so it does [[percent]] 't blind you when you stare too long",0.0021827220916748047,0.05340331792831421,1,1,1,89,"Failed"
"plusses are the easy to remove battery and the [[terrific]] [[sound]] produced by the [[nomad]]","plusses are the easy to remove battery and the [[terⲅific]] [[sond]] produced by the [[noad]]",0.03308594226837158,0.10669058561325073,1,1,1,48,"Failed"
"the camera was a [[marvel]]","the camera was a [[ｍarvel]]",0.03308594226837158,0.14804714918136597,1,1,1,17,"Failed"
"the program is called nomad and works great for me and [[seems]] to cover all the [[features]] the [[included]] [[windows]] software does","the program is called nomad and works great for me and [[looks]] to cover all the [[featuⲅes]] the [[enrolled]] [[winԁows]] software does",0.010986924171447754,0.10669058561325073,1,1,1,129,"Failed"
"these tasks are [[faster]] and easier than in [[prior]] versions , and i found the menu to be much more [[navigable]]","these tasks are [[fster]] and easier than in [[prіor]] versions , and i found the menu to be much more [[navigbale]]",0.012431681156158447,0.09534949064254761,1,1,1,46,"Failed"
"the infrared is a [[blessing]] if you have a previous nokia and want to transfer your old phone book to this phone , [[saved]] me [[hours]] of re entering my numbers","the infrared is a [[bleѕsing]] if you have a previous nokia and want to transfer your old phone book to this phone , [[saѵed]] me [[hoսrs]] of re entering my numbers",0.00522005558013916,0.5,1,0,1,52,"Successful"
"i can tell [[using]] the phone that it feels a little flimsier than motorola 's do , but as long as i 'm not planning on dropping the phone or running over it with my car it should be just fine","i can tell [[use]] the phone that it feels a little flimsier than motorola 's do , but as long as i 'm not planning on dropping the phone or running over it with my car it should be just fine",0.08509904146194458,0.5926665663719177,1,0,1,27,"Successful"
"the digital zoom takes as [[good]] of pictures , as the [[optical]] zoom does !","the digital zoom takes as [[god]] of pictures , as the [[kuang]] zoom does !",0.005910992622375488,0.08509904146194458,1,1,1,32,"Failed"
"what [[impressed]] me most was the [[sound]]","what [[staggering]] me most was the [[so]] [[und]]",0.007577240467071533,0.6791787147521973,1,0,1,32,"Successful"
"could be better to be a perfect camera ( and some competitors do some of this better ) purple fringing , details in high light area , noise over iso100 , red eyes , ( few ) processing artefact 's , ( few ) loss of some details especially of the hairs of peoples in low light , automatic autofocus , whizzing while video playback , better video compression ( smaller viedo files ) , more manual controls , longer lasting battery , indicator for battery , better protection of the lcd , less weight","could be better to be a perfect camera ( and some competitors do some of this better ) purple fringing , details in high light area , noise over iso100 , red eyes , ( few ) processing artefact 's , ( few ) loss of some details especially of the hairs of peoples in low light , automatic autofocus , whizzing while video playback , better video compression ( smaller viedo files ) , more manual controls , longer lasting battery , indicator for battery , better protection of the lcd , less weight",0.5312093496322632,0.5312093496322632,0,0,1,1,"Skipped"
"it [[comes]] with a [[good]] case that fits it snugly","it [[happens]] with a [[nice]] case that fits it snugly",0.01590639352798462,0.377540647983551,1,1,1,28,"Failed"
"[[yes]] , the picture [[quality]] and [[features]] which are too numerous to mention are [[unmatched]] for any camera in this price range","[[уes]] , the picture [[calibre]] and [[featսres]] which are too numerous to mention are [[unma𝚝ched]] for any camera in this price range",0.0031726956367492676,0.014063596725463867,1,1,1,63,"Failed"
"it 's [[easy]]","it 's [[simpler]]",0.01590639352798462,0.2018132209777832,1,1,1,14,"Failed"
"very fast [[powerup]] and great [[speed]] when taking multiple pictures","very fast [[poweⲅup]] and great [[accelerating]] when taking multiple pictures",0.00522005558013916,0.03308594226837158,1,1,1,28,"Failed"
"8 battery life is [[excellent]]","8 battery life is [[excell]] [[ent]]",0.006692826747894287,0.03308594226837158,1,1,1,22,"Failed"
"[[everything]] that i have [[listed]] above , the zen has , and more","[[any]] that i have [[listings]] above , the zen has , and more",0.0024725794792175293,0.07585817575454712,1,1,1,34,"Failed"
"it 's easy to [[install]] the security on this product but linksys doesn 't do a good job of explaining why its important","it 's easy to [[installed]] the security on this product but linksys doesn 't do a good job of explaining why its important",0.2227001190185547,0.6791787147521973,1,0,1,24,"Successful"
"c i do [[love]] audio sync which allows a [[one]] click synchronization between the player and the [[music]] collection on the [[computer]]","c i do [[lovе]] audio sync which allows a [[eden]] click synchronization between the player and the [[musician]] collection on the [[computeⲅ]]",0.0179862380027771,0.13296425342559814,1,1,1,61,"Failed"
"it has fm [[radio]] option and i can listen to music [[anytime]]","it has fm [[raio]] option and i can listen to music [[someday]]",0.007577240467071533,0.04208773374557495,1,1,1,34,"Failed"
"it holds [[plenty]] of songs","it holds [[sufficient]] of songs",0.012431681156158447,0.08509904146194458,1,1,1,17,"Failed"
"the macro mode works well , although it takes some practice [[since]] the camera doesn 't clearly indicate when it can 't focus","the macro mode works well , although it takes some practice [[already]] the camera doesn 't clearly indicate when it can 't focus",0.02033233642578125,0.5,1,0,1,25,"Successful"
"still , i was [[willing]] to overlook those [[things]] as this unit looks sleek and has a [[myriad]] of features !","still , i was [[prepared]] to overlook those [[thinɡs]] as this unit looks sleek and has a [[ｍyriad]] of features !",0.02033233642578125,0.5,1,0,1,51,"Successful"
"there is an open [[source]] firmware on the net which has tons of [[extra]] [[features]]","there is an open [[provenance]] firmware on the net which has tons of [[extⲅa]] [[fea]] [[tures]]",0.06008666753768921,0.18242555856704712,1,1,1,48,"Failed"
"it has all the features [[one]] would [[need]] in a cellphone","it has all the features [[eden]] would [[neеd]] in a cellphone",0.0179862380027771,0.06008666753768921,1,1,1,25,"Failed"
"i could [[probably]] use a trash can and be ok at this [[point]] , but this pr [[duct]] seems to work very well so [[far]]","i could [[pⲅobably]] use a trash can and be ok at this [[facet]] , but this pr [[piping]] seems to work very well so [[fr]]",0.03308594226837158,0.32082128524780273,1,1,1,65,"Failed"
