"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"[[[[Premise]]]]: the new rights are nice enough<SPLIT>[[[[Hypothesis]]]]: everyone really likes the newest benefits ","[[[[Premise]]]]: the new rights are nice enough<SPLIT>[[[[Hypothesis]]]]: everyone really likes the newest benefits ",0.6871148347854614,0.6871148347854614,0,0,1,1,"Skipped"
"[[[[Premise]]]]: this site includes a list of all award winners and a searchable database of government executive articles.<SPLIT>[[[[Hypothesis]]]]: the government executive articles housed on the website are not [[able]] to be [[searched]].","[[[[Premise]]]]: this site includes a list of all award winners and a searchable database of government executive articles.<SPLIT>[[[[Hypothesis]]]]: the government executive articles housed on the website are not [[possible]] to be [[replaced]].",0.3914036750793457,0.640526533126831,2,1,2,108,"Successful"
"[[[[Premise]]]]: uh i don't know i i have mixed emotions about him uh sometimes i like him but at the same times i love to see somebody beat him<SPLIT>[[[[Hypothesis]]]]: i like him for the most part, but would still enjoy seeing someone beat him.","[[[[Premise]]]]: uh i don't know i i have mixed emotions about him uh sometimes i like him but at the same times i love to see somebody beat him<SPLIT>[[[[Hypothesis]]]]: i like him for the most part, but would still enjoy seeing someone beat him.",0.6947511434555054,0.6947511434555054,2,2,0,1,"Skipped"
"[[[[Premise]]]]: yeah i i think my favorite restaurant is always been the one closest  you know the closest as long as it's it meets the minimum criteria you know of good food<SPLIT>[[[[Hypothesis]]]]: my [[favorite]] restaurants are always at least a hundred miles away from my house. ","[[[[Premise]]]]: yeah i i think my favorite restaurant is always been the one closest  you know the closest as long as it's it meets the minimum criteria you know of good food<SPLIT>[[[[Hypothesis]]]]: my [[other]] restaurants are always at least a hundred miles away from my house. ",0.5831459164619446,0.6563771963119507,2,1,2,72,"Successful"
"[[[[Premise]]]]: i don't know um do you do a lot of camping<SPLIT>[[[[Hypothesis]]]]: i [[know]] exactly.","[[[[Premise]]]]: i don't know um do you do a lot of camping<SPLIT>[[[[Hypothesis]]]]: i [[you]] exactly.",0.618145227432251,0.6635534763336182,2,0,2,45,"Successful"
"[[[[Premise]]]]: well that would be a help i wish they would do that here we have got so little landfill space left that we're going to run out before the end of this decade and it's really going to be<SPLIT>[[[[Hypothesis]]]]: we have [[plenty]] of space in the landfill.","[[[[Premise]]]]: well that would be a help i wish they would do that here we have got so little landfill space left that we're going to run out before the end of this decade and it's really going to be<SPLIT>[[[[Hypothesis]]]]: we have [[little]] of space in the landfill.",0.4637467861175537,0.7163560390472412,2,0,2,68,"Successful"
"[[[[Premise]]]]: yeah i know and i did that all through college and it [[worked]] too<SPLIT>[[[[Hypothesis]]]]: i did that all through college but it never worked ","[[[[Premise]]]]: yeah i know and i did that all through college and it [[failed]] too<SPLIT>[[[[Hypothesis]]]]: i did that all through college but it never worked ",0.5977402925491333,0.6250848770141602,2,1,2,53,"Successful"
"[[[[Premise]]]]: calcutta seems to be the only other production center having any pretensions to artistic creativity at all, but ironically you're actually more likely to see the works of satyajit ray or mrinal sen shown in europe or north america than in india itself.<SPLIT>[[[[Hypothesis]]]]: most of mrinal sen's work can be found in european collections.","[[[[Premise]]]]: calcutta seems to be the only other production center having any pretensions to artistic creativity at all, but ironically you're actually more likely to see the works of satyajit ray or mrinal sen shown in europe or north america than in india itself.<SPLIT>[[[[Hypothesis]]]]: most of mrinal sen's work can be found in european collections.",0.6977217197418213,0.6977217197418213,2,2,1,1,"Skipped"
"[[[[Premise]]]]: if that investor were willing to pay extra for the security of limited downside, she could buy put options with a strike price of $98, which would lock in her profit on the shares at $18, less whatever the options cost.<SPLIT>[[[[Hypothesis]]]]: the strike [[price]] could be $[[8]].","[[[[Premise]]]]: if that investor were willing to pay extra for the security of limited downside, she could buy put options with a strike price of $98, which would lock in her profit on the shares at $18, less whatever the options cost.<SPLIT>[[[[Hypothesis]]]]: the strike [[sale]] could be $[[overhead]].",0.45146799087524414,0.650484561920166,2,1,2,118,"Successful"
"[[[[Premise]]]]: [[3]])  dare you rise to the occasion, like raskolnikov, and reject the petty rules that govern lesser men?<SPLIT>[[[[Hypothesis]]]]: would you rise up and defeaat all evil lords in the town?","[[[[Premise]]]]: [[an]])  dare you rise to the occasion, like raskolnikov, and reject the petty rules that govern lesser men?<SPLIT>[[[[Hypothesis]]]]: would you rise up and defeaat all evil lords in the town?",0.6007723808288574,0.6413388252258301,1,2,1,54,"Successful"
