"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"[[[[Sentence]]]]: lovingly photographed in the manner of a golden book sprung to life , stuart little 2 manages sweetness largely without stickiness .<SPLIT>[[[[Example_0]]]]: very special effects , brilliantly bold colors and heightened reality can't hide the giant achilles' heel in "" stuart little 2 "" : there's just no story , folks .<SPLIT>[[[[Label_0]]]]: negative<SPLIT>[[[[Example_1]]]]: much of the movie's charm lies in the utter cuteness of stuart and margolo . their computer-animated faces are very expressive .<SPLIT>[[[[Label_1]]]]: positive<SPLIT>[[[[Example_2]]]]: brave and sweetly rendered love story .<SPLIT>[[[[Label_2]]]]: positive<SPLIT>[[[[Example_3]]]]: this charming but slight tale has warmth , wit and interesting characters compassionately portrayed .<SPLIT>[[[[Label_3]]]]: positive","[[[[Sentence]]]]: lovingly photographed in the manner of a golden book sprung to life , stuart little 2 manages sweetness largely without stickiness .<SPLIT>[[[[Example_0]]]]: very special effects , brilliantly bold colors and heightened reality can't hide the giant achilles' heel in "" stuart little 2 "" : there's just no story , folks .<SPLIT>[[[[Label_0]]]]: negative<SPLIT>[[[[Example_1]]]]: much of the movie's charm lies in the utter cuteness of stuart and margolo . their computer-animated faces are very expressive .<SPLIT>[[[[Label_1]]]]: positive<SPLIT>[[[[Example_2]]]]: brave and sweetly rendered love story .<SPLIT>[[[[Label_2]]]]: positive<SPLIT>[[[[Example_3]]]]: this charming but slight tale has warmth , wit and interesting characters compassionately portrayed .<SPLIT>[[[[Label_3]]]]: positive",0.02931225299835205,0.02931225299835205,1,1,1,1,"Failed"
"[[[[Sentence]]]]: consistently clever and suspenseful .<SPLIT>[[[[Example_0]]]]: a mostly intelligent , engrossing and psychologically resonant suspenser .<SPLIT>[[[[Label_0]]]]: positive<SPLIT>[[[[Example_1]]]]: entirely suspenseful , extremely well-paced and ultimately . . . dare i say , entertaining !<SPLIT>[[[[Label_1]]]]: positive<SPLIT>[[[[Example_2]]]]: neither funny nor suspenseful nor particularly well-drawn .<SPLIT>[[[[Label_2]]]]: negative<SPLIT>[[[[Example_3]]]]: thoughtful , provocative and entertaining .<SPLIT>[[[[Label_3]]]]: positive","[[[[Sentence]]]]: consistently clever and suspenseful .<SPLIT>[[[[Example_0]]]]: a mostly intelligent , engrossing and psychologically resonant suspenser .<SPLIT>[[[[Label_0]]]]: positive<SPLIT>[[[[Example_1]]]]: entirely suspenseful , extremely well-paced and ultimately . . . dare i say , entertaining !<SPLIT>[[[[Label_1]]]]: positive<SPLIT>[[[[Example_2]]]]: neither funny nor suspenseful nor particularly well-drawn .<SPLIT>[[[[Label_2]]]]: negative<SPLIT>[[[[Example_3]]]]: thoughtful , provocative and entertaining .<SPLIT>[[[[Label_3]]]]: positive",0.0019267797470092773,0.0019267797470092773,1,1,1,1,"Failed"
"[[[[Sentence]]]]: it's like a "" big chill "" reunion of the baader-meinhof gang , only these guys are more harmless pranksters than political activists .<SPLIT>[[[[Example_0]]]]: i know we're not supposed to take it seriously , but i can't shake the thought that undercover brother missed an opportunity to strongly present some profound social commentary .<SPLIT>[[[[Label_0]]]]: negative<SPLIT>[[[[Example_1]]]]: this movie seems to have been written using mad-libs . there can be no other explanation . hilariously inept and ridiculous .<SPLIT>[[[[Label_1]]]]: negative<SPLIT>[[[[Example_2]]]]: it's frustrating to see these guys -- who are obviously pretty clever -- waste their talent on parodies of things they probably thought were funniest when they were high .<SPLIT>[[[[Label_2]]]]: negative<SPLIT>[[[[Example_3]]]]: it's not original , and , robbed of the element of surprise , it doesn't have any huge laughs in its story of irresponsible cops who love to play pranks .<SPLIT>[[[[Label_3]]]]: negative","[[[[Sentence]]]]: it's like a "" big chill "" reunion of the baader-meinhof gang , only these guys are more harmless pranksters than political activists .<SPLIT>[[[[Example_0]]]]: i know we're not supposed to take it seriously , but i can't shake the thought that undercover brother missed an opportunity to strongly present some profound social commentary .<SPLIT>[[[[Label_0]]]]: negative<SPLIT>[[[[Example_1]]]]: this movie seems to have been written using mad-libs . there can be no other explanation . hilariously inept and ridiculous .<SPLIT>[[[[Label_1]]]]: negative<SPLIT>[[[[Example_2]]]]: it's frustrating to see these guys -- who are obviously pretty clever -- waste their talent on parodies of things they probably thought were funniest when they were high .<SPLIT>[[[[Label_2]]]]: negative<SPLIT>[[[[Example_3]]]]: it's not original , and , robbed of the element of surprise , it doesn't have any huge laughs in its story of irresponsible cops who love to play pranks .<SPLIT>[[[[Label_3]]]]: negative",0.7310585975646973,0.7310585975646973,0,0,1,1,"Skipped"
"[[[[Sentence]]]]: the story gives ample opportunity for large-scale action and suspense , which director shekhar kapur supplies with tremendous skill .<SPLIT>[[[[Example_0]]]]: a beautiful , entertaining two hours . you get the idea , though , that kapur intended the film to be more than that .<SPLIT>[[[[Label_0]]]]: positive<SPLIT>[[[[Example_1]]]]: director kapur is a filmmaker with a real flair for epic landscapes and adventure , and this is a better film than his earlier english-language movie , the overpraised elizabeth .<SPLIT>[[[[Label_1]]]]: positive<SPLIT>[[[[Example_2]]]]: instead of panoramic sweep , kapur gives us episodic choppiness , undermining the story's emotional thrust .<SPLIT>[[[[Label_2]]]]: negative<SPLIT>[[[[Example_3]]]]: this delicately observed story , deeply felt and masterfully stylized , is a triumph for its maverick director .<SPLIT>[[[[Label_3]]]]: positive","[[[[Sentence]]]]: the story gives ample opportunity for large-scale action and suspense , which director shekhar kapur supplies with tremendous skill .<SPLIT>[[[[Example_0]]]]: a beautiful , entertaining two hours . you get the idea , though , that kapur intended the film to be more than that .<SPLIT>[[[[Label_0]]]]: positive<SPLIT>[[[[Example_1]]]]: director kapur is a filmmaker with a real flair for epic landscapes and adventure , and this is a better film than his earlier english-language movie , the overpraised elizabeth .<SPLIT>[[[[Label_1]]]]: positive<SPLIT>[[[[Example_2]]]]: instead of panoramic sweep , kapur gives us episodic choppiness , undermining the story's emotional thrust .<SPLIT>[[[[Label_2]]]]: negative<SPLIT>[[[[Example_3]]]]: this delicately observed story , deeply felt and masterfully stylized , is a triumph for its maverick director .<SPLIT>[[[[Label_3]]]]: positive",0.010986924171447754,0.010986924171447754,1,1,1,1,"Failed"
"[[[[Sentence]]]]: red dragon "" never cuts corners .<SPLIT>[[[[Example_0]]]]: measured against practically any like-themed film other than its oscar-sweeping franchise predecessor the silence of the lambs , red dragon rates as an exceptional thriller .<SPLIT>[[[[Label_0]]]]: positive<SPLIT>[[[[Example_1]]]]: for all its brilliant touches , dragon loses its fire midway , nearly flickering out by its perfunctory conclusion .<SPLIT>[[[[Label_1]]]]: negative<SPLIT>[[[[Example_2]]]]: red dragon is less baroque and showy than hannibal , and less emotionally affecting than silence . but , like silence , it's a movie that gets under your skin .<SPLIT>[[[[Label_2]]]]: positive<SPLIT>[[[[Example_3]]]]: "" red dragon "" is entertaining . an obvious copy of one of the best films ever made , how could it not be ? but it is entertaining on an inferior level . it is a popcorn film , not a must-own , or even a must-see .<SPLIT>[[[[Label_3]]]]: positive","[[[[Sentence]]]]: red dragon "" never cuts corners .<SPLIT>[[[[Example_0]]]]: measured against practically any like-themed film other than its oscar-sweeping franchise predecessor the silence of the lambs , red dragon rates as an exceptional thriller .<SPLIT>[[[[Label_0]]]]: positive<SPLIT>[[[[Example_1]]]]: for all its brilliant touches , dragon loses its fire midway , nearly flickering out by its perfunctory conclusion .<SPLIT>[[[[Label_1]]]]: negative<SPLIT>[[[[Example_2]]]]: red dragon is less baroque and showy than hannibal , and less emotionally affecting than silence . but , like silence , it's a movie that gets under your skin .<SPLIT>[[[[Label_2]]]]: positive<SPLIT>[[[[Example_3]]]]: "" red dragon "" is entertaining . an obvious copy of one of the best films ever made , how could it not be ? but it is entertaining on an inferior level . it is a popcorn film , not a must-own , or even a must-see .<SPLIT>[[[[Label_3]]]]: positive",0.06008666753768921,0.06008666753768921,1,1,1,1,"Failed"
"[[[[Sentence]]]]: fresnadillo has something serious to say about the ways in which extravagant chance can distort our perspective and throw us off the path of good sense .<SPLIT>[[[[Example_0]]]]: frei assembles a fascinating profile of a deeply humanistic artist who , in spite of all that he's witnessed , remains surprisingly idealistic , and retains an extraordinary faith in the ability of images to communicate the truth of the world around him .<SPLIT>[[[[Label_0]]]]: positive<SPLIT>[[[[Example_1]]]]: fudges fact and fancy with such confidence that we feel as if we're seeing something purer than the real thing .<SPLIT>[[[[Label_1]]]]: positive<SPLIT>[[[[Example_2]]]]: the message is that even the most unlikely can link together to conquer all kinds of obstacles , whether they be of nature , of man or of one another .<SPLIT>[[[[Label_2]]]]: positive<SPLIT>[[[[Example_3]]]]: though writer/director bart freundlich's film ultimately becomes a simplistic story about a dysfunctional parent-child relationship , it has some special qualities and the soulful gravity of crudup's anchoring performance .<SPLIT>[[[[Label_3]]]]: positive","[[[[Sentence]]]]: fresnadillo has something serious to say about the ways in which extravagant chance can distort our perspective and throw us off the path of good sense .<SPLIT>[[[[Example_0]]]]: frei assembles a fascinating profile of a deeply humanistic artist who , in spite of all that he's witnessed , remains surprisingly idealistic , and retains an extraordinary faith in the ability of images to communicate the truth of the world around him .<SPLIT>[[[[Label_0]]]]: positive<SPLIT>[[[[Example_1]]]]: fudges fact and fancy with such confidence that we feel as if we're seeing something purer than the real thing .<SPLIT>[[[[Label_1]]]]: positive<SPLIT>[[[[Example_2]]]]: the message is that even the most unlikely can link together to conquer all kinds of obstacles , whether they be of nature , of man or of one another .<SPLIT>[[[[Label_2]]]]: positive<SPLIT>[[[[Example_3]]]]: though writer/director bart freundlich's film ultimately becomes a simplistic story about a dysfunctional parent-child relationship , it has some special qualities and the soulful gravity of crudup's anchoring performance .<SPLIT>[[[[Label_3]]]]: positive",0.05340331792831421,0.05340331792831421,1,1,1,1,"Failed"
"[[[[Sentence]]]]: throws in enough clever and unexpected twists to make the formula feel fresh .<SPLIT>[[[[Example_0]]]]: the result is something quite fresh and delightful .<SPLIT>[[[[Label_0]]]]: positive<SPLIT>[[[[Example_1]]]]: works better in the conception than it does in the execution . . . winds up seeming just a little too clever .<SPLIT>[[[[Label_1]]]]: negative<SPLIT>[[[[Example_2]]]]: like a soft drink that's been sitting open too long : it's too much syrup and not enough fizz .<SPLIT>[[[[Label_2]]]]: negative<SPLIT>[[[[Example_3]]]]: the script manages the rare trick of seeming at once both refreshingly different and reassuringly familiar .<SPLIT>[[[[Label_3]]]]: positive","[[[[Sentence]]]]: throws in enough clever and unexpected twists to make the formula feel fresh .<SPLIT>[[[[Example_0]]]]: the result is something quite fresh and delightful .<SPLIT>[[[[Label_0]]]]: positive<SPLIT>[[[[Example_1]]]]: works better in the conception than it does in the execution . . . winds up seeming just a little too clever .<SPLIT>[[[[Label_1]]]]: negative<SPLIT>[[[[Example_2]]]]: like a soft drink that's been sitting open too long : it's too much syrup and not enough fizz .<SPLIT>[[[[Label_2]]]]: negative<SPLIT>[[[[Example_3]]]]: the script manages the rare trick of seeming at once both refreshingly different and reassuringly familiar .<SPLIT>[[[[Label_3]]]]: positive",0.004609584808349609,0.004609584808349609,1,1,1,1,"Failed"
"[[[[Sentence]]]]: weighty and ponderous but every bit as filling as the treat of the title .<SPLIT>[[[[Example_0]]]]: thought-provoking and stylish , if also somewhat hermetic .<SPLIT>[[[[Label_0]]]]: positive<SPLIT>[[[[Example_1]]]]: deadeningly dull , mired in convoluted melodrama , nonsensical jargon and stiff-upper-lip laboriousness .<SPLIT>[[[[Label_1]]]]: negative<SPLIT>[[[[Example_2]]]]: ponderous , plodding soap opera disguised as a feature film .<SPLIT>[[[[Label_2]]]]: negative<SPLIT>[[[[Example_3]]]]: this isn't a stand up and cheer flick ; it's a sit down and ponder affair . and thanks to kline's superbly nuanced performance , that pondering is highly pleasurable .<SPLIT>[[[[Label_3]]]]: positive","[[[[Sentence]]]]: weighty and ponderous but every bit as filling as the treat of the title .<SPLIT>[[[[Example_0]]]]: thought-provoking and stylish , if also somewhat hermetic .<SPLIT>[[[[Label_0]]]]: positive<SPLIT>[[[[Example_1]]]]: deadeningly dull , mired in convoluted melodrama , nonsensical jargon and stiff-upper-lip laboriousness .<SPLIT>[[[[Label_1]]]]: negative<SPLIT>[[[[Example_2]]]]: ponderous , plodding soap opera disguised as a feature film .<SPLIT>[[[[Label_2]]]]: negative<SPLIT>[[[[Example_3]]]]: this isn't a stand up and cheer flick ; it's a sit down and ponder affair . and thanks to kline's superbly nuanced performance , that pondering is highly pleasurable .<SPLIT>[[[[Label_3]]]]: positive",0.04208773374557495,0.04208773374557495,1,1,1,1,"Failed"
"[[[[Sentence]]]]: a real audience-pleaser that will strike a chord with anyone who's ever waited in a doctor's office , emergency room , hospital bed or insurance company office .<SPLIT>[[[[Example_0]]]]: a movie more to be prescribed than recommended -- as visually bland as a dentist's waiting room , complete with soothing muzak and a cushion of predictable narrative rhythms .<SPLIT>[[[[Label_0]]]]: negative<SPLIT>[[[[Example_1]]]]: full of profound , real-life moments that anyone can relate to , it deserves a wide audience .<SPLIT>[[[[Label_1]]]]: positive<SPLIT>[[[[Example_2]]]]: a frantic search for laughs , with a hit-to-miss ratio that doesn't exactly favour the audience .<SPLIT>[[[[Label_2]]]]: negative<SPLIT>[[[[Example_3]]]]: a backstage must-see for true fans of comedy .<SPLIT>[[[[Label_3]]]]: positive","[[[[Sentence]]]]: a real audience-pleaser that will strike a chord with anyone who's ever waited in a doctor's office , emergency room , hospital bed or insurance company office .<SPLIT>[[[[Example_0]]]]: a movie more to be prescribed than recommended -- as visually bland as a dentist's waiting room , complete with soothing muzak and a cushion of predictable narrative rhythms .<SPLIT>[[[[Label_0]]]]: negative<SPLIT>[[[[Example_1]]]]: full of profound , real-life moments that anyone can relate to , it deserves a wide audience .<SPLIT>[[[[Label_1]]]]: positive<SPLIT>[[[[Example_2]]]]: a frantic search for laughs , with a hit-to-miss ratio that doesn't exactly favour the audience .<SPLIT>[[[[Label_2]]]]: negative<SPLIT>[[[[Example_3]]]]: a backstage must-see for true fans of comedy .<SPLIT>[[[[Label_3]]]]: positive",0.07585817575454712,0.07585817575454712,1,1,1,1,"Failed"
"[[[[Sentence]]]]: generates an enormous feeling of empathy for its characters .<SPLIT>[[[[Example_0]]]]: unlike the speedy wham-bam effect of most hollywood offerings , character development -- and more importantly , character empathy -- is at the heart of italian for beginners .<SPLIT>[[[[Label_0]]]]: positive<SPLIT>[[[[Example_1]]]]: any enjoyment will be hinge from a personal threshold of watching sad but endearing characters do extremely unconventional things .<SPLIT>[[[[Label_1]]]]: negative<SPLIT>[[[[Example_2]]]]: cut through the layers of soap-opera emotion and you find a scathing portrayal of a powerful entity strangling the life out of the people who want to believe in it the most .<SPLIT>[[[[Label_2]]]]: positive<SPLIT>[[[[Example_3]]]]: the film's constant mood of melancholy and its unhurried narrative are masterfully controlled . but  in trying to capture the novel's deeper intimate resonances , the film has  ironically - distanced us from the characters .<SPLIT>[[[[Label_3]]]]: positive","[[[[Sentence]]]]: generates an enormous feeling of empathy for its characters .<SPLIT>[[[[Example_0]]]]: unlike the speedy wham-bam effect of most hollywood offerings , character development -- and more importantly , character empathy -- is at the heart of italian for beginners .<SPLIT>[[[[Label_0]]]]: positive<SPLIT>[[[[Example_1]]]]: any enjoyment will be hinge from a personal threshold of watching sad but endearing characters do extremely unconventional things .<SPLIT>[[[[Label_1]]]]: negative<SPLIT>[[[[Example_2]]]]: cut through the layers of soap-opera emotion and you find a scathing portrayal of a powerful entity strangling the life out of the people who want to believe in it the most .<SPLIT>[[[[Label_2]]]]: positive<SPLIT>[[[[Example_3]]]]: the film's constant mood of melancholy and its unhurried narrative are masterfully controlled . but  in trying to capture the novel's deeper intimate resonances , the film has  ironically - distanced us from the characters .<SPLIT>[[[[Label_3]]]]: positive",0.13296425342559814,0.13296425342559814,1,1,1,1,"Failed"
