"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"[[[[Premise]]]]: the new rights are nice enough<SPLIT>[[[[Hypothesis]]]]: everyone [[really]] likes the newest benefits ","[[[[Premise]]]]: the new rights are nice enough<SPLIT>[[[[Hypothesis]]]]: everyone [[it]] likes the newest benefits ",0.46234071254730225,0.5626512765884399,1,0,1,52,"Successful"
"[[[[Premise]]]]: this site includes a list of all award winners and a searchable database of government executive articles.<SPLIT>[[[[Hypothesis]]]]: the government executive articles housed on the website are not able to be searched.","[[[[Premise]]]]: this site includes a list of all award winners and a searchable database of government executive articles.<SPLIT>[[[[Hypothesis]]]]: the government executive articles housed on the website are not able to be searched.",0.5862403512001038,0.5862403512001038,1,1,2,1,"Skipped"
"[[[[Premise]]]]: uh i don't know i i have mixed emotions about him uh sometimes i like him but at the same times i love to see somebody beat him<SPLIT>[[[[Hypothesis]]]]: i like him for the most part, but would still enjoy seeing someone beat him.","[[[[Premise]]]]: uh i don't know i i have mixed emotions about him uh sometimes i like him but at the same times i love to see somebody beat him<SPLIT>[[[[Hypothesis]]]]: i like him for the most part, but would still enjoy seeing someone beat him.",0.7552717328071594,0.7552717328071594,1,1,0,1,"Skipped"
"[[[[Premise]]]]: yeah i i think my favorite restaurant is always been the one closest  you know the closest as long as it's it meets the minimum criteria you know of good food<SPLIT>[[[[Hypothesis]]]]: my favorite restaurants are always at least a hundred miles away from my house. ","[[[[Premise]]]]: yeah i i think my favorite restaurant is always been the one closest  you know the closest as long as it's it meets the minimum criteria you know of good food<SPLIT>[[[[Hypothesis]]]]: my favorite restaurants are always at least a hundred miles away from my house. ",0.6907655596733093,0.6907655596733093,1,1,2,1,"Skipped"
"[[[[Premise]]]]: i don't know um do you do a lot of camping<SPLIT>[[[[Hypothesis]]]]: i know exactly.","[[[[Premise]]]]: i don't know um do you do a lot of camping<SPLIT>[[[[Hypothesis]]]]: i know exactly.",0.7006536722183228,0.7006536722183228,1,1,2,1,"Skipped"
"[[[[Premise]]]]: well that would be a help i wish they would do that here we have got so little landfill space left that we're going to run out before the end of this decade and it's really going to be<SPLIT>[[[[Hypothesis]]]]: we have plenty of space in the landfill.","[[[[Premise]]]]: well that would be a help i wish they would do that here we have got so little landfill space left that we're going to run out before the end of this decade and it's really going to be<SPLIT>[[[[Hypothesis]]]]: we have plenty of space in the landfill.",0.6297513246536255,0.6297513246536255,1,1,2,1,"Skipped"
"[[[[Premise]]]]: yeah i know and i did that all through college and it worked too<SPLIT>[[[[Hypothesis]]]]: i did that all through college but it never worked ","[[[[Premise]]]]: yeah i know and i did that all through college and it worked too<SPLIT>[[[[Hypothesis]]]]: i did that all through college but it never worked ",0.616198718547821,0.616198718547821,1,1,2,1,"Skipped"
"[[[[Premise]]]]: calcutta seems to be the only other [[production]] center having any [[pretensions]] to artistic creativity at all, but ironically you're actually more [[likely]] to see the works of satyajit ray or [[mrinal]] sen shown in europe or north america than in india itself.<SPLIT>[[[[Hypothesis]]]]: most of mrinal sen's work can be found in european collections.","[[[[Premise]]]]: calcutta seems to be the only other [[a]] center having any [[asenarts]] to artistic creativity at all, but ironically you're actually more [[interested]] to see the works of satyajit ray or [[mrihis]] sen shown in europe or north america than in india itself.<SPLIT>[[[[Hypothesis]]]]: most of mrinal sen's work can be found in european collections.",0.5369632244110107,0.6163482666015625,1,0,1,946,"Successful"
"[[[[Premise]]]]: if that investor were willing to pay extra for the security of limited downside, she could buy put options with a strike price of $98, which would lock in her profit on the shares at $18, less whatever the options cost.<SPLIT>[[[[Hypothesis]]]]: the strike price could be $8.","[[[[Premise]]]]: if that investor were willing to pay extra for the security of limited downside, she could buy put options with a strike price of $98, which would lock in her profit on the shares at $18, less whatever the options cost.<SPLIT>[[[[Hypothesis]]]]: the strike price could be $8.",0.7168115973472595,0.7168115973472595,1,1,2,1,"Skipped"
"[[[[Premise]]]]: 3)  dare you rise to the occasion, like [[raskolnikov]], and reject the [[petty]] rules that govern lesser men?<SPLIT>[[[[Hypothesis]]]]: would you rise up and defeaat all evil [[lords]] in the town?","[[[[Premise]]]]: 3)  dare you rise to the occasion, like [[raskolnikod]], and reject the [[beauty]] rules that govern lesser men?<SPLIT>[[[[Hypothesis]]]]: would you rise up and defeaat all evil [[lord]] in the town?",0.5445566177368164,0.6163482666015625,1,1,1,808,"Failed"
"[[[[Premise]]]]: the most important directions are simply up and up leads eventually to the cathedral and fortress commanding the hilltop, and down inevitably leads to one of three gates through the wall to the new town.<SPLIT>[[[[Hypothesis]]]]: go downwards to one of the gates, all of which will lead you into the cathedral.","[[[[Premise]]]]: the most important directions are simply up and up leads eventually to the cathedral and fortress commanding the hilltop, and down inevitably leads to one of three gates through the wall to the new town.<SPLIT>[[[[Hypothesis]]]]: go downwards to one of the gates, all of which will lead you into the cathedral.",0.828628659248352,0.828628659248352,0,0,2,1,"Skipped"
"[[[[Premise]]]]: the bhakti movement of the tamils brought a new warmth to the hitherto rigid brahmanic ritual of hinduism.<SPLIT>[[[[Hypothesis]]]]: the tamils' bhakti movement froze the previously warm ritual of hinduism.","[[[[Premise]]]]: the bhakti movement of the tamils brought a new warmth to the hitherto rigid brahmanic ritual of hinduism.<SPLIT>[[[[Hypothesis]]]]: the tamils' bhakti movement froze the previously warm ritual of hinduism.",0.7314376831054688,0.7314376831054688,1,1,2,1,"Skipped"
"[[[[Premise]]]]: see now in a situation like that the boys are only sixteen years old and they were sexually involved with her and i think like at that particular point she was twenty three you know so she wasn't really that much older than them and being a boy at that age i think that they're very um you know let's face it that's at a point in your life when you you're just starting to realize all the things of life<SPLIT>[[[[Hypothesis]]]]: everyone involved was the same age.","[[[[Premise]]]]: see now in a situation like that the boys are only sixteen years old and they were sexually involved with her and i think like at that particular point she was twenty three you know so she wasn't really that much older than them and being a boy at that age i think that they're very um you know let's face it that's at a point in your life when you you're just starting to realize all the things of life<SPLIT>[[[[Hypothesis]]]]: everyone involved was the same age.",0.7105636596679688,0.7105636596679688,1,1,2,1,"Skipped"
"[[[[Premise]]]]: you and your friends are not welcome here, said severn.<SPLIT>[[[[Hypothesis]]]]: severn said the people were not welcome there.","[[[[Premise]]]]: you and your friends are not welcome here, said severn.<SPLIT>[[[[Hypothesis]]]]: severn said the people were not welcome there.",0.7414848804473877,0.7414848804473877,1,1,0,1,"Skipped"
"[[[[Premise]]]]: [[um-hum]] um-hum yeah [[well]] uh i can see you know it's it's it's it's kind of funny because we it [[seems]] like we loan money you know we money with strings attached and if the government changes and the country that we loan the money to um i can [[see]] why the might have a different attitude towards paying it back it's a lot us that  you know we don't really [[loan]] money to to countries we loan money to [[governments]] and it's the<SPLIT>[[[[Hypothesis]]]]: we don't loan a [[lot]] of money.","[[[[Premise]]]]: [[um-ja]] um-hum yeah [[just]] uh i can see you know it's it's it's it's kind of funny because we it [[and]] like we loan money you know we money with strings attached and if the government changes and the country that we loan the money to um i can [[explained]] why the might have a different attitude towards paying it back it's a lot us that  you know we don't really [[foreign]] money to to countries we loan money to [[ones]] and it's the<SPLIT>[[[[Hypothesis]]]]: we don't loan a [[any]] of money.",0.5331012606620789,0.6278778314590454,1,1,1,2009,"Failed"
"[[[[Premise]]]]: i'm not sure what the overnight low was<SPLIT>[[[[Hypothesis]]]]: i don't know how cold it got last night.","[[[[Premise]]]]: i'm not sure what the overnight low was<SPLIT>[[[[Hypothesis]]]]: i don't know how cold it got last night.",0.8944355249404907,0.8944355249404907,1,1,0,1,"Skipped"
"[[[[Premise]]]]: so i have to find a way to supplement that<SPLIT>[[[[Hypothesis]]]]: i need a way to add something extra.","[[[[Premise]]]]: so i have to find a way to supplement that<SPLIT>[[[[Hypothesis]]]]: i need a way to add something extra.",0.7333861589431763,0.7333861589431763,1,1,0,1,"Skipped"
"[[[[Premise]]]]: the hologram makes up all these things and uh i mean sometimes  sometimes it's funny sometimes it's not but uh you know it's something to pass the time until we do and then and then we watch football<SPLIT>[[[[Hypothesis]]]]: sometimes it is amusing to see what the hologram creates.","[[[[Premise]]]]: the hologram makes up all these things and uh i mean sometimes  sometimes it's funny sometimes it's not but uh you know it's something to pass the time until we do and then and then we watch football<SPLIT>[[[[Hypothesis]]]]: sometimes it is amusing to see what the hologram creates.",0.7258055210113525,0.7258055210113525,1,1,0,1,"Skipped"
"[[[[Premise]]]]: 5 the [[share]] of [[gross]] [[national]] saving used to replace depreciated [[capital]] has increased over the past 40 years.<SPLIT>[[[[Hypothesis]]]]: gross national saving was highest this year.","[[[[Premise]]]]: 5 the [[grade]] of [[gdp]] [[while]] saving used to replace depreciated [[investments]] has increased over the past 40 years.<SPLIT>[[[[Hypothesis]]]]: gross national saving was highest this year.",0.4877372980117798,0.5944998264312744,1,1,1,230,"Failed"
"[[[[Premise]]]]: so far, however, the number of mail pieces lost to alternative bill-paying methods is too small to have any material impact on first-class volume.<SPLIT>[[[[Hypothesis]]]]: the amount of lost mail is huge and really impacts mail volume","[[[[Premise]]]]: so far, however, the number of mail pieces lost to alternative bill-paying methods is too small to have any material impact on first-class volume.<SPLIT>[[[[Hypothesis]]]]: the amount of lost mail is huge and really impacts mail volume",0.5776811838150024,0.5776811838150024,1,1,2,1,"Skipped"
"[[[[Premise]]]]: you want to [[punch]] the button and go<SPLIT>[[[[Hypothesis]]]]: you don't want to push the button lightly, but rather punch it hard.","[[[[Premise]]]]: you want to [[punching]] the button and go<SPLIT>[[[[Hypothesis]]]]: you don't want to push the button lightly, but rather punch it hard.",0.5018997192382812,0.616198718547821,1,0,1,58,"Successful"
"[[[[Premise]]]]: buffet and a  la carte available.<SPLIT>[[[[Hypothesis]]]]: it has a buffet.","[[[[Premise]]]]: buffet and a  la carte available.<SPLIT>[[[[Hypothesis]]]]: it has a buffet.",0.6907655596733093,0.6907655596733093,1,1,0,1,"Skipped"
"[[[[Premise]]]]: blue says blumenthal claimed clinton had [[told]] him that lewinsky had made unwanted sexual advances.<SPLIT>[[[[Hypothesis]]]]: clinton said that monica lewinsky made unwanted sexual advances during her time as a journalist in the white house. ","[[[[Premise]]]]: blue says blumenthal claimed clinton had [[made]] him that lewinsky had made unwanted sexual advances.<SPLIT>[[[[Hypothesis]]]]: clinton said that monica lewinsky made unwanted sexual advances during her time as a journalist in the white house. ",0.5557860136032104,0.6078447699546814,1,0,1,71,"Successful"
