"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"[[[[Sentence]]]]: it 's a charming and often affecting journey . <SPLIT>[[[[Example_0]]]]: powerful , [[chilling]] , and affecting study <SPLIT>[[[[Label_0]]]]: positive<SPLIT>[[[[Example_1]]]]: [[journey]] into a philosophical void <SPLIT>[[[[Label_1]]]]: positive<SPLIT>[[[[Example_2]]]]: was utterly [[charming]] . <SPLIT>[[[[Label_2]]]]: positive<SPLIT>[[[[Example_3]]]]: it 's a square , sentimental drama that [[satisfies]] , as [[comfort]] food [[often]] can . <SPLIT>[[[[Label_3]]]]: positive<SPLIT>[[[[Example_4]]]]: [[charming]] and funny <SPLIT>[[[[Label_4]]]]: positive<SPLIT>[[[[Example_5]]]]: [[charming]] and witty <SPLIT>[[[[Label_5]]]]: positive<SPLIT>[[[[Example_6]]]]: surprisingly [[charming]] and <SPLIT>[[[[Label_6]]]]: positive<SPLIT>[[[[Example_7]]]]: , amari 's film [[falls]] [[short]] in building the drama of lilia 's journey . <SPLIT>[[[[Label_7]]]]: negative","[[[[Sentence]]]]: it 's a charming and often affecting journey . <SPLIT>[[[[Example_0]]]]: powerful , [[chillіng]] , and affecting study <SPLIT>[[[[Label_0]]]]: positive<SPLIT>[[[[Example_1]]]]: [[jourոey]] into a philosophical void <SPLIT>[[[[Label_1]]]]: positive<SPLIT>[[[[Example_2]]]]: was utterly [[charmer]] . <SPLIT>[[[[Label_2]]]]: positive<SPLIT>[[[[Example_3]]]]: it 's a square , sentimental drama that [[satisfis]] , as [[comfor𝚝]] food [[routinely]] can . <SPLIT>[[[[Label_3]]]]: positive<SPLIT>[[[[Example_4]]]]: [[lovely]] and funny <SPLIT>[[[[Label_4]]]]: positive<SPLIT>[[[[Example_5]]]]: [[lovely]] and witty <SPLIT>[[[[Label_5]]]]: positive<SPLIT>[[[[Example_6]]]]: surprisingly [[charmer]] and <SPLIT>[[[[Label_6]]]]: positive<SPLIT>[[[[Example_7]]]]: , amari 's film [[𝚏alls]] [[concise]] in building the drama of lilia 's journey . <SPLIT>[[[[Label_7]]]]: negative",0.0028009414672851562,0.13296425342559814,1,1,1,165,"Failed"
"[[[[Sentence]]]]: unflinchingly bleak and desperate <SPLIT>[[[[Example_0]]]]: [[desperate]] for work and food <SPLIT>[[[[Label_0]]]]: negative<SPLIT>[[[[Example_1]]]]: that 's shapeless and uninflected <SPLIT>[[[[Label_1]]]]: negative<SPLIT>[[[[Example_2]]]]: interminably [[bleak]] <SPLIT>[[[[Label_2]]]]: negative<SPLIT>[[[[Example_3]]]]: , the film never succumbs to the [[trap]] of the maudlin or tearful , offering instead with its unflinching gaze a measure of [[faith]] in the future . <SPLIT>[[[[Label_3]]]]: positive<SPLIT>[[[[Example_4]]]]: brave , uninhibited <SPLIT>[[[[Label_4]]]]: positive<SPLIT>[[[[Example_5]]]]: is a slight and uninventive movie <SPLIT>[[[[Label_5]]]]: negative<SPLIT>[[[[Example_6]]]]: the film [[never]] succumbs to the [[trap]] of the maudlin or tearful , offering instead with its [[unflinching]] gaze a measure of faith in the future . <SPLIT>[[[[Label_6]]]]: positive<SPLIT>[[[[Example_7]]]]: is so bleak <SPLIT>[[[[Label_7]]]]: negative","[[[[Sentence]]]]: unflinchingly bleak and desperate <SPLIT>[[[[Example_0]]]]: [[hopeless]] for work and food <SPLIT>[[[[Label_0]]]]: negative<SPLIT>[[[[Example_1]]]]: that 's shapeless and uninflected <SPLIT>[[[[Label_1]]]]: negative<SPLIT>[[[[Example_2]]]]: interminably [[dismal]] <SPLIT>[[[[Label_2]]]]: negative<SPLIT>[[[[Example_3]]]]: , the film never succumbs to the [[entrapment]] of the maudlin or tearful , offering instead with its unflinching gaze a measure of [[creed]] in the future . <SPLIT>[[[[Label_3]]]]: positive<SPLIT>[[[[Example_4]]]]: brave , uninhibited <SPLIT>[[[[Label_4]]]]: positive<SPLIT>[[[[Example_5]]]]: is a slight and uninventive movie <SPLIT>[[[[Label_5]]]]: negative<SPLIT>[[[[Example_6]]]]: the film [[neevr]] succumbs to the [[petard]] of the maudlin or tearful , offering instead with its [[unshakeable]] gaze a measure of faith in the future . <SPLIT>[[[[Label_6]]]]: positive<SPLIT>[[[[Example_7]]]]: is so bleak <SPLIT>[[[[Label_7]]]]: negative",0.07585817575454712,0.5312093496322632,0,1,0,137,"Successful"
"[[[[Sentence]]]]: allows us to hope that nolan is poised to embark a major career as a commercial yet inventive filmmaker . <SPLIT>[[[[Example_0]]]]: a [[wildly]] inventive mixture of comedy and [[melodrama]] <SPLIT>[[[[Label_0]]]]: positive<SPLIT>[[[[Example_1]]]]: at a speed that is [[slow]] to those of us in middle [[age]] <SPLIT>[[[[Label_1]]]]: negative<SPLIT>[[[[Example_2]]]]: satin rouge is not a [[new]] , or inventive , journey , but <SPLIT>[[[[Label_2]]]]: negative<SPLIT>[[[[Example_3]]]]: in the kind of low-key way that allows us to forget that they are actually movie folk <SPLIT>[[[[Label_3]]]]: positive<SPLIT>[[[[Example_4]]]]: a slight and [[uninventive]] movie <SPLIT>[[[[Label_4]]]]: negative<SPLIT>[[[[Example_5]]]]: france 's most inventive directors <SPLIT>[[[[Label_5]]]]: positive<SPLIT>[[[[Example_6]]]]: inventive and mordantly humorous <SPLIT>[[[[Label_6]]]]: positive<SPLIT>[[[[Example_7]]]]: with witty dialogue and inventive moments <SPLIT>[[[[Label_7]]]]: positive","[[[[Sentence]]]]: allows us to hope that nolan is poised to embark a major career as a commercial yet inventive filmmaker . <SPLIT>[[[[Example_0]]]]: a [[brutally]] inventive mixture of comedy and [[mawkish]] <SPLIT>[[[[Label_0]]]]: positive<SPLIT>[[[[Example_1]]]]: at a speed that is [[sloԝ]] to those of us in middle [[aged]] <SPLIT>[[[[Label_1]]]]: negative<SPLIT>[[[[Example_2]]]]: satin rouge is not a [[ոew]] , or inventive , journey , but <SPLIT>[[[[Label_2]]]]: negative<SPLIT>[[[[Example_3]]]]: in the kind of low-key way that allows us to forget that they are actually movie folk <SPLIT>[[[[Label_3]]]]: positive<SPLIT>[[[[Example_4]]]]: a slight and [[uninventivе]] movie <SPLIT>[[[[Label_4]]]]: negative<SPLIT>[[[[Example_5]]]]: france 's most inventive directors <SPLIT>[[[[Label_5]]]]: positive<SPLIT>[[[[Example_6]]]]: inventive and mordantly humorous <SPLIT>[[[[Label_6]]]]: positive<SPLIT>[[[[Example_7]]]]: with witty dialogue and inventive moments <SPLIT>[[[[Label_7]]]]: positive",0.09534949064254761,0.2689414620399475,1,1,1,364,"Failed"
"[[[[Sentence]]]]: the acting , costumes , music , cinematography and sound are all astounding given the production 's austere locales . <SPLIT>[[[[Example_0]]]]: the art direction and [[costumes]] are gorgeous and finely detailed , and kurys ' direction is clever and insightful . <SPLIT>[[[[Label_0]]]]: positive<SPLIT>[[[[Example_1]]]]: [[good]] action , good [[acting]] , good dialogue , good pace , good cinematography <SPLIT>[[[[Label_1]]]]: positive<SPLIT>[[[[Example_2]]]]: the acting is amateurish , the cinematography is [[atrocious]] , the direction is [[clumsy]] <SPLIT>[[[[Label_2]]]]: negative<SPLIT>[[[[Example_3]]]]: to appreciate the wonderful cinematography and naturalistic acting <SPLIT>[[[[Label_3]]]]: positive<SPLIT>[[[[Example_4]]]]: thanks to the gorgeous locales and exceptional lead performances <SPLIT>[[[[Label_4]]]]: positive<SPLIT>[[[[Example_5]]]]: an [[astounding]] performance that [[deftly]] , gradually reveals a real human soul buried beneath a spellbinding serpent 's smirk . <SPLIT>[[[[Label_5]]]]: positive<SPLIT>[[[[Example_6]]]]: the acting is amateurish , the cinematography is [[atrocious]] , the direction is [[clumsy]] , <SPLIT>[[[[Label_6]]]]: negative<SPLIT>[[[[Example_7]]]]: notable for its stylistic austerity and [[forcefulness]] <SPLIT>[[[[Label_7]]]]: positive","[[[[Sentence]]]]: the acting , costumes , music , cinematography and sound are all astounding given the production 's austere locales . <SPLIT>[[[[Example_0]]]]: the art direction and [[costmues]] are gorgeous and finely detailed , and kurys ' direction is clever and insightful . <SPLIT>[[[[Label_0]]]]: positive<SPLIT>[[[[Example_1]]]]: [[ɡood]] action , good [[acitng]] , good dialogue , good pace , good cinematography <SPLIT>[[[[Label_1]]]]: positive<SPLIT>[[[[Example_2]]]]: the acting is amateurish , the cinematography is [[artocious]] , the direction is [[awkward]] <SPLIT>[[[[Label_2]]]]: negative<SPLIT>[[[[Example_3]]]]: to appreciate the wonderful cinematography and naturalistic acting <SPLIT>[[[[Label_3]]]]: positive<SPLIT>[[[[Example_4]]]]: thanks to the gorgeous locales and exceptional lead performances <SPLIT>[[[[Label_4]]]]: positive<SPLIT>[[[[Example_5]]]]: an [[asto]] [[unding]] performance that [[d]] [[eftly]] , gradually reveals a real human soul buried beneath a spellbinding serpent 's smirk . <SPLIT>[[[[Label_5]]]]: positive<SPLIT>[[[[Example_6]]]]: the acting is amateurish , the cinematography is [[at]] [[rocious]] , the direction is [[cluｍsy]] , <SPLIT>[[[[Label_6]]]]: negative<SPLIT>[[[[Example_7]]]]: notable for its stylistic austerity and [[foⲅcefulness]] <SPLIT>[[[[Label_7]]]]: positive",0.0004305243492126465,0.004070103168487549,1,1,1,709,"Failed"
"[[[[Sentence]]]]: it 's slow -- very , very slow . <SPLIT>[[[[Example_0]]]]: [[well]] done , but slow <SPLIT>[[[[Label_0]]]]: positive<SPLIT>[[[[Example_1]]]]: slow , [[painful]] healing process <SPLIT>[[[[Label_1]]]]: negative<SPLIT>[[[[Example_2]]]]: [[slow]] , uneventful <SPLIT>[[[[Label_2]]]]: negative<SPLIT>[[[[Example_3]]]]: weighted down with [[slow]] , <SPLIT>[[[[Label_3]]]]: negative<SPLIT>[[[[Example_4]]]]: a fairly slow paced , <SPLIT>[[[[Label_4]]]]: negative<SPLIT>[[[[Example_5]]]]: slow and ponderous , <SPLIT>[[[[Label_5]]]]: negative<SPLIT>[[[[Example_6]]]]: it 's a very [[valuable]] film ... <SPLIT>[[[[Label_6]]]]: positive<SPLIT>[[[[Example_7]]]]: a sleep-inducingly slow-paced [[crime]] drama <SPLIT>[[[[Label_7]]]]: negative","[[[[Sentence]]]]: it 's slow -- very , very slow . <SPLIT>[[[[Example_0]]]]: [[bah]] done , but slow <SPLIT>[[[[Label_0]]]]: positive<SPLIT>[[[[Example_1]]]]: slow , [[painfuⅼ]] healing process <SPLIT>[[[[Label_1]]]]: negative<SPLIT>[[[[Example_2]]]]: [[slower]] , uneventful <SPLIT>[[[[Label_2]]]]: negative<SPLIT>[[[[Example_3]]]]: weighted down with [[slower]] , <SPLIT>[[[[Label_3]]]]: negative<SPLIT>[[[[Example_4]]]]: a fairly slow paced , <SPLIT>[[[[Label_4]]]]: negative<SPLIT>[[[[Example_5]]]]: slow and ponderous , <SPLIT>[[[[Label_5]]]]: negative<SPLIT>[[[[Example_6]]]]: it 's a very [[ѵaluable]] film ... <SPLIT>[[[[Label_6]]]]: positive<SPLIT>[[[[Example_7]]]]: a sleep-inducingly slow-paced [[crimes]] drama <SPLIT>[[[[Label_7]]]]: negative",0.037326931953430176,0.14804714918136597,0,0,0,124,"Failed"
"[[[[Sentence]]]]: although laced with humor and a few fanciful touches , the film is a refreshingly serious look at young women . <SPLIT>[[[[Example_0]]]]: honesty that is tragically [[rare]] in the [[depiction]] of young women in [[film]] <SPLIT>[[[[Label_0]]]]: positive<SPLIT>[[[[Example_1]]]]: the spirits of these young women <SPLIT>[[[[Label_1]]]]: positive<SPLIT>[[[[Example_2]]]]: it is a [[refreshingly]] forthright one <SPLIT>[[[[Label_2]]]]: positive<SPLIT>[[[[Example_3]]]]: seeming at once both refreshingly different and reassuringly [[familiar]] <SPLIT>[[[[Label_3]]]]: positive<SPLIT>[[[[Example_4]]]]: refreshingly , <SPLIT>[[[[Label_4]]]]: positive<SPLIT>[[[[Example_5]]]]: laced with liberal doses of dark [[humor]] , [[gorgeous]] exterior photography , and a stable-full of solid performances , no such thing is a fascinating little tale . <SPLIT>[[[[Label_5]]]]: positive<SPLIT>[[[[Example_6]]]]: makes the women look more like [[stereotypical]] caretakers and moral teachers , [[instead]] of serious [[athletes]] <SPLIT>[[[[Label_6]]]]: negative<SPLIT>[[[[Example_7]]]]: the way it introduces you to new , fervently held ideas and [[fanciful]] thinkers <SPLIT>[[[[Label_7]]]]: positive","[[[[Sentence]]]]: although laced with humor and a few fanciful touches , the film is a refreshingly serious look at young women . <SPLIT>[[[[Example_0]]]]: honesty that is tragically [[raⲅe]] in the [[depictioո]] of young women in [[movies]] <SPLIT>[[[[Label_0]]]]: positive<SPLIT>[[[[Example_1]]]]: the spirits of these young women <SPLIT>[[[[Label_1]]]]: positive<SPLIT>[[[[Example_2]]]]: it is a [[delightfully]] forthright one <SPLIT>[[[[Label_2]]]]: positive<SPLIT>[[[[Example_3]]]]: seeming at once both refreshingly different and reassuringly [[famiⅼiar]] <SPLIT>[[[[Label_3]]]]: positive<SPLIT>[[[[Example_4]]]]: refreshingly , <SPLIT>[[[[Label_4]]]]: positive<SPLIT>[[[[Example_5]]]]: laced with liberal doses of dark [[hu]] [[mor]] , [[ɡorgeous]] exterior photography , and a stable-full of solid performances , no such thing is a fascinating little tale . <SPLIT>[[[[Label_5]]]]: positive<SPLIT>[[[[Example_6]]]]: makes the women look more like [[preconceptions]] caretakers and moral teachers , [[alternately]] of serious [[sporting]] <SPLIT>[[[[Label_6]]]]: negative<SPLIT>[[[[Example_7]]]]: the way it introduces you to new , fervently held ideas and [[extravagant]] thinkers <SPLIT>[[[[Label_7]]]]: positive",0.012431681156158447,0.14804714918136597,1,1,1,415,"Failed"
"[[[[Sentence]]]]: a sometimes tedious film . <SPLIT>[[[[Example_0]]]]: ends up as tedious as the chatter of parrots raised on oprah <SPLIT>[[[[Label_0]]]]: negative<SPLIT>[[[[Example_1]]]]: sometimes is a gem . <SPLIT>[[[[Label_1]]]]: positive<SPLIT>[[[[Example_2]]]]: an inept , tedious spoof of '70s kung fu pictures <SPLIT>[[[[Label_2]]]]: negative<SPLIT>[[[[Example_3]]]]: of unfocused , excruciatingly tedious cinema <SPLIT>[[[[Label_3]]]]: negative<SPLIT>[[[[Example_4]]]]: up as tedious as the chatter of parrots raised on oprah <SPLIT>[[[[Label_4]]]]: negative<SPLIT>[[[[Example_5]]]]: unfocused , excruciatingly tedious cinema <SPLIT>[[[[Label_5]]]]: negative<SPLIT>[[[[Example_6]]]]: gorgeous to look at but insufferably tedious and turgid ... <SPLIT>[[[[Label_6]]]]: negative<SPLIT>[[[[Example_7]]]]: unfocused , excruciatingly tedious <SPLIT>[[[[Label_7]]]]: negative","[[[[Sentence]]]]: a sometimes tedious film . <SPLIT>[[[[Example_0]]]]: ends up as tedious as the chatter of parrots raised on oprah <SPLIT>[[[[Label_0]]]]: negative<SPLIT>[[[[Example_1]]]]: sometimes is a gem . <SPLIT>[[[[Label_1]]]]: positive<SPLIT>[[[[Example_2]]]]: an inept , tedious spoof of '70s kung fu pictures <SPLIT>[[[[Label_2]]]]: negative<SPLIT>[[[[Example_3]]]]: of unfocused , excruciatingly tedious cinema <SPLIT>[[[[Label_3]]]]: negative<SPLIT>[[[[Example_4]]]]: up as tedious as the chatter of parrots raised on oprah <SPLIT>[[[[Label_4]]]]: negative<SPLIT>[[[[Example_5]]]]: unfocused , excruciatingly tedious cinema <SPLIT>[[[[Label_5]]]]: negative<SPLIT>[[[[Example_6]]]]: gorgeous to look at but insufferably tedious and turgid ... <SPLIT>[[[[Label_6]]]]: negative<SPLIT>[[[[Example_7]]]]: unfocused , excruciatingly tedious <SPLIT>[[[[Label_7]]]]: negative",0.7772998809814453,0.7772998809814453,1,1,0,1,"Skipped"
"[[[[Sentence]]]]: or doing last year 's taxes with your ex-wife . <SPLIT>[[[[Example_0]]]]: the cadence of a depressed fifteen-year-old 's suicidal poetry <SPLIT>[[[[Label_0]]]]: negative<SPLIT>[[[[Example_1]]]]: execrable . <SPLIT>[[[[Label_1]]]]: negative<SPLIT>[[[[Example_2]]]]: pique your interest , your imagination , your empathy or anything , really , save your disgust and your indifference <SPLIT>[[[[Label_2]]]]: negative<SPLIT>[[[[Example_3]]]]: is significantly less charming than [[listening]] to a [[four-year-old]] with a taste for [[exaggeration]] recount his halloween trip to the haunted [[house]] . <SPLIT>[[[[Label_3]]]]: negative<SPLIT>[[[[Example_4]]]]: -- conrad [[l]]. hall 's [[cinematography]] will likely be nominated for an oscar next year -- <SPLIT>[[[[Label_4]]]]: positive<SPLIT>[[[[Example_5]]]]: with such exuberance and [[passion]] <SPLIT>[[[[Label_5]]]]: positive<SPLIT>[[[[Example_6]]]]: with a taste for exaggeration <SPLIT>[[[[Label_6]]]]: negative<SPLIT>[[[[Example_7]]]]: 's not a single jump-in-your-seat moment <SPLIT>[[[[Label_7]]]]: negative","[[[[Sentence]]]]: or doing last year 's taxes with your ex-wife . <SPLIT>[[[[Example_0]]]]: the cadence of a depressed fifteen-year-old 's suicidal poetry <SPLIT>[[[[Label_0]]]]: negative<SPLIT>[[[[Example_1]]]]: execrable . <SPLIT>[[[[Label_1]]]]: negative<SPLIT>[[[[Example_2]]]]: pique your interest , your imagination , your empathy or anything , really , save your disgust and your indifference <SPLIT>[[[[Label_2]]]]: negative<SPLIT>[[[[Example_3]]]]: is significantly less charming than [[listens]] to a [[four-year-olԁ]] with a taste for [[euphemism]] recount his halloween trip to the haunted [[hou]] [[se]] . <SPLIT>[[[[Label_3]]]]: negative<SPLIT>[[[[Example_4]]]]: -- conrad [[liters]]. hall 's [[cinemato]] [[graphy]] will likely be nominated for an oscar next year -- <SPLIT>[[[[Label_4]]]]: positive<SPLIT>[[[[Example_5]]]]: with such exuberance and [[fervour]] <SPLIT>[[[[Label_5]]]]: positive<SPLIT>[[[[Example_6]]]]: with a taste for exaggeration <SPLIT>[[[[Label_6]]]]: negative<SPLIT>[[[[Example_7]]]]: 's not a single jump-in-your-seat moment <SPLIT>[[[[Label_7]]]]: negative",0.2018132209777832,0.4073333740234375,0,0,0,478,"Failed"
"[[[[Sentence]]]]: you do n't have to know about music to appreciate the film 's easygoing blend of comedy and romance . <SPLIT>[[[[Example_0]]]]: still does n't [[quite]] know how to fill a frame . <SPLIT>[[[[Label_0]]]]: negative<SPLIT>[[[[Example_1]]]]: do [[n't]] bother <SPLIT>[[[[Label_1]]]]: negative<SPLIT>[[[[Example_2]]]]: even if you do n't know the band or the album 's songs by heart , you will enjoy seeing how both evolve , and <SPLIT>[[[[Label_2]]]]: positive<SPLIT>[[[[Example_3]]]]: 's [[easy]] to like <SPLIT>[[[[Label_3]]]]: positive<SPLIT>[[[[Example_4]]]]: does n't quite know how to fill a frame <SPLIT>[[[[Label_4]]]]: negative<SPLIT>[[[[Example_5]]]]: you 're going to feel like you were [[n't]] invited to the party . <SPLIT>[[[[Label_5]]]]: negative<SPLIT>[[[[Example_6]]]]: even if you do n't know the band or the album 's songs by heart , you will enjoy seeing how both evolve , and you will also learn a good deal about the state of the music business in the 21st [[century]] <SPLIT>[[[[Label_6]]]]: positive<SPLIT>[[[[Example_7]]]]: nijinsky [[says]] , ' i know how to suffer ' and if you see this film you 'll know too . <SPLIT>[[[[Label_7]]]]: negative","[[[[Sentence]]]]: you do n't have to know about music to appreciate the film 's easygoing blend of comedy and romance . <SPLIT>[[[[Example_0]]]]: still does n't [[qui𝚝e]] know how to fill a frame . <SPLIT>[[[[Label_0]]]]: negative<SPLIT>[[[[Example_1]]]]: do [[nt]] bother <SPLIT>[[[[Label_1]]]]: negative<SPLIT>[[[[Example_2]]]]: even if you do n't know the band or the album 's songs by heart , you will enjoy seeing how both evolve , and <SPLIT>[[[[Label_2]]]]: positive<SPLIT>[[[[Example_3]]]]: 's [[effortless]] to like <SPLIT>[[[[Label_3]]]]: positive<SPLIT>[[[[Example_4]]]]: does n't quite know how to fill a frame <SPLIT>[[[[Label_4]]]]: negative<SPLIT>[[[[Example_5]]]]: you 're going to feel like you were [[n'𝚝]] invited to the party . <SPLIT>[[[[Label_5]]]]: negative<SPLIT>[[[[Example_6]]]]: even if you do n't know the band or the album 's songs by heart , you will enjoy seeing how both evolve , and you will also learn a good deal about the state of the music business in the 21st [[centuⲅy]] <SPLIT>[[[[Label_6]]]]: positive<SPLIT>[[[[Example_7]]]]: nijinsky [[sɑys]] , ' i know how to suffer ' and if you see this film you 'll know too . <SPLIT>[[[[Label_7]]]]: negative",0.01590639352798462,0.377540647983551,1,1,1,622,"Failed"
"[[[[Sentence]]]]: in exactly 89 minutes , most of which passed as slowly as if i 'd been sitting naked on an igloo , formula 51 sank from quirky to jerky to utter turkey . <SPLIT>[[[[Example_0]]]]: if i stay positive <SPLIT>[[[[Label_0]]]]: positive<SPLIT>[[[[Example_1]]]]: as i laughed [[throughout]] the movie <SPLIT>[[[[Label_1]]]]: positive<SPLIT>[[[[Example_2]]]]: just as i [[hoped]] i [[would]] -- with moist eyes <SPLIT>[[[[Label_2]]]]: positive<SPLIT>[[[[Example_3]]]]: i truly enjoyed most of mostly martha while i ne <SPLIT>[[[[Label_3]]]]: positive<SPLIT>[[[[Example_4]]]]: i have a confession to make : i did n't [[particularly]] like e.t. the first time i saw it as a young boy <SPLIT>[[[[Label_4]]]]: negative<SPLIT>[[[[Example_5]]]]: i have a confession to make : i did n't particularly like e.t. the first time i saw it as a young boy . <SPLIT>[[[[Label_5]]]]: negative<SPLIT>[[[[Example_6]]]]: [[works]] so well for the first 89 minutes , <SPLIT>[[[[Label_6]]]]: positive<SPLIT>[[[[Example_7]]]]: i think it was plato who said , ' i think , therefore i know [[better]] than to rush to the [[theater]] for this [[one]] . ' <SPLIT>[[[[Label_7]]]]: negative","[[[[Sentence]]]]: in exactly 89 minutes , most of which passed as slowly as if i 'd been sitting naked on an igloo , formula 51 sank from quirky to jerky to utter turkey . <SPLIT>[[[[Example_0]]]]: if i stay positive <SPLIT>[[[[Label_0]]]]: positive<SPLIT>[[[[Example_1]]]]: as i laughed [[across]] the movie <SPLIT>[[[[Label_1]]]]: positive<SPLIT>[[[[Example_2]]]]: just as i [[waited]] i [[wuld]] -- with moist eyes <SPLIT>[[[[Label_2]]]]: positive<SPLIT>[[[[Example_3]]]]: i truly enjoyed most of mostly martha while i ne <SPLIT>[[[[Label_3]]]]: positive<SPLIT>[[[[Example_4]]]]: i have a confession to make : i did n't [[specifically]] like e.t. the first time i saw it as a young boy <SPLIT>[[[[Label_4]]]]: negative<SPLIT>[[[[Example_5]]]]: i have a confession to make : i did n't particularly like e.t. the first time i saw it as a young boy . <SPLIT>[[[[Label_5]]]]: negative<SPLIT>[[[[Example_6]]]]: [[workѕ]] so well for the first 89 minutes , <SPLIT>[[[[Label_6]]]]: positive<SPLIT>[[[[Example_7]]]]: i think it was plato who said , ' i think , therefore i know [[improved]] than to rush to the [[theateⲅ]] for this [[somebody]] . ' <SPLIT>[[[[Label_7]]]]: negative",0.06008666753768921,0.2227001190185547,0,0,0,471,"Failed"
