"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"how far is it from [[denver]] to aspen ?","how far is it from [[town]] to aspen ?",0.006061077117919922,0.31067001819610596,5,5,5,23,"Failed"
"what [[county]] is modesto , california in ?","what [[was]] is modesto , california in ?",0.015893638134002686,0.5444196462631226,4,4,4,25,"Failed"
"who was galileo ?","who was galileo ?",0.04051178693771362,0.04051178693771362,3,3,3,2,"Failed"
"what is an [[atom]] ?","what is an [[atoms]] ?",0.04136967658996582,0.18828880786895752,2,2,2,3,"Failed"
"when did hawaii [[become]] a state ?","when did hawaii [[leave]] a state ?",0.11570340394973755,0.5085150003433228,5,5,5,50,"Failed"
"how tall is the sears [[building]] ?","how tall is the sears [[thing]] ?",0.0924760103225708,0.3323422074317932,5,5,5,49,"Failed"
"george bush purchased a small interest in which baseball team ?","george bush purchased a small interest in which baseball team ?",0.5839712619781494,0.5839712619781494,4,4,3,1,"Skipped"
"what is australia 's national flower ?","what is australia 's national flower ?",0.9994556903839111,0.9994556903839111,4,4,1,1,"Skipped"
"why does the moon [[turn]] orange ?","why does the moon [[miss]] orange ?",0.012018382549285889,0.2629718780517578,2,2,2,51,"Failed"
"what is autism ?","what is autism ?",0.05464613437652588,0.05464613437652588,2,2,2,2,"Failed"
"what [[city]] had a world fair in 1900 ?","what [[times]] had a world fair in 1900 ?",0.01681607961654663,0.8374813795089722,4,5,4,26,"Successful"
"what person 's [[head]] is on a [[dime]] ?","what person 's [[heads]] is on a [[dollar]] ?",0.12118560075759888,0.6023352146148682,3,3,3,15,"Failed"
"what is the average weight of a [[yellow]] labrador ?","what is the average weight of a [[pinto]] labrador ?",0.04376107454299927,0.3348649740219116,5,5,5,49,"Failed"
"who was the first man to fly across the pacific [[ocean]] ?","who was the first man to fly across the pacific [[from]] ?",0.04042428731918335,0.5595047473907471,3,4,3,52,"Successful"
"when did idaho [[become]] a state ?","when did idaho [[ever]] a state ?",0.1256248950958252,0.4852195978164673,5,5,5,50,"Failed"
"what is the life expectancy for [[crickets]] ?","what is the life expectancy for [[cricket]]? ?",0.03323882818222046,0.5002706050872803,5,5,5,7,"Failed"
"what metal has the highest melting point ?","what metal has the highest melting point ?",0.999226987361908,0.999226987361908,2,2,1,1,"Skipped"
"who developed the [[vaccination]] against polio ?","who developed the [[vacciprevention]] against polio ?",0.013603389263153076,0.12354028224945068,3,3,3,51,"Failed"
"what is epilepsy ?","what is epilepsy ?",0.037678658962249756,0.037678658962249756,2,2,2,2,"Failed"
"what [[year]] did the titanic sink ?","what [[era]] did the titanic sink ?",0.059144437313079834,0.7099552154541016,5,2,5,36,"Successful"
"who was the first american to walk in [[space]] ?","who was the first american to walk in [[this]] ?",0.03464317321777344,0.9566420316696167,3,4,3,33,"Successful"
"what is a biosphere ?","what is a biosphere ?",0.15159481763839722,0.15159481763839722,2,2,2,2,"Failed"
"what river in the us is known as the [[big]] [[muddy]] ?","what river in the us is known as the [[that]] [[what]] ?",0.03805726766586304,0.7616980075836182,4,2,4,82,"Successful"
"what is bipolar [[disorder]] ?","what is bipolar [[with]] ?",0.03771466016769409,0.6849462389945984,2,2,2,40,"Failed"
"what is cholesterol ?","what is cholesterol ?",0.03003460168838501,0.03003460168838501,2,2,2,2,"Failed"
"who developed the [[macintosh]] computer ?","who developed the [[mac]] computer ?",0.015063226222991943,0.06232732534408569,3,3,3,7,"Failed"
"what is [[caffeine]] ?","what is [[caffein]] ?",0.18191885948181152,0.4771260619163513,2,2,2,3,"Failed"
"what imaginary [[line]] is halfway between the north and south poles ?","what imaginary [[lines]] is halfway between the north and south poles ?",0.336528480052948,0.7505295872688293,4,2,4,52,"Successful"
"where is john wayne [[airport]] ?","where is john wayne [[the]] ?",0.0018001794815063477,0.1440051794052124,4,4,4,33,"Failed"
"what hemisphere is the [[philippines]] in ?","what hemisphere is the [[philippine]] in ?",0.30072444677352905,0.47282880544662476,4,4,4,7,"Failed"
"what is the average [[speed]] of the horses at the [[kentucky]] derby ?","what is the average [[motion]] of the horses at the [[what]] derby ?",0.00590890645980835,0.43747419118881226,5,5,5,76,"Failed"
"where are the rocky [[mountains]] ?","where are the rocky [[slopes]] ?",0.01403719186782837,0.05192720890045166,4,4,4,12,"Failed"
"what are invertebrates ?","what are invertebrates ?",0.047165632247924805,0.047165632247924805,2,2,2,2,"Failed"
"what is the [[temperature]] at the center of the earth ?","what is the [[warm]] at the center of the earth ?",0.0472487211227417,0.9418665766716003,5,1,5,31,"Successful"
"when did john f. kennedy get elected as [[president]] ?","when did john f. kennedy get elected as [[here]] ?",0.12331002950668335,0.8223555684089661,5,4,5,53,"Successful"
"how old was elvis [[presley]] when he [[died]] ?","how old was elvis [[and]] when he [[saw]] ?",0.10118532180786133,0.3812124729156494,5,5,5,77,"Failed"
"where is the orinoco [[river]] ?","where is the orinoco [[rivers]] ?",0.0038515329360961914,0.020890116691589355,4,4,4,5,"Failed"
"how far is the [[service]] [[line]] from the net in tennis ?","how far is the [[lift]] [[net]] from the net in tennis ?",0.015958070755004883,0.460873544216156,5,5,5,62,"Failed"
"how much [[fiber]] should you have per [[day]] ?","how much [[and]] should you have per [[fiber]] ?",0.012761950492858887,0.16545331478118896,5,5,5,71,"Failed"
"how many [[great]] lakes are there ?","how many [[what]] lakes are there ?",0.022715985774993896,0.07503217458724976,5,5,5,44,"Failed"
"material called linen is made from what plant ?","material called linen is made from what plant ?",0.9981828927993774,0.9981828927993774,2,2,1,1,"Skipped"
"what is teflon ?","what is teflon ?",0.06461548805236816,0.06461548805236816,2,2,2,2,"Failed"
"what is amitriptyline ?","what is amitriptyline ?",0.3669556975364685,0.3669556975364685,2,2,2,2,"Failed"
"what is a shaman ?","what is a shaman ?",0.35394543409347534,0.35394543409347534,2,2,2,2,"Failed"
"what is the proper name for a female walrus ?","what is the proper name for a female walrus ?",0.9981773495674133,0.9981773495674133,3,3,1,1,"Skipped"
"what is a group of turkeys called ?","what is a group of turkeys called ?",0.9982109069824219,0.9982109069824219,2,2,1,1,"Skipped"
"how long did rip van [[winkle]] [[sleep]] ?","how long did rip van [[winkl]] [[night]] ?",0.010441422462463379,0.29065388441085815,5,5,5,77,"Failed"
"what are [[triglycerides]] ?","what are [[triglyceride]] ?",0.03453719615936279,0.053581178188323975,2,2,2,3,"Failed"
"how many [[liters]] in a gallon ?","how many [[literpeople]] in a gallon ?",0.003847181797027588,0.14892500638961792,5,5,5,39,"Failed"
"what is the name of the chocolate company in san francisco ?","what is the name of the chocolate company in san francisco ?",0.8595387935638428,0.8595387935638428,4,4,3,1,"Skipped"
"what are amphibians ?","what are amphibians ?",0.06575191020965576,0.06575191020965576,2,2,2,2,"Failed"
"who [[discovered]] x-rays ?","who [[who]] x-rays ?",0.015981078147888184,0.3821011781692505,3,3,3,30,"Failed"
"which comedian 's [[signature]] line is `` can we talk '' ?","which comedian 's [[super]] line is `` can we talk '' ?",0.1453632116317749,0.7853451371192932,3,2,3,39,"Successful"
"what is fibromyalgia ?","what is fibromyalgia ?",0.04061579704284668,0.04061579704284668,2,2,2,2,"Failed"
"what is [[done]] with worn or outdated flags ?","what is [[there]] with worn or outdated flags ?",0.16995906829833984,0.6179748773574829,2,4,2,50,"Successful"
"what does cc in [[engines]] mean ?","what does cc in [[bhp]] mean ?",0.1860809326171875,0.4267478585243225,2,2,2,16,"Failed"
"when did elvis [[presley]] die ?","when did elvis [[icon]] die ?",0.35575586557388306,0.6615785360336304,5,5,5,39,"Failed"
"what is the [[capital]] of yugoslavia ?","what is the [[cities]] of yugoslavia ?",0.03282570838928223,0.20032191276550293,4,4,4,9,"Failed"
"where is milan ?","where is milan ?",0.0034925341606140137,0.0034925341606140137,4,4,4,2,"Failed"
"what is the [[speed]] hummingbirds fly ?","what is the [[way]] hummingbirds fly ?",0.012610316276550293,0.9248730540275574,5,2,5,48,"Successful"
"what is the [[oldest]] city in the united states ?","what is the [[only]] city in the united states ?",0.025519728660583496,0.3696407675743103,4,4,4,16,"Failed"
"what was w.c. fields ' [[real]] name ?","what was w.c. fields ' [[actually]] name ?",0.14842510223388672,0.7331095933914185,3,2,3,44,"Successful"
